"md_id","busi_date","dept_id","dept_name","flow_stage","total_cnt","rollback_cnt"
442,"2022-05-25","4002",承办单位B,承办单位处理,184,20
443,"2022-05-25","4003",承办复核部A,承办单位复核,120,14
444,"2022-05-25","5001",结案一部,办结,70,5
445,"2022-05-25","5002",结案二部,办结,226,44
446,"2022-05-25","6001",客户回访一组,回访,184,8
447,"2022-05-25","6002",客户回访二组,回访,177,19
448,"2022-05-25","6003",客户回访三组,回访,275,25
449,"2022-05-25","7001",档案管理部,归档,149,9
450,"2022-05-25","8001",异常工单组,挂起,112,15
451,"2022-05-26","1001",客服一部,话务员暂存,180,0
452,"2022-05-26","1001",客服一部,话务员受理,229,18
453,"2022-05-26","1002",客服二部,话务员受理,180,0
454,"2022-05-26","2001",业务一科,话务员办理,292,37
455,"2022-05-26","2002",业务二科,话务员办理,150,8
456,"2022-05-26","3001",热线审核中心,热线审核,190,16
457,"2022-05-26","3002",热线复核中心,热线复核,136,26
458,"2022-05-26","4001",承办单位A,承办单位审核,279,9
459,"2022-05-26","4001",承办单位A,承办单位处理,129,0
460,"2022-05-26","4002",承办单位B,承办单位处理,297,12
461,"2022-05-26","4003",承办复核部A,承办单位复核,82,5
462,"2022-05-26","5001",结案一部,办结,82,16
463,"2022-05-26","5002",结案二部,办结,123,0
464,"2022-05-26","6001",客户回访一组,回访,294,16
465,"2022-05-26","6002",客户回访二组,回访,67,13
466,"2022-05-26","6003",客户回访三组,回访,248,10
467,"2022-05-26","7001",档案管理部,归档,70,14
468,"2022-05-26","8001",异常工单组,挂起,258,14
469,"2022-05-27","1001",客服一部,话务员暂存,238,0
470,"2022-05-27","1001",客服一部,话务员受理,251,20
471,"2022-05-27","1002",客服二部,话务员受理,231,44
472,"2022-05-27","2001",业务一科,话务员办理,74,6
473,"2022-05-27","2002",业务二科,话务员办理,63,7
474,"2022-05-27","3001",热线审核中心,热线审核,106,19
475,"2022-05-27","3002",热线复核中心,热线复核,248,47
476,"2022-05-27","4001",承办单位A,承办单位审核,283,24
477,"2022-05-27","4001",承办单位A,承办单位处理,262,26
478,"2022-05-27","4002",承办单位B,承办单位处理,240,16
479,"2022-05-27","4003",承办复核部A,承办单位复核,93,7
480,"2022-05-27","5001",结案一部,办结,95,4
481,"2022-05-27","5002",结案二部,办结,114,5
482,"2022-05-27","6001",客户回访一组,回访,266,16
483,"2022-05-27","6002",客户回访二组,回访,216,24
484,"2022-05-27","6003",客户回访三组,回访,102,13
485,"2022-05-27","7001",档案管理部,归档,145,27
486,"2022-05-27","8001",异常工单组,挂起,88,4
487,"2022-05-28","1001",客服一部,话务员暂存,186,0
488,"2022-05-28","1001",客服一部,话务员受理,112,12
489,"2022-05-28","1002",客服二部,话务员受理,272,3
490,"2022-05-28","2001",业务一科,话务员办理,279,17
491,"2022-05-28","2002",业务二科,话务员办理,175,6
492,"2022-05-28","3001",热线审核中心,热线审核,160,19
493,"2022-05-28","3002",热线复核中心,热线复核,149,14
494,"2022-05-28","4001",承办单位A,承办单位审核,224,38
495,"2022-05-28","4001",承办单位A,承办单位处理,173,31
496,"2022-05-28","4002",承办单位B,承办单位处理,233,42
