"md_id","busi_time","sub_name","area","order_cnt","finish_cnt","avg_handler_time","satisfaction_cnt","negative_cnt","reply_on_time_cnt"
53537,"2022-05-01",交通运输,E区,22,20,3.64,17,0,20
53538,"2022-05-01",交通运输,F区,22,18,3.69,12,1,18
53539,"2022-05-01",交通运输,G区,20,18,3.76,14,0,14
53540,"2022-05-01",交通运输,H区,20,16,2.56,13,2,16
53541,"2022-05-01",交通运输,I区,25,23,3.17,16,3,19
53542,"2022-05-01",农林牧渔,A区,17,14,2.87,10,1,13
53543,"2022-05-01",农林牧渔,B区,11,10,3.31,7,0,8
53544,"2022-05-01",农林牧渔,C区,15,13,2.1,9,1,11
53545,"2022-05-01",农林牧渔,D区,17,16,4.26,14,0,16
53546,"2022-05-01",农林牧渔,E区,15,12,3.5,8,1,11
53547,"2022-05-01",农林牧渔,F区,17,14,1.96,10,0,13
53548,"2022-05-01",农林牧渔,G区,18,18,3.63,14,2,14
53549,"2022-05-01",农林牧渔,H区,13,12,1.3,8,1,9
53550,"2022-05-01",农林牧渔,I区,16,15,2.81,12,2,13
53551,"2022-05-02",科教文体,A区,11,10,2.1,9,0,9
53552,"2022-05-02",科教文体,B区,8,6,1.8,4,0,5
53553,"2022-05-02",科教文体,C区,5,4,2.54,2,0,4
53554,"2022-05-02",科教文体,D区,12,9,3.21,8,0,7
53555,"2022-05-02",科教文体,E区,7,5,2.19,4,0,5
53556,"2022-05-02",科教文体,F区,6,6,2.86,4,0,4
53557,"2022-05-02",科教文体,G区,11,10,4.01,7,1,8
53558,"2022-05-02",科教文体,H区,8,6,2.41,4,0,4
53559,"2022-05-02",科教文体,I区,6,5,3.08,4,0,4
53560,"2022-05-02",公卫医疗,A区,26,20,3.89,14,1,20
53561,"2022-05-02",公卫医疗,B区,25,23,3.77,18,1,18
53562,"2022-05-02",公卫医疗,C区,29,28,3.75,23,4,25
53563,"2022-05-02",公卫医疗,D区,33,33,3.25,26,3,33
53564,"2022-05-02",公卫医疗,E区,24,20,1.89,18,3,18
53565,"2022-05-02",公卫医疗,F区,21,18,1.17,15,1,16
53566,"2022-05-02",公卫医疗,G区,37,33,2.51,28,0,31
53567,"2022-05-02",公卫医疗,H区,19,15,2.43,11,0,12
53568,"2022-05-02",公卫医疗,I区,22,19,2.39,16,2,16
53569,"2022-05-02",城乡建设,A区,18,14,2.21,9,1,12
53570,"2022-05-02",城乡建设,B区,18,17,1.11,13,1,16
53571,"2022-05-02",城乡建设,C区,15,14,2.0,12,2,13
53572,"2022-05-02",城乡建设,D区,15,13,4.87,9,0,10
53573,"2022-05-02",城乡建设,E区,24,19,3.2,17,1,19
53574,"2022-05-02",城乡建设,F区,21,18,4.76,15,0,18
53575,"2022-05-02",城乡建设,G区,14,13,3.71,9,1,11
53576,"2022-05-02",城乡建设,H区,13,12,4.5,10,1,11
53577,"2022-05-02",城乡建设,I区,18,15,1.23,11,1,12
53578,"2022-05-02",交通运输,A区,13,13,2.5,11,0,13
53579,"2022-05-02",交通运输,B区,16,14,3.03,11,2,14
53580,"2022-05-02",交通运输,C区,26,20,1.4,15,3,18
53581,"2022-05-02",交通运输,D区,28,25,1.67,20,1,20
53582,"2022-05-02",交通运输,E区,19,16,1.07,11,0,13
53583,"2022-05-02",交通运输,F区,18,14,1.66,11,1,11
53584,"2022-05-02",交通运输,G区,24,22,4.12,15,1,18
53585,"2022-05-02",交通运输,H区,17,14,4.83,10,2,11
53586,"2022-05-02",交通运输,I区,17,16,1.38,11,1,16
53587,"2022-05-02",农林牧渔,A区,4,3,2.0,2,0,2
53588,"2022-05-02",农林牧渔,B区,5,5,1.54,3,0,5
53589,"2022-05-02",农林牧渔,C区,5,5,1.54,3,0,5
53590,"2022-05-02",农林牧渔,D区,6,5,1.99,4,0,5
53591,"2022-05-02",农林牧渔,E区,5,5,1.81,3,0,4
53592,"2022-05-02",农林牧渔,F区,6,4,4.48,3,0,4
53593,"2022-05-02",农林牧渔,G区,6,4,1.51,3,0,3
53594,"2022-05-02",农林牧渔,H区,7,6,4.55,4,0,4
53595,"2022-05-02",农林牧渔,I区,3,3,4.86,2,0,2
53596,"2022-05-03",科教文体,A区,38,31,1.1,26,4,29
53597,"2022-05-03",科教文体,B区,28,25,1.29,22,1,24
53598,"2022-05-03",科教文体,C区,28,28,3.66,21,1,27
53599,"2022-05-03",科教文体,D区,34,29,2.24,25,2,24
53600,"2022-05-03",科教文体,E区,44,39,2.74,34,4,32
53601,"2022-05-03",科教文体,F区,25,23,1.08,18,3,19
53602,"2022-05-03",科教文体,G区,20,19,1.54,16,1,15
53603,"2022-05-03",科教文体,H区,40,40,1.68,28,0,36
53604,"2022-05-03",科教文体,I区,32,25,3.01,17,1,24
53605,"2022-05-03",公卫医疗,A区,12,11,3.8,8,0,11
53606,"2022-05-03",公卫医疗,B区,13,13,4.15,10,1,10
53607,"2022-05-03",公卫医疗,C区,15,15,1.94,10,0,12
53608,"2022-05-03",公卫医疗,D区,15,14,2.14,10,2,12
53609,"2022-05-03",公卫医疗,E区,13,11,4.6,7,0,10
53610,"2022-05-03",公卫医疗,F区,19,16,3.01,11,1,14
53611,"2022-05-03",公卫医疗,G区,12,12,1.66,10,1,10
53612,"2022-05-03",公卫医疗,H区,17,16,2.0,12,2,14
53613,"2022-05-03",公卫医疗,I区,15,12,4.99,9,0,11
53614,"2022-05-03",城乡建设,A区,2,2,2.76,1,0,1
53615,"2022-05-03",城乡建设,B区,5,4,4.71,2,0,4
53616,"2022-05-03",城乡建设,C区,2,1,4.7,0,0,0
53617,"2022-05-03",城乡建设,D区,4,3,2.1,2,0,2
53618,"2022-05-03",城乡建设,E区,5,4,3.33,3,0,4
53619,"2022-05-03",城乡建设,F区,4,4,1.19,2,0,3
53620,"2022-05-03",城乡建设,G区,4,4,4.47,3,0,3
53621,"2022-05-03",城乡建设,H区,2,1,2.08,0,0,1
53622,"2022-05-03",城乡建设,I区,6,6,1.54,5,0,4
53623,"2022-05-03",交通运输,A区,50,41,1.37,34,3,35
53624,"2022-05-03",交通运输,B区,59,57,2.52,45,2,51
53625,"2022-05-03",交通运输,C区,38,36,4.73,26,1,33
53626,"2022-05-03",交通运输,D区,48,47,2.94,35,1,38
53627,"2022-05-03",交通运输,E区,36,35,2.14,28,3,30
53628,"2022-05-03",交通运输,F区,43,34,1.03,30,5,33
53629,"2022-05-03",交通运输,G区,60,56,3.93,47,3,44
53630,"2022-05-03",交通运输,H区,46,46,4.11,39,0,46
53631,"2022-05-03",交通运输,I区,53,42,4.69,36,4,37
53632,"2022-05-03",农林牧渔,A区,5,5,1.24,4,0,4
53633,"2022-05-03",农林牧渔,B区,5,5,2.27,4,0,5
53634,"2022-05-03",农林牧渔,C区,6,5,4.46,3,0,5
53635,"2022-05-03",农林牧渔,D区,2,2,3.23,1,0,2
53636,"2022-05-03",农林牧渔,E区,6,5,2.36,4,0,5
53637,"2022-05-03",农林牧渔,F区,6,5,1.75,4,0,4
53638,"2022-05-03",农林牧渔,G区,4,3,2.77,2,0,2
53639,"2022-05-03",农林牧渔,H区,5,5,1.18,3,0,5
53640,"2022-05-03",农林牧渔,I区,4,3,3.59,2,0,3
53641,"2022-05-04",科教文体,A区,6,5,1.39,3,0,5
53642,"2022-05-04",科教文体,B区,1,1,4.25,0,0,0
53643,"2022-05-04",科教文体,C区,3,2,2.97,1,0,1
53644,"2022-05-04",科教文体,D区,6,5,2.17,3,0,4
53645,"2022-05-04",科教文体,E区,1,1,2.44,0,0,0
53646,"2022-05-04",科教文体,F区,6,6,4.89,4,0,6
53647,"2022-05-04",科教文体,G区,4,4,4.24,2,0,3
53648,"2022-05-04",科教文体,H区,4,3,4.7,2,0,2
53649,"2022-05-04",科教文体,I区,3,2,2.8,1,0,1
53650,"2022-05-04",公卫医疗,A区,29,26,1.82,22,1,26
53651,"2022-05-04",公卫医疗,B区,24,23,4.33,19,0,18
53652,"2022-05-04",公卫医疗,C区,21,17,1.83,15,1,15
53653,"2022-05-04",公卫医疗,D区,22,18,2.65,13,0,14
53654,"2022-05-04",公卫医疗,E区,19,19,4.26,16,2,16
53655,"2022-05-04",公卫医疗,F区,20,17,4.28,15,0,17
53656,"2022-05-04",公卫医疗,G区,18,16,1.85,12,2,15
53657,"2022-05-04",公卫医疗,H区,20,20,1.81,18,2,19
53658,"2022-05-04",公卫医疗,I区,26,20,4.54,16,3,20
53659,"2022-05-04",城乡建设,A区,23,23,3.35,19,1,23
53660,"2022-05-04",城乡建设,B区,23,22,1.18,19,1,21
53661,"2022-05-04",城乡建设,C区,16,14,4.48,9,0,14
53662,"2022-05-04",城乡建设,D区,25,20,2.97,16,0,20
53663,"2022-05-04",城乡建设,E区,18,14,2.73,11,0,12
53664,"2022-05-04",城乡建设,F区,24,23,3.59,17,0,20
53665,"2022-05-04",城乡建设,G区,27,21,3.78,16,3,16
53666,"2022-05-04",城乡建设,H区,22,22,3.61,16,1,17
53667,"2022-05-04",城乡建设,I区,19,19,2.51,16,2,15
53668,"2022-05-04",交通运输,A区,33,28,2.49,20,1,26
53669,"2022-05-04",交通运输,B区,26,20,1.4,16,3,20
53670,"2022-05-04",交通运输,C区,35,31,2.27,26,0,29
53671,"2022-05-04",交通运输,D区,29,24,4.92,18,3,20
53672,"2022-05-04",交通运输,E区,41,35,1.37,25,0,35
53673,"2022-05-04",交通运输,F区,40,33,1.37,29,2,30
53674,"2022-05-04",交通运输,G区,37,36,1.78,29,1,28
53675,"2022-05-04",交通运输,H区,36,35,1.52,30,2,32
53676,"2022-05-04",交通运输,I区,35,35,2.49,27,1,32
53677,"2022-05-04",农林牧渔,A区,7,7,4.16,4,0,7
53678,"2022-05-04",农林牧渔,B区,9,7,4.23,6,0,5
53679,"2022-05-04",农林牧渔,C区,12,11,2.9,9,1,9
53680,"2022-05-04",农林牧渔,D区,10,10,1.35,8,1,8
53681,"2022-05-04",农林牧渔,E区,9,8,1.94,6,0,6
53682,"2022-05-04",农林牧渔,F区,11,10,4.95,9,1,9
53683,"2022-05-04",农林牧渔,G区,7,7,2.08,5,1,7
53684,"2022-05-04",农林牧渔,H区,9,9,2.26,6,0,9
53685,"2022-05-04",农林牧渔,I区,6,6,2.02,5,0,5
53686,"2022-05-05",科教文体,A区,8,6,4.36,4,0,5
53687,"2022-05-05",科教文体,B区,14,11,3.53,9,0,11
53688,"2022-05-05",科教文体,C区,13,13,4.96,9,0,12
53689,"2022-05-05",科教文体,D区,9,9,3.38,7,0,7
53690,"2022-05-05",科教文体,E区,7,5,1.29,4,0,5
53691,"2022-05-05",科教文体,F区,6,4,2.27,3,0,4
53692,"2022-05-05",科教文体,G区,7,6,3.26,4,0,5
53693,"2022-05-05",科教文体,H区,7,7,4.82,4,0,6
53694,"2022-05-05",科教文体,I区,10,10,1.89,8,1,8
53695,"2022-05-05",公卫医疗,A区,16,14,4.43,9,2,14
53696,"2022-05-05",公卫医疗,B区,13,10,4.05,8,0,9
53697,"2022-05-05",公卫医疗,C区,14,14,1.74,12,2,13
53698,"2022-05-05",公卫医疗,D区,12,9,1.96,8,1,8
53699,"2022-05-05",公卫医疗,E区,9,8,4.65,7,1,6
53700,"2022-05-05",公卫医疗,F区,8,6,4.32,4,0,5
53701,"2022-05-05",公卫医疗,G区,17,15,4.68,11,1,15
53702,"2022-05-05",公卫医疗,H区,18,16,4.99,13,2,14
53703,"2022-05-05",公卫医疗,I区,16,12,2.83,10,1,10
53704,"2022-05-05",城乡建设,A区,7,6,1.79,4,0,5
53705,"2022-05-05",城乡建设,B区,7,5,3.13,4,0,4
53706,"2022-05-05",城乡建设,C区,10,10,4.95,7,1,8
53707,"2022-05-05",城乡建设,D区,3,2,4.12,1,0,2
53708,"2022-05-05",城乡建设,E区,13,13,4.11,10,0,10
53709,"2022-05-05",城乡建设,F区,5,5,3.62,4,0,4
53710,"2022-05-05",城乡建设,G区,9,7,3.97,6,1,6
53711,"2022-05-05",城乡建设,H区,6,4,1.83,2,0,4
53712,"2022-05-05",城乡建设,I区,9,8,4.33,7,0,7
53713,"2022-05-05",交通运输,A区,13,13,4.14,11,0,12
53714,"2022-05-05",交通运输,B区,12,12,3.32,8,0,9
53715,"2022-05-05",交通运输,C区,10,8,3.56,7,1,8
53716,"2022-05-05",交通运输,D区,8,7,2.49,4,1,6
53717,"2022-05-05",交通运输,E区,15,15,4.01,11,2,15
53718,"2022-05-05",交通运输,F区,12,12,3.69,9,1,12
53719,"2022-05-05",交通运输,G区,8,7,2.26,4,1,6
53720,"2022-05-05",交通运输,H区,6,4,2.3,3,0,3
53721,"2022-05-05",交通运输,I区,10,10,4.61,9,0,9
53722,"2022-05-05",农林牧渔,A区,30,25,1.39,22,3,22
53723,"2022-05-05",农林牧渔,B区,19,17,2.59,12,1,15
53724,"2022-05-05",农林牧渔,C区,13,10,3.18,7,0,8
53725,"2022-05-05",农林牧渔,D区,19,19,2.13,16,0,15
53726,"2022-05-05",农林牧渔,E区,17,15,1.6,11,1,15
53727,"2022-05-05",农林牧渔,F区,24,19,1.35,17,2,18
53728,"2022-05-05",农林牧渔,G区,20,19,4.96,15,0,19
53729,"2022-05-05",农林牧渔,H区,21,19,4.55,17,1,19
53730,"2022-05-05",农林牧渔,I区,22,22,4.13,15,2,17
53731,"2022-05-06",科教文体,A区,35,31,2.19,23,1,27
53732,"2022-05-06",科教文体,B区,27,21,2.83,18,2,19
53733,"2022-05-06",科教文体,C区,32,30,3.78,24,1,27
53734,"2022-05-06",科教文体,D区,27,25,3.77,20,3,23
53735,"2022-05-06",科教文体,E区,30,30,2.92,22,4,30
53736,"2022-05-06",科教文体,F区,25,24,4.1,20,1,21
53737,"2022-05-06",科教文体,G区,26,21,1.07,14,3,21
53738,"2022-05-06",科教文体,H区,34,32,3.41,22,0,27
53739,"2022-05-06",科教文体,I区,23,18,1.93,16,2,14
53740,"2022-05-06",公卫医疗,A区,11,8,2.74,6,1,8
53741,"2022-05-06",公卫医疗,B区,19,17,1.28,15,0,17
53742,"2022-05-06",公卫医疗,C区,20,16,2.09,13,2,14
53743,"2022-05-06",公卫医疗,D区,18,14,3.51,9,2,11
53744,"2022-05-06",公卫医疗,E区,13,11,2.81,8,1,11
53745,"2022-05-06",公卫医疗,F区,17,16,1.94,12,1,12
53746,"2022-05-06",公卫医疗,G区,27,24,4.42,20,0,19
53747,"2022-05-06",公卫医疗,H区,12,10,4.93,8,1,9
53748,"2022-05-06",公卫医疗,I区,24,21,1.86,16,2,21
53749,"2022-05-06",城乡建设,A区,16,13,3.17,9,1,12
53750,"2022-05-06",城乡建设,B区,12,12,4.63,8,0,9
53751,"2022-05-06",城乡建设,C区,12,9,4.52,6,1,7
53752,"2022-05-06",城乡建设,D区,20,16,2.92,14,0,15
53753,"2022-05-06",城乡建设,E区,16,14,4.12,9,1,11
53754,"2022-05-06",城乡建设,F区,22,20,2.5,16,2,17
53755,"2022-05-06",城乡建设,G区,16,14,1.22,11,0,12
53756,"2022-05-06",城乡建设,H区,16,16,3.37,11,1,12
53757,"2022-05-06",城乡建设,I区,31,30,1.83,26,1,30
53758,"2022-05-06",交通运输,A区,9,7,2.03,4,1,7
53759,"2022-05-06",交通运输,B区,9,8,3.31,5,0,7
53760,"2022-05-06",交通运输,C区,5,5,3.54,4,0,5
53761,"2022-05-06",交通运输,D区,2,1,2.71,0,0,0
53762,"2022-05-06",交通运输,E区,7,6,2.03,4,0,4
53763,"2022-05-06",交通运输,F区,8,6,3.05,4,0,5
53764,"2022-05-06",交通运输,G区,6,4,1.57,3,0,3
53765,"2022-05-06",交通运输,H区,6,5,3.91,3,0,5
53766,"2022-05-06",交通运输,I区,7,6,1.73,5,0,4
53767,"2022-05-06",农林牧渔,A区,8,8,2.67,7,0,6
53768,"2022-05-06",农林牧渔,B区,5,4,4.59,3,0,4
53769,"2022-05-06",农林牧渔,C区,3,3,1.64,2,0,2
53770,"2022-05-06",农林牧渔,D区,8,7,2.31,6,0,5
53771,"2022-05-06",农林牧渔,E区,9,9,1.72,6,1,9
53772,"2022-05-06",农林牧渔,F区,3,2,1.59,1,0,2
53773,"2022-05-06",农林牧渔,G区,6,5,4.59,4,0,5
53774,"2022-05-06",农林牧渔,H区,5,4,1.51,3,0,3
53775,"2022-05-06",农林牧渔,I区,4,4,3.8,3,0,4
53776,"2022-05-07",科教文体,A区,4,4,1.06,3,0,4
53777,"2022-05-07",科教文体,B区,4,3,4.17,2,0,3
53778,"2022-05-07",科教文体,C区,4,3,3.69,2,0,3
53779,"2022-05-07",科教文体,D区,4,3,3.26,2,0,2
53780,"2022-05-07",科教文体,E区,4,3,4.5,2,0,3
53781,"2022-05-07",科教文体,F区,4,4,4.13,3,0,3
53782,"2022-05-07",科教文体,G区,8,7,1.62,4,1,5
53783,"2022-05-07",科教文体,H区,2,1,2.43,0,0,0
53784,"2022-05-07",科教文体,I区,2,2,1.57,1,0,1
53785,"2022-05-07",公卫医疗,A区,16,14,4.63,12,1,14
53786,"2022-05-07",公卫医疗,B区,19,16,4.69,13,1,16
53787,"2022-05-07",公卫医疗,C区,20,16,2.76,14,1,12
53788,"2022-05-07",公卫医疗,D区,22,21,1.43,18,1,19
53789,"2022-05-07",公卫医疗,E区,15,13,2.05,9,1,10
53790,"2022-05-07",公卫医疗,F区,14,13,2.42,9,1,12
53791,"2022-05-07",公卫医疗,G区,6,6,4.32,5,0,5
53792,"2022-05-07",公卫医疗,H区,17,15,2.68,12,0,14
53793,"2022-05-07",公卫医疗,I区,22,20,1.68,14,1,17
53794,"2022-05-07",城乡建设,A区,32,29,1.45,21,3,29
53795,"2022-05-07",城乡建设,B区,18,15,3.62,11,1,13
53796,"2022-05-07",城乡建设,C区,29,28,2.01,22,0,23
53797,"2022-05-07",城乡建设,D区,29,24,4.65,19,1,20
53798,"2022-05-07",城乡建设,E区,29,28,2.61,20,4,22
53799,"2022-05-07",城乡建设,F区,20,18,2.92,13,0,15
53800,"2022-05-07",城乡建设,G区,29,28,4.57,21,3,27
53801,"2022-05-07",城乡建设,H区,22,17,2.06,14,1,13
53802,"2022-05-07",城乡建设,I区,20,19,2.99,13,2,16
53803,"2022-05-07",交通运输,A区,37,33,2.53,27,3,33
53804,"2022-05-07",交通运输,B区,33,28,1.51,23,4,26
53805,"2022-05-07",交通运输,C区,29,29,3.44,20,4,25
53806,"2022-05-07",交通运输,D区,35,28,2.63,22,1,26
53807,"2022-05-07",交通运输,E区,32,30,2.0,26,2,28
53808,"2022-05-07",交通运输,F区,42,34,1.93,23,5,31
53809,"2022-05-07",交通运输,G区,22,21,1.73,18,2,21
53810,"2022-05-07",交通运输,H区,34,34,3.15,30,4,30
53811,"2022-05-07",交通运输,I区,32,31,4.38,24,2,29
53812,"2022-05-07",农林牧渔,A区,22,19,1.68,13,0,16
53813,"2022-05-07",农林牧渔,B区,32,25,3.22,17,1,21
53814,"2022-05-07",农林牧渔,C区,32,26,3.41,23,0,25
53815,"2022-05-07",农林牧渔,D区,40,40,4.82,34,6,37
53816,"2022-05-07",农林牧渔,E区,27,21,1.67,18,2,16
53817,"2022-05-07",农林牧渔,F区,26,23,2.06,20,2,21
53818,"2022-05-07",农林牧渔,G区,29,28,3.76,24,3,22
53819,"2022-05-07",农林牧渔,H区,41,37,3.37,25,1,32
53820,"2022-05-07",农林牧渔,I区,33,29,1.11,26,1,25
53821,"2022-05-08",科教文体,A区,20,16,3.06,13,1,13
53822,"2022-05-08",科教文体,B区,26,20,2.0,18,2,18
53823,"2022-05-08",科教文体,C区,24,19,4.51,13,1,15
53824,"2022-05-08",科教文体,D区,20,19,1.99,17,1,18
53825,"2022-05-08",科教文体,E区,23,19,3.4,16,0,17
53826,"2022-05-08",科教文体,F区,24,24,2.79,19,1,19
53827,"2022-05-08",科教文体,G区,14,14,3.43,9,0,12
53828,"2022-05-08",科教文体,H区,18,15,4.63,11,0,13
53829,"2022-05-08",科教文体,I区,18,16,2.73,13,1,13
53830,"2022-05-08",公卫医疗,A区,13,13,3.86,10,1,10
53831,"2022-05-08",公卫医疗,B区,8,8,1.17,6,1,7
53832,"2022-05-08",公卫医疗,C区,11,8,3.1,5,1,8
53833,"2022-05-08",公卫医疗,D区,12,10,3.28,9,1,8
53834,"2022-05-08",公卫医疗,E区,10,10,2.51,8,0,8
53835,"2022-05-08",公卫医疗,F区,15,15,1.41,12,0,15
53836,"2022-05-08",公卫医疗,G区,10,8,1.01,5,1,6
53837,"2022-05-08",公卫医疗,H区,11,11,4.95,8,0,8
53838,"2022-05-08",公卫医疗,I区,16,16,3.68,12,0,12
53839,"2022-05-08",城乡建设,A区,17,13,4.84,9,0,10
53840,"2022-05-08",城乡建设,B区,11,10,1.17,7,1,8
53841,"2022-05-08",城乡建设,C区,11,11,3.04,9,0,10
53842,"2022-05-08",城乡建设,D区,15,14,4.51,10,1,13
53843,"2022-05-08",城乡建设,E区,14,13,4.58,9,0,12
53844,"2022-05-08",城乡建设,F区,19,18,1.59,16,2,16
53845,"2022-05-08",城乡建设,G区,18,17,4.22,11,0,17
53846,"2022-05-08",城乡建设,H区,13,10,1.03,8,0,9
53847,"2022-05-08",城乡建设,I区,17,13,3.12,11,1,10
53848,"2022-05-08",交通运输,A区,13,11,2.03,9,0,8
53849,"2022-05-08",交通运输,B区,23,18,1.92,14,0,14
53850,"2022-05-08",交通运输,C区,14,12,4.02,8,0,12
53851,"2022-05-08",交通运输,D区,13,11,4.07,7,1,11
53852,"2022-05-08",交通运输,E区,13,11,2.92,7,1,10
53853,"2022-05-08",交通运输,F区,28,22,1.23,18,3,22
53854,"2022-05-08",交通运输,G区,11,9,2.26,7,0,9
53855,"2022-05-08",交通运输,H区,13,10,4.29,8,0,8
53856,"2022-05-08",交通运输,I区,13,13,1.56,9,0,11
53857,"2022-05-08",农林牧渔,A区,21,18,3.16,15,0,15
53858,"2022-05-08",农林牧渔,B区,21,16,2.8,11,2,14
53859,"2022-05-08",农林牧渔,C区,28,28,4.5,23,0,23
53860,"2022-05-08",农林牧渔,D区,33,33,1.09,29,3,27
53861,"2022-05-08",农林牧渔,E区,29,25,1.9,17,0,25
53862,"2022-05-08",农林牧渔,F区,22,22,3.28,18,0,21
53863,"2022-05-08",农林牧渔,G区,29,24,3.09,20,0,21
53864,"2022-05-08",农林牧渔,H区,30,25,4.89,21,1,20
53865,"2022-05-08",农林牧渔,I区,19,16,4.24,14,1,14
53866,"2022-05-09",科教文体,A区,1,1,1.58,0,0,1
53867,"2022-05-09",科教文体,B区,1,1,4.75,0,0,0
53868,"2022-05-09",科教文体,C区,1,1,4.22,0,0,1
53869,"2022-05-09",科教文体,D区,1,1,3.56,0,0,0
53870,"2022-05-09",科教文体,E区,1,1,3.44,0,0,1
53871,"2022-05-09",科教文体,F区,1,0,3.55,0,0,0
53872,"2022-05-09",科教文体,G区,1,0,3.99,0,0,0
53873,"2022-05-09",科教文体,H区,1,1,4.41,0,0,0
53874,"2022-05-09",科教文体,I区,1,1,3.64,0,0,1
53875,"2022-05-09",公卫医疗,A区,51,44,1.84,38,4,44
53876,"2022-05-09",公卫医疗,B区,35,28,2.11,23,0,25
53877,"2022-05-09",公卫医疗,C区,40,39,1.14,34,4,36
53878,"2022-05-09",公卫医疗,D区,40,36,4.08,32,4,29
53879,"2022-05-09",公卫医疗,E区,36,34,2.81,24,4,29
53880,"2022-05-09",公卫医疗,F区,33,27,4.91,23,2,26
53881,"2022-05-09",公卫医疗,G区,34,28,3.91,19,3,22
53882,"2022-05-09",公卫医疗,H区,30,29,1.06,26,4,27
53883,"2022-05-09",公卫医疗,I区,46,37,4.66,31,0,31
53884,"2022-05-09",城乡建设,A区,3,2,1.68,1,0,1
53885,"2022-05-09",城乡建设,B区,2,1,1.83,0,0,1
53886,"2022-05-09",城乡建设,C区,6,6,4.63,4,0,6
53887,"2022-05-09",城乡建设,D区,5,5,2.09,3,0,4
53888,"2022-05-09",城乡建设,E区,2,1,3.77,0,0,0
53889,"2022-05-09",城乡建设,F区,3,2,2.27,1,0,1
53890,"2022-05-09",城乡建设,G区,2,1,1.17,0,0,1
53891,"2022-05-09",城乡建设,H区,3,3,3.77,2,0,3
53892,"2022-05-09",城乡建设,I区,3,3,1.47,2,0,3
53893,"2022-05-09",交通运输,A区,26,20,3.98,14,3,19
53894,"2022-05-09",交通运输,B区,27,27,1.99,18,2,25
53895,"2022-05-09",交通运输,C区,27,23,3.94,18,0,19
53896,"2022-05-09",交通运输,D区,26,20,2.02,15,3,17
53897,"2022-05-09",交通运输,E区,26,26,1.59,21,3,23
53898,"2022-05-09",交通运输,F区,23,21,2.14,16,1,20
53899,"2022-05-09",交通运输,G区,28,24,1.85,18,2,19
53900,"2022-05-09",交通运输,H区,25,23,3.86,18,3,19
53901,"2022-05-09",交通运输,I区,20,18,4.31,15,2,16
53902,"2022-05-09",农林牧渔,A区,1,1,2.35,0,0,0
53903,"2022-05-09",农林牧渔,B区,1,1,4.31,0,0,0
53904,"2022-05-09",农林牧渔,C区,1,0,2.76,0,0,0
53905,"2022-05-09",农林牧渔,D区,1,1,2.57,0,0,0
53906,"2022-05-09",农林牧渔,E区,1,0,1.91,0,0,0
53907,"2022-05-09",农林牧渔,F区,1,1,2.62,0,0,1
53908,"2022-05-09",农林牧渔,G区,1,1,1.32,0,0,1
53909,"2022-05-09",农林牧渔,H区,1,1,2.77,0,0,1
53910,"2022-05-09",农林牧渔,I区,1,0,3.84,0,0,0
53911,"2022-05-10",科教文体,A区,5,4,4.51,3,0,3
53912,"2022-05-10",科教文体,B区,3,2,3.91,1,0,2
