"md_id","busi_time","callback_type","callback_cnt","success_cnt","satisfaction_cnt","dissatisfaction_cnt","no_evaluate_cnt","avg_callback_time"
169,"2022-06-26",1,124,49,48,1,0,3.96
170,"2022-06-26",2,79,77,0,22,55,0.0
171,"2022-06-26",3,63,57,55,2,0,3.51
172,"2022-06-27",1,122,86,67,0,19,5.08
173,"2022-06-27",2,164,81,7,57,17,0.0
174,"2022-06-27",3,164,129,7,60,62,3.28
175,"2022-06-28",1,154,58,53,0,5,4.37
176,"2022-06-28",2,118,73,4,35,34,0.0
177,"2022-06-28",3,112,73,13,57,3,2.85
178,"2022-06-29",1,197,90,29,15,46,4.42
179,"2022-06-29",2,200,31,12,5,14,0.0
180,"2022-06-29",3,116,51,49,0,2,4.07
181,"2022-06-30",1,104,76,2,8,66,7.11
182,"2022-06-30",2,197,188,127,4,57,0.0
183,"2022-06-30",3,156,41,3,26,12,2.39
184,"2022-07-01",1,164,78,34,5,39,7.09
185,"2022-07-01",2,54,47,16,18,13,0.0
186,"2022-07-01",3,155,32,29,3,0,1.71
187,"2022-07-02",1,76,57,55,0,2,7.93
188,"2022-07-02",2,200,153,36,70,47,0.0
189,"2022-07-02",3,193,119,56,63,0,4.23
190,"2022-07-03",1,157,87,7,30,50,4.0
191,"2022-07-03",2,154,99,58,20,21,0.0
192,"2022-07-03",3,137,71,29,24,18,3.62
193,"2022-07-04",1,80,60,35,0,25,2.43
194,"2022-07-04",2,126,30,19,1,10,0.0
195,"2022-07-04",3,53,33,0,29,4,2.21
196,"2022-07-05",1,153,72,16,23,33,2.97
197,"2022-07-05",2,74,37,9,8,20,0.0
198,"2022-07-05",3,78,46,7,37,2,4.37
199,"2022-07-06",1,199,30,4,25,1,5.55
200,"2022-07-06",2,187,106,68,35,3,0.0
201,"2022-07-06",3,156,124,114,7,3,1.98
202,"2022-07-07",1,52,30,8,10,12,9.24
203,"2022-07-07",2,159,124,33,26,65,0.0
204,"2022-07-07",3,85,42,42,0,0,1.74
205,"2022-07-08",1,140,72,30,8,34,2.49
206,"2022-07-08",2,138,121,112,1,8,0.0
207,"2022-07-08",3,117,69,41,9,19,4.58
208,"2022-07-09",1,166,112,81,31,0,3.8
209,"2022-07-09",2,150,89,36,32,21,0.0
210,"2022-07-09",3,144,83,23,2,58,4.61
211,"2022-07-10",1,148,133,8,78,47,7.51
212,"2022-07-10",2,187,106,10,48,48,0.0
213,"2022-07-10",3,56,31,8,3,20,2.06
214,"2022-07-11",1,68,51,43,6,2,8.14
215,"2022-07-11",2,56,42,7,26,9,0.0
216,"2022-07-11",3,112,103,28,14,61,3.34
217,"2022-07-12",1,57,45,28,9,8,8.4
218,"2022-07-12",2,99,64,20,10,34,0.0
219,"2022-07-12",3,84,73,16,12,45,3.43
220,"2022-07-13",1,113,109,29,44,36,3.89
221,"2022-07-13",2,112,39,22,10,7,0.0
222,"2022-07-13",3,180,49,27,1,21,1.65
223,"2022-07-14",1,196,34,32,1,1,8.2
224,"2022-07-14",2,91,72,60,4,8,0.0
225,"2022-07-14",3,196,47,24,22,1,1.98
226,"2022-07-15",1,153,38,12,5,21,6.49
227,"2022-07-15",2,198,173,118,42,13,0.0
228,"2022-07-15",3,115,72,59,6,7,4.57
229,"2022-07-16",1,114,43,38,0,5,5.81
230,"2022-07-16",2,99,33,17,8,8,0.0
231,"2022-07-16",3,156,111,11,14,86,2.62
232,"2022-07-17",1,170,81,56,15,10,6.33
233,"2022-07-17",2,157,115,16,9,90,0.0
234,"2022-07-17",3,93,82,37,40,5,2.42
235,"2022-07-18",1,137,56,47,8,1,9.32
236,"2022-07-18",2,190,118,19,69,30,0.0
237,"2022-07-18",3,104,42,37,0,5,3.5
238,"2022-07-19",1,59,31,2,27,2,3.88
239,"2022-07-19",2,179,169,113,6,50,0.0
240,"2022-07-19",3,188,31,8,15,8,4.22
241,"2022-07-20",1,118,94,2,18,74,5.41
242,"2022-07-20",2,91,48,10,25,13,0.0
243,"2022-07-20",3,96,30,24,6,0,4.14
244,"2022-07-21",1,159,115,84,20,11,4.98
245,"2022-07-21",2,68,64,39,22,3,0.0
246,"2022-07-21",3,145,58,28,20,10,3.02
247,"2022-07-22",1,175,110,69,20,21,5.15
248,"2022-07-22",2,163,110,28,34,48,0.0
249,"2022-07-22",3,55,39,26,5,8,2.73
250,"2022-07-23",1,178,155,11,124,20,6.41
251,"2022-07-23",2,96,56,19,7,30,0.0
252,"2022-07-23",3,171,157,110,31,16,3.46
253,"2022-07-24",1,80,64,33,17,14,2.75
254,"2022-07-24",2,106,105,43,56,6,0.0
255,"2022-07-24",3,83,55,35,12,8,3.18
256,"2022-07-25",1,137,67,24,43,0,4.87
257,"2022-07-25",2,169,168,131,28,9,0.0
258,"2022-07-25",3,134,113,41,10,62,2.4
259,"2022-07-26",1,95,82,79,3,0,3.41
260,"2022-07-26",2,108,50,19,16,15,0.0
261,"2022-07-26",3,128,39,3,12,24,4.38
262,"2022-07-27",1,73,71,62,1,8,7.71
263,"2022-07-27",2,57,35,28,2,5,0.0
264,"2022-07-27",3,74,50,34,2,14,4.84
265,"2022-07-28",1,80,52,13,26,13,5.23
266,"2022-07-28",2,145,54,16,0,38,0.0
267,"2022-07-28",3,129,63,8,6,49,4.15
268,"2022-07-29",1,179,79,41,32,6,5.08
269,"2022-07-29",2,115,110,31,31,48,0.0
270,"2022-07-29",3,95,67,16,33,18,2.72
271,"2022-07-30",1,117,111,48,62,1,3.01
272,"2022-07-30",2,91,35,17,9,9,0.0
273,"2022-07-30",3,182,132,105,0,27,3.88
274,"2022-07-31",1,131,75,11,1,63,9.01
275,"2022-07-31",2,70,69,31,27,11,0.0
276,"2022-07-31",3,90,37,33,1,3,4.18
277,"2022-08-01",1,120,53,43,2,8,6.72
278,"2022-08-01",2,102,40,10,10,20,0.0
279,"2022-08-01",3,125,69,8,10,51,2.13
280,"2022-08-02",1,183,94,35,15,44,8.96
281,"2022-08-02",2,123,115,112,1,2,0.0
282,"2022-08-02",3,188,131,64,4,63,3.55
283,"2022-08-03",1,154,83,63,4,16,9.73
284,"2022-08-03",2,100,64,15,43,6,0.0
285,"2022-08-03",3,188,59,48,2,9,1.22
286,"2022-08-04",1,112,36,4,4,28,3.86
287,"2022-08-04",2,101,43,11,29,3,0.0
288,"2022-08-04",3,90,33,28,0,5,3.3
289,"2022-08-05",1,123,36,30,1,5,3.01
290,"2022-08-05",2,67,59,15,1,43,0.0
291,"2022-08-05",3,92,63,13,27,23,4.84
292,"2022-08-06",1,151,66,26,32,8,7.35
293,"2022-08-06",2,112,94,62,16,16,0.0
294,"2022-08-06",3,56,30,7,3,20,2.57
295,"2022-08-07",1,77,60,34,7,19,7.21
296,"2022-08-07",2,136,78,47,1,30,0.0
297,"2022-08-07",3,189,110,13,35,62,2.44
298,"2022-08-08",1,187,65,14,46,5,6.14
299,"2022-08-08",2,53,49,13,18,18,0.0
300,"2022-08-08",3,165,100,85,12,3,2.98
301,"2022-08-09",1,74,47,44,2,1,7.93
302,"2022-08-09",2,129,109,29,2,78,0.0
303,"2022-08-09",3,73,57,15,41,1,2.39
304,"2022-08-10",1,134,58,14,31,13,3.93
305,"2022-08-10",2,179,177,145,9,23,0.0
306,"2022-08-10",3,80,63,50,6,7,1.86
307,"2022-08-11",1,169,42,1,11,30,2.08
308,"2022-08-11",2,129,76,66,3,7,0.0
309,"2022-08-11",3,84,32,1,19,12,4.79
310,"2022-08-12",1,95,74,7,15,52,7.75
311,"2022-08-12",2,87,40,26,8,6,0.0
312,"2022-08-12",3,86,40,11,20,9,2.72
313,"2022-08-13",1,200,41,20,1,20,5.08
314,"2022-08-13",2,73,56,30,15,11,0.0
315,"2022-08-13",3,97,82,19,3,60,1.24
316,"2022-08-14",1,198,135,55,42,38,7.9
317,"2022-08-14",2,77,30,18,1,11,0.0
318,"2022-08-14",3,182,141,4,64,73,4.51
319,"2022-08-15",1,200,171,90,51,30,7.71
320,"2022-08-15",2,89,74,5,8,61,0.0
321,"2022-08-15",3,64,60,4,0,56,1.95
322,"2022-08-16",1,126,97,67,10,20,2.24
323,"2022-08-16",2,132,68,20,16,32,0.0
324,"2022-08-16",3,162,35,27,6,2,2.96
325,"2022-08-17",1,136,42,33,8,1,8.84
326,"2022-08-17",2,146,66,14,42,10,0.0
327,"2022-08-17",3,111,86,53,19,14,2.73
328,"2022-08-18",1,71,64,45,8,11,9.62
329,"2022-08-18",2,195,106,11,52,43,0.0
330,"2022-08-18",3,84,60,9,23,28,3.3
331,"2022-08-19",1,185,155,9,94,52,3.45
332,"2022-08-19",2,193,123,20,81,22,0.0
333,"2022-08-19",3,124,49,11,3,35,2.64
334,"2022-08-20",1,165,88,67,11,10,5.55
335,"2022-08-20",2,179,37,9,8,20,0.0
336,"2022-08-20",3,144,123,68,52,3,2.39
337,"2022-08-21",1,60,31,3,0,28,7.96
338,"2022-08-21",2,113,110,26,50,34,0.0
339,"2022-08-21",3,90,51,41,3,7,2.61
340,"2022-08-22",1,157,123,88,20,15,9.19
341,"2022-08-22",2,176,37,32,3,2,0.0
342,"2022-08-22",3,142,113,1,108,4,4.12
343,"2022-08-23",1,137,92,72,15,5,2.72
344,"2022-08-23",2,66,32,7,4,21,0.0
345,"2022-08-23",3,114,61,8,9,44,1.65
346,"2022-08-24",1,53,48,11,9,28,3.23
347,"2022-08-24",2,199,87,40,8,39,0.0
348,"2022-08-24",3,167,152,149,3,0,4.71
349,"2022-08-25",1,50,43,26,4,13,6.99
350,"2022-08-25",2,199,79,5,4,70,0.0
351,"2022-08-25",3,166,125,24,100,1,3.37
352,"2022-08-26",1,135,81,38,32,11,2.08
353,"2022-08-26",2,147,129,85,17,27,0.0
354,"2022-08-26",3,135,133,70,32,31,2.0
355,"2022-08-27",1,75,39,23,12,4,6.29
356,"2022-08-27",2,173,153,46,22,85,0.0
357,"2022-08-27",3,145,123,97,0,26,4.97
358,"2022-08-28",1,61,52,12,26,14,9.21
359,"2022-08-28",2,135,134,121,8,5,0.0
360,"2022-08-28",3,192,188,97,59,32,2.81
361,"2022-08-29",1,123,54,4,30,20,3.41
362,"2022-08-29",2,97,42,41,0,1,0.0
363,"2022-08-29",3,52,35,19,0,16,1.78
364,"2022-08-30",1,173,121,50,30,41,2.45
365,"2022-08-30",2,60,41,3,0,38,0.0
366,"2022-08-30",3,63,30,19,11,0,4.58
367,"2022-08-31",1,84,67,39,14,14,6.26
368,"2022-08-31",2,192,164,82,11,71,0.0
369,"2022-08-31",3,132,31,20,0,11,2.69
370,"2022-09-01",1,169,159,46,48,65,4.58
371,"2022-09-01",2,85,83,24,52,7,0.0
372,"2022-09-01",3,98,50,41,3,6,3.17
373,"2022-09-02",1,189,157,69,29,59,3.13
374,"2022-09-02",2,109,46,36,2,8,0.0
375,"2022-09-02",3,187,53,35,1,17,4.62
376,"2022-09-03",1,76,74,22,50,2,6.49
377,"2022-09-03",2,177,100,95,1,4,0.0
378,"2022-09-03",3,135,50,4,39,7,3.13
379,"2022-09-04",1,142,78,57,14,7,2.34
380,"2022-09-04",2,126,120,37,57,26,0.0
381,"2022-09-04",3,93,57,27,9,21,3.19
382,"2022-09-05",1,196,92,13,30,49,2.47
383,"2022-09-05",2,121,100,6,30,64,0.0
384,"2022-09-05",3,97,81,69,1,11,4.53
385,"2022-09-06",1,125,41,23,18,0,6.3
386,"2022-09-06",2,141,90,89,0,1,0.0
387,"2022-09-06",3,63,51,35,7,9,3.14
388,"2022-09-07",1,102,97,58,22,17,4.67
389,"2022-09-07",2,157,56,44,0,12,0.0
390,"2022-09-07",3,91,53,33,12,8,2.55
391,"2022-09-08",1,183,123,68,46,9,6.61
392,"2022-09-08",2,88,38,33,4,1,0.0
393,"2022-09-08",3,131,77,3,52,22,2.59
394,"2022-09-09",1,120,73,46,25,2,7.08
395,"2022-09-09",2,102,52,51,1,0,0.0
396,"2022-09-09",3,74,72,54,5,13,3.83
397,"2022-09-10",1,197,192,72,105,15,7.27
398,"2022-09-10",2,147,120,56,20,44,0.0
399,"2022-09-10",3,115,52,35,14,3,4.02
400,"2022-09-11",1,178,169,37,71,61,2.96
401,"2022-09-11",2,176,115,59,47,9,0.0
402,"2022-09-11",3,63,62,61,0,1,3.47
403,"2022-09-12",1,131,101,82,11,8,9.41
404,"2022-09-12",2,132,41,14,12,15,0.0
405,"2022-09-12",3,141,134,68,24,42,1.76
406,"2022-09-13",1,180,57,10,40,7,2.62
407,"2022-09-13",2,77,76,20,7,49,0.0
408,"2022-09-13",3,128,55,20,21,14,4.92
409,"2022-09-14",1,184,73,10,54,9,6.73
410,"2022-09-14",2,114,107,11,52,44,0.0
411,"2022-09-14",3,188,90,80,8,2,1.69
412,"2022-09-15",1,192,38,5,14,19,8.21
413,"2022-09-15",2,108,100,96,0,4,0.0
414,"2022-09-15",3,63,49,13,32,4,3.24
415,"2022-09-16",1,53,33,2,31,0,4.25
416,"2022-09-16",2,158,111,94,4,13,0.0
417,"2022-09-16",3,134,102,51,16,35,3.68
418,"2022-09-17",1,55,44,11,4,29,8.88
419,"2022-09-17",2,124,39,30,7,2,0.0
420,"2022-09-17",3,62,49,10,32,7,1.33
421,"2022-09-18",1,161,65,62,1,2,8.87
422,"2022-09-18",2,87,59,30,21,8,0.0
423,"2022-09-18",3,143,68,26,19,23,4.61
424,"2022-09-19",1,192,140,29,111,0,5.18
425,"2022-09-19",2,181,125,3,14,108,0.0
426,"2022-09-19",3,88,47,26,19,2,4.84
427,"2022-09-20",1,128,87,11,12,64,4.37
428,"2022-09-20",2,170,104,103,1,0,0.0
429,"2022-09-20",3,119,40,7,5,28,3.48
430,"2022-09-21",1,137,133,104,14,15,8.62
431,"2022-09-21",2,194,93,71,7,15,0.0
432,"2022-09-21",3,118,49,9,7,33,1.81
433,"2022-09-22",1,62,61,31,3,27,6.02
434,"2022-09-22",2,68,54,1,4,49,0.0
435,"2022-09-22",3,141,134,62,25,47,2.09
436,"2022-09-23",1,135,36,13,3,20,4.88
437,"2022-09-23",2,146,40,1,38,1,0.0
438,"2022-09-23",3,160,55,2,36,17,1.59
439,"2022-09-24",1,189,155,34,22,99,3.75
440,"2022-09-24",2,69,62,60,2,0,0.0
441,"2022-09-24",3,66,53,45,0,8,1.35
442,"2022-09-25",1,121,111,83,14,14,2.41
443,"2022-09-25",2,148,73,22,44,7,0.0
444,"2022-09-25",3,58,42,13,12,17,2.96
445,"2022-09-26",1,183,66,40,4,22,6.93
446,"2022-09-26",2,148,93,15,16,62,0.0
447,"2022-09-26",3,199,184,11,128,45,4.34
448,"2022-09-27",1,136,116,62,53,1,3.82
449,"2022-09-27",2,191,140,30,100,10,0.0
450,"2022-09-27",3,63,34,10,6,18,1.12
451,"2022-09-28",1,108,37,3,4,30,9.2
452,"2022-09-28",2,173,101,28,30,43,0.0
453,"2022-09-28",3,143,63,44,17,2,2.19
454,"2022-09-29",1,133,32,2,27,3,3.32
455,"2022-09-29",2,70,47,14,5,28,0.0
456,"2022-09-29",3,97,96,19,68,9,1.82
457,"2022-09-30",1,71,46,14,23,9,3.4
458,"2022-09-30",2,116,82,61,4,17,0.0
459,"2022-09-30",3,116,106,16,59,31,3.41
460,"2022-10-01",1,84,42,8,27,7,4.06
461,"2022-10-01",2,72,31,21,10,0,0.0
462,"2022-10-01",3,82,59,33,12,14,2.08
463,"2022-10-02",1,174,91,77,11,3,2.48
464,"2022-10-02",2,115,89,6,41,42,0.0
465,"2022-10-02",3,117,53,39,13,1,2.27
466,"2022-10-03",1,125,105,65,29,11,8.23
467,"2022-10-03",2,186,83,0,14,69,0.0
468,"2022-10-03",3,125,54,1,7,46,2.46
469,"2022-10-04",1,98,37,30,2,5,9.45
470,"2022-10-04",2,199,196,97,18,81,0.0
471,"2022-10-04",3,155,82,70,3,9,4.63
472,"2022-10-05",1,144,84,1,56,27,9.1
473,"2022-10-05",2,62,45,20,11,14,0.0
474,"2022-10-05",3,182,169,97,22,50,4.0
475,"2022-10-06",1,59,52,4,31,17,2.34
476,"2022-10-06",2,189,169,87,20,62,0.0
477,"2022-10-06",3,158,40,26,12,2,1.94
478,"2022-10-07",1,63,40,40,0,0,7.03
479,"2022-10-07",2,65,54,33,16,5,0.0
480,"2022-10-07",3,125,124,77,47,0,4.49
481,"2022-10-08",1,95,64,52,0,12,4.25
482,"2022-10-08",2,165,51,45,1,5,0.0
483,"2022-10-08",3,65,40,13,24,3,1.49
484,"2022-10-09",1,170,163,56,84,23,6.31
485,"2022-10-09",2,135,99,86,5,8,0.0
486,"2022-10-09",3,89,80,9,16,55,1.12
487,"2022-10-10",1,70,44,1,25,18,8.82
488,"2022-10-10",2,121,94,52,33,9,0.0
489,"2022-10-10",3,85,54,35,16,3,1.28
490,"2022-10-11",1,90,30,28,1,1,4.82
491,"2022-10-11",2,103,62,33,29,0,0.0
492,"2022-10-11",3,153,105,86,9,10,3.46
493,"2022-10-12",1,144,86,58,14,14,3.95
494,"2022-10-12",2,109,66,28,2,36,0.0
495,"2022-10-12",3,111,39,31,3,5,1.93
496,"2022-10-13",1,141,128,123,1,4,5.88
497,"2022-10-13",2,126,60,48,3,9,0.0
498,"2022-10-13",3,89,52,8,32,12,2.19
499,"2022-10-14",1,156,103,20,18,65,5.59
500,"2022-10-14",2,103,64,18,45,1,0.0
501,"2022-10-14",3,195,114,51,54,9,3.05
502,"2022-10-15",1,132,51,16,19,16,2.63
503,"2022-10-15",2,125,38,22,5,11,0.0
504,"2022-10-15",3,130,55,20,34,1,2.01
505,"2022-10-16",1,122,64,14,37,13,7.65
506,"2022-10-16",2,70,57,18,24,15,0.0
507,"2022-10-16",3,60,41,4,34,3,4.84
508,"2022-10-17",1,95,58,14,31,13,5.45
509,"2022-10-17",2,79,60,5,45,10,0.0
510,"2022-10-17",3,116,62,14,5,43,2.87
511,"2022-10-18",1,141,85,70,9,6,5.7
512,"2022-10-18",2,140,78,52,21,5,0.0
513,"2022-10-18",3,91,52,3,37,12,2.74
514,"2022-10-19",1,129,123,68,9,46,6.72
515,"2022-10-19",2,81,68,43,17,8,0.0
516,"2022-10-19",3,117,101,48,18,35,2.26
517,"2022-10-20",1,56,36,9,3,24,4.37
518,"2022-10-20",2,52,40,23,2,15,0.0
519,"2022-10-20",3,118,86,63,18,5,1.62
520,"2022-10-21",1,131,114,65,30,19,8.21
521,"2022-10-21",2,51,35,12,14,9,0.0
522,"2022-10-21",3,175,69,69,0,0,2.38
523,"2022-10-22",1,177,86,61,21,4,2.37
524,"2022-10-22",2,55,45,34,8,3,0.0
525,"2022-10-22",3,63,52,45,1,6,4.76
526,"2022-10-23",1,92,54,41,7,6,9.79
527,"2022-10-23",2,175,44,41,1,2,0.0
528,"2022-10-23",3,198,165,76,48,41,1.21
529,"2022-10-24",1,131,62,40,5,17,4.46
530,"2022-10-24",2,163,110,34,49,27,0.0
531,"2022-10-24",3,99,66,39,20,7,1.68
532,"2022-10-25",1,133,120,113,5,2,9.95
533,"2022-10-25",2,54,37,5,19,13,0.0
