"md_id","busi_time","sub_name","red_cnt","yellow_cnt"
64,"2022-05-13",交通运输,52,23
65,"2022-05-13",农林牧渔,24,5
66,"2022-05-14",科教文体,50,53
67,"2022-05-14",公卫医疗,37,19
68,"2022-05-14",城乡建设,48,40
69,"2022-05-14",交通运输,87,1
70,"2022-05-14",农林牧渔,70,20
71,"2022-05-15",科教文体,44,14
72,"2022-05-15",公卫医疗,26,2
73,"2022-05-15",城乡建设,6,0
74,"2022-05-15",交通运输,14,120
75,"2022-05-15",农林牧渔,13,14
76,"2022-05-16",科教文体,43,22
77,"2022-05-16",公卫医疗,28,0
78,"2022-05-16",城乡建设,1,57
79,"2022-05-16",交通运输,72,86
80,"2022-05-16",农林牧渔,0,1
81,"2022-05-17",科教文体,28,0
82,"2022-05-17",公卫医疗,5,30
83,"2022-05-17",城乡建设,23,33
84,"2022-05-17",交通运输,115,9
85,"2022-05-17",农林牧渔,105,39
86,"2022-05-18",科教文体,136,11
87,"2022-05-18",公卫医疗,49,112
88,"2022-05-18",城乡建设,250,6
89,"2022-05-18",交通运输,29,57
90,"2022-05-18",农林牧渔,8,3
91,"2022-05-19",科教文体,78,16
92,"2022-05-19",公卫医疗,49,18
93,"2022-05-19",城乡建设,177,27
94,"2022-05-19",交通运输,70,79
95,"2022-05-19",农林牧渔,35,74
96,"2022-05-20",科教文体,9,4
97,"2022-05-20",公卫医疗,36,19
98,"2022-05-20",城乡建设,20,1
99,"2022-05-20",交通运输,39,3
100,"2022-05-20",农林牧渔,66,10
101,"2022-05-21",科教文体,15,21
102,"2022-05-21",公卫医疗,50,1
103,"2022-05-21",城乡建设,49,26
104,"2022-05-21",交通运输,70,3
105,"2022-05-21",农林牧渔,40,8
106,"2022-05-22",科教文体,103,40
107,"2022-05-22",公卫医疗,49,0
108,"2022-05-22",城乡建设,60,26
109,"2022-05-22",交通运输,28,6
110,"2022-05-22",农林牧渔,25,9
111,"2022-05-23",科教文体,11,2
112,"2022-05-23",公卫医疗,406,11
113,"2022-05-23",城乡建设,104,1
114,"2022-05-23",交通运输,88,65
115,"2022-05-23",农林牧渔,11,3
116,"2022-05-24",科教文体,90,67
117,"2022-05-24",公卫医疗,110,167
118,"2022-05-24",城乡建设,135,10
119,"2022-05-24",交通运输,64,8
120,"2022-05-24",农林牧渔,3,0
121,"2022-05-25",科教文体,35,20
122,"2022-05-25",公卫医疗,53,126
123,"2022-05-25",城乡建设,59,78
124,"2022-05-25",交通运输,321,2
125,"2022-05-25",农林牧渔,62,0
126,"2022-05-26",科教文体,8,4
127,"2022-05-26",公卫医疗,259,22
128,"2022-05-26",城乡建设,70,22
129,"2022-05-26",交通运输,64,95
130,"2022-05-26",农林牧渔,54,47
131,"2022-05-27",科教文体,23,90
132,"2022-05-27",公卫医疗,49,25
133,"2022-05-27",城乡建设,44,27
134,"2022-05-27",交通运输,6,1
135,"2022-05-27",农林牧渔,156,67
136,"2022-05-28",科教文体,35,235
137,"2022-05-28",公卫医疗,123,12
138,"2022-05-28",城乡建设,26,4
139,"2022-05-28",交通运输,256,2
140,"2022-05-28",农林牧渔,3,9
141,"2022-05-29",科教文体,34,0
142,"2022-05-29",公卫医疗,100,3
143,"2022-05-29",城乡建设,181,24
144,"2022-05-29",交通运输,72,32
145,"2022-05-29",农林牧渔,52,6
146,"2022-05-30",科教文体,31,34
147,"2022-05-30",公卫医疗,99,1
148,"2022-05-30",城乡建设,18,3
149,"2022-05-30",交通运输,0,9
150,"2022-05-30",农林牧渔,72,14
151,"2022-05-31",科教文体,35,75
152,"2022-05-31",公卫医疗,15,7
153,"2022-05-31",城乡建设,15,29
154,"2022-05-31",交通运输,192,11
155,"2022-05-31",农林牧渔,10,14
156,"2022-06-01",科教文体,2,7
157,"2022-06-01",公卫医疗,91,100
158,"2022-06-01",城乡建设,179,51
159,"2022-06-01",交通运输,120,1
160,"2022-06-01",农林牧渔,96,23
161,"2022-06-02",科教文体,13,184
162,"2022-06-02",公卫医疗,1,0
163,"2022-06-02",城乡建设,21,2
164,"2022-06-02",交通运输,39,43
165,"2022-06-02",农林牧渔,88,0
166,"2022-06-03",科教文体,27,7
167,"2022-06-03",公卫医疗,57,27
168,"2022-06-03",城乡建设,23,3
169,"2022-06-03",交通运输,62,12
170,"2022-06-03",农林牧渔,24,5
171,"2022-06-04",科教文体,91,9
172,"2022-06-04",公卫医疗,102,3
173,"2022-06-04",城乡建设,22,11
174,"2022-06-04",交通运输,43,27
175,"2022-06-04",农林牧渔,61,23
176,"2022-06-05",科教文体,93,6
177,"2022-06-05",公卫医疗,69,47
178,"2022-06-05",城乡建设,2,142
179,"2022-06-05",交通运输,186,69
180,"2022-06-05",农林牧渔,36,4
181,"2022-06-06",科教文体,23,2
182,"2022-06-06",公卫医疗,75,61
183,"2022-06-06",城乡建设,71,0
184,"2022-06-06",交通运输,304,17
185,"2022-06-06",农林牧渔,250,47
186,"2022-06-07",科教文体,29,0
187,"2022-06-07",公卫医疗,58,10
188,"2022-06-07",城乡建设,3,0
189,"2022-06-07",交通运输,72,2
190,"2022-06-07",农林牧渔,33,1
191,"2022-06-08",科教文体,15,18
192,"2022-06-08",公卫医疗,416,3
193,"2022-06-08",城乡建设,51,56
194,"2022-06-08",交通运输,49,76
195,"2022-06-08",农林牧渔,18,15
196,"2022-06-09",科教文体,80,69
197,"2022-06-09",公卫医疗,162,7
198,"2022-06-09",城乡建设,89,2
199,"2022-06-09",交通运输,28,0
200,"2022-06-09",农林牧渔,5,61
201,"2022-06-10",科教文体,9,17
202,"2022-06-10",公卫医疗,8,15
203,"2022-06-10",城乡建设,23,81
204,"2022-06-10",交通运输,15,5
205,"2022-06-10",农林牧渔,5,67
206,"2022-06-11",科教文体,5,1
207,"2022-06-11",公卫医疗,181,12
208,"2022-06-11",城乡建设,76,62
209,"2022-06-11",交通运输,65,5
210,"2022-06-11",农林牧渔,29,12
211,"2022-06-12",科教文体,51,34
212,"2022-06-12",公卫医疗,24,6
213,"2022-06-12",城乡建设,1,1
214,"2022-06-12",交通运输,19,208
215,"2022-06-12",农林牧渔,96,39
216,"2022-06-13",科教文体,41,1
217,"2022-06-13",公卫医疗,150,17
218,"2022-06-13",城乡建设,1,4
219,"2022-06-13",交通运输,83,1
220,"2022-06-13",农林牧渔,28,12
221,"2022-06-14",科教文体,36,1
222,"2022-06-14",公卫医疗,10,23
223,"2022-06-14",城乡建设,4,8
224,"2022-06-14",交通运输,10,139
225,"2022-06-14",农林牧渔,197,123
226,"2022-06-15",科教文体,5,0
227,"2022-06-15",公卫医疗,7,1
228,"2022-06-15",城乡建设,96,1
229,"2022-06-15",交通运输,17,91
230,"2022-06-15",农林牧渔,79,23
231,"2022-06-16",科教文体,5,0
232,"2022-06-16",公卫医疗,3,5
233,"2022-06-16",城乡建设,104,46
234,"2022-06-16",交通运输,99,1
235,"2022-06-16",农林牧渔,69,2
236,"2022-06-17",科教文体,155,8
237,"2022-06-17",公卫医疗,175,75
238,"2022-06-17",城乡建设,114,0
239,"2022-06-17",交通运输,215,16
240,"2022-06-17",农林牧渔,11,11
241,"2022-06-18",科教文体,149,93
242,"2022-06-18",公卫医疗,24,53
243,"2022-06-18",城乡建设,44,123
244,"2022-06-18",交通运输,1,2
245,"2022-06-18",农林牧渔,40,12
246,"2022-06-19",科教文体,15,49
247,"2022-06-19",公卫医疗,2,17
248,"2022-06-19",城乡建设,46,0
249,"2022-06-19",交通运输,21,2
250,"2022-06-19",农林牧渔,27,52
251,"2022-06-20",科教文体,32,28
252,"2022-06-20",公卫医疗,71,20
253,"2022-06-20",城乡建设,4,4
254,"2022-06-20",交通运输,54,42
255,"2022-06-20",农林牧渔,46,40
256,"2022-06-21",科教文体,66,3
257,"2022-06-21",公卫医疗,25,10
258,"2022-06-21",城乡建设,64,7
259,"2022-06-21",交通运输,46,60
260,"2022-06-21",农林牧渔,165,106
261,"2022-06-22",科教文体,272,20
262,"2022-06-22",公卫医疗,15,11
263,"2022-06-22",城乡建设,130,48
264,"2022-06-22",交通运输,50,101
265,"2022-06-22",农林牧渔,14,1
266,"2022-06-23",科教文体,5,0
267,"2022-06-23",公卫医疗,98,28
268,"2022-06-23",城乡建设,82,87
269,"2022-06-23",交通运输,7,48
270,"2022-06-23",农林牧渔,30,1
271,"2022-06-24",科教文体,27,27
272,"2022-06-24",公卫医疗,154,34
273,"2022-06-24",城乡建设,100,8
274,"2022-06-24",交通运输,164,2
275,"2022-06-24",农林牧渔,35,137
276,"2022-06-25",科教文体,50,4
277,"2022-06-25",公卫医疗,8,75
278,"2022-06-25",城乡建设,38,0
279,"2022-06-25",交通运输,89,2
280,"2022-06-25",农林牧渔,48,49
281,"2022-06-26",科教文体,23,6
282,"2022-06-26",公卫医疗,2,13
283,"2022-06-26",城乡建设,17,11
284,"2022-06-26",交通运输,143,9
285,"2022-06-26",农林牧渔,45,26
286,"2022-06-27",科教文体,145,3
287,"2022-06-27",公卫医疗,65,15
288,"2022-06-27",城乡建设,77,16
289,"2022-06-27",交通运输,44,103
290,"2022-06-27",农林牧渔,1,25
291,"2022-06-28",科教文体,98,81
292,"2022-06-28",公卫医疗,164,10
293,"2022-06-28",城乡建设,55,72
294,"2022-06-28",交通运输,24,55
295,"2022-06-28",农林牧渔,3,2
296,"2022-06-29",科教文体,37,4
297,"2022-06-29",公卫医疗,45,69
298,"2022-06-29",城乡建设,70,9
299,"2022-06-29",交通运输,34,14
300,"2022-06-29",农林牧渔,42,35
301,"2022-06-30",科教文体,63,9
302,"2022-06-30",公卫医疗,67,5
303,"2022-06-30",城乡建设,63,4
304,"2022-06-30",交通运输,5,3
305,"2022-06-30",农林牧渔,5,77
306,"2022-07-01",科教文体,3,8
307,"2022-07-01",公卫医疗,38,20
308,"2022-07-01",城乡建设,77,17
309,"2022-07-01",交通运输,33,12
310,"2022-07-01",农林牧渔,38,18
311,"2022-07-02",科教文体,26,7
312,"2022-07-02",公卫医疗,25,5
313,"2022-07-02",城乡建设,82,27
314,"2022-07-02",交通运输,95,104
315,"2022-07-02",农林牧渔,133,4
316,"2022-07-03",科教文体,17,69
317,"2022-07-03",公卫医疗,43,1
318,"2022-07-03",城乡建设,104,25
319,"2022-07-03",交通运输,16,74
320,"2022-07-03",农林牧渔,90,11
321,"2022-07-04",科教文体,75,13
322,"2022-07-04",公卫医疗,9,6
323,"2022-07-04",城乡建设,64,90
324,"2022-07-04",交通运输,61,3
325,"2022-07-04",农林牧渔,125,66
326,"2022-07-05",科教文体,48,13
327,"2022-07-05",公卫医疗,46,190
328,"2022-07-05",城乡建设,37,86
329,"2022-07-05",交通运输,40,10
330,"2022-07-05",农林牧渔,105,26
331,"2022-07-06",科教文体,23,13
332,"2022-07-06",公卫医疗,37,8
333,"2022-07-06",城乡建设,7,0
334,"2022-07-06",交通运输,128,0
335,"2022-07-06",农林牧渔,33,21
336,"2022-07-07",科教文体,62,1
337,"2022-07-07",公卫医疗,104,3
338,"2022-07-07",城乡建设,1,22
339,"2022-07-07",交通运输,6,45
340,"2022-07-07",农林牧渔,63,5
341,"2022-07-08",科教文体,3,42
342,"2022-07-08",公卫医疗,95,0
343,"2022-07-08",城乡建设,71,2
344,"2022-07-08",交通运输,8,19
345,"2022-07-08",农林牧渔,29,50
346,"2022-07-09",科教文体,137,64
347,"2022-07-09",公卫医疗,92,14
348,"2022-07-09",城乡建设,41,17
349,"2022-07-09",交通运输,208,17
350,"2022-07-09",农林牧渔,118,27
351,"2022-07-10",科教文体,41,6
352,"2022-07-10",公卫医疗,193,8
353,"2022-07-10",城乡建设,54,11
354,"2022-07-10",交通运输,203,6
355,"2022-07-10",农林牧渔,15,158
356,"2022-07-11",科教文体,52,5
357,"2022-07-11",公卫医疗,49,1
358,"2022-07-11",城乡建设,50,2
359,"2022-07-11",交通运输,15,10
360,"2022-07-11",农林牧渔,49,3
361,"2022-07-12",科教文体,45,27
362,"2022-07-12",公卫医疗,0,18
363,"2022-07-12",城乡建设,216,13
364,"2022-07-12",交通运输,138,9
365,"2022-07-12",农林牧渔,45,128
366,"2022-07-13",科教文体,83,23
367,"2022-07-13",公卫医疗,42,24
368,"2022-07-13",城乡建设,84,3
369,"2022-07-13",交通运输,108,0
370,"2022-07-13",农林牧渔,58,19
371,"2022-07-14",科教文体,146,40
372,"2022-07-14",公卫医疗,213,10
373,"2022-07-14",城乡建设,14,128
374,"2022-07-14",交通运输,56,9
375,"2022-07-14",农林牧渔,54,7
376,"2022-07-15",科教文体,44,153
377,"2022-07-15",公卫医疗,16,13
378,"2022-07-15",城乡建设,119,44
379,"2022-07-15",交通运输,144,14
380,"2022-07-15",农林牧渔,23,88
381,"2022-07-16",科教文体,62,58
382,"2022-07-16",公卫医疗,44,11
383,"2022-07-16",城乡建设,117,26
384,"2022-07-16",交通运输,10,63
385,"2022-07-16",农林牧渔,15,19
386,"2022-07-17",科教文体,36,0
387,"2022-07-17",公卫医疗,57,15
388,"2022-07-17",城乡建设,9,3
389,"2022-07-17",交通运输,141,12
390,"2022-07-17",农林牧渔,143,9
391,"2022-07-18",科教文体,102,23
392,"2022-07-18",公卫医疗,102,3
393,"2022-07-18",城乡建设,153,15
394,"2022-07-18",交通运输,125,11
395,"2022-07-18",农林牧渔,15,4
396,"2022-07-19",科教文体,103,14
397,"2022-07-19",公卫医疗,4,0
398,"2022-07-19",城乡建设,94,6
399,"2022-07-19",交通运输,176,31
400,"2022-07-19",农林牧渔,156,0
401,"2022-07-20",科教文体,37,6
402,"2022-07-20",公卫医疗,180,2
403,"2022-07-20",城乡建设,1,0
404,"2022-07-20",交通运输,108,13
405,"2022-07-20",农林牧渔,27,45
406,"2022-07-21",科教文体,9,11
407,"2022-07-21",公卫医疗,181,30
408,"2022-07-21",城乡建设,48,0
409,"2022-07-21",交通运输,225,3
410,"2022-07-21",农林牧渔,31,52
411,"2022-07-22",科教文体,14,0
412,"2022-07-22",公卫医疗,38,9
413,"2022-07-22",城乡建设,16,24
414,"2022-07-22",交通运输,99,160
415,"2022-07-22",农林牧渔,5,28
416,"2022-07-23",科教文体,14,44
417,"2022-07-23",公卫医疗,7,41
418,"2022-07-23",城乡建设,50,1
419,"2022-07-23",交通运输,50,8
420,"2022-07-23",农林牧渔,0,4
421,"2022-07-24",科教文体,6,3
422,"2022-07-24",公卫医疗,0,8
423,"2022-07-24",城乡建设,101,0
424,"2022-07-24",交通运输,85,8
425,"2022-07-24",农林牧渔,9,34
426,"2022-07-25",科教文体,63,19
427,"2022-07-25",公卫医疗,63,17
428,"2022-07-25",城乡建设,95,2
429,"2022-07-25",交通运输,5,36
430,"2022-07-25",农林牧渔,127,12
431,"2022-07-26",科教文体,91,26
432,"2022-07-26",公卫医疗,273,4
433,"2022-07-26",城乡建设,68,7
434,"2022-07-26",交通运输,26,1
435,"2022-07-26",农林牧渔,28,12
436,"2022-07-27",科教文体,51,58
437,"2022-07-27",公卫医疗,3,5
438,"2022-07-27",城乡建设,100,181
439,"2022-07-27",交通运输,135,105
440,"2022-07-27",农林牧渔,2,7
441,"2022-07-28",科教文体,50,26
442,"2022-07-28",公卫医疗,4,7
443,"2022-07-28",城乡建设,90,6
444,"2022-07-28",交通运输,9,4
445,"2022-07-28",农林牧渔,64,81
446,"2022-07-29",科教文体,291,54
447,"2022-07-29",公卫医疗,70,27
448,"2022-07-29",城乡建设,7,0
449,"2022-07-29",交通运输,171,56
450,"2022-07-29",农林牧渔,195,1
451,"2022-07-30",科教文体,20,27
452,"2022-07-30",公卫医疗,18,17
453,"2022-07-30",城乡建设,98,17
454,"2022-07-30",交通运输,55,7
455,"2022-07-30",农林牧渔,32,99
456,"2022-07-31",科教文体,20,1
457,"2022-07-31",公卫医疗,14,21
458,"2022-07-31",城乡建设,43,4
459,"2022-07-31",交通运输,188,0
460,"2022-07-31",农林牧渔,146,32
461,"2022-08-01",科教文体,60,38
462,"2022-08-01",公卫医疗,2,9
463,"2022-08-01",城乡建设,124,146
464,"2022-08-01",交通运输,0,76
465,"2022-08-01",农林牧渔,21,1
466,"2022-08-02",科教文体,7,2
467,"2022-08-02",公卫医疗,57,5
468,"2022-08-02",城乡建设,67,25
469,"2022-08-02",交通运输,68,18
470,"2022-08-02",农林牧渔,10,0
471,"2022-08-03",科教文体,7,133
472,"2022-08-03",公卫医疗,3,52
473,"2022-08-03",城乡建设,59,40
474,"2022-08-03",交通运输,14,25
475,"2022-08-03",农林牧渔,13,21
476,"2022-08-04",科教文体,1,60
477,"2022-08-04",公卫医疗,136,53
478,"2022-08-04",城乡建设,43,54
479,"2022-08-04",交通运输,11,45
480,"2022-08-04",农林牧渔,17,88
481,"2022-08-05",科教文体,2,75
482,"2022-08-05",公卫医疗,79,3
483,"2022-08-05",城乡建设,73,18
484,"2022-08-05",交通运输,209,16
485,"2022-08-05",农林牧渔,23,1
486,"2022-08-06",科教文体,45,127
487,"2022-08-06",公卫医疗,30,15
488,"2022-08-06",城乡建设,76,103
489,"2022-08-06",交通运输,18,16
490,"2022-08-06",农林牧渔,13,44
491,"2022-08-07",科教文体,2,0
492,"2022-08-07",公卫医疗,52,28
493,"2022-08-07",城乡建设,149,1
494,"2022-08-07",交通运输,32,27
495,"2022-08-07",农林牧渔,28,10
496,"2022-08-08",科教文体,10,8
497,"2022-08-08",公卫医疗,17,55
498,"2022-08-08",城乡建设,57,46
499,"2022-08-08",交通运输,65,122
500,"2022-08-08",农林牧渔,57,0
501,"2022-08-09",科教文体,8,70
502,"2022-08-09",公卫医疗,0,0
503,"2022-08-09",城乡建设,36,20
504,"2022-08-09",交通运输,42,18
505,"2022-08-09",农林牧渔,2,39
506,"2022-08-10",科教文体,11,11
507,"2022-08-10",公卫医疗,26,24
508,"2022-08-10",城乡建设,62,32
509,"2022-08-10",交通运输,7,3
510,"2022-08-10",农林牧渔,106,5
511,"2022-08-11",科教文体,70,86
512,"2022-08-11",公卫医疗,205,44
513,"2022-08-11",城乡建设,31,53
514,"2022-08-11",交通运输,17,9
515,"2022-08-11",农林牧渔,71,8
516,"2022-08-12",科教文体,96,0
517,"2022-08-12",公卫医疗,51,13
518,"2022-08-12",城乡建设,27,4
519,"2022-08-12",交通运输,1,12
520,"2022-08-12",农林牧渔,83,2
521,"2022-08-13",科教文体,87,3
522,"2022-08-13",公卫医疗,67,10
523,"2022-08-13",城乡建设,23,12
524,"2022-08-13",交通运输,99,4
525,"2022-08-13",农林牧渔,4,64
526,"2022-08-14",科教文体,35,16
527,"2022-08-14",公卫医疗,20,1
528,"2022-08-14",城乡建设,73,24
529,"2022-08-14",交通运输,46,4
530,"2022-08-14",农林牧渔,63,3
531,"2022-08-15",科教文体,133,11
532,"2022-08-15",公卫医疗,42,22
533,"2022-08-15",城乡建设,7,9
534,"2022-08-15",交通运输,25,6
535,"2022-08-15",农林牧渔,51,8
536,"2022-08-16",科教文体,69,13
537,"2022-08-16",公卫医疗,4,9
538,"2022-08-16",城乡建设,168,4
539,"2022-08-16",交通运输,27,240
540,"2022-08-16",农林牧渔,129,11
541,"2022-08-17",科教文体,59,4
542,"2022-08-17",公卫医疗,40,55
543,"2022-08-17",城乡建设,19,62
544,"2022-08-17",交通运输,40,10
545,"2022-08-17",农林牧渔,37,38
546,"2022-08-18",科教文体,118,36
547,"2022-08-18",公卫医疗,85,38
548,"2022-08-18",城乡建设,344,3
549,"2022-08-18",交通运输,68,26
550,"2022-08-18",农林牧渔,2,16
551,"2022-08-19",科教文体,117,43
552,"2022-08-19",公卫医疗,53,46
553,"2022-08-19",城乡建设,173,5
554,"2022-08-19",交通运输,98,56
555,"2022-08-19",农林牧渔,107,72
556,"2022-08-20",科教文体,53,103
557,"2022-08-20",公卫医疗,60,16
558,"2022-08-20",城乡建设,22,124
559,"2022-08-20",交通运输,87,100
560,"2022-08-20",农林牧渔,32,36
561,"2022-08-21",科教文体,47,16
562,"2022-08-21",公卫医疗,100,6
563,"2022-08-21",城乡建设,5,41
564,"2022-08-21",交通运输,17,22
565,"2022-08-21",农林牧渔,16,22
566,"2022-08-22",科教文体,85,2
567,"2022-08-22",公卫医疗,1,5
568,"2022-08-22",城乡建设,170,3
569,"2022-08-22",交通运输,58,82
570,"2022-08-22",农林牧渔,270,25
571,"2022-08-23",科教文体,103,174
572,"2022-08-23",公卫医疗,52,0
573,"2022-08-23",城乡建设,2,3
574,"2022-08-23",交通运输,49,12
575,"2022-08-23",农林牧渔,146,137
576,"2022-08-24",科教文体,43,4
577,"2022-08-24",公卫医疗,67,100
578,"2022-08-24",城乡建设,98,38
579,"2022-08-24",交通运输,65,38
580,"2022-08-24",农林牧渔,146,7
581,"2022-08-25",科教文体,107,35
582,"2022-08-25",公卫医疗,63,30
583,"2022-08-25",城乡建设,20,104
584,"2022-08-25",交通运输,9,11
585,"2022-08-25",农林牧渔,31,38
586,"2022-08-26",科教文体,42,73
587,"2022-08-26",公卫医疗,0,0
588,"2022-08-26",城乡建设,107,2
589,"2022-08-26",交通运输,9,7
590,"2022-08-26",农林牧渔,45,11
591,"2022-08-27",科教文体,206,17
592,"2022-08-27",公卫医疗,13,163
593,"2022-08-27",城乡建设,10,19
594,"2022-08-27",交通运输,45,0
595,"2022-08-27",农林牧渔,9,225
596,"2022-08-28",科教文体,9,23
597,"2022-08-28",公卫医疗,99,33
598,"2022-08-28",城乡建设,18,7
599,"2022-08-28",交通运输,85,38
600,"2022-08-28",农林牧渔,5,6
601,"2022-08-29",科教文体,15,2
602,"2022-08-29",公卫医疗,58,35
603,"2022-08-29",城乡建设,137,48
604,"2022-08-29",交通运输,151,34
605,"2022-08-29",农林牧渔,8,198
606,"2022-08-30",科教文体,107,162
607,"2022-08-30",公卫医疗,89,16
608,"2022-08-30",城乡建设,0,0
609,"2022-08-30",交通运输,21,29
610,"2022-08-30",农林牧渔,5,12
611,"2022-08-31",科教文体,7,4
612,"2022-08-31",公卫医疗,11,31
613,"2022-08-31",城乡建设,67,48
614,"2022-08-31",交通运输,72,3
615,"2022-08-31",农林牧渔,116,31
616,"2022-09-01",科教文体,27,9
617,"2022-09-01",公卫医疗,38,135
618,"2022-09-01",城乡建设,95,5
619,"2022-09-01",交通运输,68,23
620,"2022-09-01",农林牧渔,46,76
621,"2022-09-02",科教文体,11,91
622,"2022-09-02",公卫医疗,56,3
623,"2022-09-02",城乡建设,9,11
624,"2022-09-02",交通运输,21,4
625,"2022-09-02",农林牧渔,32,16
626,"2022-09-03",科教文体,20,38
627,"2022-09-03",公卫医疗,1,35
628,"2022-09-03",城乡建设,27,37
629,"2022-09-03",交通运输,47,2
630,"2022-09-03",农林牧渔,27,42
631,"2022-09-04",科教文体,264,32
632,"2022-09-04",公卫医疗,224,2
633,"2022-09-04",城乡建设,40,7
634,"2022-09-04",交通运输,62,74
635,"2022-09-04",农林牧渔,6,2
636,"2022-09-05",科教文体,92,0
637,"2022-09-05",公卫医疗,8,15
638,"2022-09-05",城乡建设,29,33
639,"2022-09-05",交通运输,23,3
640,"2022-09-05",农林牧渔,81,0
641,"2022-09-06",科教文体,54,63
642,"2022-09-06",公卫医疗,0,0
643,"2022-09-06",城乡建设,38,54
644,"2022-09-06",交通运输,33,13
645,"2022-09-06",农林牧渔,80,108
646,"2022-09-07",科教文体,121,44
647,"2022-09-07",公卫医疗,81,23
648,"2022-09-07",城乡建设,70,148
649,"2022-09-07",交通运输,24,68
650,"2022-09-07",农林牧渔,65,54
651,"2022-09-08",科教文体,58,0
652,"2022-09-08",公卫医疗,150,39
653,"2022-09-08",城乡建设,35,9
654,"2022-09-08",交通运输,55,47
655,"2022-09-08",农林牧渔,193,22
656,"2022-09-09",科教文体,42,36
657,"2022-09-09",公卫医疗,2,80
658,"2022-09-09",城乡建设,101,25
659,"2022-09-09",交通运输,6,0
660,"2022-09-09",农林牧渔,185,39
661,"2022-09-10",科教文体,102,12
662,"2022-09-10",公卫医疗,49,42
663,"2022-09-10",城乡建设,35,15
664,"2022-09-10",交通运输,41,10
665,"2022-09-10",农林牧渔,51,7
666,"2022-09-11",科教文体,8,126
667,"2022-09-11",公卫医疗,5,1
668,"2022-09-11",城乡建设,0,0
669,"2022-09-11",交通运输,10,48
670,"2022-09-11",农林牧渔,74,35
671,"2022-09-12",科教文体,10,18
672,"2022-09-12",公卫医疗,136,3
673,"2022-09-12",城乡建设,130,5
674,"2022-09-12",交通运输,4,16
675,"2022-09-12",农林牧渔,3,0
676,"2022-09-13",科教文体,74,67
677,"2022-09-13",公卫医疗,78,7
678,"2022-09-13",城乡建设,45,13
679,"2022-09-13",交通运输,291,20
680,"2022-09-13",农林牧渔,101,98
681,"2022-09-14",科教文体,97,19
682,"2022-09-14",公卫医疗,27,67
683,"2022-09-14",城乡建设,4,33
684,"2022-09-14",交通运输,66,1
685,"2022-09-14",农林牧渔,18,15
686,"2022-09-15",科教文体,90,33
687,"2022-09-15",公卫医疗,41,141
688,"2022-09-15",城乡建设,32,19
689,"2022-09-15",交通运输,34,187
690,"2022-09-15",农林牧渔,5,60
691,"2022-09-16",科教文体,113,2
692,"2022-09-16",公卫医疗,107,6
693,"2022-09-16",城乡建设,42,18
694,"2022-09-16",交通运输,102,33
695,"2022-09-16",农林牧渔,0,66
696,"2022-09-17",科教文体,132,34
697,"2022-09-17",公卫医疗,104,11
