"md_id","busi_time","sub_name","top_name","satisfaction_cnt","top_cnt"
249,"2022-05-11",公卫医疗,医药管理,45,48
250,"2022-05-11",城乡建设,住房公积金,30,35
251,"2022-05-11",城乡建设,房屋管理,12,13
252,"2022-05-11",城乡建设,市容市貌,63,68
253,"2022-05-11",城乡建设,城乡规划,62,69
254,"2022-05-11",城乡建设,城市设施管理,8,8
255,"2022-05-11",交通运输,快递物流,12,13
256,"2022-05-11",交通运输,公共汽车,16,17
257,"2022-05-11",交通运输,公共自行车,31,34
258,"2022-05-11",交通运输,出租汽车,1,1
259,"2022-05-11",交通运输,城际客运,20,20
260,"2022-05-11",农林牧渔,农业管理,9,9
261,"2022-05-11",农林牧渔,林业管理,11,12
262,"2022-05-11",农林牧渔,渔业管理,11,12
263,"2022-05-11",农林牧渔,畜牧业管理,11,12
264,"2022-05-12",科教文体,科技事务,3,4
265,"2022-05-12",科教文体,教育管理,9,9
266,"2022-05-12",科教文体,文化管理,24,25
267,"2022-05-12",科教文体,体育管理,30,31
268,"2022-05-12",科教文体,社会教育,60,70
269,"2022-05-12",公卫医疗,人口计生,11,11
270,"2022-05-12",公卫医疗,卫生保健,29,30
271,"2022-05-12",公卫医疗,医疗服务,10,11
272,"2022-05-12",公卫医疗,公共卫生,44,47
273,"2022-05-12",公卫医疗,医药管理,62,68
274,"2022-05-12",城乡建设,住房公积金,27,30
275,"2022-05-12",城乡建设,房屋管理,12,13
276,"2022-05-12",城乡建设,市容市貌,54,55
277,"2022-05-12",城乡建设,城乡规划,40,46
278,"2022-05-12",城乡建设,城市设施管理,16,17
279,"2022-05-12",交通运输,快递物流,12,13
280,"2022-05-12",交通运输,公共汽车,34,35
281,"2022-05-12",交通运输,公共自行车,27,31
282,"2022-05-12",交通运输,出租汽车,14,15
283,"2022-05-12",交通运输,城际客运,35,38
284,"2022-05-12",农林牧渔,农业管理,3,4
285,"2022-05-12",农林牧渔,林业管理,42,48
286,"2022-05-12",农林牧渔,渔业管理,96,113
287,"2022-05-12",农林牧渔,畜牧业管理,7,8
288,"2022-05-13",科教文体,科技事务,2,2
289,"2022-05-13",科教文体,教育管理,14,16
290,"2022-05-13",科教文体,文化管理,12,13
291,"2022-05-13",科教文体,体育管理,9,10
292,"2022-05-13",科教文体,社会教育,4,4
293,"2022-05-13",公卫医疗,人口计生,4,4
294,"2022-05-13",公卫医疗,卫生保健,24,26
295,"2022-05-13",公卫医疗,医疗服务,51,56
296,"2022-05-13",公卫医疗,公共卫生,47,55
297,"2022-05-13",公卫医疗,医药管理,35,37
298,"2022-05-13",城乡建设,住房公积金,5,5
299,"2022-05-13",城乡建设,房屋管理,4,4
300,"2022-05-13",城乡建设,市容市貌,6,7
301,"2022-05-13",城乡建设,城乡规划,2,2
302,"2022-05-13",城乡建设,城市设施管理,3,3
303,"2022-05-13",交通运输,快递物流,22,23
304,"2022-05-13",交通运输,公共汽车,19,20
305,"2022-05-13",交通运输,公共自行车,3,3
306,"2022-05-13",交通运输,出租汽车,23,27
307,"2022-05-13",交通运输,城际客运,10,11
308,"2022-05-13",农林牧渔,农业管理,9,10
309,"2022-05-13",农林牧渔,林业管理,1,1
310,"2022-05-13",农林牧渔,渔业管理,7,7
311,"2022-05-13",农林牧渔,畜牧业管理,13,14
312,"2022-05-14",科教文体,科技事务,48,52
313,"2022-05-14",科教文体,教育管理,7,8
314,"2022-05-14",科教文体,文化管理,8,9
315,"2022-05-14",科教文体,体育管理,37,39
316,"2022-05-14",科教文体,社会教育,49,55
317,"2022-05-14",公卫医疗,人口计生,13,14
318,"2022-05-14",公卫医疗,卫生保健,3,3
319,"2022-05-14",公卫医疗,医疗服务,26,30
320,"2022-05-14",公卫医疗,公共卫生,24,26
321,"2022-05-14",公卫医疗,医药管理,16,17
322,"2022-05-14",城乡建设,住房公积金,33,36
323,"2022-05-14",城乡建设,房屋管理,28,30
324,"2022-05-14",城乡建设,市容市貌,20,23
325,"2022-05-14",城乡建设,城乡规划,1,1
326,"2022-05-14",城乡建设,城市设施管理,2,2
327,"2022-05-14",交通运输,快递物流,15,18
328,"2022-05-14",交通运输,公共汽车,15,17
329,"2022-05-14",交通运输,公共自行车,18,20
330,"2022-05-14",交通运输,出租汽车,24,25
331,"2022-05-14",交通运输,城际客运,9,10
332,"2022-05-14",农林牧渔,农业管理,17,19
333,"2022-05-14",农林牧渔,林业管理,6,7
334,"2022-05-14",农林牧渔,渔业管理,40,47
335,"2022-05-14",农林牧渔,畜牧业管理,71,77
336,"2022-05-15",科教文体,科技事务,17,18
337,"2022-05-15",科教文体,教育管理,2,2
338,"2022-05-15",科教文体,文化管理,22,24
339,"2022-05-15",科教文体,体育管理,6,7
340,"2022-05-15",科教文体,社会教育,8,8
341,"2022-05-15",公卫医疗,人口计生,5,6
342,"2022-05-15",公卫医疗,卫生保健,0,0
343,"2022-05-15",公卫医疗,医疗服务,9,9
344,"2022-05-15",公卫医疗,公共卫生,5,6
345,"2022-05-15",公卫医疗,医药管理,9,9
346,"2022-05-15",城乡建设,住房公积金,3,3
347,"2022-05-15",城乡建设,房屋管理,4,4
348,"2022-05-15",城乡建设,市容市貌,1,1
349,"2022-05-15",城乡建设,城乡规划,1,1
350,"2022-05-15",城乡建设,城市设施管理,1,1
351,"2022-05-15",交通运输,快递物流,41,48
352,"2022-05-15",交通运输,公共汽车,11,12
353,"2022-05-15",交通运输,公共自行车,7,8
354,"2022-05-15",交通运输,出租汽车,31,35
355,"2022-05-15",交通运输,城际客运,57,62
356,"2022-05-15",农林牧渔,农业管理,22,24
357,"2022-05-15",农林牧渔,林业管理,49,53
358,"2022-05-15",农林牧渔,渔业管理,6,7
359,"2022-05-15",农林牧渔,畜牧业管理,15,17
360,"2022-05-16",科教文体,科技事务,66,69
361,"2022-05-16",科教文体,教育管理,23,26
362,"2022-05-16",科教文体,文化管理,36,38
363,"2022-05-16",科教文体,体育管理,28,32
364,"2022-05-16",科教文体,社会教育,25,26
365,"2022-05-16",公卫医疗,人口计生,35,39
366,"2022-05-16",公卫医疗,卫生保健,22,26
367,"2022-05-16",公卫医疗,医疗服务,41,43
368,"2022-05-16",公卫医疗,公共卫生,55,59
369,"2022-05-16",公卫医疗,医药管理,24,25
370,"2022-05-16",城乡建设,住房公积金,40,44
371,"2022-05-16",城乡建设,房屋管理,43,45
372,"2022-05-16",城乡建设,市容市貌,27,28
373,"2022-05-16",城乡建设,城乡规划,15,15
374,"2022-05-16",城乡建设,城市设施管理,5,6
375,"2022-05-16",交通运输,快递物流,38,43
376,"2022-05-16",交通运输,公共汽车,30,34
377,"2022-05-16",交通运输,公共自行车,40,46
378,"2022-05-16",交通运输,出租汽车,32,34
379,"2022-05-16",交通运输,城际客运,17,20
380,"2022-05-16",农林牧渔,农业管理,1,1
381,"2022-05-16",农林牧渔,林业管理,1,1
382,"2022-05-16",农林牧渔,渔业管理,1,1
383,"2022-05-16",农林牧渔,畜牧业管理,0,0
384,"2022-05-17",科教文体,科技事务,6,7
385,"2022-05-17",科教文体,教育管理,7,8
386,"2022-05-17",科教文体,文化管理,4,5
387,"2022-05-17",科教文体,体育管理,7,8
388,"2022-05-17",科教文体,社会教育,5,5
389,"2022-05-17",公卫医疗,人口计生,26,28
390,"2022-05-17",公卫医疗,卫生保健,16,18
391,"2022-05-17",公卫医疗,医疗服务,27,29
392,"2022-05-17",公卫医疗,公共卫生,27,28
393,"2022-05-17",公卫医疗,医药管理,37,41
394,"2022-05-17",城乡建设,住房公积金,18,20
395,"2022-05-17",城乡建设,房屋管理,13,14
396,"2022-05-17",城乡建设,市容市貌,5,5
397,"2022-05-17",城乡建设,城乡规划,16,17
398,"2022-05-17",城乡建设,城市设施管理,20,21
399,"2022-05-17",交通运输,快递物流,15,17
400,"2022-05-17",交通运输,公共汽车,24,25
401,"2022-05-17",交通运输,公共自行车,47,49
402,"2022-05-17",交通运输,出租汽车,48,51
403,"2022-05-17",交通运输,城际客运,14,14
404,"2022-05-17",农林牧渔,农业管理,17,18
405,"2022-05-17",农林牧渔,林业管理,44,51
406,"2022-05-17",农林牧渔,渔业管理,31,36
407,"2022-05-17",农林牧渔,畜牧业管理,37,42
408,"2022-05-18",科教文体,科技事务,18,20
409,"2022-05-18",科教文体,教育管理,24,26
410,"2022-05-18",科教文体,文化管理,52,54
411,"2022-05-18",科教文体,体育管理,37,43
412,"2022-05-18",科教文体,社会教育,6,6
413,"2022-05-18",公卫医疗,人口计生,7,8
414,"2022-05-18",公卫医疗,卫生保健,59,64
415,"2022-05-18",公卫医疗,医疗服务,51,56
416,"2022-05-18",公卫医疗,公共卫生,13,15
417,"2022-05-18",公卫医疗,医药管理,33,35
418,"2022-05-18",城乡建设,住房公积金,11,12
419,"2022-05-18",城乡建设,房屋管理,47,50
420,"2022-05-18",城乡建设,市容市貌,97,104
421,"2022-05-18",城乡建设,城乡规划,76,82
422,"2022-05-18",城乡建设,城市设施管理,29,30
423,"2022-05-18",交通运输,快递物流,28,32
424,"2022-05-18",交通运输,公共汽车,56,57
425,"2022-05-18",交通运输,公共自行车,13,14
426,"2022-05-18",交通运输,出租汽车,52,58
427,"2022-05-18",交通运输,城际客运,60,62
428,"2022-05-18",农林牧渔,农业管理,0,0
429,"2022-05-18",农林牧渔,林业管理,7,7
430,"2022-05-18",农林牧渔,渔业管理,1,1
431,"2022-05-18",农林牧渔,畜牧业管理,21,23
432,"2022-05-19",科教文体,科技事务,5,5
433,"2022-05-19",科教文体,教育管理,52,55
434,"2022-05-19",科教文体,文化管理,25,27
435,"2022-05-19",科教文体,体育管理,45,52
436,"2022-05-19",科教文体,社会教育,36,40
437,"2022-05-19",公卫医疗,人口计生,27,29
438,"2022-05-19",公卫医疗,卫生保健,50,56
439,"2022-05-19",公卫医疗,医疗服务,3,4
440,"2022-05-19",公卫医疗,公共卫生,34,38
441,"2022-05-19",公卫医疗,医药管理,36,41
442,"2022-05-19",城乡建设,住房公积金,71,75
443,"2022-05-19",城乡建设,房屋管理,81,87
444,"2022-05-19",城乡建设,市容市貌,14,15
445,"2022-05-19",城乡建设,城乡规划,26,30
446,"2022-05-19",城乡建设,城市设施管理,26,27
447,"2022-05-19",交通运输,快递物流,18,21
448,"2022-05-19",交通运输,公共汽车,47,49
449,"2022-05-19",交通运输,公共自行车,24,26
450,"2022-05-19",交通运输,出租汽车,32,34
451,"2022-05-19",交通运输,城际客运,38,43
452,"2022-05-19",农林牧渔,农业管理,17,19
453,"2022-05-19",农林牧渔,林业管理,54,58
454,"2022-05-19",农林牧渔,渔业管理,59,63
455,"2022-05-19",农林牧渔,畜牧业管理,13,14
456,"2022-05-20",科教文体,科技事务,9,10
457,"2022-05-20",科教文体,教育管理,32,34
458,"2022-05-20",科教文体,文化管理,29,32
459,"2022-05-20",科教文体,体育管理,27,31
460,"2022-05-20",科教文体,社会教育,45,49
461,"2022-05-20",公卫医疗,人口计生,22,24
462,"2022-05-20",公卫医疗,卫生保健,3,3
463,"2022-05-20",公卫医疗,医疗服务,18,19
464,"2022-05-20",公卫医疗,公共卫生,6,6
465,"2022-05-20",公卫医疗,医药管理,20,22
466,"2022-05-20",城乡建设,住房公积金,0,0
467,"2022-05-20",城乡建设,房屋管理,5,6
468,"2022-05-20",城乡建设,市容市貌,8,8
469,"2022-05-20",城乡建设,城乡规划,7,7
470,"2022-05-20",城乡建设,城市设施管理,1,1
471,"2022-05-20",交通运输,快递物流,2,2
472,"2022-05-20",交通运输,公共汽车,7,8
473,"2022-05-20",交通运输,公共自行车,13,15
474,"2022-05-20",交通运输,出租汽车,15,18
475,"2022-05-20",交通运输,城际客运,7,8
476,"2022-05-20",农林牧渔,农业管理,22,25
477,"2022-05-20",农林牧渔,林业管理,22,23
478,"2022-05-20",农林牧渔,渔业管理,8,9
479,"2022-05-20",农林牧渔,畜牧业管理,24,25
480,"2022-05-21",科教文体,科技事务,2,2
481,"2022-05-21",科教文体,教育管理,10,11
482,"2022-05-21",科教文体,文化管理,9,9
483,"2022-05-21",科教文体,体育管理,14,14
484,"2022-05-21",科教文体,社会教育,1,1
485,"2022-05-21",公卫医疗,人口计生,26,29
486,"2022-05-21",公卫医疗,卫生保健,6,7
487,"2022-05-21",公卫医疗,医疗服务,23,24
488,"2022-05-21",公卫医疗,公共卫生,28,29
489,"2022-05-21",公卫医疗,医药管理,8,9
490,"2022-05-21",城乡建设,住房公积金,29,33
491,"2022-05-21",城乡建设,房屋管理,13,15
492,"2022-05-21",城乡建设,市容市貌,4,5
493,"2022-05-21",城乡建设,城乡规划,30,34
494,"2022-05-21",城乡建设,城市设施管理,17,18
495,"2022-05-21",交通运输,快递物流,21,23
496,"2022-05-21",交通运输,公共汽车,19,19
497,"2022-05-21",交通运输,公共自行车,16,18
498,"2022-05-21",交通运输,出租汽车,10,11
499,"2022-05-21",交通运输,城际客运,9,10
500,"2022-05-21",农林牧渔,农业管理,5,5
501,"2022-05-21",农林牧渔,林业管理,15,17
502,"2022-05-21",农林牧渔,渔业管理,7,8
503,"2022-05-21",农林牧渔,畜牧业管理,21,24
504,"2022-05-22",科教文体,科技事务,64,75
505,"2022-05-22",科教文体,教育管理,43,50
506,"2022-05-22",科教文体,文化管理,35,37
507,"2022-05-22",科教文体,体育管理,7,7
508,"2022-05-22",科教文体,社会教育,24,25
509,"2022-05-22",公卫医疗,人口计生,8,9
510,"2022-05-22",公卫医疗,卫生保健,4,5
511,"2022-05-22",公卫医疗,医疗服务,16,17
512,"2022-05-22",公卫医疗,公共卫生,10,10
513,"2022-05-22",公卫医疗,医药管理,8,9
514,"2022-05-22",城乡建设,住房公积金,16,17
515,"2022-05-22",城乡建设,房屋管理,22,25
516,"2022-05-22",城乡建设,市容市貌,5,5
517,"2022-05-22",城乡建设,城乡规划,10,10
518,"2022-05-22",城乡建设,城市设施管理,32,33
519,"2022-05-22",交通运输,快递物流,3,4
520,"2022-05-22",交通运输,公共汽车,9,9
521,"2022-05-22",交通运输,公共自行车,10,10
522,"2022-05-22",交通运输,出租汽车,3,3
523,"2022-05-22",交通运输,城际客运,9,10
524,"2022-05-22",农林牧渔,农业管理,12,13
525,"2022-05-22",农林牧渔,林业管理,17,17
526,"2022-05-22",农林牧渔,渔业管理,14,16
527,"2022-05-22",农林牧渔,畜牧业管理,3,3
528,"2022-05-23",科教文体,科技事务,2,2
529,"2022-05-23",科教文体,教育管理,5,5
530,"2022-05-23",科教文体,文化管理,5,5
531,"2022-05-23",科教文体,体育管理,3,3
532,"2022-05-23",科教文体,社会教育,2,2
533,"2022-05-23",公卫医疗,人口计生,96,98
534,"2022-05-23",公卫医疗,卫生保健,74,80
535,"2022-05-23",公卫医疗,医疗服务,125,128
536,"2022-05-23",公卫医疗,公共卫生,13,13
537,"2022-05-23",公卫医疗,医药管理,159,169
538,"2022-05-23",城乡建设,住房公积金,49,55
539,"2022-05-23",城乡建设,房屋管理,24,27
540,"2022-05-23",城乡建设,市容市貌,11,13
541,"2022-05-23",城乡建设,城乡规划,12,13
542,"2022-05-23",城乡建设,城市设施管理,39,44
