"md_id","busi_time","order_type_name","order_type_cd","total_num"
53,"2022-05-07",表扬,"0500",138
54,"2022-05-07",举报,"0600",10
55,"2022-05-07",无效,"0700",111
56,"2022-05-07",其他,"9999",415
57,"2022-05-08",咨询,"0100",72
58,"2022-05-08",投诉,"0200",98
59,"2022-05-08",意见建议,"0300",98
60,"2022-05-08",求助,"0400",53
61,"2022-05-08",表扬,"0500",109
62,"2022-05-08",举报,"0600",52
63,"2022-05-08",无效,"0700",137
64,"2022-05-08",其他,"9999",182
65,"2022-05-09",咨询,"0100",27
66,"2022-05-09",投诉,"0200",60
67,"2022-05-09",意见建议,"0300",85
68,"2022-05-09",求助,"0400",44
69,"2022-05-09",表扬,"0500",24
70,"2022-05-09",举报,"0600",46
71,"2022-05-09",无效,"0700",65
72,"2022-05-09",其他,"9999",257
73,"2022-05-10",咨询,"0100",31
74,"2022-05-10",投诉,"0200",59
75,"2022-05-10",意见建议,"0300",46
76,"2022-05-10",求助,"0400",8
77,"2022-05-10",表扬,"0500",7
78,"2022-05-10",举报,"0600",105
79,"2022-05-10",无效,"0700",39
80,"2022-05-10",其他,"9999",341
81,"2022-05-11",咨询,"0100",42
82,"2022-05-11",投诉,"0200",81
83,"2022-05-11",意见建议,"0300",57
84,"2022-05-11",求助,"0400",66
85,"2022-05-11",表扬,"0500",65
86,"2022-05-11",举报,"0600",97
87,"2022-05-11",无效,"0700",110
88,"2022-05-11",其他,"9999",136
89,"2022-05-12",咨询,"0100",53
90,"2022-05-12",投诉,"0200",36
91,"2022-05-12",意见建议,"0300",102
92,"2022-05-12",求助,"0400",69
93,"2022-05-12",表扬,"0500",15
94,"2022-05-12",举报,"0600",116
95,"2022-05-12",无效,"0700",67
96,"2022-05-12",其他,"9999",314
97,"2022-05-13",咨询,"0100",5
98,"2022-05-13",投诉,"0200",39
99,"2022-05-13",意见建议,"0300",13
100,"2022-05-13",求助,"0400",9
101,"2022-05-13",表扬,"0500",62
102,"2022-05-13",举报,"0600",66
103,"2022-05-13",无效,"0700",20
104,"2022-05-13",其他,"9999",146
105,"2022-05-14",咨询,"0100",44
106,"2022-05-14",投诉,"0200",6
107,"2022-05-14",意见建议,"0300",19
108,"2022-05-14",求助,"0400",92
109,"2022-05-14",表扬,"0500",39
110,"2022-05-14",举报,"0600",127
111,"2022-05-14",无效,"0700",106
112,"2022-05-14",其他,"9999",152
113,"2022-05-15",咨询,"0100",39
114,"2022-05-15",投诉,"0200",23
115,"2022-05-15",意见建议,"0300",20
116,"2022-05-15",求助,"0400",37
117,"2022-05-15",表扬,"0500",25
118,"2022-05-15",举报,"0600",67
119,"2022-05-15",无效,"0700",48
120,"2022-05-15",其他,"9999",106
121,"2022-05-16",咨询,"0100",13
122,"2022-05-16",投诉,"0200",33
123,"2022-05-16",意见建议,"0300",20
124,"2022-05-16",求助,"0400",15
125,"2022-05-16",表扬,"0500",120
126,"2022-05-16",举报,"0600",17
127,"2022-05-16",无效,"0700",67
128,"2022-05-16",其他,"9999",416
129,"2022-05-17",咨询,"0100",12
130,"2022-05-17",投诉,"0200",20
131,"2022-05-17",意见建议,"0300",49
132,"2022-05-17",求助,"0400",8
133,"2022-05-17",表扬,"0500",44
134,"2022-05-17",举报,"0600",109
135,"2022-05-17",无效,"0700",141
136,"2022-05-17",其他,"9999",174
137,"2022-05-18",咨询,"0100",87
138,"2022-05-18",投诉,"0200",55
139,"2022-05-18",意见建议,"0300",114
140,"2022-05-18",求助,"0400",61
141,"2022-05-18",表扬,"0500",43
142,"2022-05-18",举报,"0600",141
143,"2022-05-18",无效,"0700",15
144,"2022-05-18",其他,"9999",343
145,"2022-05-19",咨询,"0100",48
146,"2022-05-19",投诉,"0200",12
147,"2022-05-19",意见建议,"0300",79
148,"2022-05-19",求助,"0400",75
149,"2022-05-19",表扬,"0500",31
150,"2022-05-19",举报,"0600",89
151,"2022-05-19",无效,"0700",281
152,"2022-05-19",其他,"9999",293
153,"2022-05-20",咨询,"0100",17
154,"2022-05-20",投诉,"0200",24
155,"2022-05-20",意见建议,"0300",50
156,"2022-05-20",求助,"0400",58
157,"2022-05-20",表扬,"0500",28
158,"2022-05-20",举报,"0600",40
159,"2022-05-20",无效,"0700",76
160,"2022-05-20",其他,"9999",92
161,"2022-05-21",咨询,"0100",44
162,"2022-05-21",投诉,"0200",47
163,"2022-05-21",意见建议,"0300",30
164,"2022-05-21",求助,"0400",7
165,"2022-05-21",表扬,"0500",51
166,"2022-05-21",举报,"0600",27
167,"2022-05-21",无效,"0700",48
168,"2022-05-21",其他,"9999",121
169,"2022-05-22",咨询,"0100",32
170,"2022-05-22",投诉,"0200",43
171,"2022-05-22",意见建议,"0300",6
172,"2022-05-22",求助,"0400",53
173,"2022-05-22",表扬,"0500",6
174,"2022-05-22",举报,"0600",45
175,"2022-05-22",无效,"0700",12
176,"2022-05-22",其他,"9999",222
177,"2022-05-23",咨询,"0100",54
178,"2022-05-23",投诉,"0200",84
179,"2022-05-23",意见建议,"0300",54
180,"2022-05-23",求助,"0400",110
181,"2022-05-23",表扬,"0500",103
182,"2022-05-23",举报,"0600",76
183,"2022-05-23",无效,"0700",170
184,"2022-05-23",其他,"9999",200
185,"2022-05-24",咨询,"0100",28
186,"2022-05-24",投诉,"0200",44
187,"2022-05-24",意见建议,"0300",91
188,"2022-05-24",求助,"0400",53
189,"2022-05-24",表扬,"0500",140
190,"2022-05-24",举报,"0600",124
191,"2022-05-24",无效,"0700",169
192,"2022-05-24",其他,"9999",274
193,"2022-05-25",咨询,"0100",70
194,"2022-05-25",投诉,"0200",79
195,"2022-05-25",意见建议,"0300",27
196,"2022-05-25",求助,"0400",160
197,"2022-05-25",表扬,"0500",146
198,"2022-05-25",举报,"0600",80
199,"2022-05-25",无效,"0700",15
200,"2022-05-25",其他,"9999",401
201,"2022-05-26",咨询,"0100",101
202,"2022-05-26",投诉,"0200",35
203,"2022-05-26",意见建议,"0300",111
204,"2022-05-26",求助,"0400",65
205,"2022-05-26",表扬,"0500",104
206,"2022-05-26",举报,"0600",20
207,"2022-05-26",无效,"0700",27
208,"2022-05-26",其他,"9999",492
209,"2022-05-27",咨询,"0100",56
210,"2022-05-27",投诉,"0200",57
211,"2022-05-27",意见建议,"0300",121
212,"2022-05-27",求助,"0400",112
213,"2022-05-27",表扬,"0500",79
214,"2022-05-27",举报,"0600",121
215,"2022-05-27",无效,"0700",100
216,"2022-05-27",其他,"9999",264
217,"2022-05-28",咨询,"0100",85
218,"2022-05-28",投诉,"0200",26
219,"2022-05-28",意见建议,"0300",70
220,"2022-05-28",求助,"0400",142
221,"2022-05-28",表扬,"0500",30
222,"2022-05-28",举报,"0600",22
223,"2022-05-28",无效,"0700",74
224,"2022-05-28",其他,"9999",454
225,"2022-05-29",咨询,"0100",13
226,"2022-05-29",投诉,"0200",12
227,"2022-05-29",意见建议,"0300",40
228,"2022-05-29",求助,"0400",56
229,"2022-05-29",表扬,"0500",44
230,"2022-05-29",举报,"0600",140
231,"2022-05-29",无效,"0700",72
232,"2022-05-29",其他,"9999",222
233,"2022-05-30",咨询,"0100",10
234,"2022-05-30",投诉,"0200",37
235,"2022-05-30",意见建议,"0300",6
236,"2022-05-30",求助,"0400",14
237,"2022-05-30",表扬,"0500",31
238,"2022-05-30",举报,"0600",38
239,"2022-05-30",无效,"0700",75
240,"2022-05-30",其他,"9999",135
241,"2022-05-31",咨询,"0100",21
242,"2022-05-31",投诉,"0200",8
243,"2022-05-31",意见建议,"0300",5
244,"2022-05-31",求助,"0400",5
245,"2022-05-31",表扬,"0500",50
246,"2022-05-31",举报,"0600",132
247,"2022-05-31",无效,"0700",145
248,"2022-05-31",其他,"9999",168
249,"2022-06-01",咨询,"0100",82
250,"2022-06-01",投诉,"0200",6
251,"2022-06-01",意见建议,"0300",17
252,"2022-06-01",求助,"0400",75
253,"2022-06-01",表扬,"0500",149
254,"2022-06-01",举报,"0600",90
255,"2022-06-01",无效,"0700",139
256,"2022-06-01",其他,"9999",400
257,"2022-06-02",咨询,"0100",68
258,"2022-06-02",投诉,"0200",11
259,"2022-06-02",意见建议,"0300",41
260,"2022-06-02",求助,"0400",89
261,"2022-06-02",表扬,"0500",96
262,"2022-06-02",举报,"0600",48
263,"2022-06-02",无效,"0700",98
264,"2022-06-02",其他,"9999",144
265,"2022-06-03",咨询,"0100",6
266,"2022-06-03",投诉,"0200",8
267,"2022-06-03",意见建议,"0300",31
268,"2022-06-03",求助,"0400",16
269,"2022-06-03",表扬,"0500",60
270,"2022-06-03",举报,"0600",17
271,"2022-06-03",无效,"0700",71
272,"2022-06-03",其他,"9999",127
273,"2022-06-04",咨询,"0100",48
274,"2022-06-04",投诉,"0200",15
275,"2022-06-04",意见建议,"0300",12
276,"2022-06-04",求助,"0400",34
277,"2022-06-04",表扬,"0500",56
278,"2022-06-04",举报,"0600",59
279,"2022-06-04",无效,"0700",97
280,"2022-06-04",其他,"9999",131
281,"2022-06-05",咨询,"0100",74
282,"2022-06-05",投诉,"0200",43
283,"2022-06-05",意见建议,"0300",110
284,"2022-06-05",求助,"0400",107
285,"2022-06-05",表扬,"0500",39
286,"2022-06-05",举报,"0600",158
287,"2022-06-05",无效,"0700",111
288,"2022-06-05",其他,"9999",284
289,"2022-06-06",咨询,"0100",75
290,"2022-06-06",投诉,"0200",8
291,"2022-06-06",意见建议,"0300",26
292,"2022-06-06",求助,"0400",146
293,"2022-06-06",表扬,"0500",10
294,"2022-06-06",举报,"0600",85
295,"2022-06-06",无效,"0700",221
296,"2022-06-06",其他,"9999",327
297,"2022-06-07",咨询,"0100",16
298,"2022-06-07",投诉,"0200",24
299,"2022-06-07",意见建议,"0300",32
300,"2022-06-07",求助,"0400",47
301,"2022-06-07",表扬,"0500",19
302,"2022-06-07",举报,"0600",16
303,"2022-06-07",无效,"0700",71
304,"2022-06-07",其他,"9999",87
305,"2022-06-08",咨询,"0100",22
306,"2022-06-08",投诉,"0200",18
307,"2022-06-08",意见建议,"0300",47
308,"2022-06-08",求助,"0400",149
309,"2022-06-08",表扬,"0500",133
310,"2022-06-08",举报,"0600",84
311,"2022-06-08",无效,"0700",36
312,"2022-06-08",其他,"9999",357
313,"2022-06-09",咨询,"0100",8
314,"2022-06-09",投诉,"0200",31
315,"2022-06-09",意见建议,"0300",15
316,"2022-06-09",求助,"0400",65
317,"2022-06-09",表扬,"0500",105
318,"2022-06-09",举报,"0600",42
319,"2022-06-09",无效,"0700",104
320,"2022-06-09",其他,"9999",215
321,"2022-06-10",咨询,"0100",12
322,"2022-06-10",投诉,"0200",6
323,"2022-06-10",意见建议,"0300",46
324,"2022-06-10",求助,"0400",54
325,"2022-06-10",表扬,"0500",5
326,"2022-06-10",举报,"0600",48
327,"2022-06-10",无效,"0700",82
328,"2022-06-10",其他,"9999",178
329,"2022-06-11",咨询,"0100",75
330,"2022-06-11",投诉,"0200",12
331,"2022-06-11",意见建议,"0300",8
332,"2022-06-11",求助,"0400",53
333,"2022-06-11",表扬,"0500",35
334,"2022-06-11",举报,"0600",142
335,"2022-06-11",无效,"0700",104
336,"2022-06-11",其他,"9999",226
337,"2022-06-12",咨询,"0100",59
338,"2022-06-12",投诉,"0200",46
339,"2022-06-12",意见建议,"0300",71
340,"2022-06-12",求助,"0400",54
341,"2022-06-12",表扬,"0500",22
342,"2022-06-12",举报,"0600",33
343,"2022-06-12",无效,"0700",145
344,"2022-06-12",其他,"9999",148
345,"2022-06-13",咨询,"0100",46
346,"2022-06-13",投诉,"0200",36
347,"2022-06-13",意见建议,"0300",20
348,"2022-06-13",求助,"0400",27
349,"2022-06-13",表扬,"0500",83
350,"2022-06-13",举报,"0600",50
351,"2022-06-13",无效,"0700",30
352,"2022-06-13",其他,"9999",170
353,"2022-06-14",咨询,"0100",58
354,"2022-06-14",投诉,"0200",103
355,"2022-06-14",意见建议,"0300",40
356,"2022-06-14",求助,"0400",21
357,"2022-06-14",表扬,"0500",145
358,"2022-06-14",举报,"0600",88
359,"2022-06-14",无效,"0700",157
360,"2022-06-14",其他,"9999",202
361,"2022-06-15",咨询,"0100",45
362,"2022-06-15",投诉,"0200",9
363,"2022-06-15",意见建议,"0300",18
364,"2022-06-15",求助,"0400",16
365,"2022-06-15",表扬,"0500",45
366,"2022-06-15",举报,"0600",30
367,"2022-06-15",无效,"0700",68
368,"2022-06-15",其他,"9999",137
369,"2022-06-16",咨询,"0100",21
370,"2022-06-16",投诉,"0200",40
371,"2022-06-16",意见建议,"0300",7
372,"2022-06-16",求助,"0400",18
373,"2022-06-16",表扬,"0500",44
374,"2022-06-16",举报,"0600",45
375,"2022-06-16",无效,"0700",80
376,"2022-06-16",其他,"9999",120
377,"2022-06-17",咨询,"0100",81
378,"2022-06-17",投诉,"0200",61
379,"2022-06-17",意见建议,"0300",134
380,"2022-06-17",求助,"0400",82
381,"2022-06-17",表扬,"0500",77
382,"2022-06-17",举报,"0600",134
383,"2022-06-17",无效,"0700",177
384,"2022-06-17",其他,"9999",240
385,"2022-06-18",咨询,"0100",74
386,"2022-06-18",投诉,"0200",44
387,"2022-06-18",意见建议,"0300",28
388,"2022-06-18",求助,"0400",10
389,"2022-06-18",表扬,"0500",124
390,"2022-06-18",举报,"0600",76
391,"2022-06-18",无效,"0700",138
392,"2022-06-18",其他,"9999",197
393,"2022-06-19",咨询,"0100",11
394,"2022-06-19",投诉,"0200",46
395,"2022-06-19",意见建议,"0300",24
396,"2022-06-19",求助,"0400",38
397,"2022-06-19",表扬,"0500",9
398,"2022-06-19",举报,"0600",5
399,"2022-06-19",无效,"0700",38
400,"2022-06-19",其他,"9999",167
401,"2022-06-20",咨询,"0100",38
402,"2022-06-20",投诉,"0200",15
403,"2022-06-20",意见建议,"0300",58
404,"2022-06-20",求助,"0400",65
405,"2022-06-20",表扬,"0500",65
406,"2022-06-20",举报,"0600",29
407,"2022-06-20",无效,"0700",12
408,"2022-06-20",其他,"9999",175
409,"2022-06-21",咨询,"0100",59
410,"2022-06-21",投诉,"0200",14
411,"2022-06-21",意见建议,"0300",81
412,"2022-06-21",求助,"0400",50
413,"2022-06-21",表扬,"0500",16
414,"2022-06-21",举报,"0600",83
415,"2022-06-21",无效,"0700",49
416,"2022-06-21",其他,"9999",330
417,"2022-06-22",咨询,"0100",82
418,"2022-06-22",投诉,"0200",66
419,"2022-06-22",意见建议,"0300",16
420,"2022-06-22",求助,"0400",33
421,"2022-06-22",表扬,"0500",167
422,"2022-06-22",举报,"0600",39
423,"2022-06-22",无效,"0700",245
424,"2022-06-22",其他,"9999",253
425,"2022-06-23",咨询,"0100",63
426,"2022-06-23",投诉,"0200",25
427,"2022-06-23",意见建议,"0300",64
428,"2022-06-23",求助,"0400",9
429,"2022-06-23",表扬,"0500",65
430,"2022-06-23",举报,"0600",81
431,"2022-06-23",无效,"0700",60
432,"2022-06-23",其他,"9999",247
433,"2022-06-24",咨询,"0100",60
434,"2022-06-24",投诉,"0200",81
435,"2022-06-24",意见建议,"0300",100
436,"2022-06-24",求助,"0400",44
437,"2022-06-24",表扬,"0500",111
438,"2022-06-24",举报,"0600",19
439,"2022-06-24",无效,"0700",127
440,"2022-06-24",其他,"9999",224
441,"2022-06-25",咨询,"0100",49
442,"2022-06-25",投诉,"0200",29
443,"2022-06-25",意见建议,"0300",9
444,"2022-06-25",求助,"0400",12
445,"2022-06-25",表扬,"0500",75
446,"2022-06-25",举报,"0600",87
447,"2022-06-25",无效,"0700",113
448,"2022-06-25",其他,"9999",187
449,"2022-06-26",咨询,"0100",54
450,"2022-06-26",投诉,"0200",44
451,"2022-06-26",意见建议,"0300",56
452,"2022-06-26",求助,"0400",9
453,"2022-06-26",表扬,"0500",32
454,"2022-06-26",举报,"0600",10
455,"2022-06-26",无效,"0700",74
456,"2022-06-26",其他,"9999",165
457,"2022-06-27",咨询,"0100",71
458,"2022-06-27",投诉,"0200",40
459,"2022-06-27",意见建议,"0300",29
460,"2022-06-27",求助,"0400",63
461,"2022-06-27",表扬,"0500",51
462,"2022-06-27",举报,"0600",23
463,"2022-06-27",无效,"0700",82
464,"2022-06-27",其他,"9999",220
465,"2022-06-28",咨询,"0100",29
466,"2022-06-28",投诉,"0200",106
467,"2022-06-28",意见建议,"0300",97
468,"2022-06-28",求助,"0400",61
469,"2022-06-28",表扬,"0500",47
470,"2022-06-28",举报,"0600",40
471,"2022-06-28",无效,"0700",145
472,"2022-06-28",其他,"9999",391
473,"2022-06-29",咨询,"0100",10
474,"2022-06-29",投诉,"0200",39
475,"2022-06-29",意见建议,"0300",62
476,"2022-06-29",求助,"0400",31
477,"2022-06-29",表扬,"0500",22
478,"2022-06-29",举报,"0600",72
479,"2022-06-29",无效,"0700",20
480,"2022-06-29",其他,"9999",200
481,"2022-06-30",咨询,"0100",31
482,"2022-06-30",投诉,"0200",49
483,"2022-06-30",意见建议,"0300",6
484,"2022-06-30",求助,"0400",54
485,"2022-06-30",表扬,"0500",63
486,"2022-06-30",举报,"0600",9
487,"2022-06-30",无效,"0700",12
488,"2022-06-30",其他,"9999",191
489,"2022-07-01",咨询,"0100",14
490,"2022-07-01",投诉,"0200",36
491,"2022-07-01",意见建议,"0300",56
492,"2022-07-01",求助,"0400",48
493,"2022-07-01",表扬,"0500",51
494,"2022-07-01",举报,"0600",12
495,"2022-07-01",无效,"0700",101
496,"2022-07-01",其他,"9999",116
497,"2022-07-02",咨询,"0100",7
498,"2022-07-02",投诉,"0200",32
499,"2022-07-02",意见建议,"0300",47
500,"2022-07-02",求助,"0400",35
501,"2022-07-02",表扬,"0500",113
502,"2022-07-02",举报,"0600",153
503,"2022-07-02",无效,"0700",94
504,"2022-07-02",其他,"9999",251
505,"2022-07-03",咨询,"0100",7
506,"2022-07-03",投诉,"0200",72
507,"2022-07-03",意见建议,"0300",82
508,"2022-07-03",求助,"0400",25
509,"2022-07-03",表扬,"0500",96
510,"2022-07-03",举报,"0600",145
511,"2022-07-03",无效,"0700",69
512,"2022-07-03",其他,"9999",248
513,"2022-07-04",咨询,"0100",25
514,"2022-07-04",投诉,"0200",112
515,"2022-07-04",意见建议,"0300",63
516,"2022-07-04",求助,"0400",91
517,"2022-07-04",表扬,"0500",20
518,"2022-07-04",举报,"0600",142
519,"2022-07-04",无效,"0700",179
520,"2022-07-04",其他,"9999",198
521,"2022-07-05",咨询,"0100",42
522,"2022-07-05",投诉,"0200",16
523,"2022-07-05",意见建议,"0300",112
524,"2022-07-05",求助,"0400",110
525,"2022-07-05",表扬,"0500",114
526,"2022-07-05",举报,"0600",24
527,"2022-07-05",无效,"0700",147
528,"2022-07-05",其他,"9999",290
529,"2022-07-06",咨询,"0100",12
530,"2022-07-06",投诉,"0200",50
531,"2022-07-06",意见建议,"0300",28
532,"2022-07-06",求助,"0400",83
533,"2022-07-06",表扬,"0500",51
534,"2022-07-06",举报,"0600",50
535,"2022-07-06",无效,"0700",51
536,"2022-07-06",其他,"9999",267
537,"2022-07-07",咨询,"0100",41
538,"2022-07-07",投诉,"0200",32
539,"2022-07-07",意见建议,"0300",36
540,"2022-07-07",求助,"0400",36
541,"2022-07-07",表扬,"0500",17
542,"2022-07-07",举报,"0600",13
543,"2022-07-07",无效,"0700",41
544,"2022-07-07",其他,"9999",151
545,"2022-07-08",咨询,"0100",21
546,"2022-07-08",投诉,"0200",43
547,"2022-07-08",意见建议,"0300",35
548,"2022-07-08",求助,"0400",14
549,"2022-07-08",表扬,"0500",59
550,"2022-07-08",举报,"0600",42
551,"2022-07-08",无效,"0700",51
552,"2022-07-08",其他,"9999",88
553,"2022-07-09",咨询,"0100",42
554,"2022-07-09",投诉,"0200",25
555,"2022-07-09",意见建议,"0300",33
556,"2022-07-09",求助,"0400",12
557,"2022-07-09",表扬,"0500",152
558,"2022-07-09",举报,"0600",45
559,"2022-07-09",无效,"0700",14
560,"2022-07-09",其他,"9999",601
561,"2022-07-10",咨询,"0100",12
562,"2022-07-10",投诉,"0200",13
563,"2022-07-10",意见建议,"0300",72
564,"2022-07-10",求助,"0400",33
565,"2022-07-10",表扬,"0500",73
566,"2022-07-10",举报,"0600",106
567,"2022-07-10",无效,"0700",59
568,"2022-07-10",其他,"9999",465
569,"2022-07-11",咨询,"0100",36
570,"2022-07-11",投诉,"0200",20
571,"2022-07-11",意见建议,"0300",11
572,"2022-07-11",求助,"0400",30
573,"2022-07-11",表扬,"0500",7
574,"2022-07-11",举报,"0600",24
575,"2022-07-11",无效,"0700",55
576,"2022-07-11",其他,"9999",140
577,"2022-07-12",咨询,"0100",5
578,"2022-07-12",投诉,"0200",124
579,"2022-07-12",意见建议,"0300",90
580,"2022-07-12",求助,"0400",85
581,"2022-07-12",表扬,"0500",125
582,"2022-07-12",举报,"0600",45
583,"2022-07-12",无效,"0700",18
584,"2022-07-12",其他,"9999",451
585,"2022-07-13",咨询,"0100",5
586,"2022-07-13",投诉,"0200",31
587,"2022-07-13",意见建议,"0300",74
588,"2022-07-13",求助,"0400",74
589,"2022-07-13",表扬,"0500",83
590,"2022-07-13",举报,"0600",89
591,"2022-07-13",无效,"0700",5
592,"2022-07-13",其他,"9999",225
593,"2022-07-14",咨询,"0100",83
594,"2022-07-14",投诉,"0200",21
595,"2022-07-14",意见建议,"0300",92
596,"2022-07-14",求助,"0400",21
597,"2022-07-14",表扬,"0500",49
598,"2022-07-14",举报,"0600",130
599,"2022-07-14",无效,"0700",209
600,"2022-07-14",其他,"9999",228
601,"2022-07-15",咨询,"0100",60
602,"2022-07-15",投诉,"0200",16
603,"2022-07-15",意见建议,"0300",123
604,"2022-07-15",求助,"0400",138
605,"2022-07-15",表扬,"0500",115
606,"2022-07-15",举报,"0600",91
607,"2022-07-15",无效,"0700",187
608,"2022-07-15",其他,"9999",215
609,"2022-07-16",咨询,"0100",26
610,"2022-07-16",投诉,"0200",105
611,"2022-07-16",意见建议,"0300",84
612,"2022-07-16",求助,"0400",104
613,"2022-07-16",表扬,"0500",77
614,"2022-07-16",举报,"0600",21
615,"2022-07-16",无效,"0700",99
616,"2022-07-16",其他,"9999",284
617,"2022-07-17",咨询,"0100",65
618,"2022-07-17",投诉,"0200",31
619,"2022-07-17",意见建议,"0300",38
620,"2022-07-17",求助,"0400",29
621,"2022-07-17",表扬,"0500",64
622,"2022-07-17",举报,"0600",18
623,"2022-07-17",无效,"0700",138
624,"2022-07-17",其他,"9999",209
625,"2022-07-18",咨询,"0100",70
626,"2022-07-18",投诉,"0200",42
627,"2022-07-18",意见建议,"0300",53
628,"2022-07-18",求助,"0400",91
629,"2022-07-18",表扬,"0500",21
630,"2022-07-18",举报,"0600",76
631,"2022-07-18",无效,"0700",45
632,"2022-07-18",其他,"9999",247
633,"2022-07-19",咨询,"0100",36
634,"2022-07-19",投诉,"0200",32
635,"2022-07-19",意见建议,"0300",41
636,"2022-07-19",求助,"0400",17
637,"2022-07-19",表扬,"0500",20
638,"2022-07-19",举报,"0600",29
639,"2022-07-19",无效,"0700",85
640,"2022-07-19",其他,"9999",389
641,"2022-07-20",咨询,"0100",16
642,"2022-07-20",投诉,"0200",50
643,"2022-07-20",意见建议,"0300",14
644,"2022-07-20",求助,"0400",27
645,"2022-07-20",表扬,"0500",64
646,"2022-07-20",举报,"0600",55
647,"2022-07-20",无效,"0700",57
648,"2022-07-20",其他,"9999",197
649,"2022-07-21",咨询,"0100",63
650,"2022-07-21",投诉,"0200",10
651,"2022-07-21",意见建议,"0300",27
652,"2022-07-21",求助,"0400",85
653,"2022-07-21",表扬,"0500",13
654,"2022-07-21",举报,"0600",141
655,"2022-07-21",无效,"0700",30
656,"2022-07-21",其他,"9999",311
657,"2022-07-22",咨询,"0100",72
658,"2022-07-22",投诉,"0200",97
659,"2022-07-22",意见建议,"0300",22
660,"2022-07-22",求助,"0400",90
661,"2022-07-22",表扬,"0500",29
662,"2022-07-22",举报,"0600",122
663,"2022-07-22",无效,"0700",71
664,"2022-07-22",其他,"9999",259
665,"2022-07-23",咨询,"0100",19
666,"2022-07-23",投诉,"0200",25
667,"2022-07-23",意见建议,"0300",27
668,"2022-07-23",求助,"0400",7
669,"2022-07-23",表扬,"0500",6
670,"2022-07-23",举报,"0600",85
671,"2022-07-23",无效,"0700",22
672,"2022-07-23",其他,"9999",153
673,"2022-07-24",咨询,"0100",25
674,"2022-07-24",投诉,"0200",5
675,"2022-07-24",意见建议,"0300",43
676,"2022-07-24",求助,"0400",49
677,"2022-07-24",表扬,"0500",23
678,"2022-07-24",举报,"0600",10
679,"2022-07-24",无效,"0700",36
680,"2022-07-24",其他,"9999",132
681,"2022-07-25",咨询,"0100",55
682,"2022-07-25",投诉,"0200",52
683,"2022-07-25",意见建议,"0300",71
684,"2022-07-25",求助,"0400",46
685,"2022-07-25",表扬,"0500",39
686,"2022-07-25",举报,"0600",8
687,"2022-07-25",无效,"0700",125
688,"2022-07-25",其他,"9999",172
689,"2022-07-26",咨询,"0100",60
690,"2022-07-26",投诉,"0200",18
691,"2022-07-26",意见建议,"0300",77
692,"2022-07-26",求助,"0400",57
693,"2022-07-26",表扬,"0500",81
694,"2022-07-26",举报,"0600",117
695,"2022-07-26",无效,"0700",89
696,"2022-07-26",其他,"9999",199
697,"2022-07-27",咨询,"0100",19
698,"2022-07-27",投诉,"0200",55
699,"2022-07-27",意见建议,"0300",53
700,"2022-07-27",求助,"0400",138
701,"2022-07-27",表扬,"0500",140
702,"2022-07-27",举报,"0600",46
703,"2022-07-27",无效,"0700",78
704,"2022-07-27",其他,"9999",315
705,"2022-07-28",咨询,"0100",69
706,"2022-07-28",投诉,"0200",13
707,"2022-07-28",意见建议,"0300",15
708,"2022-07-28",求助,"0400",12
709,"2022-07-28",表扬,"0500",64
710,"2022-07-28",举报,"0600",57
