"md_id","busi_date","region_name","org_level","total_orders","process_orders","pending_orders","night_orders","cancelled_orders","avg_response_time","avg_finish_time","first_contact_resolved","escalation_cnt","repeat_cnt","online_channel_cnt","phone_channel_cnt","email_channel_cnt","mobile_app_cnt","alert_timeout_sign_orders","alert_timeout_process_orders","alert_repeat_exceed_orders","alert_sentiment_keyword_orders","high_priority_cnt","medium_priority_cnt","low_priority_cnt","overdue_pct","satisfaction_score","handler_cnt","bot_handled_cnt","handover_cnt","top_keyword_1","top_keyword_1_cnt","top_keyword_2","top_keyword_2_cnt","top_keyword_3","top_keyword_3_cnt","early_response_orders","late_response_orders","avg_wait_time_user","repeat_user_cnt","first_time_user_cnt","multi_channel_user_cnt","escalated_user_cnt","followup_orders","feedback_received_cnt","auto_reply_cnt","manual_reply_cnt","satisfaction_survey_sent","satisfaction_survey_responded","avg_survey_response_time"
11,"2022-05-02",A1镇,3,309,233,76,113,17,42.94,91.19,39,14,5,61,1,119,128,24,4,8,0,20,285,4,12.15,53.34,5,64,35,排水,100,垃圾,72,网络,63,223,76,86.74,6,32,15,36,155,61,59,174,113,92,66.48
12,"2022-05-02",B1镇,3,674,506,168,70,14,231.54,63.91,60,27,28,162,186,165,161,9,14,20,50,84,419,171,19.2,57.87,3,23,59,绿化,527,快递,149,停车,315,593,66,73.13,366,157,247,289,179,73,186,200,56,55,81.92
13,"2022-05-03",A市,1,267,263,4,0,4,75.9,30.27,65,14,4,75,90,0,102,20,19,12,8,81,86,100,18.27,49.05,10,255,22,供水,223,垃圾,234,噪音,155,223,11,37.52,122,4,1,80,174,103,169,72,196,9,30.57
14,"2022-05-03",B市,1,117,105,12,16,2,56.92,80.48,11,2,1,3,12,36,66,5,9,0,9,55,44,18,3.87,38.27,6,44,15,施工,17,供暖,49,安全,93,88,4,87.85,19,22,14,33,61,23,55,41,43,10,76.04
15,"2022-05-03",A县,2,662,501,161,140,33,59.8,76.68,82,62,25,8,258,100,296,6,44,7,16,258,100,304,6.83,47.0,4,439,115,垃圾,393,排水,211,噪音,303,119,47,91.54,2,0,0,1,245,0,359,31,400,14,28.07
16,"2022-05-03",B县,2,318,263,55,155,13,157.16,99.46,7,26,15,57,142,6,113,16,4,10,27,129,67,122,7.77,55.17,8,249,29,供电,103,外卖,252,扰民,153,264,39,94.52,37,199,174,4,170,40,250,11,161,140,25.12
17,"2022-05-03",A1镇,3,850,685,165,20,53,170.81,36.82,133,13,33,384,19,139,308,84,31,24,54,186,316,348,13.5,67.15,12,86,65,污染,639,供水,472,供电,383,576,57,68.74,256,422,274,423,483,21,648,21,306,191,97.0
18,"2022-05-03",B1镇,3,636,503,133,13,40,258.36,33.45,112,13,16,171,22,216,227,40,29,1,44,444,53,139,19.89,63.97,17,195,75,消防,267,停电,125,安全,228,318,241,70.39,286,45,160,240,103,92,275,220,430,315,94.28
19,"2022-05-04",A市,1,494,481,13,72,45,269.55,45.94,0,0,17,148,183,110,53,21,43,5,2,220,125,149,15.22,59.82,16,177,59,垃圾,329,施工,328,污染,467,34,356,73.25,6,24,0,15,390,284,197,228,32,4,33.27
20,"2022-05-04",B市,1,971,888,83,458,52,284.68,99.62,98,80,30,106,422,106,337,16,25,46,54,330,315,326,10.1,64.77,19,717,74,道路,906,宽带,970,外卖,539,173,164,97.0,11,122,133,48,240,209,876,12,626,235,58.97
21,"2022-05-04",A县,2,267,200,67,37,21,83.58,35.71,43,7,0,35,71,10,151,26,15,6,21,122,129,16,2.27,64.27,11,140,3,宽带,219,交通,103,消防,99,130,25,51.76,64,37,21,49,55,24,68,34,102,44,99.96
22,"2022-05-04",B县,2,839,770,69,178,42,116.15,61.89,61,70,8,188,253,331,67,72,83,28,15,449,77,313,7.27,53.89,10,732,106,维修,411,噪音,252,排水,275,532,136,53.43,152,206,18,251,124,59,696,26,8,4,79.67
23,"2022-05-04",A1镇,3,749,620,129,37,54,214.94,65.17,116,30,35,200,11,179,359,19,6,28,18,329,98,322,4.22,85.68,19,470,134,施工,553,停车,140,供电,452,613,54,35.13,145,104,212,28,309,125,377,153,71,17,80.16
24,"2022-05-04",B1镇,3,965,803,162,226,19,114.56,51.61,91,5,8,142,143,371,309,76,92,5,59,6,612,347,18.0,52.85,13,770,52,供暖,434,路灯,323,扰民,862,292,64,23.22,507,14,490,10,442,257,571,195,27,2,58.69
25,"2022-05-05",A市,1,158,153,5,68,13,93.73,76.37,41,10,0,96,5,54,3,3,12,6,15,4,84,70,0.44,97.85,17,69,12,快递,31,施工,57,扰民,35,111,12,85.05,19,20,32,39,32,18,69,71,0,0,12.33
26,"2022-05-05",B市,1,338,327,11,163,12,126.9,65.13,42,26,10,86,78,82,92,16,22,11,1,63,80,195,10.76,88.98,7,208,32,燃气,235,噪音,40,垃圾,128,3,169,79.31,86,152,186,202,198,80,5,260,228,111,11.22
27,"2022-05-05",A县,2,370,280,90,100,11,223.76,53.93,1,5,13,86,197,58,29,21,37,3,20,46,150,174,10.39,42.33,8,205,54,扰民,209,路灯,83,维修,317,35,120,46.28,2,217,69,95,65,1,74,124,186,79,80.09
28,"2022-05-05",B县,2,296,271,25,57,28,292.39,61.74,18,6,11,88,103,52,53,24,11,11,3,128,111,57,4.18,98.94,15,133,11,信号,175,噪音,140,排水,112,211,37,82.14,34,136,99,43,158,41,208,44,66,62,76.51
29,"2022-05-05",A1镇,3,222,211,11,79,22,190.21,98.49,48,17,11,79,23,18,102,1,18,5,18,122,49,51,18.11,57.23,12,55,10,消防,148,卫生,160,物业,185,68,79,48.42,23,118,102,34,190,96,124,75,14,9,85.88
30,"2022-05-05",B1镇,3,759,704,55,265,7,289.46,79.27,31,36,22,277,180,159,143,71,29,11,14,327,47,385,0.91,38.05,20,113,73,燃气,122,网络,592,道路,684,474,251,63.52,697,48,675,77,461,122,87,475,83,27,39.34
31,"2022-05-06",A市,1,503,455,48,31,48,53.81,66.02,93,15,12,114,170,82,137,5,33,16,10,146,14,343,6.96,48.27,4,346,51,电梯,252,供水,56,快递,422,153,232,24.72,33,15,11,32,127,13,337,106,346,248,69.83
32,"2022-05-06",B市,1,339,321,18,13,11,208.22,49.94,59,29,16,52,124,126,37,2,11,4,27,113,223,3,3.61,68.93,15,310,28,快递,208,噪音,241,排水,311,256,49,15.81,15,38,27,37,306,112,225,81,124,95,19.51
33,"2022-05-06",A县,2,218,199,19,10,5,250.71,87.7,34,11,2,0,91,29,98,0,13,6,17,106,15,97,15.53,99.47,18,85,14,垃圾,104,网络,178,违建,104,99,115,77.74,77,135,104,158,112,102,158,14,140,24,26.16
34,"2022-05-06",B县,2,954,911,43,453,37,197.64,68.63,46,53,47,74,317,358,205,80,72,3,92,337,312,305,16.45,73.84,11,834,70,燃气,700,排水,437,物业,480,481,199,71.23,29,841,689,674,79,9,418,154,626,565,70.19
35,"2022-05-06",A1镇,3,363,306,57,16,18,209.05,67.37,9,14,14,241,89,31,2,28,16,3,25,10,300,53,10.52,66.79,16,0,57,供电,223,排水,126,供水,310,333,17,20.56,229,34,54,131,54,50,95,178,292,207,47.71
36,"2022-05-06",B1镇,3,230,194,36,5,18,261.51,61.99,6,13,5,60,7,131,32,16,9,1,10,17,100,113,19.7,84.8,11,130,15,噪音,187,停电,48,快递,159,159,42,16.68,3,56,43,55,111,98,192,0,169,145,94.73
37,"2022-05-07",A市,1,427,323,104,174,25,190.71,70.97,61,32,0,42,142,21,222,18,10,1,42,115,198,114,11.42,30.77,7,68,40,路灯,402,维修,416,燃气,153,103,208,72.72,225,11,63,121,231,117,134,103,213,71,96.14
38,"2022-05-07",B市,1,330,328,2,51,9,79.92,73.79,8,29,9,50,67,96,117,24,30,0,0,140,139,51,15.52,75.29,8,249,40,外卖,42,宽带,255,供电,322,114,126,74.28,91,204,56,222,215,53,148,9,319,240,93.54
39,"2022-05-07",A县,2,198,186,12,70,1,43.47,78.61,40,1,2,35,69,28,66,0,6,2,6,41,156,1,13.48,59.78,5,6,8,停车,60,绿化,189,电梯,197,51,86,87.7,84,93,102,80,117,70,131,31,137,79,40.26
40,"2022-05-07",B县,2,224,196,28,52,4,273.61,54.95,22,0,2,37,25,85,77,14,17,7,11,28,97,99,15.15,37.57,12,131,11,供水,121,供暖,42,噪音,203,89,60,57.78,158,32,86,93,159,36,34,29,151,22,50.54
41,"2022-05-07",A1镇,3,622,581,41,120,17,59.01,39.64,51,62,24,176,231,49,166,38,4,9,3,285,291,46,11.89,88.07,1,511,115,停车,95,排水,260,违建,252,310,255,34.11,304,107,387,44,454,215,463,81,279,180,85.13
42,"2022-05-07",B1镇,3,298,257,41,52,4,244.73,68.5,47,19,8,95,36,145,22,15,14,13,27,60,182,56,5.66,38.78,11,188,39,信号,83,垃圾,116,漏水,161,150,2,57.71,63,74,113,60,73,46,104,75,43,27,91.58
43,"2022-05-08",A市,1,189,145,44,12,5,175.23,53.22,15,9,4,44,51,58,36,1,10,0,17,81,44,64,6.83,33.94,1,35,37,外卖,60,垃圾,35,违建,174,189,0,30.55,133,15,35,106,37,28,19,54,65,50,42.44
44,"2022-05-08",B市,1,116,116,0,23,8,36.32,89.19,31,10,4,28,69,7,12,2,8,3,11,32,70,14,18.89,91.68,17,7,14,电梯,42,供水,96,消防,98,26,86,19.69,23,86,28,99,64,24,71,38,107,15,94.74
45,"2022-05-08",A县,2,922,902,20,92,80,255.31,67.08,259,73,38,225,100,414,183,15,3,36,32,44,449,429,1.5,63.95,10,345,8,供水,709,快递,698,供电,375,645,155,29.12,245,467,659,245,33,25,555,214,259,139,19.1
46,"2022-05-08",B县,2,410,331,79,181,30,139.86,80.51,17,15,9,148,106,89,67,23,13,20,11,171,39,200,11.69,85.98,20,233,42,扰民,211,路灯,75,消防,236,261,18,24.59,51,232,226,242,238,82,94,40,102,95,79.76
47,"2022-05-08",A1镇,3,528,402,126,222,24,188.23,72.38,51,2,8,244,12,79,193,19,37,12,7,79,135,314,14.61,98.52,5,194,53,交通,136,停车,143,施工,345,260,158,65.66,21,3,0,11,326,15,252,44,41,12,49.03
48,"2022-05-08",B1镇,3,520,403,117,66,30,261.9,68.51,104,18,0,13,152,213,142,47,38,8,45,96,93,331,2.08,63.56,19,190,102,违建,465,施工,261,道路,56,399,39,65.76,19,283,0,269,198,113,389,2,74,58,42.51
49,"2022-05-09",A市,1,918,808,110,38,2,196.56,79.32,140,64,6,276,364,265,13,12,80,18,57,217,694,7,6.32,76.42,15,243,142,污染,144,停车,150,垃圾,518,784,29,23.36,664,216,393,685,115,68,445,230,397,375,23.62
50,"2022-05-09",B市,1,544,478,66,145,47,121.39,36.08,131,32,21,216,41,125,162,25,23,7,44,138,205,201,15.29,78.51,10,477,71,燃气,279,网络,469,电梯,65,92,315,99.68,468,61,250,414,274,46,279,45,156,72,68.89
51,"2022-05-09",A县,2,323,303,20,150,22,80.65,64.98,52,29,8,104,139,15,65,20,25,7,10,106,55,162,11.17,45.5,2,148,47,消防,95,路灯,109,快递,90,180,92,31.43,56,111,133,9,217,182,101,71,3,3,72.68
52,"2022-05-09",B县,2,982,854,128,63,44,173.09,34.49,180,88,40,369,179,337,97,5,37,7,97,192,508,282,0.93,74.21,1,328,6,外卖,677,信号,578,供水,312,762,149,32.35,176,107,164,244,222,54,659,56,818,725,54.75
53,"2022-05-09",A1镇,3,704,637,67,141,48,142.29,40.41,125,63,35,45,156,209,294,69,11,21,7,129,300,275,10.4,44.75,18,380,14,排水,589,燃气,198,噪音,563,267,146,59.18,187,117,275,124,390,262,204,104,594,290,53.13
54,"2022-05-09",B1镇,3,718,549,169,167,67,148.17,82.6,158,5,7,221,100,196,201,22,38,28,21,440,210,68,1.28,54.95,6,173,94,消防,150,噪音,540,停车,717,443,6,25.07,39,476,247,419,316,123,421,11,155,2,66.22
55,"2022-05-10",A市,1,967,882,85,451,14,174.31,30.92,124,10,33,8,261,340,358,94,65,11,63,473,414,80,14.82,50.51,7,453,168,卫生,353,道路,155,噪音,138,249,412,27.08,62,614,119,527,634,192,383,409,790,633,53.11
56,"2022-05-10",B市,1,469,408,61,175,42,43.16,39.74,25,28,16,108,148,70,143,24,12,18,0,236,142,91,9.24,69.08,10,231,71,漏水,163,违建,102,停电,248,17,332,93.41,113,196,191,181,92,13,128,72,305,158,57.6
57,"2022-05-10",A县,2,493,443,50,13,36,283.49,45.4,36,32,7,158,83,154,98,47,20,13,49,165,154,174,1.03,40.37,20,187,4,维修,420,道路,294,扰民,324,379,98,44.57,303,140,45,204,298,172,292,56,136,125,23.31
58,"2022-05-10",B县,2,382,333,49,115,7,210.93,50.09,59,4,7,96,140,52,94,6,3,1,37,27,150,205,16.3,93.63,14,302,11,信号,64,维修,117,燃气,102,332,39,17.11,126,24,86,101,278,108,19,201,92,36,88.76
59,"2022-05-10",A1镇,3,388,366,22,68,27,248.73,51.98,14,32,8,89,143,88,68,37,5,19,35,73,54,261,12.6,72.06,10,159,29,停电,234,交通,365,供电,250,46,139,50.84,197,70,241,205,140,61,295,14,51,31,88.26
60,"2022-05-10",B1镇,3,800,666,134,140,22,271.29,70.1,191,33,32,271,395,131,3,17,13,32,49,75,583,142,19.33,51.56,14,24,87,外卖,333,交通,92,施工,203,76,262,71.27,275,35,222,75,449,48,159,217,495,423,85.8
61,"2022-05-11",A市,1,987,743,244,172,37,198.44,58.58,117,30,23,232,265,231,259,80,42,16,12,157,453,377,0.47,78.0,4,143,150,停车,720,噪音,244,供电,893,754,72,67.04,571,378,324,829,458,379,4,460,362,252,11.94
62,"2022-05-11",B市,1,260,246,14,104,10,40.05,85.2,0,24,3,27,96,89,48,4,14,4,23,148,75,37,17.23,33.69,16,136,40,网络,111,卫生,62,物业,196,238,8,26.75,182,28,76,204,189,122,96,37,210,101,68.64
63,"2022-05-11",A县,2,412,375,37,23,37,99.37,44.32,108,5,15,124,132,53,103,3,39,9,1,225,171,16,5.88,41.23,18,194,19,垃圾,265,漏水,330,供水,298,49,229,64.38,126,278,301,31,235,176,20,226,362,270,10.48
64,"2022-05-11",B县,2,842,711,131,41,35,54.82,83.83,152,12,19,282,193,74,293,62,23,12,57,376,414,52,13.64,48.69,13,519,119,快递,534,供暖,324,供电,733,296,438,96.01,397,398,482,721,589,117,401,36,154,122,53.96
65,"2022-05-11",A1镇,3,306,240,66,28,21,267.34,67.93,28,21,0,108,123,50,25,1,3,11,21,0,142,164,13.18,66.22,8,215,44,漏水,40,施工,202,供水,117,118,160,71.82,183,35,95,6,21,3,120,43,18,11,61.53
66,"2022-05-11",B1镇,3,360,330,30,152,8,147.31,39.97,97,28,5,77,74,114,95,34,11,16,23,151,13,196,10.32,35.3,14,220,14,噪音,44,安全,164,垃圾,78,274,25,84.4,1,186,154,142,228,78,127,66,317,10,64.27
67,"2022-05-12",A市,1,613,573,40,112,22,119.82,73.1,142,52,21,186,147,135,145,44,23,22,18,154,240,219,15.09,47.52,19,318,65,快递,554,消防,603,供水,167,457,84,22.69,93,39,116,20,213,29,50,394,459,161,24.72
68,"2022-05-12",B市,1,193,177,16,54,3,45.17,75.86,24,14,8,38,73,42,40,9,15,9,7,122,44,27,10.2,83.98,16,159,20,扰民,185,道路,124,物业,142,113,2,28.42,58,125,119,95,20,19,152,9,135,94,67.77
69,"2022-05-12",A县,2,907,856,51,224,62,169.58,90.46,243,76,37,125,49,335,398,80,22,3,16,402,171,334,7.81,71.02,4,444,126,违建,862,电梯,392,网络,793,516,37,70.64,403,35,332,358,377,86,227,242,89,40,40.66
70,"2022-05-12",B县,2,728,546,182,25,12,180.9,72.35,78,10,31,173,188,283,84,13,58,26,34,241,237,250,19.51,42.93,4,282,80,路灯,617,宽带,206,违建,576,442,191,26.01,413,120,248,108,95,90,62,188,287,188,32.77
71,"2022-05-12",A1镇,3,690,644,46,110,68,290.49,82.98,160,20,6,247,49,136,258,45,57,20,39,51,314,325,15.82,47.46,13,42,74,停电,686,漏水,138,物业,194,47,451,67.31,37,126,120,108,387,127,34,43,445,73,95.73
72,"2022-05-12",B1镇,3,932,765,167,194,43,192.78,84.76,33,66,41,159,221,264,288,51,16,27,26,310,307,315,14.56,60.68,16,646,90,快递,440,路灯,574,物业,808,379,454,62.19,488,247,124,16,586,50,153,187,652,295,52.47
73,"2022-05-13",A市,1,1000,946,54,367,45,73.04,62.74,271,39,11,189,347,292,172,89,8,20,100,562,267,171,3.2,75.17,8,621,108,扰民,614,供暖,284,停车,143,959,33,20.63,272,76,185,306,389,327,280,263,63,44,56.28
74,"2022-05-13",B市,1,834,690,144,315,22,101.78,59.5,160,50,32,410,227,190,7,62,45,13,8,287,466,81,11.04,99.28,7,92,125,停车,563,道路,668,供水,715,316,221,22.83,33,174,4,155,339,231,181,365,335,97,79.08
75,"2022-05-13",A县,2,457,413,44,194,40,52.6,58.69,83,20,19,227,88,107,35,24,8,7,13,10,25,422,3.77,51.74,4,125,60,停电,79,外卖,267,道路,156,184,144,49.94,299,88,239,345,185,52,106,54,168,125,22.77
76,"2022-05-13",B县,2,614,569,45,188,24,94.86,34.7,46,15,28,246,33,258,77,9,58,25,56,97,278,239,2.31,64.37,11,440,53,供暖,441,信号,182,电梯,90,205,244,25.9,83,115,125,181,202,95,339,225,312,119,22.86
77,"2022-05-13",A1镇,3,764,663,101,310,10,168.35,85.25,104,49,27,197,243,218,106,50,35,17,41,91,345,328,1.92,45.09,10,156,126,燃气,528,道路,707,漏水,444,326,2,75.16,22,4,25,15,279,111,245,314,494,407,95.84
78,"2022-05-13",B1镇,3,274,226,48,11,22,212.21,69.28,66,3,5,19,102,101,52,27,15,11,9,101,108,65,10.22,50.67,5,14,17,电梯,39,网络,201,噪音,126,18,233,21.87,86,162,241,240,110,107,73,32,127,108,91.99
79,"2022-05-14",A市,1,461,447,14,230,16,277.69,92.14,93,17,16,52,105,131,173,39,6,17,39,210,166,85,19.35,67.12,19,410,20,漏水,63,物业,459,消防,356,98,319,70.73,199,26,83,63,140,61,12,186,2,2,90.65
80,"2022-05-14",B市,1,669,519,150,226,57,123.73,42.31,61,33,10,168,252,178,71,18,25,11,6,153,449,67,8.46,63.82,13,69,101,物业,559,噪音,128,消防,415,76,391,84.16,100,23,50,83,71,40,57,303,435,326,70.18
81,"2022-05-14",A县,2,640,572,68,128,24,108.41,36.37,104,37,0,60,140,218,222,34,2,26,25,5,342,293,15.29,82.59,1,83,68,噪音,614,绿化,516,网络,431,361,9,36.28,323,262,458,538,483,136,59,438,383,134,77.2
82,"2022-05-14",B县,2,547,411,136,62,51,95.37,72.28,43,51,11,144,79,240,84,32,37,4,30,292,183,72,9.93,90.91,8,9,52,排水,259,扰民,275,交通,265,0,426,61.8,111,56,113,118,285,128,188,216,351,9,41.31
83,"2022-05-14",A1镇,3,391,382,9,77,37,299.61,40.46,103,12,5,111,82,128,70,23,30,2,12,94,189,108,1.8,46.02,9,77,29,维修,294,绿化,247,扰民,365,36,46,35.65,188,102,220,102,52,10,88,162,7,2,55.9
84,"2022-05-14",B1镇,3,829,797,32,343,32,290.11,76.8,236,50,40,151,258,238,182,52,32,13,70,500,233,96,8.56,43.3,12,280,23,漏水,822,消防,598,施工,144,197,237,72.75,370,30,130,166,127,69,795,0,221,39,100.0
85,"2022-05-15",A市,1,352,272,80,1,33,232.38,92.1,71,31,12,73,93,78,108,11,26,15,32,155,27,170,12.99,99.63,8,216,48,漏水,283,供电,99,停电,325,48,60,97.58,108,216,255,20,209,55,7,27,33,22,82.09
86,"2022-05-15",B市,1,420,358,62,150,6,168.2,52.64,50,0,19,65,104,210,41,21,23,1,18,202,128,90,17.76,84.98,13,314,36,道路,234,排水,210,电梯,81,81,319,14.08,49,300,147,324,311,289,353,5,177,147,89.68
87,"2022-05-15",A县,2,623,610,13,287,15,230.61,81.94,35,46,12,213,212,78,120,55,40,1,25,337,96,190,6.73,65.81,5,189,72,宽带,400,停电,379,供电,493,156,345,68.27,98,41,45,2,368,149,267,339,51,0,18.07
88,"2022-05-15",B县,2,248,241,7,112,2,55.37,32.57,61,5,3,69,67,58,54,10,21,1,11,192,52,4,3.95,55.2,10,137,32,维修,87,排水,129,供暖,70,94,44,10.76,19,36,23,42,46,4,5,196,124,25,43.02
89,"2022-05-15",A1镇,3,261,198,63,72,7,123.59,57.54,37,4,5,81,100,9,71,8,24,12,10,97,3,161,17.29,57.06,10,125,41,供水,181,漏水,237,施工,171,211,44,80.0,14,0,14,8,74,49,6,112,7,6,91.0
90,"2022-05-15",B1镇,3,989,823,166,492,44,231.11,98.43,218,93,38,58,101,120,710,0,79,21,47,292,40,657,18.63,44.1,2,388,86,交通,658,扰民,980,网络,893,307,151,93.03,237,2,159,214,801,798,586,147,172,67,88.34
91,"2022-05-16",A市,1,704,554,150,50,29,205.3,82.91,115,6,8,349,243,53,59,61,35,27,34,18,313,373,5.17,85.53,3,192,60,宽带,546,污染,497,路灯,600,654,10,54.57,113,249,315,243,286,193,363,97,355,131,43.84
92,"2022-05-16",B市,1,422,422,0,187,2,244.51,63.8,30,24,17,150,51,194,27,22,24,11,12,207,174,41,4.92,42.92,16,417,76,电梯,225,快递,51,路灯,267,231,43,93.24,72,186,1,169,381,327,76,99,144,15,16.06
93,"2022-05-16",A县,2,256,232,24,98,25,57.69,62.02,32,14,1,63,98,77,18,6,9,1,23,103,26,127,8.45,94.03,20,17,17,燃气,115,停电,90,扰民,152,72,128,66.84,1,51,2,15,151,45,215,8,191,175,41.47
94,"2022-05-16",B县,2,721,671,50,88,52,24.23,51.53,130,51,26,313,298,15,95,53,59,34,55,6,463,252,14.98,40.79,16,105,138,施工,460,安全,512,消防,564,696,17,36.1,16,40,48,18,303,127,77,449,471,297,80.71
95,"2022-05-16",A1镇,3,131,114,17,65,9,28.4,72.54,28,1,5,38,37,19,37,2,0,5,10,29,50,52,14.83,60.73,7,42,25,宽带,77,垃圾,59,维修,40,118,10,91.33,87,9,17,41,13,7,57,22,22,11,33.9
96,"2022-05-16",B1镇,3,833,797,36,344,50,221.6,96.36,135,12,35,278,262,94,199,54,73,14,24,31,383,419,8.56,38.08,6,583,130,燃气,224,供电,748,垃圾,375,464,101,44.16,112,312,364,96,225,1,326,146,414,357,60.94
97,"2022-05-17",A市,1,145,122,23,43,13,80.89,47.77,5,12,5,37,7,56,45,14,1,6,3,56,54,35,11.35,73.55,10,90,21,网络,127,燃气,49,扰民,62,9,75,90.79,86,31,49,105,7,5,92,4,87,66,83.15
98,"2022-05-17",B市,1,217,169,48,87,5,234.42,68.66,40,13,3,48,97,70,2,18,11,10,5,29,74,114,2.89,86.55,5,20,37,外卖,190,停车,66,消防,193,29,175,48.28,27,58,17,8,41,34,163,3,45,16,33.01
99,"2022-05-17",A县,2,216,209,7,40,10,276.88,69.5,19,4,5,87,49,46,34,5,3,0,18,43,92,81,0.03,34.42,17,165,19,宽带,68,路灯,114,施工,85,43,120,24.19,124,47,153,26,190,164,137,34,88,29,77.3
100,"2022-05-17",B县,2,550,500,50,216,20,274.07,62.27,77,52,17,177,176,164,33,6,33,21,12,124,317,109,6.16,85.62,9,52,102,网络,192,漏水,483,施工,441,5,335,92.94,352,13,175,223,16,5,175,247,130,105,85.98
101,"2022-05-17",A1镇,3,183,169,14,85,1,201.26,47.09,9,6,9,35,42,62,44,7,11,2,3,168,3,12,4.65,41.93,10,19,33,安全,29,快递,69,噪音,107,75,66,99.46,14,88,86,93,44,36,4,84,139,50,20.8
102,"2022-05-17",B1镇,3,904,684,220,351,46,242.33,54.54,161,12,37,180,179,222,323,10,64,26,55,56,501,347,13.49,41.02,7,610,82,物业,94,消防,562,宽带,670,777,109,67.37,362,392,316,181,362,288,485,19,119,31,32.72
103,"2022-05-18",A市,1,446,393,53,62,7,66.34,37.85,100,39,8,132,120,46,148,36,43,9,22,310,76,60,12.26,87.95,14,179,49,路灯,397,维修,167,施工,418,322,66,15.6,10,4,7,5,328,274,168,71,151,23,40.0
104,"2022-05-18",B市,1,901,870,31,146,50,132.9,72.74,207,63,43,121,131,306,343,83,65,32,9,79,203,619,2.91,60.73,2,503,83,供水,93,物业,842,垃圾,596,198,26,61.92,318,295,521,587,200,57,802,56,280,126,17.28
105,"2022-05-18",A县,2,535,515,20,82,9,74.45,91.86,120,36,26,121,70,156,188,52,53,21,41,176,121,238,16.88,97.07,8,264,65,信号,535,施工,482,消防,454,520,8,71.64,106,22,28,107,29,1,142,125,321,250,27.91
