"md_id","busi_time","dept_type","item_num","complete_num","complete_avg_time","satis_num"
143,"2022-07-11",1,697,512,816,628
144,"2022-07-11",2,870,545,1350,259
145,"2022-07-12",1,606,526,1278,141
146,"2022-07-12",2,1075,554,1125,868
147,"2022-07-13",1,865,628,1237,690
148,"2022-07-13",2,699,81,1195,204
149,"2022-07-14",1,421,165,754,412
150,"2022-07-14",2,1169,369,1136,285
151,"2022-07-15",1,312,227,1056,250
152,"2022-07-15",2,341,205,610,211
153,"2022-07-16",1,584,238,25,551
154,"2022-07-16",2,351,242,40,348
155,"2022-07-17",1,1197,196,331,852
156,"2022-07-17",2,801,776,554,564
157,"2022-07-18",1,1150,687,649,1149
158,"2022-07-18",2,925,75,694,768
159,"2022-07-19",1,345,216,1405,65
160,"2022-07-19",2,935,5,845,478
161,"2022-07-20",1,852,407,238,786
162,"2022-07-20",2,486,416,589,270
163,"2022-07-21",1,223,17,613,213
164,"2022-07-21",2,427,362,1094,136
165,"2022-07-22",1,566,172,950,204
166,"2022-07-22",2,925,800,353,430
167,"2022-07-23",1,831,441,1279,566
168,"2022-07-23",2,1169,1106,348,954
169,"2022-07-24",1,778,492,1349,429
170,"2022-07-24",2,681,90,798,490
171,"2022-07-25",1,319,140,1426,176
172,"2022-07-25",2,279,175,809,231
173,"2022-07-26",1,1172,390,890,1068
174,"2022-07-26",2,805,136,354,452
175,"2022-07-27",1,762,553,1089,316
176,"2022-07-27",2,754,695,934,305
177,"2022-07-28",1,1140,275,269,415
178,"2022-07-28",2,1162,1107,1016,36
179,"2022-07-29",1,765,546,592,354
180,"2022-07-29",2,696,493,295,484
181,"2022-07-30",1,569,168,491,278
182,"2022-07-30",2,494,29,669,327
183,"2022-07-31",1,512,467,402,259
184,"2022-07-31",2,446,408,1127,432
185,"2022-08-01",1,607,527,508,405
186,"2022-08-01",2,844,782,1159,723
187,"2022-08-02",1,303,251,794,99
188,"2022-08-02",2,994,214,679,408
189,"2022-08-03",1,885,779,916,807
190,"2022-08-03",2,874,229,843,267
191,"2022-08-04",1,1032,672,112,571
192,"2022-08-04",2,528,250,1154,101
193,"2022-08-05",1,445,363,1394,149
194,"2022-08-05",2,586,28,1035,1
195,"2022-08-06",1,560,151,358,287
196,"2022-08-06",2,1120,549,844,1059
197,"2022-08-07",1,599,149,1317,369
198,"2022-08-07",2,390,107,182,92
199,"2022-08-08",1,1088,744,1408,285
200,"2022-08-08",2,691,388,726,291
201,"2022-08-09",1,464,213,403,182
202,"2022-08-09",2,731,226,627,232
203,"2022-08-10",1,729,278,436,324
204,"2022-08-10",2,645,47,1417,241
205,"2022-08-11",1,442,284,37,430
206,"2022-08-11",2,634,480,644,134
207,"2022-08-12",1,487,274,1087,292
208,"2022-08-12",2,921,32,1088,849
209,"2022-08-13",1,342,228,353,169
210,"2022-08-13",2,452,446,119,394
211,"2022-08-14",1,1118,777,797,700
212,"2022-08-14",2,566,543,1096,70
213,"2022-08-15",1,592,347,1094,60
214,"2022-08-15",2,885,692,883,523
215,"2022-08-16",1,332,22,68,10
216,"2022-08-16",2,950,876,1310,256
217,"2022-08-17",1,620,11,1393,488
218,"2022-08-17",2,816,362,672,259
219,"2022-08-18",1,704,175,174,116
220,"2022-08-18",2,781,148,594,683
221,"2022-08-19",1,1035,305,820,122
222,"2022-08-19",2,351,185,1102,16
223,"2022-08-20",1,807,290,1273,278
224,"2022-08-20",2,1016,339,887,0
225,"2022-08-21",1,1066,156,28,498
226,"2022-08-21",2,1018,143,1235,295
227,"2022-08-22",1,1149,417,30,816
228,"2022-08-22",2,1090,1049,1427,423
229,"2022-08-23",1,624,82,368,115
230,"2022-08-23",2,578,312,1213,454
231,"2022-08-24",1,662,40,1171,544
232,"2022-08-24",2,227,12,759,183
233,"2022-08-25",1,1041,57,453,509
234,"2022-08-25",2,532,86,173,521
235,"2022-08-26",1,940,773,1283,421
236,"2022-08-26",2,400,23,248,156
237,"2022-08-27",1,1130,857,1182,1105
238,"2022-08-27",2,962,685,443,221
239,"2022-08-28",1,640,53,241,140
240,"2022-08-28",2,791,307,66,677
241,"2022-08-29",1,527,460,706,315
242,"2022-08-29",2,637,231,513,271
243,"2022-08-30",1,284,7,1255,244
244,"2022-08-30",2,288,83,887,21
245,"2022-08-31",1,275,66,684,243
246,"2022-08-31",2,1066,788,756,1007
247,"2022-09-01",1,223,204,561,170
248,"2022-09-01",2,1069,544,701,657
249,"2022-09-02",1,369,359,463,50
250,"2022-09-02",2,732,227,704,475
251,"2022-09-03",1,1115,303,972,104
252,"2022-09-03",2,327,260,1098,5
253,"2022-09-04",1,375,236,1150,103
254,"2022-09-04",2,717,588,982,684
255,"2022-09-05",1,535,467,1435,274
256,"2022-09-05",2,1119,798,999,84
257,"2022-09-06",1,1152,814,1142,346
258,"2022-09-06",2,287,261,1382,85
259,"2022-09-07",1,625,85,1034,231
260,"2022-09-07",2,1080,3,479,609
261,"2022-09-08",1,390,345,512,359
262,"2022-09-08",2,474,231,1228,329
263,"2022-09-09",1,920,62,1318,129
264,"2022-09-09",2,658,607,156,382
265,"2022-09-10",1,624,581,553,533
266,"2022-09-10",2,438,111,704,320
267,"2022-09-11",1,911,211,171,669
268,"2022-09-11",2,295,91,1182,63
269,"2022-09-12",1,1143,613,210,598
270,"2022-09-12",2,433,283,135,195
271,"2022-09-13",1,705,646,1090,685
272,"2022-09-13",2,390,309,1141,320
273,"2022-09-14",1,495,142,374,466
274,"2022-09-14",2,372,201,774,310
275,"2022-09-15",1,787,1,134,298
276,"2022-09-15",2,1081,109,483,358
277,"2022-09-16",1,952,227,1332,404
278,"2022-09-16",2,994,95,1398,748
279,"2022-09-17",1,305,162,721,67
280,"2022-09-17",2,345,322,694,147
281,"2022-09-18",1,261,236,173,162
282,"2022-09-18",2,666,622,1285,175
283,"2022-09-19",1,1131,993,978,442
284,"2022-09-19",2,282,146,295,110
285,"2022-09-20",1,281,144,726,193
286,"2022-09-20",2,976,1,398,454
287,"2022-09-21",1,553,62,1170,113
288,"2022-09-21",2,647,638,1086,462
289,"2022-09-22",1,255,115,172,139
290,"2022-09-22",2,454,161,883,367
291,"2022-09-23",1,1110,1086,999,628
292,"2022-09-23",2,762,89,365,22
293,"2022-09-24",1,366,113,216,200
294,"2022-09-24",2,594,122,734,84
295,"2022-09-25",1,609,229,1389,328
296,"2022-09-25",2,953,372,1126,373
297,"2022-09-26",1,540,503,721,316
298,"2022-09-26",2,904,706,694,159
299,"2022-09-27",1,468,372,369,327
300,"2022-09-27",2,240,54,593,101
301,"2022-09-28",1,528,409,1325,272
302,"2022-09-28",2,768,761,441,299
303,"2022-09-29",1,504,249,334,338
304,"2022-09-29",2,679,107,812,402
305,"2022-09-30",1,981,748,1341,491
306,"2022-09-30",2,559,284,291,507
307,"2022-10-01",1,536,221,278,398
308,"2022-10-01",2,210,18,560,92
309,"2022-10-02",1,654,182,335,11
310,"2022-10-02",2,219,70,319,0
311,"2022-10-03",1,444,39,524,237
312,"2022-10-03",2,380,195,1338,235
313,"2022-10-04",1,699,588,514,110
314,"2022-10-04",2,905,578,424,718
315,"2022-10-05",1,394,394,107,311
316,"2022-10-05",2,475,219,1017,363
317,"2022-10-06",1,757,212,1221,723
318,"2022-10-06",2,1180,821,364,418
319,"2022-10-07",1,1025,878,786,374
320,"2022-10-07",2,1025,995,1017,830
321,"2022-10-08",1,547,348,431,207
322,"2022-10-08",2,760,137,535,363
323,"2022-10-09",1,557,27,352,47
324,"2022-10-09",2,987,769,1131,609
325,"2022-10-10",1,509,302,1305,373
326,"2022-10-10",2,801,594,143,604
327,"2022-10-11",1,1095,603,617,168
328,"2022-10-11",2,882,57,1169,876
329,"2022-10-12",1,568,320,1247,10
330,"2022-10-12",2,874,643,1142,475
331,"2022-10-13",1,963,569,1197,347
332,"2022-10-13",2,400,315,1023,194
333,"2022-10-14",1,1073,849,1342,288
334,"2022-10-14",2,362,238,746,320
335,"2022-10-15",1,424,358,539,275
336,"2022-10-15",2,550,19,1153,61
337,"2022-10-16",1,1028,742,1275,18
338,"2022-10-16",2,546,497,36,292
339,"2022-10-17",1,413,365,98,265
340,"2022-10-17",2,537,131,297,372
341,"2022-10-18",1,734,348,304,289
342,"2022-10-18",2,625,179,204,354
343,"2022-10-19",1,739,493,16,610
344,"2022-10-19",2,457,189,221,445
345,"2022-10-20",1,785,668,154,343
346,"2022-10-20",2,843,247,955,148
347,"2022-10-21",1,1020,27,1021,211
348,"2022-10-21",2,347,52,462,34
349,"2022-10-22",1,1031,915,761,450
350,"2022-10-22",2,990,262,51,611
351,"2022-10-23",1,319,207,1267,118
352,"2022-10-23",2,914,779,779,28
353,"2022-10-24",1,705,25,954,521
354,"2022-10-24",2,1082,105,854,236
355,"2022-10-25",1,393,278,826,308
356,"2022-10-25",2,749,460,1204,83
357,"2022-10-26",1,936,16,351,186
358,"2022-10-26",2,343,339,780,94
359,"2022-10-27",1,282,135,114,162
360,"2022-10-27",2,1066,1027,856,76
361,"2022-10-28",1,428,194,313,188
362,"2022-10-28",2,950,244,372,644
363,"2022-10-29",1,264,227,508,44
364,"2022-10-29",2,1149,382,1423,122
365,"2022-10-30",1,916,845,21,868
366,"2022-10-30",2,1078,1007,1099,66
367,"2022-10-31",1,999,960,509,139
368,"2022-10-31",2,244,74,952,152
369,"2022-11-01",1,696,10,1240,544
370,"2022-11-01",2,1175,788,1001,804
371,"2022-11-02",1,861,406,443,39
372,"2022-11-02",2,271,80,11,111
373,"2022-11-03",1,476,397,687,368
374,"2022-11-03",2,836,320,1264,200
375,"2022-11-04",1,414,154,578,79
376,"2022-11-04",2,489,227,934,297
377,"2022-11-05",1,982,443,1130,22
378,"2022-11-05",2,757,405,469,153
379,"2022-11-06",1,719,640,1283,495
380,"2022-11-06",2,1047,962,817,512
381,"2022-11-07",1,1051,111,1369,230
382,"2022-11-07",2,950,230,107,20
383,"2022-11-08",1,570,340,1429,81
384,"2022-11-08",2,454,73,47,162
385,"2022-11-09",1,252,101,624,74
386,"2022-11-09",2,669,167,745,369
387,"2022-11-10",1,1191,799,308,349
388,"2022-11-10",2,866,73,1259,624
389,"2022-11-11",1,857,383,413,212
390,"2022-11-11",2,540,251,1161,3
391,"2022-11-12",1,1028,789,1409,829
392,"2022-11-12",2,1086,358,656,950
393,"2022-11-13",1,586,479,1292,490
394,"2022-11-13",2,1144,288,972,774
395,"2022-11-14",1,461,363,148,29
396,"2022-11-14",2,991,827,639,648
397,"2022-11-15",1,902,699,348,355
398,"2022-11-15",2,343,64,1256,248
399,"2022-11-16",1,268,96,439,159
400,"2022-11-16",2,996,315,238,342
401,"2022-11-17",1,783,92,1288,470
402,"2022-11-17",2,426,216,1284,381
403,"2022-11-18",1,449,93,1012,297
404,"2022-11-18",2,992,157,917,705
405,"2022-11-19",1,824,768,1168,14
406,"2022-11-19",2,1192,474,354,1129
407,"2022-11-20",1,560,469,1150,113
408,"2022-11-20",2,1121,1043,536,249
409,"2022-11-21",1,1086,547,540,757
410,"2022-11-21",2,368,99,399,298
411,"2022-11-22",1,1021,372,738,62
412,"2022-11-22",2,501,442,1090,294
413,"2022-11-23",1,335,165,764,163
414,"2022-11-23",2,714,334,656,151
415,"2022-11-24",1,1098,933,306,583
416,"2022-11-24",2,339,16,1415,24
417,"2022-11-25",1,1181,977,491,641
418,"2022-11-25",2,825,436,747,258
419,"2022-11-26",1,797,430,1086,675
420,"2022-11-26",2,707,235,326,46
421,"2022-11-27",1,370,17,773,92
422,"2022-11-27",2,564,0,843,83
423,"2022-11-28",1,579,8,173,330
424,"2022-11-28",2,207,134,864,112
425,"2022-11-29",1,1192,188,557,401
426,"2022-11-29",2,665,439,877,409
427,"2022-11-30",1,206,102,239,167
428,"2022-11-30",2,1108,594,642,339
429,"2022-12-01",1,203,7,1284,93
430,"2022-12-01",2,1128,802,1136,820
431,"2022-12-02",1,350,138,79,214
432,"2022-12-02",2,1040,810,51,745
433,"2022-12-03",1,334,204,798,283
434,"2022-12-03",2,808,753,1291,569
435,"2022-12-04",1,675,116,1328,440
436,"2022-12-04",2,271,8,328,128
437,"2022-12-05",1,1125,8,1263,142
438,"2022-12-05",2,1146,992,830,377
439,"2022-12-06",1,378,87,206,140
440,"2022-12-06",2,261,57,717,1
441,"2022-12-07",1,307,177,475,199
442,"2022-12-07",2,769,326,1170,27
443,"2022-12-08",1,520,484,55,346
444,"2022-12-08",2,872,868,204,74
445,"2022-12-09",1,233,112,824,70
446,"2022-12-09",2,571,380,352,442
447,"2022-12-10",1,548,422,729,386
448,"2022-12-10",2,615,335,801,171
449,"2022-12-11",1,552,425,938,493
450,"2022-12-11",2,673,376,544,540
451,"2022-12-12",1,512,338,550,204
452,"2022-12-12",2,995,992,1277,174
453,"2022-12-13",1,689,345,898,522
454,"2022-12-13",2,916,631,255,625
455,"2022-12-14",1,203,79,1064,183
456,"2022-12-14",2,886,74,852,281
457,"2022-12-15",1,332,289,743,238
458,"2022-12-15",2,1121,183,562,847
459,"2022-12-16",1,1087,69,235,351
460,"2022-12-16",2,519,259,403,29
461,"2022-12-17",1,432,156,1006,357
462,"2022-12-17",2,586,139,671,250
463,"2022-12-18",1,1006,630,555,273
464,"2022-12-18",2,546,307,639,126
465,"2022-12-19",1,931,462,498,331
466,"2022-12-19",2,456,271,1058,278
467,"2022-12-20",1,1134,380,282,734
468,"2022-12-20",2,674,26,751,157
469,"2022-12-21",1,670,391,211,38
470,"2022-12-21",2,713,306,762,563
471,"2022-12-22",1,317,228,630,94
472,"2022-12-22",2,734,317,1036,36
473,"2022-12-23",1,616,228,960,616
474,"2022-12-23",2,1049,248,635,604
475,"2022-12-24",1,428,280,789,142
476,"2022-12-24",2,705,88,1038,654
477,"2022-12-25",1,1121,366,176,234
478,"2022-12-25",2,877,799,1428,0
479,"2022-12-26",1,1175,549,425,167
480,"2022-12-26",2,552,158,1322,533
481,"2022-12-27",1,773,301,722,225
482,"2022-12-27",2,1008,798,1036,986
483,"2022-12-28",1,822,763,718,54
484,"2022-12-28",2,882,874,130,313
485,"2022-12-29",1,765,86,153,489
486,"2022-12-29",2,483,255,1009,245
487,"2022-12-30",1,1050,310,305,625
488,"2022-12-30",2,1164,56,1413,650
489,"2022-12-31",1,685,646,549,411
490,"2022-12-31",2,366,155,918,166
491,"2023-01-01",1,570,257,851,386
492,"2023-01-01",2,785,74,1207,712
493,"2023-01-02",1,727,517,1225,434
494,"2023-01-02",2,805,83,1236,207
495,"2023-01-03",1,650,76,521,215
496,"2023-01-03",2,762,429,938,753
497,"2023-01-04",1,346,67,577,257
498,"2023-01-04",2,707,243,1321,519
499,"2023-01-05",1,1077,643,1080,153
500,"2023-01-05",2,921,680,819,60
501,"2023-01-06",1,737,277,290,219
502,"2023-01-06",2,1032,83,1051,612
503,"2023-01-07",1,1155,1043,119,860
504,"2023-01-07",2,635,253,1086,473
505,"2023-01-08",1,692,402,1382,577
506,"2023-01-08",2,233,85,529,14
507,"2023-01-09",1,585,528,410,295
508,"2023-01-09",2,620,193,121,236
509,"2023-01-10",1,706,41,523,277
510,"2023-01-10",2,895,353,844,481
511,"2023-01-11",1,1142,490,613,206
512,"2023-01-11",2,525,105,667,97
513,"2023-01-12",1,531,265,858,290
514,"2023-01-12",2,961,86,721,92
515,"2023-01-13",1,207,195,1280,122
516,"2023-01-13",2,1069,391,449,469
517,"2023-01-14",1,765,174,355,52
518,"2023-01-14",2,756,746,740,444
519,"2023-01-15",1,266,48,374,215
520,"2023-01-15",2,1162,827,58,310
521,"2023-01-16",1,1143,988,338,502
522,"2023-01-16",2,1023,985,210,370
523,"2023-01-17",1,557,211,603,398
524,"2023-01-17",2,838,289,961,433
525,"2023-01-18",1,1038,372,475,516
526,"2023-01-18",2,890,782,725,200
527,"2023-01-19",1,331,64,1299,325
528,"2023-01-19",2,982,322,117,654
529,"2023-01-20",1,329,260,398,233
530,"2023-01-20",2,405,68,310,133
531,"2023-01-21",1,659,300,1312,155
532,"2023-01-21",2,476,136,456,54
533,"2023-01-22",1,732,491,652,347
534,"2023-01-22",2,481,78,918,344
535,"2023-01-23",1,388,329,12,247
536,"2023-01-23",2,595,345,547,581
537,"2023-01-24",1,940,290,914,794
538,"2023-01-24",2,472,264,763,63
539,"2023-01-25",1,1134,610,562,663
540,"2023-01-25",2,977,273,333,709
541,"2023-01-26",1,408,134,1208,395
542,"2023-01-26",2,202,33,94,82
543,"2023-01-27",1,521,87,687,85
544,"2023-01-27",2,478,102,1024,136
545,"2023-01-28",1,834,158,387,12
546,"2023-01-28",2,578,101,837,160
547,"2023-01-29",1,317,129,329,135
548,"2023-01-29",2,475,303,1038,173
549,"2023-01-30",1,1193,192,1434,619
550,"2023-01-30",2,935,217,1151,61
551,"2023-01-31",1,1085,893,183,316
552,"2023-01-31",2,1059,953,279,793
553,"2023-02-01",1,338,15,131,237
554,"2023-02-01",2,276,29,243,25
555,"2023-02-02",1,1047,291,261,1016
556,"2023-02-02",2,880,327,41,314
557,"2023-02-03",1,294,31,696,119
558,"2023-02-03",2,679,354,18,480
559,"2023-02-04",1,998,877,1278,28
560,"2023-02-04",2,907,449,348,732
561,"2023-02-05",1,334,217,717,41
562,"2023-02-05",2,932,357,1010,348
563,"2023-02-06",1,1107,384,266,649
564,"2023-02-06",2,620,191,196,542
565,"2023-02-07",1,1197,567,619,544
566,"2023-02-07",2,843,771,1060,236
567,"2023-02-08",1,527,316,892,148
568,"2023-02-08",2,512,41,907,125
569,"2023-02-09",1,890,161,1315,179
570,"2023-02-09",2,289,66,1053,88
571,"2023-02-10",1,641,223,297,110
572,"2023-02-10",2,478,228,537,401
573,"2023-02-11",1,700,428,854,483
574,"2023-02-11",2,401,165,295,176
575,"2023-02-12",1,765,356,1014,591
576,"2023-02-12",2,940,765,17,475
577,"2023-02-13",1,958,225,1049,32
578,"2023-02-13",2,601,491,1150,288
579,"2023-02-14",1,769,54,1313,643
580,"2023-02-14",2,207,196,925,202
581,"2023-02-15",1,608,435,534,165
582,"2023-02-15",2,822,676,13,462
583,"2023-02-16",1,846,569,971,352
584,"2023-02-16",2,211,42,1189,187
585,"2023-02-17",1,1067,905,702,843
586,"2023-02-17",2,619,205,433,196
587,"2023-02-18",1,624,436,283,511
588,"2023-02-18",2,1188,623,461,156
589,"2023-02-19",1,726,480,1353,698
590,"2023-02-19",2,291,24,1064,10
591,"2023-02-20",1,993,571,612,341
592,"2023-02-20",2,851,787,497,215
593,"2023-02-21",1,1117,634,773,298
594,"2023-02-21",2,791,237,579,44
595,"2023-02-22",1,1161,339,608,552
596,"2023-02-22",2,698,604,523,334
597,"2023-02-23",1,477,406,1274,261
598,"2023-02-23",2,1196,667,838,542
599,"2023-02-24",1,764,155,858,67
600,"2023-02-24",2,1113,680,332,438
601,"2023-02-25",1,552,146,1327,287
602,"2023-02-25",2,703,229,1061,467
603,"2023-02-26",1,253,73,323,128
604,"2023-02-26",2,1163,905,1284,210
605,"2023-02-27",1,450,425,36,72
606,"2023-02-27",2,768,108,1259,226
607,"2023-02-28",1,654,144,267,543
608,"2023-02-28",2,382,97,601,1
609,"2023-03-01",1,219,95,864,165
610,"2023-03-01",2,734,350,1349,139
611,"2023-03-02",1,635,447,192,590
612,"2023-03-02",2,1000,280,658,770
613,"2023-03-03",1,1130,665,69,817
614,"2023-03-03",2,295,63,543,32
615,"2023-03-04",1,497,188,791,362
616,"2023-03-04",2,868,776,305,279
617,"2023-03-05",1,1120,184,505,1065
618,"2023-03-05",2,1026,569,623,1004
619,"2023-03-06",1,1073,737,1142,7
620,"2023-03-06",2,663,558,332,449
621,"2023-03-07",1,261,104,213,131
622,"2023-03-07",2,254,74,1440,87
623,"2023-03-08",1,692,317,370,529
624,"2023-03-08",2,1065,326,1014,357
625,"2023-03-09",1,1099,618,320,53
626,"2023-03-09",2,1065,600,970,132
627,"2023-03-10",1,1017,511,977,103
628,"2023-03-10",2,307,119,490,232
629,"2023-03-11",1,1107,859,381,856
630,"2023-03-11",2,972,173,209,968
631,"2023-03-12",1,925,276,855,163
632,"2023-03-12",2,1053,632,914,733
633,"2023-03-13",1,503,449,1241,20
634,"2023-03-13",2,1030,45,28,283
635,"2023-03-14",1,906,342,396,634
636,"2023-03-14",2,931,800,35,222
637,"2023-03-15",1,367,365,1117,2
638,"2023-03-15",2,558,110,91,550
639,"2023-03-16",1,390,51,725,50
640,"2023-03-16",2,655,598,436,476
641,"2023-03-17",1,607,395,179,362
642,"2023-03-17",2,1132,412,1329,304
643,"2023-03-18",1,618,477,405,106
644,"2023-03-18",2,935,375,301,595
645,"2023-03-19",1,764,50,1415,558
646,"2023-03-19",2,879,43,936,788
647,"2023-03-20",1,203,89,1350,144
648,"2023-03-20",2,711,34,649,348
649,"2023-03-21",1,1164,270,1292,335
650,"2023-03-21",2,494,395,1288,416
651,"2023-03-22",1,715,0,969,109
652,"2023-03-22",2,936,799,376,426
653,"2023-03-23",1,712,131,428,233
654,"2023-03-23",2,847,217,1224,372
655,"2023-03-24",1,579,310,428,55
656,"2023-03-24",2,418,247,1046,75
657,"2023-03-25",1,1127,65,1020,529
658,"2023-03-25",2,968,312,476,396
659,"2023-03-26",1,402,160,173,109
660,"2023-03-26",2,984,613,850,552
661,"2023-03-27",1,617,392,1250,75
662,"2023-03-27",2,931,410,557,544
663,"2023-03-28",1,325,136,1323,196
664,"2023-03-28",2,397,199,202,14
665,"2023-03-29",1,319,195,569,308
666,"2023-03-29",2,321,294,246,12
667,"2023-03-30",1,887,529,1416,216
668,"2023-03-30",2,1150,996,1231,191
669,"2023-03-31",1,398,249,857,118
670,"2023-03-31",2,661,354,1226,223
671,"2023-04-01",1,1146,375,1265,967
672,"2023-04-01",2,877,707,770,189
673,"2023-04-02",1,366,241,1147,279
674,"2023-04-02",2,747,255,863,355
675,"2023-04-03",1,981,409,211,489
676,"2023-04-03",2,429,167,877,36
677,"2023-04-04",1,261,111,239,197
