"md_id","busi_time","sub_name","name","type_name","item_num","complete_cnt","avg_handler_time","satisfaction_cnt"
241,"2022-05-25",科教文体,A部门,"1",41,34,41,32
242,"2022-05-25",科教文体,A区,"2",22,15,43,12
243,"2022-05-25",公卫医疗,C部门,"1",112,80,52,71
244,"2022-05-25",公卫医疗,A区,"2",109,101,38,90
245,"2022-05-25",城乡建设,C部门,"1",159,137,20,123
246,"2022-05-25",城乡建设,B区,"2",135,101,26,93
247,"2022-05-25",交通运输,C部门,"1",59,55,20,47
248,"2022-05-25",交通运输,B区,"2",273,213,38,200
249,"2022-05-25",农林牧渔,B部门,"1",28,20,53,18
250,"2022-05-25",农林牧渔,B区,"2",40,31,51,26
251,"2022-05-26",科教文体,B部门,"1",18,13,27,12
252,"2022-05-26",科教文体,B区,"2",3,2,55,1
253,"2022-05-26",公卫医疗,A部门,"1",200,175,10,159
254,"2022-05-26",公卫医疗,B区,"2",93,72,17,65
255,"2022-05-26",城乡建设,A部门,"1",72,63,41,55
256,"2022-05-26",城乡建设,C区,"2",102,74,35,64
257,"2022-05-26",交通运输,A部门,"1",102,96,35,91
258,"2022-05-26",交通运输,A区,"2",142,116,44,107
259,"2022-05-26",农林牧渔,C部门,"1",186,161,22,132
260,"2022-05-26",农林牧渔,B区,"2",37,34,17,30
261,"2022-05-27",科教文体,C部门,"1",97,72,39,66
262,"2022-05-27",科教文体,B区,"2",109,94,32,80
263,"2022-05-27",公卫医疗,C部门,"1",35,27,10,24
264,"2022-05-27",公卫医疗,C区,"2",203,142,60,123
265,"2022-05-27",城乡建设,A部门,"1",19,16,53,14
266,"2022-05-27",城乡建设,C区,"2",145,102,35,83
267,"2022-05-27",交通运输,C部门,"1",9,6,43,5
268,"2022-05-27",交通运输,A区,"2",1,0,18,0
269,"2022-05-27",农林牧渔,B部门,"1",98,90,59,75
270,"2022-05-27",农林牧渔,B区,"2",194,152,18,124
271,"2022-05-28",科教文体,B部门,"1",82,72,38,66
272,"2022-05-28",科教文体,B区,"2",203,178,25,160
273,"2022-05-28",公卫医疗,B部门,"1",30,21,21,17
274,"2022-05-28",公卫医疗,B区,"2",162,124,44,108
275,"2022-05-28",城乡建设,A部门,"1",9,7,29,6
276,"2022-05-28",城乡建设,A区,"2",31,27,47,22
277,"2022-05-28",交通运输,C部门,"1",293,214,35,183
278,"2022-05-28",交通运输,B区,"2",8,7,56,6
279,"2022-05-28",农林牧渔,B部门,"1",41,36,27,28
280,"2022-05-28",农林牧渔,A区,"2",44,39,24,33
281,"2022-05-29",科教文体,C部门,"1",9,8,56,6
282,"2022-05-29",科教文体,B区,"2",26,21,33,17
283,"2022-05-29",公卫医疗,B部门,"1",59,52,58,45
284,"2022-05-29",公卫医疗,A区,"2",54,47,38,43
285,"2022-05-29",城乡建设,C部门,"1",75,54,24,49
286,"2022-05-29",城乡建设,C区,"2",202,148,51,135
287,"2022-05-29",交通运输,C部门,"1",37,32,12,28
288,"2022-05-29",交通运输,A区,"2",76,71,50,58
289,"2022-05-29",农林牧渔,B部门,"1",54,43,57,37
290,"2022-05-29",农林牧渔,B区,"2",7,5,13,4
291,"2022-05-30",科教文体,A部门,"1",24,19,31,18
292,"2022-05-30",科教文体,C区,"2",58,50,35,47
293,"2022-05-30",公卫医疗,C部门,"1",96,84,58,79
294,"2022-05-30",公卫医疗,A区,"2",6,5,17,4
295,"2022-05-30",城乡建设,B部门,"1",13,11,39,10
296,"2022-05-30",城乡建设,B区,"2",14,10,12,8
297,"2022-05-30",交通运输,B部门,"1",9,8,56,6
298,"2022-05-30",交通运输,A区,"2",5,4,59,3
299,"2022-05-30",农林牧渔,A部门,"1",60,50,15,43
300,"2022-05-30",农林牧渔,C区,"2",61,53,55,45
301,"2022-05-31",科教文体,A部门,"1",30,23,27,19
302,"2022-05-31",科教文体,A区,"2",82,76,49,68
303,"2022-05-31",公卫医疗,B部门,"1",27,24,10,20
304,"2022-05-31",公卫医疗,C区,"2",2,1,59,0
305,"2022-05-31",城乡建设,C部门,"1",43,33,40,29
306,"2022-05-31",城乡建设,B区,"2",4,2,30,1
307,"2022-05-31",交通运输,C部门,"1",194,147,13,138
308,"2022-05-31",交通运输,C区,"2",66,48,21,39
309,"2022-05-31",农林牧渔,A部门,"1",16,12,24,10
310,"2022-05-31",农林牧渔,C区,"2",70,57,34,54
311,"2022-06-01",科教文体,A部门,"1",19,17,36,14
312,"2022-06-01",科教文体,A区,"2",7,6,45,5
313,"2022-06-01",公卫医疗,C部门,"1",325,295,38,268
314,"2022-06-01",公卫医疗,A区,"2",1,0,43,0
315,"2022-06-01",城乡建设,A部门,"1",77,61,48,51
316,"2022-06-01",城乡建设,C区,"2",270,206,30,188
317,"2022-06-01",交通运输,C部门,"1",28,26,30,24
318,"2022-06-01",交通运输,A区,"2",97,79,31,71
319,"2022-06-01",农林牧渔,C部门,"1",74,62,43,55
320,"2022-06-01",农林牧渔,A区,"2",60,53,11,44
321,"2022-06-02",科教文体,C部门,"1",132,109,60,101
322,"2022-06-02",科教文体,A区,"2",90,63,23,56
323,"2022-06-02",公卫医疗,A部门,"1",2,1,41,0
324,"2022-06-02",公卫医疗,C区,"2",0,0,24,0
325,"2022-06-02",城乡建设,A部门,"1",11,7,41,6
326,"2022-06-02",城乡建设,B区,"2",13,9,46,8
327,"2022-06-02",交通运输,A部门,"1",0,0,21,0
328,"2022-06-02",交通运输,A区,"2",255,186,37,162
329,"2022-06-02",农林牧渔,B部门,"1",49,46,19,37
330,"2022-06-02",农林牧渔,A区,"2",43,37,59,34
331,"2022-06-03",科教文体,C部门,"1",21,17,23,14
332,"2022-06-03",科教文体,B区,"2",44,31,38,25
333,"2022-06-03",公卫医疗,C部门,"1",8,7,46,5
334,"2022-06-03",公卫医疗,B区,"2",88,63,38,58
335,"2022-06-03",城乡建设,B部门,"1",23,20,20,16
336,"2022-06-03",城乡建设,C区,"2",5,3,31,2
337,"2022-06-03",交通运输,C部门,"1",88,76,52,65
338,"2022-06-03",交通运输,A区,"2",7,5,19,4
339,"2022-06-03",农林牧渔,A部门,"1",3,2,49,1
340,"2022-06-03",农林牧渔,B区,"2",49,40,27,34
341,"2022-06-04",科教文体,C部门,"1",77,72,40,59
342,"2022-06-04",科教文体,C区,"2",35,26,17,22
343,"2022-06-04",公卫医疗,B部门,"1",41,29,21,24
344,"2022-06-04",公卫医疗,C区,"2",68,52,29,42
345,"2022-06-04",城乡建设,A部门,"1",15,12,15,9
346,"2022-06-04",城乡建设,A区,"2",35,26,11,22
347,"2022-06-04",交通运输,B部门,"1",66,61,55,57
348,"2022-06-04",交通运输,C区,"2",11,8,60,6
349,"2022-06-04",农林牧渔,C部门,"1",97,76,43,72
350,"2022-06-04",农林牧渔,C区,"2",7,5,17,4
351,"2022-06-05",科教文体,B部门,"1",60,50,36,45
352,"2022-06-05",科教文体,A区,"2",58,53,46,46
353,"2022-06-05",公卫医疗,B部门,"1",6,4,33,3
354,"2022-06-05",公卫医疗,A区,"2",126,90,56,80
355,"2022-06-05",城乡建设,A部门,"1",128,99,26,88
356,"2022-06-05",城乡建设,A区,"2",66,62,10,51
357,"2022-06-05",交通运输,A部门,"1",46,32,48,29
358,"2022-06-05",交通运输,B区,"2",289,216,15,193
359,"2022-06-05",农林牧渔,B部门,"1",121,85,22,70
360,"2022-06-05",农林牧渔,A区,"2",26,20,19,18
361,"2022-06-06",科教文体,C部门,"1",22,16,58,13
362,"2022-06-06",科教文体,A区,"2",10,8,40,7
363,"2022-06-06",公卫医疗,A部门,"1",54,39,17,32
364,"2022-06-06",公卫医疗,C区,"2",112,97,54,92
365,"2022-06-06",城乡建设,A部门,"1",12,10,13,8
366,"2022-06-06",城乡建设,C区,"2",61,43,48,34
367,"2022-06-06",交通运输,A部门,"1",198,166,23,155
368,"2022-06-06",交通运输,A区,"2",128,98,25,86
369,"2022-06-06",农林牧渔,C部门,"1",11,9,13,8
370,"2022-06-06",农林牧渔,C区,"2",290,207,35,174
371,"2022-06-07",科教文体,C部门,"1",29,24,18,20
372,"2022-06-07",科教文体,A区,"2",4,2,16,1
373,"2022-06-07",公卫医疗,C部门,"1",61,55,10,50
374,"2022-06-07",公卫医疗,C区,"2",34,26,34,22
375,"2022-06-07",城乡建设,C部门,"1",4,3,23,2
376,"2022-06-07",城乡建设,C区,"2",0,0,34,0
377,"2022-06-07",交通运输,A部门,"1",49,37,36,34
378,"2022-06-07",交通运输,A区,"2",29,21,29,17
379,"2022-06-07",农林牧渔,C部门,"1",80,59,55,54
380,"2022-06-07",农林牧渔,C区,"2",22,16,35,14
381,"2022-06-08",科教文体,B部门,"1",35,29,36,27
382,"2022-06-08",科教文体,C区,"2",2,1,60,0
383,"2022-06-08",公卫医疗,B部门,"1",37,30,23,28
384,"2022-06-08",公卫医疗,C区,"2",392,308,12,263
385,"2022-06-08",城乡建设,B部门,"1",53,37,53,32
386,"2022-06-08",城乡建设,B区,"2",74,53,53,46
387,"2022-06-08",交通运输,A部门,"1",114,107,16,90
388,"2022-06-08",交通运输,A区,"2",105,79,51,71
389,"2022-06-08",农林牧渔,B部门,"1",26,20,19,18
390,"2022-06-08",农林牧渔,B区,"2",8,5,50,4
391,"2022-06-09",科教文体,A部门,"1",144,117,53,100
392,"2022-06-09",科教文体,A区,"2",7,6,49,4
393,"2022-06-09",公卫医疗,B部门,"1",52,45,16,39
394,"2022-06-09",公卫医疗,B区,"2",124,97,52,82
395,"2022-06-09",城乡建设,B部门,"1",97,87,26,70
396,"2022-06-09",城乡建设,B区,"2",36,34,28,29
397,"2022-06-09",交通运输,A部门,"1",21,18,29,14
398,"2022-06-09",交通运输,B区,"2",8,7,54,6
399,"2022-06-09",农林牧渔,B部门,"1",57,45,56,41
400,"2022-06-09",农林牧渔,B区,"2",39,28,41,24
401,"2022-06-10",科教文体,A部门,"1",30,27,48,22
402,"2022-06-10",科教文体,B区,"2",98,82,52,66
403,"2022-06-10",公卫医疗,A部门,"1",0,0,28,0
404,"2022-06-10",公卫医疗,C区,"2",41,31,56,26
405,"2022-06-10",城乡建设,B部门,"1",32,23,41,19
406,"2022-06-10",城乡建设,C区,"2",94,77,60,71
407,"2022-06-10",交通运输,C部门,"1",25,22,49,17
408,"2022-06-10",交通运输,A区,"2",5,4,22,3
409,"2022-06-10",农林牧渔,A部门,"1",93,73,29,68
410,"2022-06-10",农林牧渔,C区,"2",13,10,16,8
411,"2022-06-11",科教文体,B部门,"1",8,6,58,5
412,"2022-06-11",科教文体,B区,"2",2,1,40,0
413,"2022-06-11",公卫医疗,A部门,"1",24,20,23,18
414,"2022-06-11",公卫医疗,B区,"2",247,193,21,161
415,"2022-06-11",城乡建设,A部门,"1",23,19,45,16
416,"2022-06-11",城乡建设,C区,"2",173,137,17,112
417,"2022-06-11",交通运输,B部门,"1",40,37,23,35
418,"2022-06-11",交通运输,A区,"2",63,44,39,41
419,"2022-06-11",农林牧渔,B部门,"1",47,41,11,33
420,"2022-06-11",农林牧渔,B区,"2",28,23,50,19
421,"2022-06-12",科教文体,B部门,"1",37,33,41,28
422,"2022-06-12",科教文体,B区,"2",59,41,16,35
423,"2022-06-12",公卫医疗,A部门,"1",45,33,33,28
424,"2022-06-12",公卫医疗,A区,"2",21,17,59,14
425,"2022-06-12",城乡建设,A部门,"1",2,1,60,0
426,"2022-06-12",城乡建设,A区,"2",1,0,38,0
427,"2022-06-12",交通运输,A部门,"1",74,53,18,49
428,"2022-06-12",交通运输,A区,"2",177,144,30,119
429,"2022-06-12",农林牧渔,C部门,"1",157,124,38,112
430,"2022-06-12",农林牧渔,C区,"2",5,3,12,2
431,"2022-06-13",科教文体,B部门,"1",24,19,29,16
432,"2022-06-13",科教文体,B区,"2",22,18,25,14
433,"2022-06-13",公卫医疗,C部门,"1",220,158,32,145
434,"2022-06-13",公卫医疗,C区,"2",52,46,33,38
435,"2022-06-13",城乡建设,C部门,"1",8,6,49,5
436,"2022-06-13",城乡建设,A区,"2",1,0,59,0
437,"2022-06-13",交通运输,A部门,"1",18,14,58,11
438,"2022-06-13",交通运输,A区,"2",75,57,52,52
439,"2022-06-13",农林牧渔,B部门,"1",17,14,39,11
440,"2022-06-13",农林牧渔,A区,"2",25,22,48,17
441,"2022-06-14",科教文体,C部门,"1",32,24,20,21
442,"2022-06-14",科教文体,A区,"2",64,46,37,40
443,"2022-06-14",公卫医疗,B部门,"1",57,51,29,42
444,"2022-06-14",公卫医疗,B区,"2",1,0,46,0
445,"2022-06-14",城乡建设,C部门,"1",10,7,44,6
446,"2022-06-14",城乡建设,C区,"2",9,8,30,6
447,"2022-06-14",交通运输,C部门,"1",134,98,33,81
448,"2022-06-14",交通运输,C区,"2",100,79,35,67
449,"2022-06-14",农林牧渔,C部门,"1",346,302,57,242
450,"2022-06-14",农林牧渔,A区,"2",61,52,21,46
451,"2022-06-15",科教文体,C部门,"1",4,3,54,2
452,"2022-06-15",科教文体,B区,"2",2,1,25,0
453,"2022-06-15",公卫医疗,A部门,"1",6,4,49,3
454,"2022-06-15",公卫医疗,C区,"2",5,3,33,2
455,"2022-06-15",城乡建设,B部门,"1",96,79,19,64
