"md_id","busi_time","order_status","order_cnt"
"70","2022-05-06",归档,118
"71","2022-05-06",挂起,56
"72","2022-05-07",话务员暂存,112
"73","2022-05-07",话务员受理,105
"74","2022-05-07",话务员办理,27
"75","2022-05-07",热线审核,105
"76","2022-05-07",热线复核,101
"77","2022-05-07",承办单位审核,94
"78","2022-05-07",承办单位处理,102
"79","2022-05-07",承办单位复核,38
"80","2022-05-07",办结,132
"81","2022-05-07",回访,5
"82","2022-05-07",归档,93
"83","2022-05-07",挂起,79
"84","2022-05-08",话务员暂存,47
"85","2022-05-08",话务员受理,20
"86","2022-05-08",话务员办理,128
"87","2022-05-08",热线审核,60
"88","2022-05-08",热线复核,55
"89","2022-05-08",承办单位审核,76
"90","2022-05-08",承办单位处理,46
"91","2022-05-08",承办单位复核,22
"92","2022-05-08",办结,42
"93","2022-05-08",回访,145
"94","2022-05-08",归档,105
"95","2022-05-08",挂起,55
"96","2022-05-09",话务员暂存,37
"97","2022-05-09",话务员受理,56
"98","2022-05-09",话务员办理,32
"99","2022-05-09",热线审核,87
"100","2022-05-09",热线复核,47
"101","2022-05-09",承办单位审核,86
"102","2022-05-09",承办单位处理,32
"103","2022-05-09",承办单位复核,74
"104","2022-05-09",办结,83
"105","2022-05-09",回访,3
"106","2022-05-09",归档,16
"107","2022-05-09",挂起,55
"108","2022-05-10",话务员暂存,98
"109","2022-05-10",话务员受理,42
"110","2022-05-10",话务员办理,17
"111","2022-05-10",热线审核,6
"112","2022-05-10",热线复核,1
"113","2022-05-10",承办单位审核,86
"114","2022-05-10",承办单位处理,105
"115","2022-05-10",承办单位复核,99
"116","2022-05-10",办结,51
"117","2022-05-10",回访,13
"118","2022-05-10",归档,73
"119","2022-05-10",挂起,45
"120","2022-05-11",话务员暂存,25
"121","2022-05-11",话务员受理,7
"122","2022-05-11",话务员办理,116
"123","2022-05-11",热线审核,67
"124","2022-05-11",热线复核,36
"125","2022-05-11",承办单位审核,51
"126","2022-05-11",承办单位处理,5
"127","2022-05-11",承办单位复核,48
"128","2022-05-11",办结,102
"129","2022-05-11",回访,84
"130","2022-05-11",归档,105
"131","2022-05-11",挂起,8
"132","2022-05-12",话务员暂存,9
"133","2022-05-12",话务员受理,3
"134","2022-05-12",话务员办理,116
"135","2022-05-12",热线审核,25
"136","2022-05-12",热线复核,40
"137","2022-05-12",承办单位审核,145
"138","2022-05-12",承办单位处理,9
"139","2022-05-12",承办单位复核,110
"140","2022-05-12",办结,105
"141","2022-05-12",回访,120
"142","2022-05-12",归档,69
"143","2022-05-12",挂起,21
"144","2022-05-13",话务员暂存,41
"145","2022-05-13",话务员受理,20
"146","2022-05-13",话务员办理,44
"147","2022-05-13",热线审核,23
"148","2022-05-13",热线复核,13
"149","2022-05-13",承办单位审核,17
"150","2022-05-13",承办单位处理,54
"151","2022-05-13",承办单位复核,2
"152","2022-05-13",办结,43
"153","2022-05-13",回访,19
"154","2022-05-13",归档,29
"155","2022-05-13",挂起,55
"156","2022-05-14",话务员暂存,61
"157","2022-05-14",话务员受理,75
"158","2022-05-14",话务员办理,73
"159","2022-05-14",热线审核,47
"160","2022-05-14",热线复核,29
"161","2022-05-14",承办单位审核,73
"162","2022-05-14",承办单位处理,18
"163","2022-05-14",承办单位复核,31
"164","2022-05-14",办结,73
"165","2022-05-14",回访,41
"166","2022-05-14",归档,20
"167","2022-05-14",挂起,44
"168","2022-05-15",话务员暂存,47
"169","2022-05-15",话务员受理,31
"170","2022-05-15",话务员办理,25
"171","2022-05-15",热线审核,52
"172","2022-05-15",热线复核,24
"173","2022-05-15",承办单位审核,12
"174","2022-05-15",承办单位处理,51
"175","2022-05-15",承办单位复核,15
"176","2022-05-15",办结,35
"177","2022-05-15",回访,2
"178","2022-05-15",归档,52
"179","2022-05-15",挂起,19
"180","2022-05-16",话务员暂存,49
"181","2022-05-16",话务员受理,17
"182","2022-05-16",话务员办理,116
"183","2022-05-16",热线审核,6
"184","2022-05-16",热线复核,11
"185","2022-05-16",承办单位审核,46
"186","2022-05-16",承办单位处理,107
"187","2022-05-16",承办单位复核,113
"188","2022-05-16",办结,82
"189","2022-05-16",回访,44
"190","2022-05-16",归档,19
"191","2022-05-16",挂起,91
"192","2022-05-17",话务员暂存,24
"193","2022-05-17",话务员受理,3
"194","2022-05-17",话务员办理,101
"195","2022-05-17",热线审核,10
"196","2022-05-17",热线复核,10
"197","2022-05-17",承办单位审核,18
"198","2022-05-17",承办单位处理,107
"199","2022-05-17",承办单位复核,70
"200","2022-05-17",办结,50
"201","2022-05-17",回访,23
"202","2022-05-17",归档,134
"203","2022-05-17",挂起,7
"204","2022-05-18",话务员暂存,83
"205","2022-05-18",话务员受理,98
"206","2022-05-18",话务员办理,85
"207","2022-05-18",热线审核,47
"208","2022-05-18",热线复核,28
"209","2022-05-18",承办单位审核,53
"210","2022-05-18",承办单位处理,98
"211","2022-05-18",承办单位复核,52
"212","2022-05-18",办结,103
"213","2022-05-18",回访,87
"214","2022-05-18",归档,101
"215","2022-05-18",挂起,24
"216","2022-05-19",话务员暂存,60
"217","2022-05-19",话务员受理,101
"218","2022-05-19",话务员办理,45
"219","2022-05-19",热线审核,70
"220","2022-05-19",热线复核,39
"221","2022-05-19",承办单位审核,72
"222","2022-05-19",承办单位处理,107
"223","2022-05-19",承办单位复核,82
"224","2022-05-19",办结,50
"225","2022-05-19",回访,138
"226","2022-05-19",归档,56
"227","2022-05-19",挂起,88
"228","2022-05-20",话务员暂存,48
"229","2022-05-20",话务员受理,59
"230","2022-05-20",话务员办理,29
"231","2022-05-20",热线审核,11
"232","2022-05-20",热线复核,41
"233","2022-05-20",承办单位审核,10
"234","2022-05-20",承办单位处理,42
"235","2022-05-20",承办单位复核,49
"236","2022-05-20",办结,13
"237","2022-05-20",回访,8
"238","2022-05-20",归档,38
"239","2022-05-20",挂起,37
"240","2022-05-21",话务员暂存,10
"241","2022-05-21",话务员受理,21
"242","2022-05-21",话务员办理,59
"243","2022-05-21",热线审核,34
"244","2022-05-21",热线复核,0
"245","2022-05-21",承办单位审核,51
"246","2022-05-21",承办单位处理,13
"247","2022-05-21",承办单位复核,25
"248","2022-05-21",办结,13
"249","2022-05-21",回访,20
"250","2022-05-21",归档,66
"251","2022-05-21",挂起,63
"252","2022-05-22",话务员暂存,11
"253","2022-05-22",话务员受理,27
"254","2022-05-22",话务员办理,29
"255","2022-05-22",热线审核,73
"256","2022-05-22",热线复核,11
"257","2022-05-22",承办单位审核,62
"258","2022-05-22",承办单位处理,32
"259","2022-05-22",承办单位复核,40
"260","2022-05-22",办结,20
"261","2022-05-22",回访,58
"262","2022-05-22",归档,47
"263","2022-05-22",挂起,9
"264","2022-05-23",话务员暂存,115
"265","2022-05-23",话务员受理,97
"266","2022-05-23",话务员办理,27
"267","2022-05-23",热线审核,130
"268","2022-05-23",热线复核,59
"269","2022-05-23",承办单位审核,95
"270","2022-05-23",承办单位处理,29
"271","2022-05-23",承办单位复核,11
"272","2022-05-23",办结,45
"273","2022-05-23",回访,102
"274","2022-05-23",归档,118
"275","2022-05-23",挂起,23
"276","2022-05-24",话务员暂存,95
"277","2022-05-24",话务员受理,149
"278","2022-05-24",话务员办理,35
"279","2022-05-24",热线审核,43
"280","2022-05-24",热线复核,20
"281","2022-05-24",承办单位审核,4
"282","2022-05-24",承办单位处理,51
"283","2022-05-24",承办单位复核,124
"284","2022-05-24",办结,146
"285","2022-05-24",回访,95
"286","2022-05-24",归档,21
"287","2022-05-24",挂起,140
"288","2022-05-25",话务员暂存,76
"289","2022-05-25",话务员受理,17
"290","2022-05-25",话务员办理,116
"291","2022-05-25",热线审核,38
"292","2022-05-25",热线复核,146
"293","2022-05-25",承办单位审核,55
"294","2022-05-25",承办单位处理,51
"295","2022-05-25",承办单位复核,102
"296","2022-05-25",办结,25
"297","2022-05-25",回访,83
"298","2022-05-25",归档,149
"299","2022-05-25",挂起,120
"300","2022-05-26",话务员暂存,112
"301","2022-05-26",话务员受理,97
"302","2022-05-26",话务员办理,80
"303","2022-05-26",热线审核,98
"304","2022-05-26",热线复核,11
"305","2022-05-26",承办单位审核,80
"306","2022-05-26",承办单位处理,131
"307","2022-05-26",承办单位复核,57
"308","2022-05-26",办结,1
"309","2022-05-26",回访,59
"310","2022-05-26",归档,113
"311","2022-05-26",挂起,116
"312","2022-05-27",话务员暂存,87
"313","2022-05-27",话务员受理,18
"314","2022-05-27",话务员办理,103
"315","2022-05-27",热线审核,68
"316","2022-05-27",热线复核,90
"317","2022-05-27",承办单位审核,77
"318","2022-05-27",承办单位处理,7
"319","2022-05-27",承办单位复核,29
"320","2022-05-27",办结,87
"321","2022-05-27",回访,108
"322","2022-05-27",归档,126
"323","2022-05-27",挂起,110
"324","2022-05-28",话务员暂存,103
"325","2022-05-28",话务员受理,102
"326","2022-05-28",话务员办理,126
"327","2022-05-28",热线审核,109
"328","2022-05-28",热线复核,37
"329","2022-05-28",承办单位审核,87
"330","2022-05-28",承办单位处理,48
"331","2022-05-28",承办单位复核,47
"332","2022-05-28",办结,127
"333","2022-05-28",回访,91
"334","2022-05-28",归档,15
"335","2022-05-28",挂起,11
"336","2022-05-29",话务员暂存,30
"337","2022-05-29",话务员受理,33
"338","2022-05-29",话务员办理,28
"339","2022-05-29",热线审核,89
"340","2022-05-29",热线复核,24
"341","2022-05-29",承办单位审核,84
"342","2022-05-29",承办单位处理,92
"343","2022-05-29",承办单位复核,71
"344","2022-05-29",办结,54
"345","2022-05-29",回访,1
"346","2022-05-29",归档,84
"347","2022-05-29",挂起,9
"348","2022-05-30",话务员暂存,51
"349","2022-05-30",话务员受理,54
"350","2022-05-30",话务员办理,46
"351","2022-05-30",热线审核,27
"352","2022-05-30",热线复核,0
"353","2022-05-30",承办单位审核,3
"354","2022-05-30",承办单位处理,7
"355","2022-05-30",承办单位复核,31
"356","2022-05-30",办结,27
"357","2022-05-30",回访,43
"358","2022-05-30",归档,26
"359","2022-05-30",挂起,31
"360","2022-05-31",话务员暂存,32
"361","2022-05-31",话务员受理,10
"362","2022-05-31",话务员办理,71
"363","2022-05-31",热线审核,90
"364","2022-05-31",热线复核,29
"365","2022-05-31",承办单位审核,48
"366","2022-05-31",承办单位处理,85
"367","2022-05-31",承办单位复核,6
"368","2022-05-31",办结,69
"369","2022-05-31",回访,8
"370","2022-05-31",归档,25
"371","2022-05-31",挂起,61
"372","2022-06-01",话务员暂存,59
"373","2022-06-01",话务员受理,99
"374","2022-06-01",话务员办理,6
"375","2022-06-01",热线审核,94
"376","2022-06-01",热线复核,115
"377","2022-06-01",承办单位审核,118
"378","2022-06-01",承办单位处理,142
"379","2022-06-01",承办单位复核,20
"380","2022-06-01",办结,18
"381","2022-06-01",回访,87
"382","2022-06-01",归档,110
"383","2022-06-01",挂起,90
"384","2022-06-02",话务员暂存,75
"385","2022-06-02",话务员受理,94
"386","2022-06-02",话务员办理,29
"387","2022-06-02",热线审核,41
"388","2022-06-02",热线复核,7
"389","2022-06-02",承办单位审核,73
"390","2022-06-02",承办单位处理,98
"391","2022-06-02",承办单位复核,80
"392","2022-06-02",办结,1
"393","2022-06-02",回访,74
"394","2022-06-02",归档,1
"395","2022-06-02",挂起,22
"396","2022-06-03",话务员暂存,44
"397","2022-06-03",话务员受理,20
"398","2022-06-03",话务员办理,36
"399","2022-06-03",热线审核,42
"400","2022-06-03",热线复核,21
"401","2022-06-03",承办单位审核,33
"402","2022-06-03",承办单位处理,30
"403","2022-06-03",承办单位复核,12
"404","2022-06-03",办结,44
"405","2022-06-03",回访,12
"406","2022-06-03",归档,26
"407","2022-06-03",挂起,16
"408","2022-06-04",话务员暂存,25
"409","2022-06-04",话务员受理,41
"410","2022-06-04",话务员办理,39
"411","2022-06-04",热线审核,59
"412","2022-06-04",热线复核,48
"413","2022-06-04",承办单位审核,41
"414","2022-06-04",承办单位处理,57
"415","2022-06-04",承办单位复核,46
"416","2022-06-04",办结,29
"417","2022-06-04",回访,39
"418","2022-06-04",归档,22
"419","2022-06-04",挂起,6
"420","2022-06-05",话务员暂存,128
"421","2022-06-05",话务员受理,98
"422","2022-06-05",话务员办理,1
"423","2022-06-05",热线审核,135
"424","2022-06-05",热线复核,120
"425","2022-06-05",承办单位审核,39
"426","2022-06-05",承办单位处理,26
"427","2022-06-05",承办单位复核,24
"428","2022-06-05",办结,71
"429","2022-06-05",回访,98
"430","2022-06-05",归档,115
"431","2022-06-05",挂起,71
"432","2022-06-06",话务员暂存,93
"433","2022-06-06",话务员受理,60
"434","2022-06-06",话务员办理,83
"435","2022-06-06",热线审核,18
"436","2022-06-06",热线复核,85
"437","2022-06-06",承办单位审核,109
"438","2022-06-06",承办单位处理,96
"439","2022-06-06",承办单位复核,9
"440","2022-06-06",办结,62
"441","2022-06-06",回访,87
"442","2022-06-06",归档,171
"443","2022-06-06",挂起,25
"444","2022-06-07",话务员暂存,36
"445","2022-06-07",话务员受理,16
"446","2022-06-07",话务员办理,26
"447","2022-06-07",热线审核,11
"448","2022-06-07",热线复核,10
"449","2022-06-07",承办单位审核,33
"450","2022-06-07",承办单位处理,36
"451","2022-06-07",承办单位复核,24
"452","2022-06-07",办结,33
"453","2022-06-07",回访,24
"454","2022-06-07",归档,36
"455","2022-06-07",挂起,27
"456","2022-06-08",话务员暂存,66
"457","2022-06-08",话务员受理,91
"458","2022-06-08",话务员办理,40
"459","2022-06-08",热线审核,56
"460","2022-06-08",热线复核,39
"461","2022-06-08",承办单位审核,106
"462","2022-06-08",承办单位处理,93
"463","2022-06-08",承办单位复核,49
"464","2022-06-08",办结,59
"465","2022-06-08",回访,128
"466","2022-06-08",归档,6
"467","2022-06-08",挂起,113
"468","2022-06-09",话务员暂存,53
"469","2022-06-09",话务员受理,31
"470","2022-06-09",话务员办理,33
"471","2022-06-09",热线审核,35
"472","2022-06-09",热线复核,50
"473","2022-06-09",承办单位审核,63
"474","2022-06-09",承办单位处理,34
"475","2022-06-09",承办单位复核,79
"476","2022-06-09",办结,29
"477","2022-06-09",回访,22
"478","2022-06-09",归档,77
"479","2022-06-09",挂起,79
"480","2022-06-10",话务员暂存,64
"481","2022-06-10",话务员受理,24
"482","2022-06-10",话务员办理,53
"483","2022-06-10",热线审核,27
"484","2022-06-10",热线复核,21
"485","2022-06-10",承办单位审核,44
"486","2022-06-10",承办单位处理,9
"487","2022-06-10",承办单位复核,65
"488","2022-06-10",办结,61
"489","2022-06-10",回访,11
"490","2022-06-10",归档,6
"491","2022-06-10",挂起,46
"492","2022-06-11",话务员暂存,112
"493","2022-06-11",话务员受理,82
"494","2022-06-11",话务员办理,14
"495","2022-06-11",热线审核,39
"496","2022-06-11",热线复核,117
"497","2022-06-11",承办单位审核,96
"498","2022-06-11",承办单位处理,59
"499","2022-06-11",承办单位复核,4
"500","2022-06-11",办结,49
"501","2022-06-11",回访,8
"502","2022-06-11",归档,46
"503","2022-06-11",挂起,29
"504","2022-06-12",话务员暂存,39
"505","2022-06-12",话务员受理,75
"506","2022-06-12",话务员办理,12
"507","2022-06-12",热线审核,82
"508","2022-06-12",热线复核,47
"509","2022-06-12",承办单位审核,38
"510","2022-06-12",承办单位处理,42
"511","2022-06-12",承办单位复核,78
"512","2022-06-12",办结,29
"513","2022-06-12",回访,44
"514","2022-06-12",归档,6
"515","2022-06-12",挂起,86
"516","2022-06-13",话务员暂存,66
"517","2022-06-13",话务员受理,54
"518","2022-06-13",话务员办理,56
"519","2022-06-13",热线审核,3
"520","2022-06-13",热线复核,8
"521","2022-06-13",承办单位审核,47
"522","2022-06-13",承办单位处理,64
"523","2022-06-13",承办单位复核,16
"524","2022-06-13",办结,51
"525","2022-06-13",回访,16
"526","2022-06-13",归档,63
"527","2022-06-13",挂起,18
"528","2022-06-14",话务员暂存,85
"529","2022-06-14",话务员受理,47
"530","2022-06-14",话务员办理,61
"531","2022-06-14",热线审核,13
"532","2022-06-14",热线复核,67
"533","2022-06-14",承办单位审核,60
"534","2022-06-14",承办单位处理,93
"535","2022-06-14",承办单位复核,39
"536","2022-06-14",办结,74
"537","2022-06-14",回访,49
"538","2022-06-14",归档,104
"539","2022-06-14",挂起,122
"540","2022-06-15",话务员暂存,6
"541","2022-06-15",话务员受理,8
"542","2022-06-15",话务员办理,43
"543","2022-06-15",热线审核,13
"544","2022-06-15",热线复核,11
"545","2022-06-15",承办单位审核,5
"546","2022-06-15",承办单位处理,67
"547","2022-06-15",承办单位复核,50
"548","2022-06-15",办结,62
"549","2022-06-15",回访,62
"550","2022-06-15",归档,30
"551","2022-06-15",挂起,11
"552","2022-06-16",话务员暂存,3
"553","2022-06-16",话务员受理,50
"554","2022-06-16",话务员办理,42
"555","2022-06-16",热线审核,65
"556","2022-06-16",热线复核,37
"557","2022-06-16",承办单位审核,19
"558","2022-06-16",承办单位处理,4
"559","2022-06-16",承办单位复核,1
"560","2022-06-16",办结,51
"561","2022-06-16",回访,58
"562","2022-06-16",归档,5
"563","2022-06-16",挂起,40
"564","2022-06-17",话务员暂存,16
"565","2022-06-17",话务员受理,112
"566","2022-06-17",话务员办理,81
"567","2022-06-17",热线审核,24
"568","2022-06-17",热线复核,129
"569","2022-06-17",承办单位审核,60
"570","2022-06-17",承办单位处理,183
"571","2022-06-17",承办单位复核,151
"572","2022-06-17",办结,63
"573","2022-06-17",回访,102
"574","2022-06-17",归档,56
"575","2022-06-17",挂起,9
"576","2022-06-18",话务员暂存,2
"577","2022-06-18",话务员受理,121
"578","2022-06-18",话务员办理,45
"579","2022-06-18",热线审核,15
"580","2022-06-18",热线复核,26
"581","2022-06-18",承办单位审核,109
"582","2022-06-18",承办单位处理,7
"583","2022-06-18",承办单位复核,42
"584","2022-06-18",办结,69
"585","2022-06-18",回访,19
"586","2022-06-18",归档,132
"587","2022-06-18",挂起,104
"588","2022-06-19",话务员暂存,14
"589","2022-06-19",话务员受理,36
"590","2022-06-19",话务员办理,43
"591","2022-06-19",热线审核,18
"592","2022-06-19",热线复核,50
"593","2022-06-19",承办单位审核,30
"594","2022-06-19",承办单位处理,44
"595","2022-06-19",承办单位复核,4
"596","2022-06-19",办结,25
"597","2022-06-19",回访,31
"598","2022-06-19",归档,12
"599","2022-06-19",挂起,31
"600","2022-06-20",话务员暂存,60
"601","2022-06-20",话务员受理,64
"602","2022-06-20",话务员办理,58
"603","2022-06-20",热线审核,12
"604","2022-06-20",热线复核,6
"605","2022-06-20",承办单位审核,65
"606","2022-06-20",承办单位处理,53
"607","2022-06-20",承办单位复核,60
"608","2022-06-20",办结,21
"609","2022-06-20",回访,15
"610","2022-06-20",归档,42
"611","2022-06-20",挂起,1
"612","2022-06-21",话务员暂存,103
"613","2022-06-21",话务员受理,46
"614","2022-06-21",话务员办理,63
"615","2022-06-21",热线审核,1
"616","2022-06-21",热线复核,104
"617","2022-06-21",承办单位审核,38
"618","2022-06-21",承办单位处理,7
"619","2022-06-21",承办单位复核,66
"620","2022-06-21",办结,104
"621","2022-06-21",回访,48
"622","2022-06-21",归档,95
"623","2022-06-21",挂起,7
"624","2022-06-22",话务员暂存,122
"625","2022-06-22",话务员受理,120
"626","2022-06-22",话务员办理,139
"627","2022-06-22",热线审核,87
"628","2022-06-22",热线复核,41
"629","2022-06-22",承办单位审核,64
"630","2022-06-22",承办单位处理,17
"631","2022-06-22",承办单位复核,23
"632","2022-06-22",办结,128
"633","2022-06-22",回访,47
"634","2022-06-22",归档,102
"635","2022-06-22",挂起,11
"636","2022-06-23",话务员暂存,53
"637","2022-06-23",话务员受理,77
"638","2022-06-23",话务员办理,26
"639","2022-06-23",热线审核,70
"640","2022-06-23",热线复核,105
"641","2022-06-23",承办单位审核,7
"642","2022-06-23",承办单位处理,20
"643","2022-06-23",承办单位复核,82
"644","2022-06-23",办结,37
"645","2022-06-23",回访,35
"646","2022-06-23",归档,15
"647","2022-06-23",挂起,87
"648","2022-06-24",话务员暂存,77
"649","2022-06-24",话务员受理,103
"650","2022-06-24",话务员办理,24
"651","2022-06-24",热线审核,9
"652","2022-06-24",热线复核,89
"653","2022-06-24",承办单位审核,62
"654","2022-06-24",承办单位处理,74
"655","2022-06-24",承办单位复核,12
"656","2022-06-24",办结,87
"657","2022-06-24",回访,102
"658","2022-06-24",归档,39
"659","2022-06-24",挂起,88
"660","2022-06-25",话务员暂存,106
"661","2022-06-25",话务员受理,17
"662","2022-06-25",话务员办理,77
"663","2022-06-25",热线审核,11
"664","2022-06-25",热线复核,110
"665","2022-06-25",承办单位审核,16
"666","2022-06-25",承办单位处理,31
"667","2022-06-25",承办单位复核,30
"668","2022-06-25",办结,43
"669","2022-06-25",回访,47
"670","2022-06-25",归档,61
"671","2022-06-25",挂起,12
"672","2022-06-26",话务员暂存,53
"673","2022-06-26",话务员受理,54
"674","2022-06-26",话务员办理,36
"675","2022-06-26",热线审核,59
"676","2022-06-26",热线复核,54
"677","2022-06-26",承办单位审核,41
"678","2022-06-26",承办单位处理,3
"679","2022-06-26",承办单位复核,8
"680","2022-06-26",办结,14
"681","2022-06-26",回访,13
"682","2022-06-26",归档,61
"683","2022-06-26",挂起,48
"684","2022-06-27",话务员暂存,55
"685","2022-06-27",话务员受理,20
"686","2022-06-27",话务员办理,44
"687","2022-06-27",热线审核,76
"688","2022-06-27",热线复核,33
"689","2022-06-27",承办单位审核,76
"690","2022-06-27",承办单位处理,69
"691","2022-06-27",承办单位复核,17
"692","2022-06-27",办结,30
"693","2022-06-27",回访,72
"694","2022-06-27",归档,71
"695","2022-06-27",挂起,16
"696","2022-06-28",话务员暂存,75
"697","2022-06-28",话务员受理,49
"698","2022-06-28",话务员办理,51
"699","2022-06-28",热线审核,137
"700","2022-06-28",热线复核,107
"701","2022-06-28",承办单位审核,48
"702","2022-06-28",承办单位处理,48
"703","2022-06-28",承办单位复核,23
"704","2022-06-28",办结,91
"705","2022-06-28",回访,65
"706","2022-06-28",归档,151
"707","2022-06-28",挂起,71
"708","2022-06-29",话务员暂存,5
"709","2022-06-29",话务员受理,5
"710","2022-06-29",话务员办理,50
"711","2022-06-29",热线审核,3
"712","2022-06-29",热线复核,61
"713","2022-06-29",承办单位审核,74
"714","2022-06-29",承办单位处理,28
"715","2022-06-29",承办单位复核,27
"716","2022-06-29",办结,67
"717","2022-06-29",回访,68
"718","2022-06-29",归档,52
"719","2022-06-29",挂起,16
"720","2022-06-30",话务员暂存,7
"721","2022-06-30",话务员受理,25
"722","2022-06-30",话务员办理,54
"723","2022-06-30",热线审核,18
"724","2022-06-30",热线复核,41
"725","2022-06-30",承办单位审核,55
"726","2022-06-30",承办单位处理,48
"727","2022-06-30",承办单位复核,42
"728","2022-06-30",办结,34
"729","2022-06-30",回访,26
"730","2022-06-30",归档,18
"731","2022-06-30",挂起,47
"732","2022-07-01",话务员暂存,28
"733","2022-07-01",话务员受理,24
"734","2022-07-01",话务员办理,43
"735","2022-07-01",热线审核,16
"736","2022-07-01",热线复核,49
"737","2022-07-01",承办单位审核,49
"738","2022-07-01",承办单位处理,47
"739","2022-07-01",承办单位复核,56
"740","2022-07-01",办结,12
"741","2022-07-01",回访,36
"742","2022-07-01",归档,42
"743","2022-07-01",挂起,32
"744","2022-07-02",话务员暂存,32
"745","2022-07-02",话务员受理,76
"746","2022-07-02",话务员办理,91
"747","2022-07-02",热线审核,78
"748","2022-07-02",热线复核,65
"749","2022-07-02",承办单位审核,51
"750","2022-07-02",承办单位处理,13
"751","2022-07-02",承办单位复核,97
"752","2022-07-02",办结,80
"753","2022-07-02",回访,2
"754","2022-07-02",归档,60
"755","2022-07-02",挂起,87
"756","2022-07-03",话务员暂存,36
"757","2022-07-03",话务员受理,120
"758","2022-07-03",话务员办理,17
"759","2022-07-03",热线审核,101
"760","2022-07-03",热线复核,112
"761","2022-07-03",承办单位审核,39
"762","2022-07-03",承办单位处理,24
"763","2022-07-03",承办单位复核,73
"764","2022-07-03",办结,54
"765","2022-07-03",回访,18
"766","2022-07-03",归档,74
"767","2022-07-03",挂起,76
"768","2022-07-04",话务员暂存,64
"769","2022-07-04",话务员受理,13
"770","2022-07-04",话务员办理,67
"771","2022-07-04",热线审核,87
"772","2022-07-04",热线复核,67
"773","2022-07-04",承办单位审核,59
"774","2022-07-04",承办单位处理,35
"775","2022-07-04",承办单位复核,70
"776","2022-07-04",办结,80
"777","2022-07-04",回访,88
"778","2022-07-04",归档,89
"779","2022-07-04",挂起,111
"780","2022-07-05",话务员暂存,65
"781","2022-07-05",话务员受理,52
"782","2022-07-05",话务员办理,9
"783","2022-07-05",热线审核,81
"784","2022-07-05",热线复核,105
"785","2022-07-05",承办单位审核,45
"786","2022-07-05",承办单位处理,133
"787","2022-07-05",承办单位复核,128
"788","2022-07-05",办结,129
"789","2022-07-05",回访,57
"790","2022-07-05",归档,22
"791","2022-07-05",挂起,29
"792","2022-07-06",话务员暂存,45
"793","2022-07-06",话务员受理,75
"794","2022-07-06",话务员办理,71
"795","2022-07-06",热线审核,60
"796","2022-07-06",热线复核,99
"797","2022-07-06",承办单位审核,75
"798","2022-07-06",承办单位处理,12
"799","2022-07-06",承办单位复核,17
"800","2022-07-06",办结,7
"801","2022-07-06",回访,57
"802","2022-07-06",归档,73
"803","2022-07-06",挂起,1
"804","2022-07-07",话务员暂存,25
"805","2022-07-07",话务员受理,8
"806","2022-07-07",话务员办理,20
"807","2022-07-07",热线审核,44
"808","2022-07-07",热线复核,28
