"md_id","accept_src_name","accept_src_cd","busi_time","total_num"
67,网站,"0300","2022-05-17",21
68,小程序/公众号,"0400","2022-05-17",448
69,电话,"0100","2022-05-18",92
70,来信,"0200","2022-05-18",21
71,网站,"0300","2022-05-18",283
72,小程序/公众号,"0400","2022-05-18",463
73,电话,"0100","2022-05-19",35
74,来信,"0200","2022-05-19",59
75,网站,"0300","2022-05-19",251
76,小程序/公众号,"0400","2022-05-19",563
77,电话,"0100","2022-05-20",20
78,来信,"0200","2022-05-20",44
79,网站,"0300","2022-05-20",57
80,小程序/公众号,"0400","2022-05-20",264
81,电话,"0100","2022-05-21",30
82,来信,"0200","2022-05-21",49
83,网站,"0300","2022-05-21",20
84,小程序/公众号,"0400","2022-05-21",276
85,电话,"0100","2022-05-22",78
86,来信,"0200","2022-05-22",93
87,网站,"0300","2022-05-22",25
88,小程序/公众号,"0400","2022-05-22",223
89,电话,"0100","2022-05-23",192
90,来信,"0200","2022-05-23",215
91,网站,"0300","2022-05-23",15
92,小程序/公众号,"0400","2022-05-23",429
93,电话,"0100","2022-05-24",154
94,来信,"0200","2022-05-24",12
95,网站,"0300","2022-05-24",340
96,小程序/公众号,"0400","2022-05-24",417
97,电话,"0100","2022-05-25",199
98,来信,"0200","2022-05-25",198
99,网站,"0300","2022-05-25",290
100,小程序/公众号,"0400","2022-05-25",291
101,电话,"0100","2022-05-26",118
102,来信,"0200","2022-05-26",197
103,网站,"0300","2022-05-26",60
104,小程序/公众号,"0400","2022-05-26",580
105,电话,"0100","2022-05-27",52
106,来信,"0200","2022-05-27",20
107,网站,"0300","2022-05-27",272
108,小程序/公众号,"0400","2022-05-27",566
109,电话,"0100","2022-05-28",185
110,来信,"0200","2022-05-28",106
111,网站,"0300","2022-05-28",217
112,小程序/公众号,"0400","2022-05-28",395
113,电话,"0100","2022-05-29",15
114,来信,"0200","2022-05-29",52
115,网站,"0300","2022-05-29",137
116,小程序/公众号,"0400","2022-05-29",395
117,电话,"0100","2022-05-30",42
118,来信,"0200","2022-05-30",94
119,网站,"0300","2022-05-30",36
120,小程序/公众号,"0400","2022-05-30",174
121,电话,"0100","2022-05-31",124
122,来信,"0200","2022-05-31",98
123,网站,"0300","2022-05-31",50
124,小程序/公众号,"0400","2022-05-31",262
125,电话,"0100","2022-06-01",112
126,来信,"0200","2022-06-01",130
127,网站,"0300","2022-06-01",242
128,小程序/公众号,"0400","2022-06-01",474
129,电话,"0100","2022-06-02",95
130,来信,"0200","2022-06-02",127
131,网站,"0300","2022-06-02",178
132,小程序/公众号,"0400","2022-06-02",195
133,电话,"0100","2022-06-03",22
134,来信,"0200","2022-06-03",69
135,网站,"0300","2022-06-03",48
136,小程序/公众号,"0400","2022-06-03",197
137,电话,"0100","2022-06-04",50
138,来信,"0200","2022-06-04",50
139,网站,"0300","2022-06-04",89
140,小程序/公众号,"0400","2022-06-04",263
141,电话,"0100","2022-06-05",185
142,来信,"0200","2022-06-05",154
143,网站,"0300","2022-06-05",76
144,小程序/公众号,"0400","2022-06-05",511
145,电话,"0100","2022-06-06",39
146,来信,"0200","2022-06-06",277
147,网站,"0300","2022-06-06",164
148,小程序/公众号,"0400","2022-06-06",418
149,电话,"0100","2022-06-07",11
150,来信,"0200","2022-06-07",60
151,网站,"0300","2022-06-07",79
152,小程序/公众号,"0400","2022-06-07",162
153,电话,"0100","2022-06-08",190
154,来信,"0200","2022-06-08",136
155,网站,"0300","2022-06-08",28
156,小程序/公众号,"0400","2022-06-08",492
157,电话,"0100","2022-06-09",71
158,来信,"0200","2022-06-09",40
159,网站,"0300","2022-06-09",118
160,小程序/公众号,"0400","2022-06-09",356
161,电话,"0100","2022-06-10",69
162,来信,"0200","2022-06-10",75
163,网站,"0300","2022-06-10",143
164,小程序/公众号,"0400","2022-06-10",144
165,电话,"0100","2022-06-11",17
166,来信,"0200","2022-06-11",191
167,网站,"0300","2022-06-11",220
168,小程序/公众号,"0400","2022-06-11",227
169,电话,"0100","2022-06-12",30
170,来信,"0200","2022-06-12",55
171,网站,"0300","2022-06-12",56
172,小程序/公众号,"0400","2022-06-12",437
173,电话,"0100","2022-06-13",88
174,来信,"0200","2022-06-13",34
175,网站,"0300","2022-06-13",132
176,小程序/公众号,"0400","2022-06-13",208
177,电话,"0100","2022-06-14",196
178,来信,"0200","2022-06-14",52
179,网站,"0300","2022-06-14",147
180,小程序/公众号,"0400","2022-06-14",419
181,电话,"0100","2022-06-15",18
182,来信,"0200","2022-06-15",54
183,网站,"0300","2022-06-15",148
184,小程序/公众号,"0400","2022-06-15",148
185,电话,"0100","2022-06-16",73
186,来信,"0200","2022-06-16",47
187,网站,"0300","2022-06-16",110
188,小程序/公众号,"0400","2022-06-16",145
189,电话,"0100","2022-06-17",45
190,来信,"0200","2022-06-17",298
191,网站,"0300","2022-06-17",32
192,小程序/公众号,"0400","2022-06-17",611
193,电话,"0100","2022-06-18",120
194,来信,"0200","2022-06-18",22
195,网站,"0300","2022-06-18",99
196,小程序/公众号,"0400","2022-06-18",450
197,电话,"0100","2022-06-19",55
198,来信,"0200","2022-06-19",94
199,网站,"0300","2022-06-19",75
200,小程序/公众号,"0400","2022-06-19",114
201,电话,"0100","2022-06-20",44
202,来信,"0200","2022-06-20",90
203,网站,"0300","2022-06-20",93
204,小程序/公众号,"0400","2022-06-20",230
205,电话,"0100","2022-06-21",97
206,来信,"0200","2022-06-21",135
207,网站,"0300","2022-06-21",204
208,小程序/公众号,"0400","2022-06-21",246
209,电话,"0100","2022-06-22",190
210,来信,"0200","2022-06-22",127
211,网站,"0300","2022-06-22",76
212,小程序/公众号,"0400","2022-06-22",508
213,电话,"0100","2022-06-23",13
214,来信,"0200","2022-06-23",78
215,网站,"0300","2022-06-23",214
216,小程序/公众号,"0400","2022-06-23",309
217,电话,"0100","2022-06-24",135
218,来信,"0200","2022-06-24",189
219,网站,"0300","2022-06-24",220
220,小程序/公众号,"0400","2022-06-24",222
221,电话,"0100","2022-06-25",89
222,来信,"0200","2022-06-25",126
223,网站,"0300","2022-06-25",91
224,小程序/公众号,"0400","2022-06-25",255
225,电话,"0100","2022-06-26",10
226,来信,"0200","2022-06-26",27
227,网站,"0300","2022-06-26",105
228,小程序/公众号,"0400","2022-06-26",302
229,电话,"0100","2022-06-27",44
230,来信,"0200","2022-06-27",31
231,网站,"0300","2022-06-27",108
232,小程序/公众号,"0400","2022-06-27",396
233,电话,"0100","2022-06-28",46
234,来信,"0200","2022-06-28",191
235,网站,"0300","2022-06-28",124
236,小程序/公众号,"0400","2022-06-28",555
237,电话,"0100","2022-06-29",27
238,来信,"0200","2022-06-29",36
239,网站,"0300","2022-06-29",114
240,小程序/公众号,"0400","2022-06-29",279
241,电话,"0100","2022-06-30",51
242,来信,"0200","2022-06-30",14
243,网站,"0300","2022-06-30",83
244,小程序/公众号,"0400","2022-06-30",267
245,电话,"0100","2022-07-01",102
246,来信,"0200","2022-07-01",53
247,网站,"0300","2022-07-01",18
248,小程序/公众号,"0400","2022-07-01",261
249,电话,"0100","2022-07-02",35
250,来信,"0200","2022-07-02",190
251,网站,"0300","2022-07-02",197
252,小程序/公众号,"0400","2022-07-02",310
253,电话,"0100","2022-07-03",101
254,来信,"0200","2022-07-03",102
255,网站,"0300","2022-07-03",254
256,小程序/公众号,"0400","2022-07-03",287
257,电话,"0100","2022-07-04",144
258,来信,"0200","2022-07-04",82
259,网站,"0300","2022-07-04",219
260,小程序/公众号,"0400","2022-07-04",385
261,电话,"0100","2022-07-05",146
262,来信,"0200","2022-07-05",128
263,网站,"0300","2022-07-05",179
264,小程序/公众号,"0400","2022-07-05",402
265,电话,"0100","2022-07-06",90
266,来信,"0200","2022-07-06",58
267,网站,"0300","2022-07-06",132
268,小程序/公众号,"0400","2022-07-06",312
269,电话,"0100","2022-07-07",91
270,来信,"0200","2022-07-07",17
271,网站,"0300","2022-07-07",51
272,小程序/公众号,"0400","2022-07-07",208
273,电话,"0100","2022-07-08",70
274,来信,"0200","2022-07-08",66
275,网站,"0300","2022-07-08",100
276,小程序/公众号,"0400","2022-07-08",117
277,电话,"0100","2022-07-09",196
278,来信,"0200","2022-07-09",36
279,网站,"0300","2022-07-09",225
280,小程序/公众号,"0400","2022-07-09",467
281,电话,"0100","2022-07-10",43
282,来信,"0200","2022-07-10",42
283,网站,"0300","2022-07-10",173
284,小程序/公众号,"0400","2022-07-10",575
285,电话,"0100","2022-07-11",31
286,来信,"0200","2022-07-11",25
287,网站,"0300","2022-07-11",110
288,小程序/公众号,"0400","2022-07-11",157
289,电话,"0100","2022-07-12",96
290,来信,"0200","2022-07-12",12
291,网站,"0300","2022-07-12",334
292,小程序/公众号,"0400","2022-07-12",501
293,电话,"0100","2022-07-13",32
294,来信,"0200","2022-07-13",182
295,网站,"0300","2022-07-13",48
296,小程序/公众号,"0400","2022-07-13",324
297,电话,"0100","2022-07-14",159
298,来信,"0200","2022-07-14",215
299,网站,"0300","2022-07-14",185
300,小程序/公众号,"0400","2022-07-14",274
301,电话,"0100","2022-07-15",109
302,来信,"0200","2022-07-15",193
303,网站,"0300","2022-07-15",138
304,小程序/公众号,"0400","2022-07-15",505
305,电话,"0100","2022-07-16",162
306,来信,"0200","2022-07-16",198
307,网站,"0300","2022-07-16",198
308,小程序/公众号,"0400","2022-07-16",242
309,电话,"0100","2022-07-17",67
310,来信,"0200","2022-07-17",17
311,网站,"0300","2022-07-17",72
312,小程序/公众号,"0400","2022-07-17",436
313,电话,"0100","2022-07-18",56
314,来信,"0200","2022-07-18",194
315,网站,"0300","2022-07-18",69
316,小程序/公众号,"0400","2022-07-18",326
317,电话,"0100","2022-07-19",125
318,来信,"0200","2022-07-19",165
319,网站,"0300","2022-07-19",142
320,小程序/公众号,"0400","2022-07-19",217
321,电话,"0100","2022-07-20",84
322,来信,"0200","2022-07-20",94
323,网站,"0300","2022-07-20",137
324,小程序/公众号,"0400","2022-07-20",165
325,电话,"0100","2022-07-21",56
326,来信,"0200","2022-07-21",68
327,网站,"0300","2022-07-21",217
328,小程序/公众号,"0400","2022-07-21",339
329,电话,"0100","2022-07-22",139
330,来信,"0200","2022-07-22",104
331,网站,"0300","2022-07-22",227
332,小程序/公众号,"0400","2022-07-22",292
333,电话,"0100","2022-07-23",31
334,来信,"0200","2022-07-23",81
335,网站,"0300","2022-07-23",16
336,小程序/公众号,"0400","2022-07-23",216
337,电话,"0100","2022-07-24",48
338,来信,"0200","2022-07-24",22
339,网站,"0300","2022-07-24",115
340,小程序/公众号,"0400","2022-07-24",138
341,电话,"0100","2022-07-25",134
342,来信,"0200","2022-07-25",10
343,网站,"0300","2022-07-25",54
344,小程序/公众号,"0400","2022-07-25",370
345,电话,"0100","2022-07-26",41
346,来信,"0200","2022-07-26",207
347,网站,"0300","2022-07-26",148
348,小程序/公众号,"0400","2022-07-26",302
349,电话,"0100","2022-07-27",10
350,来信,"0200","2022-07-27",22
351,网站,"0300","2022-07-27",219
352,小程序/公众号,"0400","2022-07-27",593
353,电话,"0100","2022-07-28",132
354,来信,"0200","2022-07-28",140
355,网站,"0300","2022-07-28",131
356,小程序/公众号,"0400","2022-07-28",165
357,电话,"0100","2022-07-29",214
358,来信,"0200","2022-07-29",134
359,网站,"0300","2022-07-29",41
360,小程序/公众号,"0400","2022-07-29",566
361,电话,"0100","2022-07-30",56
362,来信,"0200","2022-07-30",153
363,网站,"0300","2022-07-30",139
364,小程序/公众号,"0400","2022-07-30",209
365,电话,"0100","2022-07-31",147
366,来信,"0200","2022-07-31",136
367,网站,"0300","2022-07-31",175
368,小程序/公众号,"0400","2022-07-31",198
369,电话,"0100","2022-08-01",14
370,来信,"0200","2022-08-01",75
371,网站,"0300","2022-08-01",156
372,小程序/公众号,"0400","2022-08-01",424
373,电话,"0100","2022-08-02",35
374,来信,"0200","2022-08-02",96
375,网站,"0300","2022-08-02",71
376,小程序/公众号,"0400","2022-08-02",132
377,电话,"0100","2022-08-03",83
378,来信,"0200","2022-08-03",64
379,网站,"0300","2022-08-03",107
380,小程序/公众号,"0400","2022-08-03",197
381,电话,"0100","2022-08-04",87
382,来信,"0200","2022-08-04",244
383,网站,"0300","2022-08-04",164
384,小程序/公众号,"0400","2022-08-04",370
385,电话,"0100","2022-08-05",22
386,来信,"0200","2022-08-05",104
387,网站,"0300","2022-08-05",108
388,小程序/公众号,"0400","2022-08-05",385
389,电话,"0100","2022-08-06",165
390,来信,"0200","2022-08-06",27
391,网站,"0300","2022-08-06",237
392,小程序/公众号,"0400","2022-08-06",278
393,电话,"0100","2022-08-07",73
394,来信,"0200","2022-08-07",38
395,网站,"0300","2022-08-07",104
396,小程序/公众号,"0400","2022-08-07",281
397,电话,"0100","2022-08-08",115
398,来信,"0200","2022-08-08",132
399,网站,"0300","2022-08-08",64
400,小程序/公众号,"0400","2022-08-08",231
401,电话,"0100","2022-08-09",30
402,来信,"0200","2022-08-09",22
403,网站,"0300","2022-08-09",25
404,小程序/公众号,"0400","2022-08-09",227
405,电话,"0100","2022-08-10",88
406,来信,"0200","2022-08-10",28
407,网站,"0300","2022-08-10",98
408,小程序/公众号,"0400","2022-08-10",221
409,电话,"0100","2022-08-11",108
410,来信,"0200","2022-08-11",159
411,网站,"0300","2022-08-11",17
412,小程序/公众号,"0400","2022-08-11",474
413,电话,"0100","2022-08-12",45
414,来信,"0200","2022-08-12",112
415,网站,"0300","2022-08-12",12
416,小程序/公众号,"0400","2022-08-12",245
417,电话,"0100","2022-08-13",95
418,来信,"0200","2022-08-13",10
419,网站,"0300","2022-08-13",19
420,小程序/公众号,"0400","2022-08-13",446
421,电话,"0100","2022-08-14",71
422,来信,"0200","2022-08-14",46
423,网站,"0300","2022-08-14",15
424,小程序/公众号,"0400","2022-08-14",248
425,电话,"0100","2022-08-15",31
426,来信,"0200","2022-08-15",66
427,网站,"0300","2022-08-15",123
428,小程序/公众号,"0400","2022-08-15",185
429,电话,"0100","2022-08-16",46
430,来信,"0200","2022-08-16",294
431,网站,"0300","2022-08-16",241
432,小程序/公众号,"0400","2022-08-16",352
433,电话,"0100","2022-08-17",58
434,来信,"0200","2022-08-17",67
435,网站,"0300","2022-08-17",12
436,小程序/公众号,"0400","2022-08-17",307
437,电话,"0100","2022-08-18",20
438,来信,"0200","2022-08-18",75
439,网站,"0300","2022-08-18",300
440,小程序/公众号,"0400","2022-08-18",416
441,电话,"0100","2022-08-19",216
442,来信,"0200","2022-08-19",153
443,网站,"0300","2022-08-19",211
444,小程序/公众号,"0400","2022-08-19",323
445,电话,"0100","2022-08-20",166
446,来信,"0200","2022-08-20",160
447,网站,"0300","2022-08-20",50
448,小程序/公众号,"0400","2022-08-20",391
449,电话,"0100","2022-08-21",91
450,来信,"0200","2022-08-21",28
451,网站,"0300","2022-08-21",159
452,小程序/公众号,"0400","2022-08-21",161
453,电话,"0100","2022-08-22",49
454,来信,"0200","2022-08-22",220
455,网站,"0300","2022-08-22",51
456,小程序/公众号,"0400","2022-08-22",513
457,电话,"0100","2022-08-23",179
458,来信,"0200","2022-08-23",46
459,网站,"0300","2022-08-23",245
460,小程序/公众号,"0400","2022-08-23",258
461,电话,"0100","2022-08-24",60
462,来信,"0200","2022-08-24",14
463,网站,"0300","2022-08-24",15
464,小程序/公众号,"0400","2022-08-24",679
465,电话,"0100","2022-08-25",52
466,来信,"0200","2022-08-25",52
467,网站,"0300","2022-08-25",178
468,小程序/公众号,"0400","2022-08-25",389
469,电话,"0100","2022-08-26",77
470,来信,"0200","2022-08-26",22
471,网站,"0300","2022-08-26",68
472,小程序/公众号,"0400","2022-08-26",223
473,电话,"0100","2022-08-27",88
474,来信,"0200","2022-08-27",64
475,网站,"0300","2022-08-27",253
476,小程序/公众号,"0400","2022-08-27",331
477,电话,"0100","2022-08-28",31
478,来信,"0200","2022-08-28",129
479,网站,"0300","2022-08-28",125
480,小程序/公众号,"0400","2022-08-28",156
481,电话,"0100","2022-08-29",116
482,来信,"0200","2022-08-29",179
483,网站,"0300","2022-08-29",16
484,小程序/公众号,"0400","2022-08-29",604
485,电话,"0100","2022-08-30",52
486,来信,"0200","2022-08-30",134
487,网站,"0300","2022-08-30",122
488,小程序/公众号,"0400","2022-08-30",303
489,电话,"0100","2022-08-31",36
490,来信,"0200","2022-08-31",60
491,网站,"0300","2022-08-31",197
492,小程序/公众号,"0400","2022-08-31",306
493,电话,"0100","2022-09-01",52
494,来信,"0200","2022-09-01",129
495,网站,"0300","2022-09-01",226
496,小程序/公众号,"0400","2022-09-01",331
497,电话,"0100","2022-09-02",73
498,来信,"0200","2022-09-02",63
499,网站,"0300","2022-09-02",17
500,小程序/公众号,"0400","2022-09-02",203
501,电话,"0100","2022-09-03",57
502,来信,"0200","2022-09-03",84
503,网站,"0300","2022-09-03",83
504,小程序/公众号,"0400","2022-09-03",100
505,电话,"0100","2022-09-04",141
506,来信,"0200","2022-09-04",257
507,网站,"0300","2022-09-04",85
508,小程序/公众号,"0400","2022-09-04",451
509,电话,"0100","2022-09-05",23
510,来信,"0200","2022-09-05",36
511,网站,"0300","2022-09-05",59
512,小程序/公众号,"0400","2022-09-05",305
513,电话,"0100","2022-09-06",18
514,来信,"0200","2022-09-06",116
515,网站,"0300","2022-09-06",21
516,小程序/公众号,"0400","2022-09-06",675
517,电话,"0100","2022-09-07",70
518,来信,"0200","2022-09-07",13
519,网站,"0300","2022-09-07",345
520,小程序/公众号,"0400","2022-09-07",454
521,电话,"0100","2022-09-08",31
522,来信,"0200","2022-09-08",162
523,网站,"0300","2022-09-08",22
524,小程序/公众号,"0400","2022-09-08",485
525,电话,"0100","2022-09-09",118
526,来信,"0200","2022-09-09",85
527,网站,"0300","2022-09-09",92
528,小程序/公众号,"0400","2022-09-09",456
529,电话,"0100","2022-09-10",98
530,来信,"0200","2022-09-10",128
531,网站,"0300","2022-09-10",110
532,小程序/公众号,"0400","2022-09-10",215
533,电话,"0100","2022-09-11",100
534,来信,"0200","2022-09-11",21
535,网站,"0300","2022-09-11",74
536,小程序/公众号,"0400","2022-09-11",279
537,电话,"0100","2022-09-12",41
538,来信,"0200","2022-09-12",38
539,网站,"0300","2022-09-12",141
540,小程序/公众号,"0400","2022-09-12",361
541,电话,"0100","2022-09-13",83
542,来信,"0200","2022-09-13",48
543,网站,"0300","2022-09-13",286
544,小程序/公众号,"0400","2022-09-13",568
545,电话,"0100","2022-09-14",117
546,来信,"0200","2022-09-14",56
547,网站,"0300","2022-09-14",67
548,小程序/公众号,"0400","2022-09-14",261
549,电话,"0100","2022-09-15",28
550,来信,"0200","2022-09-15",133
551,网站,"0300","2022-09-15",189
552,小程序/公众号,"0400","2022-09-15",477
553,电话,"0100","2022-09-16",102
554,来信,"0200","2022-09-16",60
555,网站,"0300","2022-09-16",18
556,小程序/公众号,"0400","2022-09-16",375
557,电话,"0100","2022-09-17",86
558,来信,"0200","2022-09-17",143
559,网站,"0300","2022-09-17",139
560,小程序/公众号,"0400","2022-09-17",218
561,电话,"0100","2022-09-18",136
562,来信,"0200","2022-09-18",37
563,网站,"0300","2022-09-18",110
564,小程序/公众号,"0400","2022-09-18",310
565,电话,"0100","2022-09-19",57
566,来信,"0200","2022-09-19",186
567,网站,"0300","2022-09-19",93
568,小程序/公众号,"0400","2022-09-19",539
569,电话,"0100","2022-09-20",19
570,来信,"0200","2022-09-20",150
571,网站,"0300","2022-09-20",77
572,小程序/公众号,"0400","2022-09-20",322
573,电话,"0100","2022-09-21",131
574,来信,"0200","2022-09-21",82
575,网站,"0300","2022-09-21",55
576,小程序/公众号,"0400","2022-09-21",665
577,电话,"0100","2022-09-22",14
578,来信,"0200","2022-09-22",40
579,网站,"0300","2022-09-22",161
580,小程序/公众号,"0400","2022-09-22",247
581,电话,"0100","2022-09-23",69
582,来信,"0200","2022-09-23",58
583,网站,"0300","2022-09-23",145
584,小程序/公众号,"0400","2022-09-23",247
585,电话,"0100","2022-09-24",68
586,来信,"0200","2022-09-24",220
587,网站,"0300","2022-09-24",64
588,小程序/公众号,"0400","2022-09-24",450
589,电话,"0100","2022-09-25",132
590,来信,"0200","2022-09-25",17
591,网站,"0300","2022-09-25",146
592,小程序/公众号,"0400","2022-09-25",329
593,电话,"0100","2022-09-26",21
594,来信,"0200","2022-09-26",285
595,网站,"0300","2022-09-26",186
596,小程序/公众号,"0400","2022-09-26",449
597,电话,"0100","2022-09-27",123
598,来信,"0200","2022-09-27",184
599,网站,"0300","2022-09-27",206
600,小程序/公众号,"0400","2022-09-27",384
601,电话,"0100","2022-09-28",47
602,来信,"0200","2022-09-28",152
603,网站,"0300","2022-09-28",134
604,小程序/公众号,"0400","2022-09-28",204
605,电话,"0100","2022-09-29",111
606,来信,"0200","2022-09-29",129
607,网站,"0300","2022-09-29",99
608,小程序/公众号,"0400","2022-09-29",255
609,电话,"0100","2022-09-30",137
610,来信,"0200","2022-09-30",224
611,网站,"0300","2022-09-30",77
612,小程序/公众号,"0400","2022-09-30",479
613,电话,"0100","2022-10-01",79
614,来信,"0200","2022-10-01",52
615,网站,"0300","2022-10-01",216
616,小程序/公众号,"0400","2022-10-01",348
617,电话,"0100","2022-10-02",122
618,来信,"0200","2022-10-02",18
619,网站,"0300","2022-10-02",77
620,小程序/公众号,"0400","2022-10-02",644
621,电话,"0100","2022-10-03",30
622,来信,"0200","2022-10-03",132
623,网站,"0300","2022-10-03",211
624,小程序/公众号,"0400","2022-10-03",609
625,电话,"0100","2022-10-04",108
626,来信,"0200","2022-10-04",145
627,网站,"0300","2022-10-04",153
628,小程序/公众号,"0400","2022-10-04",241
629,电话,"0100","2022-10-05",143
630,来信,"0200","2022-10-05",109
631,网站,"0300","2022-10-05",338
632,小程序/公众号,"0400","2022-10-05",393
633,电话,"0100","2022-10-06",44
634,来信,"0200","2022-10-06",72
635,网站,"0300","2022-10-06",73
636,小程序/公众号,"0400","2022-10-06",134
637,电话,"0100","2022-10-07",57
638,来信,"0200","2022-10-07",13
639,网站,"0300","2022-10-07",168
640,小程序/公众号,"0400","2022-10-07",180
641,电话,"0100","2022-10-08",144
642,来信,"0200","2022-10-08",114
643,网站,"0300","2022-10-08",147
644,小程序/公众号,"0400","2022-10-08",201
645,电话,"0100","2022-10-09",127
646,来信,"0200","2022-10-09",143
647,网站,"0300","2022-10-09",27
648,小程序/公众号,"0400","2022-10-09",273
649,电话,"0100","2022-10-10",16
650,来信,"0200","2022-10-10",181
651,网站,"0300","2022-10-10",106
652,小程序/公众号,"0400","2022-10-10",389
653,电话,"0100","2022-10-11",29
654,来信,"0200","2022-10-11",124
655,网站,"0300","2022-10-11",345
656,小程序/公众号,"0400","2022-10-11",491
657,电话,"0100","2022-10-12",121
658,来信,"0200","2022-10-12",58
659,网站,"0300","2022-10-12",152
660,小程序/公众号,"0400","2022-10-12",216
661,电话,"0100","2022-10-13",100
662,来信,"0200","2022-10-13",138
663,网站,"0300","2022-10-13",60
664,小程序/公众号,"0400","2022-10-13",255
665,电话,"0100","2022-10-14",72
666,来信,"0200","2022-10-14",250
667,网站,"0300","2022-10-14",11
668,小程序/公众号,"0400","2022-10-14",492
669,电话,"0100","2022-10-15",55
670,来信,"0200","2022-10-15",264
671,网站,"0300","2022-10-15",282
672,小程序/公众号,"0400","2022-10-15",309
673,电话,"0100","2022-10-16",47
674,来信,"0200","2022-10-16",121
675,网站,"0300","2022-10-16",123
676,小程序/公众号,"0400","2022-10-16",209
677,电话,"0100","2022-10-17",60
678,来信,"0200","2022-10-17",11
679,网站,"0300","2022-10-17",322
680,小程序/公众号,"0400","2022-10-17",458
681,电话,"0100","2022-10-18",65
682,来信,"0200","2022-10-18",70
683,网站,"0300","2022-10-18",116
684,小程序/公众号,"0400","2022-10-18",190
685,电话,"0100","2022-10-19",87
686,来信,"0200","2022-10-19",168
687,网站,"0300","2022-10-19",71
688,小程序/公众号,"0400","2022-10-19",402
689,电话,"0100","2022-10-20",69
690,来信,"0200","2022-10-20",98
691,网站,"0300","2022-10-20",273
692,小程序/公众号,"0400","2022-10-20",295
693,电话,"0100","2022-10-21",66
694,来信,"0200","2022-10-21",111
695,网站,"0300","2022-10-21",67
696,小程序/公众号,"0400","2022-10-21",235
697,电话,"0100","2022-10-22",95
698,来信,"0200","2022-10-22",49
699,网站,"0300","2022-10-22",12
700,小程序/公众号,"0400","2022-10-22",238
701,电话,"0100","2022-10-23",54
702,来信,"0200","2022-10-23",78
703,网站,"0300","2022-10-23",75
704,小程序/公众号,"0400","2022-10-23",331
705,电话,"0100","2022-10-24",52
706,来信,"0200","2022-10-24",92
707,网站,"0300","2022-10-24",241
708,小程序/公众号,"0400","2022-10-24",458
709,电话,"0100","2022-10-25",207
710,来信,"0200","2022-10-25",155
711,网站,"0300","2022-10-25",179
712,小程序/公众号,"0400","2022-10-25",395
713,电话,"0100","2022-10-26",13
714,来信,"0200","2022-10-26",86
715,网站,"0300","2022-10-26",134
716,小程序/公众号,"0400","2022-10-26",163
717,电话,"0100","2022-10-27",45
718,来信,"0200","2022-10-27",66
719,网站,"0300","2022-10-27",77
720,小程序/公众号,"0400","2022-10-27",389
721,电话,"0100","2022-10-28",71
722,来信,"0200","2022-10-28",89
723,网站,"0300","2022-10-28",80
724,小程序/公众号,"0400","2022-10-28",202
