"md_id","busi_time","hand_up_type","hand_up_cnt"
111,"2022-06-06","3",5
112,"2022-06-07","1",67
113,"2022-06-07","2",13
114,"2022-06-07","3",174
115,"2022-06-08","1",262
116,"2022-06-08","2",126
117,"2022-06-08","3",34
118,"2022-06-09","1",38
119,"2022-06-09","2",7
120,"2022-06-09","3",1
121,"2022-06-10","1",36
122,"2022-06-10","2",18
123,"2022-06-10","3",45
124,"2022-06-11","1",33
125,"2022-06-11","2",6
126,"2022-06-11","3",3
127,"2022-06-12","1",39
128,"2022-06-12","2",11
129,"2022-06-12","3",53
130,"2022-06-13","1",12
131,"2022-06-13","2",61
132,"2022-06-13","3",32
133,"2022-06-14","1",102
134,"2022-06-14","2",1
135,"2022-06-14","3",5
136,"2022-06-15","1",200
137,"2022-06-15","2",1
138,"2022-06-15","3",0
139,"2022-06-16","1",124
140,"2022-06-16","2",23
141,"2022-06-16","3",123
142,"2022-06-17","1",28
143,"2022-06-17","2",38
144,"2022-06-17","3",13
145,"2022-06-18","1",8
146,"2022-06-18","2",11
147,"2022-06-18","3",315
148,"2022-06-19","1",109
149,"2022-06-19","2",98
150,"2022-06-19","3",90
151,"2022-06-20","1",11
152,"2022-06-20","2",12
153,"2022-06-20","3",48
154,"2022-06-21","1",3
155,"2022-06-21","2",4
156,"2022-06-21","3",28
157,"2022-06-22","1",150
158,"2022-06-22","2",81
159,"2022-06-22","3",61
160,"2022-06-23","1",53
161,"2022-06-23","2",6
162,"2022-06-23","3",9
163,"2022-06-24","1",169
164,"2022-06-24","2",4
165,"2022-06-24","3",0
166,"2022-06-25","1",65
167,"2022-06-25","2",26
168,"2022-06-25","3",4
169,"2022-06-26","1",15
170,"2022-06-26","2",20
171,"2022-06-26","3",22
172,"2022-06-27","1",40
173,"2022-06-27","2",36
174,"2022-06-27","3",32
175,"2022-06-28","1",2
176,"2022-06-28","2",42
177,"2022-06-28","3",7
178,"2022-06-29","1",65
179,"2022-06-29","2",56
180,"2022-06-29","3",104
181,"2022-06-30","1",46
182,"2022-06-30","2",39
183,"2022-06-30","3",52
184,"2022-07-01","1",48
185,"2022-07-01","2",0
186,"2022-07-01","3",0
187,"2022-07-02","1",34
188,"2022-07-02","2",175
189,"2022-07-02","3",19
190,"2022-07-03","1",24
191,"2022-07-03","2",16
192,"2022-07-03","3",0
193,"2022-07-04","1",143
194,"2022-07-04","2",96
195,"2022-07-04","3",36
196,"2022-07-05","1",45
197,"2022-07-05","2",0
198,"2022-07-05","3",0
199,"2022-07-06","1",291
200,"2022-07-06","2",44
201,"2022-07-06","3",19
202,"2022-07-07","1",140
203,"2022-07-07","2",7
204,"2022-07-07","3",11
205,"2022-07-08","1",166
206,"2022-07-08","2",52
207,"2022-07-08","3",45
208,"2022-07-09","1",9
209,"2022-07-09","2",20
210,"2022-07-09","3",5
211,"2022-07-10","1",22
212,"2022-07-10","2",83
213,"2022-07-10","3",197
214,"2022-07-11","1",171
215,"2022-07-11","2",11
216,"2022-07-11","3",33
217,"2022-07-12","1",8
218,"2022-07-12","2",265
219,"2022-07-12","3",11
220,"2022-07-13","1",109
221,"2022-07-13","2",18
222,"2022-07-13","3",0
223,"2022-07-14","1",12
224,"2022-07-14","2",4
225,"2022-07-14","3",5
226,"2022-07-15","1",15
227,"2022-07-15","2",65
228,"2022-07-15","3",20
229,"2022-07-16","1",0
230,"2022-07-16","2",2
231,"2022-07-16","3",2
232,"2022-07-17","1",27
233,"2022-07-17","2",30
234,"2022-07-17","3",330
235,"2022-07-18","1",93
236,"2022-07-18","2",3
237,"2022-07-18","3",13
238,"2022-07-19","1",5
239,"2022-07-19","2",21
240,"2022-07-19","3",44
241,"2022-07-20","1",216
242,"2022-07-20","2",1
243,"2022-07-20","3",118
244,"2022-07-21","1",55
245,"2022-07-21","2",76
246,"2022-07-21","3",10
247,"2022-07-22","1",8
248,"2022-07-22","2",19
249,"2022-07-22","3",58
250,"2022-07-23","1",78
251,"2022-07-23","2",4
252,"2022-07-23","3",78
253,"2022-07-24","1",43
254,"2022-07-24","2",0
255,"2022-07-24","3",86
256,"2022-07-25","1",107
257,"2022-07-25","2",66
258,"2022-07-25","3",121
259,"2022-07-26","1",28
260,"2022-07-26","2",13
261,"2022-07-26","3",83
262,"2022-07-27","1",1
263,"2022-07-27","2",60
264,"2022-07-27","3",272
265,"2022-07-28","1",82
266,"2022-07-28","2",0
267,"2022-07-28","3",81
268,"2022-07-29","1",46
269,"2022-07-29","2",17
270,"2022-07-29","3",17
271,"2022-07-30","1",142
272,"2022-07-30","2",18
273,"2022-07-30","3",85
274,"2022-07-31","1",54
275,"2022-07-31","2",2
276,"2022-07-31","3",1
277,"2022-08-01","1",244
278,"2022-08-01","2",1
279,"2022-08-01","3",38
280,"2022-08-02","1",10
281,"2022-08-02","2",5
282,"2022-08-02","3",6
283,"2022-08-03","1",41
284,"2022-08-03","2",86
285,"2022-08-03","3",30
286,"2022-08-04","1",41
287,"2022-08-04","2",54
288,"2022-08-04","3",4
289,"2022-08-05","1",0
290,"2022-08-05","2",0
291,"2022-08-05","3",0
292,"2022-08-06","1",70
293,"2022-08-06","2",76
294,"2022-08-06","3",6
295,"2022-08-07","1",48
296,"2022-08-07","2",28
297,"2022-08-07","3",43
298,"2022-08-08","1",4
299,"2022-08-08","2",14
300,"2022-08-08","3",15
301,"2022-08-09","1",231
302,"2022-08-09","2",120
303,"2022-08-09","3",79
304,"2022-08-10","1",5
305,"2022-08-10","2",1
306,"2022-08-10","3",33
307,"2022-08-11","1",56
308,"2022-08-11","2",8
309,"2022-08-11","3",1
310,"2022-08-12","1",9
311,"2022-08-12","2",24
312,"2022-08-12","3",158
313,"2022-08-13","1",2
314,"2022-08-13","2",0
315,"2022-08-13","3",2
316,"2022-08-14","1",28
317,"2022-08-14","2",6
318,"2022-08-14","3",14
319,"2022-08-15","1",5
320,"2022-08-15","2",2
321,"2022-08-15","3",37
322,"2022-08-16","1",57
323,"2022-08-16","2",86
324,"2022-08-16","3",61
325,"2022-08-17","1",306
326,"2022-08-17","2",19
327,"2022-08-17","3",7
328,"2022-08-18","1",17
329,"2022-08-18","2",9
330,"2022-08-18","3",118
331,"2022-08-19","1",13
332,"2022-08-19","2",28
333,"2022-08-19","3",51
334,"2022-08-20","1",33
335,"2022-08-20","2",2
336,"2022-08-20","3",6
337,"2022-08-21","1",2
338,"2022-08-21","2",111
339,"2022-08-21","3",45
340,"2022-08-22","1",0
341,"2022-08-22","2",1
342,"2022-08-22","3",0
343,"2022-08-23","1",50
344,"2022-08-23","2",31
345,"2022-08-23","3",22
346,"2022-08-24","1",261
347,"2022-08-24","2",62
348,"2022-08-24","3",4
349,"2022-08-25","1",160
350,"2022-08-25","2",2
351,"2022-08-25","3",8
352,"2022-08-26","1",271
353,"2022-08-26","2",59
354,"2022-08-26","3",23
355,"2022-08-27","1",53
356,"2022-08-27","2",10
357,"2022-08-27","3",2
358,"2022-08-28","1",13
359,"2022-08-28","2",74
360,"2022-08-28","3",100
361,"2022-08-29","1",75
362,"2022-08-29","2",2
363,"2022-08-29","3",20
364,"2022-08-30","1",63
365,"2022-08-30","2",11
366,"2022-08-30","3",50
367,"2022-08-31","1",49
368,"2022-08-31","2",39
369,"2022-08-31","3",41
370,"2022-09-01","1",114
371,"2022-09-01","2",27
372,"2022-09-01","3",18
373,"2022-09-02","1",47
374,"2022-09-02","2",2
375,"2022-09-02","3",1
376,"2022-09-03","1",21
377,"2022-09-03","2",23
378,"2022-09-03","3",33
379,"2022-09-04","1",71
380,"2022-09-04","2",7
381,"2022-09-04","3",51
382,"2022-09-05","1",0
383,"2022-09-05","2",0
384,"2022-09-05","3",0
385,"2022-09-06","1",193
386,"2022-09-06","2",13
387,"2022-09-06","3",15
388,"2022-09-07","1",23
389,"2022-09-07","2",52
390,"2022-09-07","3",39
391,"2022-09-08","1",156
392,"2022-09-08","2",116
393,"2022-09-08","3",111
394,"2022-09-09","1",6
395,"2022-09-09","2",0
396,"2022-09-09","3",14
397,"2022-09-10","1",62
398,"2022-09-10","2",3
399,"2022-09-10","3",3
400,"2022-09-11","1",128
401,"2022-09-11","2",50
402,"2022-09-11","3",18
403,"2022-09-12","1",165
404,"2022-09-12","2",126
405,"2022-09-12","3",1
406,"2022-09-13","1",59
407,"2022-09-13","2",37
408,"2022-09-13","3",16
409,"2022-09-14","1",163
410,"2022-09-14","2",44
411,"2022-09-14","3",6
412,"2022-09-15","1",12
413,"2022-09-15","2",2
414,"2022-09-15","3",0
415,"2022-09-16","1",6
416,"2022-09-16","2",11
417,"2022-09-16","3",0
418,"2022-09-17","1",21
419,"2022-09-17","2",3
420,"2022-09-17","3",14
421,"2022-09-18","1",86
422,"2022-09-18","2",95
423,"2022-09-18","3",79
424,"2022-09-19","1",175
425,"2022-09-19","2",9
426,"2022-09-19","3",19
427,"2022-09-20","1",12
428,"2022-09-20","2",19
429,"2022-09-20","3",4
430,"2022-09-21","1",60
431,"2022-09-21","2",117
432,"2022-09-21","3",5
433,"2022-09-22","1",104
434,"2022-09-22","2",15
435,"2022-09-22","3",19
436,"2022-09-23","1",34
437,"2022-09-23","2",8
438,"2022-09-23","3",6
439,"2022-09-24","1",29
440,"2022-09-24","2",79
441,"2022-09-24","3",131
442,"2022-09-25","1",31
443,"2022-09-25","2",1
444,"2022-09-25","3",2
445,"2022-09-26","1",69
446,"2022-09-26","2",22
447,"2022-09-26","3",15
448,"2022-09-27","1",115
449,"2022-09-27","2",18
450,"2022-09-27","3",28
451,"2022-09-28","1",86
452,"2022-09-28","2",175
453,"2022-09-28","3",32
454,"2022-09-29","1",73
455,"2022-09-29","2",13
456,"2022-09-29","3",141
457,"2022-09-30","1",2
458,"2022-09-30","2",0
459,"2022-09-30","3",0
460,"2022-10-01","1",50
461,"2022-10-01","2",112
462,"2022-10-01","3",27
463,"2022-10-02","1",41
464,"2022-10-02","2",29
465,"2022-10-02","3",46
466,"2022-10-03","1",158
467,"2022-10-03","2",79
468,"2022-10-03","3",39
469,"2022-10-04","1",26
470,"2022-10-04","2",5
471,"2022-10-04","3",0
472,"2022-10-05","1",7
473,"2022-10-05","2",22
474,"2022-10-05","3",8
475,"2022-10-06","1",136
476,"2022-10-06","2",96
477,"2022-10-06","3",94
478,"2022-10-07","1",198
479,"2022-10-07","2",7
480,"2022-10-07","3",16
481,"2022-10-08","1",22
482,"2022-10-08","2",0
483,"2022-10-08","3",6
484,"2022-10-09","1",28
485,"2022-10-09","2",65
486,"2022-10-09","3",6
487,"2022-10-10","1",15
488,"2022-10-10","2",29
489,"2022-10-10","3",6
490,"2022-10-11","1",249
491,"2022-10-11","2",136
492,"2022-10-11","3",8
493,"2022-10-12","1",2
494,"2022-10-12","2",36
495,"2022-10-12","3",11
496,"2022-10-13","1",7
497,"2022-10-13","2",15
498,"2022-10-13","3",21
499,"2022-10-14","1",80
500,"2022-10-14","2",4
501,"2022-10-14","3",12
502,"2022-10-15","1",12
503,"2022-10-15","2",9
504,"2022-10-15","3",134
505,"2022-10-16","1",8
506,"2022-10-16","2",10
507,"2022-10-16","3",72
508,"2022-10-17","1",29
509,"2022-10-17","2",2
510,"2022-10-17","3",0
511,"2022-10-18","1",1
512,"2022-10-18","2",0
513,"2022-10-18","3",0
514,"2022-10-19","1",43
515,"2022-10-19","2",9
516,"2022-10-19","3",32
517,"2022-10-20","1",151
518,"2022-10-20","2",66
519,"2022-10-20","3",215
520,"2022-10-21","1",279
521,"2022-10-21","2",20
522,"2022-10-21","3",9
523,"2022-10-22","1",15
524,"2022-10-22","2",128
525,"2022-10-22","3",77
526,"2022-10-23","1",23
527,"2022-10-23","2",4
528,"2022-10-23","3",12
529,"2022-10-24","1",65
530,"2022-10-24","2",1
531,"2022-10-24","3",0
532,"2022-10-25","1",127
533,"2022-10-25","2",30
534,"2022-10-25","3",79
535,"2022-10-26","1",14
536,"2022-10-26","2",3
537,"2022-10-26","3",2
538,"2022-10-27","1",11
539,"2022-10-27","2",4
540,"2022-10-27","3",9
541,"2022-10-28","1",36
542,"2022-10-28","2",28
543,"2022-10-28","3",26
544,"2022-10-29","1",76
545,"2022-10-29","2",20
546,"2022-10-29","3",42
547,"2022-10-30","1",16
548,"2022-10-30","2",60
549,"2022-10-30","3",30
550,"2022-10-31","1",165
551,"2022-10-31","2",82
552,"2022-10-31","3",8
553,"2022-11-01","1",70
554,"2022-11-01","2",102
555,"2022-11-01","3",48
556,"2022-11-02","1",33
557,"2022-11-02","2",137
558,"2022-11-02","3",10
559,"2022-11-03","1",133
560,"2022-11-03","2",2
561,"2022-11-03","3",6
562,"2022-11-04","1",26
563,"2022-11-04","2",9
564,"2022-11-04","3",196
565,"2022-11-05","1",228
566,"2022-11-05","2",8
567,"2022-11-05","3",113
568,"2022-11-06","1",38
569,"2022-11-06","2",127
570,"2022-11-06","3",48
571,"2022-11-07","1",91
572,"2022-11-07","2",25
573,"2022-11-07","3",18
574,"2022-11-08","1",74
575,"2022-11-08","2",5
576,"2022-11-08","3",23
577,"2022-11-09","1",11
578,"2022-11-09","2",1
579,"2022-11-09","3",1
580,"2022-11-10","1",289
581,"2022-11-10","2",5
582,"2022-11-10","3",14
583,"2022-11-11","1",218
584,"2022-11-11","2",28
585,"2022-11-11","3",0
586,"2022-11-12","1",131
587,"2022-11-12","2",144
588,"2022-11-12","3",53
589,"2022-11-13","1",6
590,"2022-11-13","2",0
591,"2022-11-13","3",1
592,"2022-11-14","1",18
593,"2022-11-14","2",36
594,"2022-11-14","3",24
595,"2022-11-15","1",2
596,"2022-11-15","2",29
597,"2022-11-15","3",4
598,"2022-11-16","1",67
599,"2022-11-16","2",7
600,"2022-11-16","3",132
601,"2022-11-17","1",0
602,"2022-11-17","2",5
603,"2022-11-17","3",27
604,"2022-11-18","1",1
605,"2022-11-18","2",0
606,"2022-11-18","3",1
607,"2022-11-19","1",100
608,"2022-11-19","2",63
609,"2022-11-19","3",1
610,"2022-11-20","1",51
611,"2022-11-20","2",16
612,"2022-11-20","3",90
613,"2022-11-21","1",61
614,"2022-11-21","2",10
615,"2022-11-21","3",0
616,"2022-11-22","1",32
617,"2022-11-22","2",233
618,"2022-11-22","3",23
619,"2022-11-23","1",2
620,"2022-11-23","2",1
621,"2022-11-23","3",1
622,"2022-11-24","1",64
623,"2022-11-24","2",57
624,"2022-11-24","3",7
625,"2022-11-25","1",36
626,"2022-11-25","2",94
627,"2022-11-25","3",99
628,"2022-11-26","1",1
629,"2022-11-26","2",4
630,"2022-11-26","3",4
631,"2022-11-27","1",19
632,"2022-11-27","2",21
633,"2022-11-27","3",162
634,"2022-11-28","1",25
635,"2022-11-28","2",55
636,"2022-11-28","3",35
637,"2022-11-29","1",2
638,"2022-11-29","2",21
639,"2022-11-29","3",7
640,"2022-11-30","1",65
641,"2022-11-30","2",35
642,"2022-11-30","3",89
643,"2022-12-01","1",7
644,"2022-12-01","2",43
645,"2022-12-01","3",65
646,"2022-12-02","1",121
647,"2022-12-02","2",10
648,"2022-12-02","3",6
649,"2022-12-03","1",2
650,"2022-12-03","2",3
651,"2022-12-03","3",172
652,"2022-12-04","1",6
653,"2022-12-04","2",6
654,"2022-12-04","3",4
655,"2022-12-05","1",66
656,"2022-12-05","2",40
657,"2022-12-05","3",287
658,"2022-12-06","1",20
659,"2022-12-06","2",181
660,"2022-12-06","3",110
661,"2022-12-07","1",10
662,"2022-12-07","2",0
663,"2022-12-07","3",2
664,"2022-12-08","1",103
665,"2022-12-08","2",3
666,"2022-12-08","3",145
667,"2022-12-09","1",4
668,"2022-12-09","2",11
669,"2022-12-09","3",6
670,"2022-12-10","1",31
671,"2022-12-10","2",35
672,"2022-12-10","3",7
673,"2022-12-11","1",305
674,"2022-12-11","2",85
675,"2022-12-11","3",31
676,"2022-12-12","1",12
677,"2022-12-12","2",38
678,"2022-12-12","3",35
679,"2022-12-13","1",27
680,"2022-12-13","2",76
681,"2022-12-13","3",26
682,"2022-12-14","1",259
683,"2022-12-14","2",10
684,"2022-12-14","3",2
685,"2022-12-15","1",104
686,"2022-12-15","2",13
687,"2022-12-15","3",194
688,"2022-12-16","1",1
689,"2022-12-16","2",4
690,"2022-12-16","3",3
691,"2022-12-17","1",2
692,"2022-12-17","2",2
693,"2022-12-17","3",16
694,"2022-12-18","1",1
695,"2022-12-18","2",5
696,"2022-12-18","3",22
697,"2022-12-19","1",49
698,"2022-12-19","2",96
699,"2022-12-19","3",65
700,"2022-12-20","1",48
701,"2022-12-20","2",26
702,"2022-12-20","3",20
703,"2022-12-21","1",109
704,"2022-12-21","2",19
705,"2022-12-21","3",0
706,"2022-12-22","1",28
707,"2022-12-22","2",3
708,"2022-12-22","3",0
709,"2022-12-23","1",129
710,"2022-12-23","2",28
711,"2022-12-23","3",245
712,"2022-12-24","1",91
713,"2022-12-24","2",22
714,"2022-12-24","3",139
715,"2022-12-25","1",20
716,"2022-12-25","2",22
717,"2022-12-25","3",11
718,"2022-12-26","1",17
719,"2022-12-26","2",89
720,"2022-12-26","3",27
721,"2022-12-27","1",54
722,"2022-12-27","2",167
723,"2022-12-27","3",59
724,"2022-12-28","1",5
725,"2022-12-28","2",15
726,"2022-12-28","3",18
727,"2022-12-29","1",136
728,"2022-12-29","2",1
729,"2022-12-29","3",32
730,"2022-12-30","1",12
731,"2022-12-30","2",26
732,"2022-12-30","3",6
733,"2022-12-31","1",2
734,"2022-12-31","2",19
735,"2022-12-31","3",3
736,"2023-01-01","1",170
737,"2023-01-01","2",12
738,"2023-01-01","3",1
739,"2023-01-02","1",23
740,"2023-01-02","2",1
741,"2023-01-02","3",10
742,"2023-01-03","1",12
743,"2023-01-03","2",6
744,"2023-01-03","3",69
745,"2023-01-04","1",14
746,"2023-01-04","2",7
747,"2023-01-04","3",16
748,"2023-01-05","1",28
749,"2023-01-05","2",67
750,"2023-01-05","3",31
751,"2023-01-06","1",106
752,"2023-01-06","2",1
753,"2023-01-06","3",22
754,"2023-01-07","1",18
755,"2023-01-07","2",22
756,"2023-01-07","3",26
757,"2023-01-08","1",7
758,"2023-01-08","2",7
759,"2023-01-08","3",2
760,"2023-01-09","1",216
761,"2023-01-09","2",5
762,"2023-01-09","3",7
763,"2023-01-10","1",39
764,"2023-01-10","2",13
765,"2023-01-10","3",258
766,"2023-01-11","1",14
767,"2023-01-11","2",1
768,"2023-01-11","3",0
769,"2023-01-12","1",99
770,"2023-01-12","2",6
771,"2023-01-12","3",2
772,"2023-01-13","1",408
773,"2023-01-13","2",38
774,"2023-01-13","3",15
775,"2023-01-14","1",9
776,"2023-01-14","2",150
777,"2023-01-14","3",12
778,"2023-01-15","1",81
779,"2023-01-15","2",75
780,"2023-01-15","3",43
781,"2023-01-16","1",9
782,"2023-01-16","2",58
783,"2023-01-16","3",4
784,"2023-01-17","1",14
785,"2023-01-17","2",12
786,"2023-01-17","3",2
787,"2023-01-18","1",1
788,"2023-01-18","2",77
789,"2023-01-18","3",26
790,"2023-01-19","1",22
791,"2023-01-19","2",97
792,"2023-01-19","3",25
793,"2023-01-20","1",21
794,"2023-01-20","2",3
795,"2023-01-20","3",60
796,"2023-01-21","1",48
797,"2023-01-21","2",0
798,"2023-01-21","3",0
799,"2023-01-22","1",132
800,"2023-01-22","2",172
801,"2023-01-22","3",69
802,"2023-01-23","1",14
803,"2023-01-23","2",20
804,"2023-01-23","3",26
805,"2023-01-24","1",27
806,"2023-01-24","2",14
807,"2023-01-24","3",30
808,"2023-01-25","1",70
809,"2023-01-25","2",49
810,"2023-01-25","3",44
811,"2023-01-26","1",6
812,"2023-01-26","2",0
813,"2023-01-26","3",0
814,"2023-01-27","1",5
815,"2023-01-27","2",17
816,"2023-01-27","3",28
817,"2023-01-28","1",26
818,"2023-01-28","2",15
819,"2023-01-28","3",7
820,"2023-01-29","1",46
821,"2023-01-29","2",103
822,"2023-01-29","3",34
823,"2023-01-30","1",110
824,"2023-01-30","2",15
825,"2023-01-30","3",28
826,"2023-01-31","1",15
827,"2023-01-31","2",68
828,"2023-01-31","3",44
829,"2023-02-01","1",157
830,"2023-02-01","2",46
831,"2023-02-01","3",95
832,"2023-02-02","1",16
833,"2023-02-02","2",4
834,"2023-02-02","3",0
835,"2023-02-03","1",8
836,"2023-02-03","2",222
837,"2023-02-03","3",0
838,"2023-02-04","1",153
839,"2023-02-04","2",53
840,"2023-02-04","3",31
841,"2023-02-05","1",2
842,"2023-02-05","2",26
843,"2023-02-05","3",20
844,"2023-02-06","1",87
845,"2023-02-06","2",147
846,"2023-02-06","3",128
847,"2023-02-07","1",30
848,"2023-02-07","2",64
849,"2023-02-07","3",1
850,"2023-02-08","1",65
851,"2023-02-08","2",10
852,"2023-02-08","3",62
853,"2023-02-09","1",35
854,"2023-02-09","2",76
855,"2023-02-09","3",6
856,"2023-02-10","1",49
857,"2023-02-10","2",8
858,"2023-02-10","3",26
859,"2023-02-11","1",91
860,"2023-02-11","2",52
861,"2023-02-11","3",86
862,"2023-02-12","1",134
863,"2023-02-12","2",2
864,"2023-02-12","3",10
865,"2023-02-13","1",120
866,"2023-02-13","2",0
867,"2023-02-13","3",1
868,"2023-02-14","1",189
869,"2023-02-14","2",130
870,"2023-02-14","3",50
871,"2023-02-15","1",10
872,"2023-02-15","2",0
873,"2023-02-15","3",2
874,"2023-02-16","1",4
875,"2023-02-16","2",1
876,"2023-02-16","3",19
877,"2023-02-17","1",20
878,"2023-02-17","2",109
879,"2023-02-17","3",50
880,"2023-02-18","1",13
881,"2023-02-18","2",35
882,"2023-02-18","3",84
883,"2023-02-19","1",206
884,"2023-02-19","2",90
885,"2023-02-19","3",148
886,"2023-02-20","1",5
887,"2023-02-20","2",6
888,"2023-02-20","3",270
889,"2023-02-21","1",33
890,"2023-02-21","2",1
891,"2023-02-21","3",1
892,"2023-02-22","1",20
893,"2023-02-22","2",12
894,"2023-02-22","3",12
895,"2023-02-23","1",5
896,"2023-02-23","2",6
897,"2023-02-23","3",7
898,"2023-02-24","1",14
899,"2023-02-24","2",21
900,"2023-02-24","3",3
901,"2023-02-25","1",27
902,"2023-02-25","2",39
903,"2023-02-25","3",10
904,"2023-02-26","1",5
905,"2023-02-26","2",6
906,"2023-02-26","3",43
907,"2023-02-27","1",15
908,"2023-02-27","2",8
909,"2023-02-27","3",6
910,"2023-02-28","1",4
911,"2023-02-28","2",58
912,"2023-02-28","3",65
913,"2023-03-01","1",60
914,"2023-03-01","2",32
915,"2023-03-01","3",22
916,"2023-03-02","1",85
917,"2023-03-02","2",9
918,"2023-03-02","3",37
919,"2023-03-03","1",44
920,"2023-03-03","2",11
921,"2023-03-03","3",61
922,"2023-03-04","1",27
923,"2023-03-04","2",19
924,"2023-03-04","3",14
925,"2023-03-05","1",148
926,"2023-03-05","2",4
927,"2023-03-05","3",70
928,"2023-03-06","1",57
929,"2023-03-06","2",0
930,"2023-03-06","3",61
931,"2023-03-07","1",416
932,"2023-03-07","2",3
933,"2023-03-07","3",3
934,"2023-03-08","1",101
935,"2023-03-08","2",53
936,"2023-03-08","3",41
937,"2023-03-09","1",147
938,"2023-03-09","2",10
939,"2023-03-09","3",2
940,"2023-03-10","1",15
941,"2023-03-10","2",7
942,"2023-03-10","3",4
943,"2023-03-11","1",16
944,"2023-03-11","2",12
945,"2023-03-11","3",60
946,"2023-03-12","1",0
947,"2023-03-12","2",0
948,"2023-03-12","3",1
949,"2023-03-13","1",12
950,"2023-03-13","2",94
951,"2023-03-13","3",95
952,"2023-03-14","1",76
953,"2023-03-14","2",42
954,"2023-03-14","3",62
955,"2023-03-15","1",24
956,"2023-03-15","2",14
957,"2023-03-15","3",52
958,"2023-03-16","1",4
959,"2023-03-16","2",1
960,"2023-03-16","3",0
961,"2023-03-17","1",57
962,"2023-03-17","2",10
963,"2023-03-17","3",26
964,"2023-03-18","1",64
965,"2023-03-18","2",73
966,"2023-03-18","3",22
967,"2023-03-19","1",63
968,"2023-03-19","2",139
969,"2023-03-19","3",69
970,"2023-03-20","1",158
971,"2023-03-20","2",0
972,"2023-03-20","3",84
973,"2023-03-21","1",86
974,"2023-03-21","2",2
975,"2023-03-21","3",5
976,"2023-03-22","1",40
977,"2023-03-22","2",0
978,"2023-03-22","3",3
979,"2023-03-23","1",194
980,"2023-03-23","2",79
981,"2023-03-23","3",45
982,"2023-03-24","1",11
983,"2023-03-24","2",332
984,"2023-03-24","3",83
985,"2023-03-25","1",9
986,"2023-03-25","2",33
987,"2023-03-25","3",115
988,"2023-03-26","1",26
989,"2023-03-26","2",12
990,"2023-03-26","3",46
991,"2023-03-27","1",28
992,"2023-03-27","2",4
993,"2023-03-27","3",3
994,"2023-03-28","1",162
995,"2023-03-28","2",67
996,"2023-03-28","3",11
