"md_id","busi_time","satis_num","connect_num","item_num"
153,"2022-09-30",90,3,917
154,"2022-10-01",111,475,695
155,"2022-10-02",382,716,861
156,"2022-10-03",814,886,982
157,"2022-10-04",377,9,647
158,"2022-10-05",362,723,983
159,"2022-10-06",301,40,323
160,"2022-10-07",173,356,418
161,"2022-10-08",265,233,606
162,"2022-10-09",6,558,570
163,"2022-10-10",174,271,692
164,"2022-10-11",609,420,989
165,"2022-10-12",219,339,547
166,"2022-10-13",279,27,553
167,"2022-10-14",402,577,825
168,"2022-10-15",251,644,910
169,"2022-10-16",432,184,500
170,"2022-10-17",692,309,851
171,"2022-10-18",32,291,441
172,"2022-10-19",171,548,728
173,"2022-10-20",116,329,735
174,"2022-10-21",22,223,479
175,"2022-10-22",262,191,394
176,"2022-10-23",136,448,538
177,"2022-10-24",430,459,843
178,"2022-10-25",472,710,936
179,"2022-10-26",147,254,396
180,"2022-10-27",112,574,577
181,"2022-10-28",183,202,442
182,"2022-10-29",60,435,825
183,"2022-10-30",254,277,400
184,"2022-10-31",203,21,338
185,"2022-11-01",8,554,861
186,"2022-11-02",603,47,656
187,"2022-11-03",479,657,909
188,"2022-11-04",91,356,410
189,"2022-11-05",610,161,659
190,"2022-11-06",592,376,753
191,"2022-11-07",347,455,566
192,"2022-11-08",179,74,735
193,"2022-11-09",521,192,996
194,"2022-11-10",66,485,799
195,"2022-11-11",16,418,546
196,"2022-11-12",175,3,902
197,"2022-11-13",690,4,1000
198,"2022-11-14",655,79,916
199,"2022-11-15",285,74,411
200,"2022-11-16",392,385,448
201,"2022-11-17",14,434,563
202,"2022-11-18",725,412,739
203,"2022-11-19",435,203,581
204,"2022-11-20",385,565,671
205,"2022-11-21",301,352,431
206,"2022-11-22",172,206,316
207,"2022-11-23",425,722,770
208,"2022-11-24",22,475,871
209,"2022-11-25",194,351,574
210,"2022-11-26",83,318,319
211,"2022-11-27",196,232,342
212,"2022-11-28",40,30,775
213,"2022-11-29",155,118,361
214,"2022-11-30",654,453,704
215,"2022-12-01",15,354,648
216,"2022-12-02",77,408,562
217,"2022-12-03",374,56,971
218,"2022-12-04",230,188,607
219,"2022-12-05",567,117,676
220,"2022-12-06",6,330,478
221,"2022-12-07",278,329,459
222,"2022-12-08",298,111,488
223,"2022-12-09",78,217,590
224,"2022-12-10",228,159,307
225,"2022-12-11",88,281,343
226,"2022-12-12",469,318,524
227,"2022-12-13",321,328,634
228,"2022-12-14",803,578,890
229,"2022-12-15",281,16,313
230,"2022-12-16",103,937,983
231,"2022-12-17",91,90,798
232,"2022-12-18",764,163,854
233,"2022-12-19",180,31,931
234,"2022-12-20",294,284,427
235,"2022-12-21",48,53,470
236,"2022-12-22",52,322,458
237,"2022-12-23",36,105,510
238,"2022-12-24",231,38,745
239,"2022-12-25",358,256,639
240,"2022-12-26",402,293,688
241,"2022-12-27",110,455,657
242,"2022-12-28",306,383,455
243,"2022-12-29",309,3,363
244,"2022-12-30",625,99,688
245,"2022-12-31",362,635,698
246,"2023-01-01",396,317,889
247,"2023-01-02",318,51,393
248,"2023-01-03",204,238,535
249,"2023-01-04",412,313,426
250,"2023-01-05",141,818,884
251,"2023-01-06",351,243,823
252,"2023-01-07",296,43,785
253,"2023-01-08",766,179,808
254,"2023-01-09",315,78,367
255,"2023-01-10",224,175,380
256,"2023-01-11",580,546,663
257,"2023-01-12",263,629,848
258,"2023-01-13",708,836,877
259,"2023-01-14",535,28,740
260,"2023-01-15",143,121,509
261,"2023-01-16",40,750,907
262,"2023-01-17",236,77,631
263,"2023-01-18",36,254,580
264,"2023-01-19",362,194,494
265,"2023-01-20",363,403,641
266,"2023-01-21",635,374,667
267,"2023-01-22",208,4,427
268,"2023-01-23",76,322,940
269,"2023-01-24",279,391,532
270,"2023-01-25",220,138,631
271,"2023-01-26",705,408,706
272,"2023-01-27",25,489,835
273,"2023-01-28",237,253,548
274,"2023-01-29",242,147,383
275,"2023-01-30",102,227,401
276,"2023-01-31",276,298,832
277,"2023-02-01",215,73,345
278,"2023-02-02",97,16,319
279,"2023-02-03",586,183,949
280,"2023-02-04",477,230,638
281,"2023-02-05",84,319,320
282,"2023-02-06",335,613,786
283,"2023-02-07",44,151,311
284,"2023-02-08",195,942,988
285,"2023-02-09",221,563,666
286,"2023-02-10",368,34,437
287,"2023-02-11",2,220,447
288,"2023-02-12",115,279,509
289,"2023-02-13",741,553,810
290,"2023-02-14",329,428,931
291,"2023-02-15",458,286,857
292,"2023-02-16",430,328,467
293,"2023-02-17",318,695,849
294,"2023-02-18",65,751,880
295,"2023-02-19",601,583,764
296,"2023-02-20",22,526,741
297,"2023-02-21",193,411,632
298,"2023-02-22",317,160,382
299,"2023-02-23",639,517,649
300,"2023-02-24",679,863,951
301,"2023-02-25",11,184,471
302,"2023-02-26",23,680,928
303,"2023-02-27",228,198,746
304,"2023-02-28",380,366,506
305,"2023-03-01",73,9,450
306,"2023-03-02",9,396,397
307,"2023-03-03",170,609,643
308,"2023-03-04",567,533,697
309,"2023-03-05",53,606,610
310,"2023-03-06",30,461,776
311,"2023-03-07",187,258,723
312,"2023-03-08",348,407,562
313,"2023-03-09",501,277,664
314,"2023-03-10",432,56,624
315,"2023-03-11",11,387,444
316,"2023-03-12",330,502,932
317,"2023-03-13",214,309,785
318,"2023-03-14",438,246,620
319,"2023-03-15",249,38,322
320,"2023-03-16",598,350,731
321,"2023-03-17",61,432,684
322,"2023-03-18",350,426,727
323,"2023-03-19",118,250,344
324,"2023-03-20",217,683,971
325,"2023-03-21",452,563,565
326,"2023-03-22",269,550,647
327,"2023-03-23",286,518,824
328,"2023-03-24",51,206,892
329,"2023-03-25",81,169,360
330,"2023-03-26",470,267,924
331,"2023-03-27",186,874,970
332,"2023-03-28",409,64,439
333,"2023-03-29",267,94,519
334,"2023-03-30",388,212,467
335,"2023-03-31",238,32,305
336,"2023-04-01",201,84,303
337,"2023-04-02",0,13,335
338,"2023-04-03",379,129,418
339,"2023-04-04",156,325,953
340,"2023-04-05",464,132,473
341,"2023-04-06",75,4,407
342,"2023-04-07",417,548,637
343,"2023-04-08",7,181,333
344,"2023-04-09",545,151,858
345,"2023-04-10",150,628,873
346,"2023-04-11",923,226,947
347,"2023-04-12",8,797,835
348,"2023-04-13",521,839,923
349,"2023-04-14",550,505,694
350,"2023-04-15",882,962,980
351,"2023-04-16",368,531,542
352,"2023-04-17",728,339,789
353,"2023-04-18",544,538,620
354,"2023-04-19",228,194,713
355,"2023-04-20",795,31,798
356,"2023-04-21",318,289,626
357,"2023-04-22",358,466,871
358,"2023-04-23",444,60,496
359,"2023-04-24",220,356,504
360,"2023-04-25",719,154,893
361,"2023-04-26",845,618,896
362,"2023-04-27",693,715,935
363,"2023-04-28",360,48,1000
364,"2023-04-29",83,309,729
365,"2023-04-30",139,183,404
366,"2023-05-01",688,733,755
367,"2023-05-02",401,508,646
368,"2023-05-03",336,82,723
369,"2023-05-04",421,509,523
370,"2023-05-05",247,238,315
371,"2023-05-06",216,243,989
372,"2023-05-07",178,238,388
373,"2023-05-08",608,548,814
374,"2023-05-09",354,56,509
375,"2023-05-10",39,523,685
376,"2023-05-11",110,384,386
377,"2023-05-12",72,76,523
378,"2023-05-13",525,267,533
379,"2023-05-14",199,80,433
380,"2023-05-15",279,498,726
381,"2023-05-16",197,336,942
382,"2023-05-17",166,73,305
383,"2023-05-18",577,694,747
384,"2023-05-19",64,713,857
385,"2023-05-20",43,418,464
386,"2023-05-21",116,478,552
387,"2023-05-22",365,36,535
388,"2023-05-23",565,353,626
389,"2023-05-24",419,801,873
390,"2023-05-25",53,333,356
391,"2023-05-26",612,72,681
392,"2023-05-27",197,757,911
393,"2023-05-28",388,272,545
394,"2023-05-29",112,492,612
395,"2023-05-30",964,727,987
396,"2023-05-31",164,729,781
397,"2023-06-01",722,634,854
398,"2023-06-02",172,137,361
399,"2023-06-03",389,842,897
400,"2023-06-04",200,171,646
401,"2023-06-05",372,334,534
402,"2023-06-06",338,30,431
403,"2023-06-07",378,186,527
404,"2023-06-08",24,472,601
405,"2023-06-09",255,210,794
406,"2023-06-10",14,652,764
407,"2023-06-11",285,104,561
408,"2023-06-12",17,416,697
409,"2023-06-13",38,210,937
410,"2023-06-14",19,35,609
411,"2023-06-15",167,78,759
412,"2023-06-16",639,327,878
413,"2023-06-17",806,70,972
414,"2023-06-18",939,123,986
415,"2023-06-19",92,315,557
416,"2023-06-20",178,315,701
417,"2023-06-21",614,768,773
418,"2023-06-22",101,120,324
419,"2023-06-23",119,215,864
420,"2023-06-24",485,651,682
421,"2023-06-25",305,155,687
422,"2023-06-26",327,330,564
423,"2023-06-27",822,317,851
424,"2023-06-28",290,324,567
425,"2023-06-29",347,121,535
426,"2023-06-30",308,308,974
427,"2023-07-01",246,225,811
428,"2023-07-02",202,636,859
429,"2023-07-03",135,361,549
430,"2023-07-04",435,355,803
431,"2023-07-05",167,185,440
432,"2023-07-06",878,571,912
433,"2023-07-07",534,485,837
434,"2023-07-08",108,877,894
435,"2023-07-09",456,268,580
436,"2023-07-10",34,309,367
437,"2023-07-11",502,154,513
438,"2023-07-12",520,305,952
439,"2023-07-13",119,84,763
440,"2023-07-14",359,233,536
441,"2023-07-15",232,79,327
442,"2023-07-16",505,353,832
443,"2023-07-17",165,82,810
444,"2023-07-18",211,100,323
445,"2023-07-19",340,78,493
446,"2023-07-20",163,226,788
447,"2023-07-21",484,666,881
448,"2023-07-22",370,392,785
449,"2023-07-23",254,328,720
450,"2023-07-24",39,2,342
451,"2023-07-25",418,372,552
452,"2023-07-26",318,75,649
453,"2023-07-27",164,684,864
454,"2023-07-28",169,215,305
455,"2023-07-29",744,59,972
456,"2023-07-30",162,302,412
457,"2023-07-31",444,283,746
458,"2023-08-01",38,27,466
459,"2023-08-02",161,691,746
460,"2023-08-03",239,55,712
461,"2023-08-04",205,141,323
462,"2023-08-05",513,302,535
463,"2023-08-06",881,546,904
464,"2023-08-07",39,201,332
465,"2023-08-08",187,162,341
466,"2023-08-09",208,173,358
467,"2023-08-10",367,345,389
468,"2023-08-11",608,342,904
469,"2023-08-12",601,632,917
470,"2023-08-13",433,617,718
471,"2023-08-14",693,212,964
472,"2023-08-15",711,454,752
473,"2023-08-16",69,220,427
474,"2023-08-17",244,159,476
475,"2023-08-18",31,141,307
476,"2023-08-19",362,144,512
477,"2023-08-20",417,334,837
478,"2023-08-21",464,515,726
479,"2023-08-22",207,590,728
480,"2023-08-23",15,157,307
481,"2023-08-24",604,192,732
482,"2023-08-25",9,260,434
483,"2023-08-26",69,318,717
484,"2023-08-27",376,561,644
485,"2023-08-28",550,93,965
486,"2023-08-29",760,453,784
487,"2023-08-30",599,565,619
488,"2023-08-31",490,374,570
489,"2023-09-01",936,438,963
490,"2023-09-02",429,712,842
491,"2023-09-03",259,530,747
492,"2023-09-04",790,189,932
493,"2023-09-05",10,330,504
494,"2023-09-06",241,50,362
495,"2023-09-07",197,314,371
496,"2023-09-08",152,60,985
497,"2023-09-09",791,302,896
498,"2023-09-10",88,339,437
499,"2023-09-11",638,527,757
500,"2023-09-12",755,207,803
501,"2023-09-13",265,122,376
502,"2023-09-14",259,66,345
503,"2023-09-15",483,318,889
504,"2023-09-16",649,197,714
505,"2023-09-17",162,242,565
506,"2023-09-18",453,24,978
507,"2023-09-19",428,510,755
508,"2023-09-20",128,639,723
509,"2023-09-21",6,169,546
510,"2023-09-22",57,281,698
511,"2023-09-23",391,27,565
512,"2023-09-24",380,506,642
513,"2023-09-25",351,346,364
514,"2023-09-26",589,649,887
515,"2023-09-27",293,287,342
516,"2023-09-28",369,38,409
517,"2023-09-29",52,222,771
518,"2023-09-30",411,73,472
519,"2023-10-01",63,57,523
520,"2023-10-02",250,34,317
521,"2023-10-03",42,451,675
522,"2023-10-04",822,762,912
523,"2023-10-05",497,305,912
524,"2023-10-06",40,25,929
525,"2023-10-07",473,312,721
526,"2023-10-08",130,250,342
527,"2023-10-09",543,580,674
528,"2023-10-10",18,28,792
529,"2023-10-11",283,693,986
530,"2023-10-12",406,184,612
531,"2023-10-13",384,390,753
532,"2023-10-14",263,458,852
533,"2023-10-15",345,334,489
534,"2023-10-16",338,174,641
535,"2023-10-17",677,917,942
536,"2023-10-18",83,50,316
537,"2023-10-19",291,247,480
538,"2023-10-20",311,18,450
539,"2023-10-21",825,340,834
540,"2023-10-22",620,258,697
541,"2023-10-23",114,404,481
542,"2023-10-24",25,198,709
543,"2023-10-25",75,168,395
544,"2023-10-26",626,742,973
545,"2023-10-27",319,716,746
546,"2023-10-28",149,744,930
547,"2023-10-29",395,398,506
548,"2023-10-30",440,727,740
549,"2023-10-31",217,313,818
550,"2023-11-01",67,245,817
551,"2023-11-02",456,57,757
552,"2023-11-03",491,323,520
553,"2023-11-04",813,826,979
554,"2023-11-05",272,389,656
555,"2023-11-06",362,51,886
556,"2023-11-07",10,215,521
557,"2023-11-08",176,113,522
558,"2023-11-09",550,488,710
559,"2023-11-10",536,791,952
560,"2023-11-11",497,72,583
561,"2023-11-12",322,667,951
562,"2023-11-13",512,583,758
563,"2023-11-14",123,321,633
564,"2023-11-15",396,391,734
565,"2023-11-16",349,39,638
566,"2023-11-17",28,557,678
567,"2023-11-18",500,415,501
568,"2023-11-19",318,726,790
569,"2023-11-20",110,172,515
570,"2023-11-21",319,57,768
571,"2023-11-22",389,475,930
572,"2023-11-23",577,131,741
573,"2023-11-24",332,96,425
574,"2023-11-25",284,47,387
575,"2023-11-26",282,635,986
576,"2023-11-27",384,160,534
577,"2023-11-28",405,352,411
578,"2023-11-29",191,372,784
579,"2023-11-30",184,448,995
580,"2023-12-01",723,342,803
581,"2023-12-02",195,280,940
582,"2023-12-03",394,329,537
583,"2023-12-04",315,238,508
584,"2023-12-05",64,251,326
585,"2023-12-06",160,441,474
586,"2023-12-07",203,831,931
587,"2023-12-08",656,716,807
588,"2023-12-09",510,86,935
589,"2023-12-10",389,323,808
590,"2023-12-11",146,118,381
591,"2023-12-12",23,281,410
592,"2023-12-13",328,336,411
593,"2023-12-14",292,545,578
594,"2023-12-15",341,353,395
595,"2023-12-16",102,230,377
596,"2023-12-17",783,634,878
597,"2023-12-18",69,132,943
598,"2023-12-19",160,268,846
599,"2023-12-20",297,194,947
600,"2023-12-21",253,160,473
601,"2023-12-22",766,398,898
602,"2023-12-23",427,301,609
603,"2023-12-24",620,250,862
604,"2023-12-25",526,177,647
605,"2023-12-26",50,361,469
606,"2023-12-27",440,147,484
607,"2023-12-28",318,132,350
608,"2023-12-29",492,79,872
609,"2023-12-30",130,918,975
610,"2023-12-31",1,357,861
611,"2024-01-01",247,659,775
612,"2024-01-02",614,476,622
613,"2024-01-03",30,152,477
614,"2024-01-04",996,548,1000
615,"2024-01-05",828,354,863
616,"2024-01-06",34,24,521
617,"2024-01-07",137,243,333
618,"2024-01-08",642,658,925
619,"2024-01-09",665,305,866
620,"2024-01-10",260,159,326
621,"2024-01-11",503,504,902
622,"2024-01-12",150,559,995
623,"2024-01-13",258,155,637
624,"2024-01-14",444,568,937
625,"2024-01-15",255,454,851
626,"2024-01-16",168,528,945
627,"2024-01-17",220,229,744
628,"2024-01-18",126,499,532
629,"2024-01-19",91,61,442
630,"2024-01-20",75,118,796
631,"2024-01-21",324,93,445
632,"2024-01-22",514,193,940
633,"2024-01-23",287,232,332
634,"2024-01-24",110,493,768
635,"2024-01-25",237,162,300
636,"2024-01-26",541,358,575
637,"2024-01-27",435,183,766
638,"2024-01-28",367,332,492
639,"2024-01-29",4,514,528
640,"2024-01-30",318,287,561
641,"2024-01-31",277,214,426
642,"2024-02-01",206,127,356
643,"2024-02-02",50,191,812
644,"2024-02-03",56,41,833
645,"2024-02-04",413,278,602
646,"2024-02-05",75,470,502
647,"2024-02-06",914,281,993
648,"2024-02-07",158,36,479
649,"2024-02-08",513,214,922
650,"2024-02-09",374,271,902
651,"2024-02-10",363,196,830
652,"2024-02-11",279,393,810
653,"2024-02-12",230,76,586
654,"2024-02-13",650,376,655
655,"2024-02-14",82,115,557
656,"2024-02-15",482,25,645
657,"2024-02-16",184,24,316
658,"2024-02-17",39,302,305
659,"2024-02-18",177,297,324
660,"2024-02-19",131,104,336
661,"2024-02-20",757,780,1000
662,"2024-02-21",362,374,577
663,"2024-02-22",449,227,468
664,"2024-02-23",239,85,455
665,"2024-02-24",221,266,318
666,"2024-02-25",811,468,878
667,"2024-02-26",291,153,845
668,"2024-02-27",269,188,395
669,"2024-02-28",479,449,619
670,"2024-02-29",644,409,979
671,"2024-03-01",413,87,960
672,"2024-03-02",187,188,916
673,"2024-03-03",767,697,869
674,"2024-03-04",432,323,702
675,"2024-03-05",236,371,523
676,"2024-03-06",54,288,799
677,"2024-03-07",95,398,693
678,"2024-03-08",443,119,515
679,"2024-03-09",22,209,415
680,"2024-03-10",791,91,891
681,"2024-03-11",199,354,505
682,"2024-03-12",258,99,723
683,"2024-03-13",264,347,781
684,"2024-03-14",669,687,707
685,"2024-03-15",643,793,870
686,"2024-03-16",457,111,594
687,"2024-03-17",101,288,442
688,"2024-03-18",376,179,563
689,"2024-03-19",439,878,900
690,"2024-03-20",92,215,644
691,"2024-03-21",408,466,791
692,"2024-03-22",326,620,826
693,"2024-03-23",40,403,406
694,"2024-03-24",323,46,467
695,"2024-03-25",36,187,504
696,"2024-03-26",321,657,797
697,"2024-03-27",112,601,638
698,"2024-03-28",314,697,707
699,"2024-03-29",453,131,778
700,"2024-03-30",657,772,851
701,"2024-03-31",82,543,676
702,"2024-04-01",64,206,575
703,"2024-04-02",56,258,549
704,"2024-04-03",149,390,515
705,"2024-04-04",493,252,940
706,"2024-04-05",219,753,948
707,"2024-04-06",66,249,355
708,"2024-04-07",204,197,625
709,"2024-04-08",197,777,821
710,"2024-04-09",366,236,490
711,"2024-04-10",133,117,310
712,"2024-04-11",824,599,988
713,"2024-04-12",578,550,835
714,"2024-04-13",391,47,811
715,"2024-04-14",732,196,814
716,"2024-04-15",925,326,953
717,"2024-04-16",656,290,803
718,"2024-04-17",167,166,405
719,"2024-04-18",595,254,604
720,"2024-04-19",501,453,508
721,"2024-04-20",214,138,624
722,"2024-04-21",262,508,573
723,"2024-04-22",51,435,990
724,"2024-04-23",96,593,781
725,"2024-04-24",111,219,303
726,"2024-04-25",240,174,333
727,"2024-04-26",201,213,649
728,"2024-04-27",362,110,899
729,"2024-04-28",256,792,934
730,"2024-04-29",199,219,441
731,"2024-04-30",207,885,960
732,"2024-05-01",392,224,568
733,"2024-05-02",106,247,429
734,"2024-05-03",146,512,561
735,"2024-05-04",45,306,557
736,"2024-05-05",452,70,942
737,"2024-05-06",412,379,729
738,"2024-05-07",354,441,542
739,"2024-05-08",74,242,551
740,"2024-05-09",116,374,385
741,"2024-05-10",153,81,971
742,"2024-05-11",144,71,488
743,"2024-05-12",574,294,582
744,"2024-05-13",60,14,795
745,"2024-05-14",746,341,977
746,"2024-05-15",625,270,797
747,"2024-05-16",145,756,960
748,"2024-05-17",252,119,359
749,"2024-05-18",432,133,849
750,"2024-05-19",13,96,324
751,"2024-05-20",557,434,904
752,"2024-05-21",276,217,662
753,"2024-05-22",101,382,805
754,"2024-05-23",187,444,996
755,"2024-05-24",528,1,575
756,"2024-05-25",222,451,553
757,"2024-05-26",410,79,515
758,"2024-05-27",156,301,787
759,"2024-05-28",113,436,498
760,"2024-05-29",701,220,761
761,"2024-05-30",914,431,955
762,"2024-05-31",59,9,343
763,"2024-06-01",258,493,676
764,"2024-06-02",100,354,539
765,"2024-06-03",47,570,985
766,"2024-06-04",27,57,360
767,"2024-06-05",257,322,351
768,"2024-06-06",827,320,869
769,"2024-06-07",45,282,363
770,"2024-06-08",482,187,700
771,"2024-06-09",770,163,788
772,"2024-06-10",245,260,417
773,"2024-06-11",93,354,642
774,"2024-06-12",548,139,778
775,"2024-06-13",25,130,831
776,"2024-06-14",464,517,551
777,"2024-06-15",157,162,816
778,"2024-06-16",54,265,936
779,"2024-06-17",109,238,651
780,"2024-06-18",642,144,774
781,"2024-06-19",461,328,601
782,"2024-06-20",393,418,728
783,"2024-06-21",336,405,513
784,"2024-06-22",440,756,943
785,"2024-06-23",124,98,402
786,"2024-06-24",176,98,476
787,"2024-06-25",528,311,545
788,"2024-06-26",304,250,333
789,"2024-06-27",585,107,987
790,"2024-06-28",460,562,768
791,"2024-06-29",240,811,934
792,"2024-06-30",63,20,906
793,"2024-07-01",690,430,911
794,"2024-07-02",285,323,583
795,"2024-07-03",433,481,590
796,"2024-07-04",280,338,619
797,"2024-07-05",323,24,366
798,"2024-07-06",27,127,647
799,"2024-07-07",629,124,660
800,"2024-07-08",444,708,772
801,"2024-07-09",78,219,365
802,"2024-07-10",568,512,840
803,"2024-07-11",316,167,749
804,"2024-07-12",628,665,682
805,"2024-07-13",365,42,775
806,"2024-07-14",62,448,692
807,"2024-07-15",217,622,696
808,"2024-07-16",64,249,783
809,"2024-07-17",6,191,608
810,"2024-07-18",322,274,837
811,"2024-07-19",45,63,607
812,"2024-07-20",132,163,322
813,"2024-07-21",5,61,308
814,"2024-07-22",17,310,942
815,"2024-07-23",214,232,322
816,"2024-07-24",257,117,319
817,"2024-07-25",411,571,943
818,"2024-07-26",148,472,539
819,"2024-07-27",834,768,893
820,"2024-07-28",571,497,601
821,"2024-07-29",415,204,905
822,"2024-07-30",235,329,607
823,"2024-07-31",131,83,344
824,"2024-08-01",163,384,462
825,"2024-08-02",233,369,564
826,"2024-08-03",554,794,917
827,"2024-08-04",217,39,344
828,"2024-08-05",134,906,925
829,"2024-08-06",327,241,369
830,"2024-08-07",69,213,316
831,"2024-08-08",116,108,318
832,"2024-08-09",430,344,578
833,"2024-08-10",244,152,836
834,"2024-08-11",149,80,555
835,"2024-08-12",847,764,963
836,"2024-08-13",514,352,584
837,"2024-08-14",277,241,461
838,"2024-08-15",430,856,946
839,"2024-08-16",201,235,461
840,"2024-08-17",305,484,546
841,"2024-08-18",100,298,576
842,"2024-08-19",199,163,687
843,"2024-08-20",923,96,957
844,"2024-08-21",792,781,996
845,"2024-08-22",393,903,951
846,"2024-08-23",158,251,371
847,"2024-08-24",49,272,724
848,"2024-08-25",503,34,649
849,"2024-08-26",575,46,899
850,"2024-08-27",202,349,642
851,"2024-08-28",755,406,766
852,"2024-08-29",115,594,970
853,"2024-08-30",106,357,928
854,"2024-08-31",717,153,723
855,"2024-09-01",39,492,494
856,"2024-09-02",260,253,417
857,"2024-09-03",271,19,539
858,"2024-09-04",398,678,876
859,"2024-09-05",258,56,843
860,"2024-09-06",392,286,396
861,"2024-09-07",414,330,676
862,"2024-09-08",434,493,969
863,"2024-09-09",743,274,766
864,"2024-09-10",141,419,545
865,"2024-09-11",128,326,870
866,"2024-09-12",44,328,370
867,"2024-09-13",166,289,663
868,"2024-09-14",156,609,653
869,"2024-09-15",386,283,410
870,"2024-09-16",316,54,504
871,"2024-09-17",112,404,736
