"md_id","busi_time","sub_name","assess_cnt","satisfaction_one_cnt","satisfaction_two_cnt","satisfaction_three_cnt","satisfaction_four_cnt","satisfaction_five_cnt","satisfaction_zero_cnt"
138,"2022-05-28",交通运输,27,0,0,9,18,0,0
139,"2022-05-28",农林牧渔,27,1,2,8,15,1,0
140,"2022-05-29",科教文体,435,6,32,144,228,19,6
141,"2022-05-29",公卫医疗,342,10,18,104,187,19,4
142,"2022-05-29",城乡建设,200,7,19,50,109,11,4
143,"2022-05-29",交通运输,7,0,0,2,5,0,0
144,"2022-05-29",农林牧渔,915,14,67,281,500,46,7
145,"2022-05-30",科教文体,171,3,8,45,104,8,3
146,"2022-05-30",公卫医疗,173,2,13,49,98,10,1
147,"2022-05-30",城乡建设,7,1,0,3,3,0,0
148,"2022-05-30",交通运输,22,0,1,7,13,0,1
149,"2022-05-30",农林牧渔,303,7,19,91,166,20,0
150,"2022-05-31",科教文体,102,3,8,30,56,5,0
151,"2022-05-31",公卫医疗,250,2,14,83,133,17,1
152,"2022-05-31",城乡建设,81,1,7,31,36,6,0
153,"2022-05-31",交通运输,137,1,7,47,72,8,2
154,"2022-05-31",农林牧渔,389,6,25,110,222,19,7
155,"2022-06-01",科教文体,12,1,1,5,5,0,0
156,"2022-06-01",公卫医疗,768,18,54,239,418,36,3
157,"2022-06-01",城乡建设,282,4,12,96,148,17,5
158,"2022-06-01",交通运输,491,13,28,147,269,31,3
159,"2022-06-01",农林牧渔,256,11,16,72,145,10,2
160,"2022-06-02",科教文体,421,10,31,127,230,16,7
161,"2022-06-02",公卫医疗,640,15,47,171,364,33,10
162,"2022-06-02",城乡建设,225,2,19,62,120,17,5
163,"2022-06-02",交通运输,293,5,24,79,169,14,2
164,"2022-06-02",农林牧渔,257,6,14,76,142,16,3
165,"2022-06-03",科教文体,246,4,12,79,135,14,2
166,"2022-06-03",公卫医疗,38,0,0,10,26,1,1
167,"2022-06-03",城乡建设,99,1,9,32,52,3,2
168,"2022-06-03",交通运输,358,8,24,102,203,18,3
169,"2022-06-03",农林牧渔,59,1,1,19,35,0,3
170,"2022-06-04",科教文体,27,0,1,10,15,1,0
171,"2022-06-04",公卫医疗,517,4,35,170,284,19,5
172,"2022-06-04",城乡建设,316,5,25,97,164,22,3
173,"2022-06-04",交通运输,170,1,13,51,97,7,1
174,"2022-06-04",农林牧渔,658,16,51,208,340,38,5
175,"2022-06-05",科教文体,290,8,27,87,155,10,3
176,"2022-06-05",公卫医疗,606,16,38,178,336,33,5
177,"2022-06-05",城乡建设,320,4,29,91,176,15,5
178,"2022-06-05",交通运输,27,1,4,8,12,2,0
179,"2022-06-05",农林牧渔,71,1,3,31,33,3,0
180,"2022-06-06",科教文体,28,0,3,10,13,1,1
181,"2022-06-06",公卫医疗,375,3,27,117,210,16,2
182,"2022-06-06",城乡建设,1013,26,68,305,554,50,10
183,"2022-06-06",交通运输,325,10,28,106,167,11,3
184,"2022-06-06",农林牧渔,113,3,8,37,64,1,0
185,"2022-06-07",科教文体,668,19,45,218,344,36,6
186,"2022-06-07",公卫医疗,429,10,31,131,225,22,10
187,"2022-06-07",城乡建设,170,7,7,55,90,8,3
188,"2022-06-07",交通运输,507,7,30,155,286,26,3
189,"2022-06-07",农林牧渔,77,2,3,26,40,5,1
190,"2022-06-08",科教文体,21,0,2,3,14,1,1
191,"2022-06-08",公卫医疗,114,4,5,39,59,5,2
192,"2022-06-08",城乡建设,455,13,21,140,247,27,7
193,"2022-06-08",交通运输,412,8,25,136,221,19,3
194,"2022-06-08",农林牧渔,326,5,24,105,171,17,4
195,"2022-06-09",科教文体,120,2,9,34,63,10,2
196,"2022-06-09",公卫医疗,212,4,10,47,135,14,2
197,"2022-06-09",城乡建设,707,15,41,203,407,31,10
198,"2022-06-09",交通运输,247,6,19,82,129,10,1
199,"2022-06-09",农林牧渔,42,1,3,14,22,2,0
200,"2022-06-10",科教文体,269,3,20,79,149,15,3
201,"2022-06-10",公卫医疗,747,17,53,241,407,22,7
202,"2022-06-10",城乡建设,78,1,5,24,35,11,2
203,"2022-06-10",交通运输,8,1,0,4,3,0,0
204,"2022-06-10",农林牧渔,332,9,22,99,182,16,4
205,"2022-06-11",科教文体,127,1,12,40,62,11,1
206,"2022-06-11",公卫医疗,102,1,6,36,57,2,0
207,"2022-06-11",城乡建设,279,6,16,86,153,15,3
208,"2022-06-11",交通运输,243,8,15,55,143,15,7
209,"2022-06-11",农林牧渔,19,0,1,5,12,1,0
210,"2022-06-12",科教文体,314,6,19,88,182,14,5
211,"2022-06-12",公卫医疗,168,4,7,57,95,5,0
212,"2022-06-12",城乡建设,273,4,21,90,140,14,4
213,"2022-06-12",交通运输,658,17,43,220,333,40,5
214,"2022-06-12",农林牧渔,202,4,19,62,104,10,3
215,"2022-06-13",科教文体,251,7,14,69,141,17,3
216,"2022-06-13",公卫医疗,32,3,4,6,18,1,0
217,"2022-06-13",城乡建设,846,17,52,264,469,35,9
218,"2022-06-13",交通运输,510,6,26,143,302,27,6
219,"2022-06-13",农林牧渔,23,0,1,11,11,0,0
220,"2022-06-14",科教文体,254,4,15,75,142,13,5
221,"2022-06-14",公卫医疗,263,3,17,82,140,17,4
222,"2022-06-14",城乡建设,458,4,26,138,255,28,7
223,"2022-06-14",交通运输,69,1,3,25,34,6,0
224,"2022-06-14",农林牧渔,208,5,14,55,128,4,2
225,"2022-06-15",科教文体,8,1,1,2,3,1,0
226,"2022-06-15",公卫医疗,780,15,49,236,424,43,13
227,"2022-06-15",城乡建设,222,2,19,73,113,12,3
228,"2022-06-15",交通运输,313,10,19,94,169,20,1
229,"2022-06-15",农林牧渔,37,1,5,15,14,1,1
230,"2022-06-16",科教文体,11,0,0,3,7,1,0
231,"2022-06-16",公卫医疗,576,12,41,164,316,37,6
232,"2022-06-16",城乡建设,488,7,45,142,267,19,8
233,"2022-06-16",交通运输,70,1,7,23,35,3,1
234,"2022-06-16",农林牧渔,48,2,2,14,26,4,0
235,"2022-06-17",科教文体,394,9,29,98,229,26,3
236,"2022-06-17",公卫医疗,116,2,10,38,59,7,0
237,"2022-06-17",城乡建设,215,2,25,65,108,14,1
238,"2022-06-17",交通运输,140,2,12,40,72,13,1
239,"2022-06-17",农林牧渔,115,2,1,37,66,8,1
240,"2022-06-18",科教文体,690,14,54,212,370,31,9
241,"2022-06-18",公卫医疗,290,6,24,82,163,12,3
242,"2022-06-18",城乡建设,106,2,6,35,55,6,2
243,"2022-06-18",交通运输,15,0,0,8,6,1,0
244,"2022-06-18",农林牧渔,472,12,31,152,248,24,5
245,"2022-06-19",科教文体,884,15,71,247,500,45,6
246,"2022-06-19",公卫医疗,19,0,3,6,9,1,0
247,"2022-06-19",城乡建设,65,1,8,21,31,3,1
248,"2022-06-19",交通运输,270,3,19,65,171,9,3
249,"2022-06-19",农林牧渔,56,1,7,20,27,0,1
250,"2022-06-20",科教文体,145,4,11,57,71,1,1
251,"2022-06-20",公卫医疗,87,1,9,27,45,5,0
252,"2022-06-20",城乡建设,206,2,8,61,123,10,2
253,"2022-06-20",交通运输,4,0,0,1,3,0,0
254,"2022-06-20",农林牧渔,897,15,62,268,499,41,12
255,"2022-06-21",科教文体,155,4,10,33,92,13,3
256,"2022-06-21",公卫医疗,721,17,41,227,390,38,8
257,"2022-06-21",城乡建设,337,7,28,105,176,17,4
258,"2022-06-21",交通运输,38,1,3,11,23,0,0
259,"2022-06-21",农林牧渔,5,2,0,1,2,0,0
260,"2022-06-22",科教文体,33,0,1,9,22,1,0
261,"2022-06-22",公卫医疗,159,2,20,54,74,6,3
262,"2022-06-22",城乡建设,5,0,0,0,4,1,0
263,"2022-06-22",交通运输,233,7,19,66,129,11,1
264,"2022-06-22",农林牧渔,82,1,4,32,40,5,0
265,"2022-06-23",科教文体,282,7,20,88,156,9,2
266,"2022-06-23",公卫医疗,40,3,2,7,28,0,0
267,"2022-06-23",城乡建设,945,20,69,274,533,39,10
268,"2022-06-23",交通运输,175,4,10,53,93,12,3
269,"2022-06-23",农林牧渔,173,3,13,48,98,10,1
270,"2022-06-24",科教文体,427,9,36,132,236,13,1
271,"2022-06-24",公卫医疗,65,0,7,20,35,3,0
272,"2022-06-24",城乡建设,289,10,16,93,150,15,5
273,"2022-06-24",交通运输,191,2,15,55,109,8,2
274,"2022-06-24",农林牧渔,464,9,39,135,256,21,4
275,"2022-06-25",科教文体,136,4,11,36,76,8,1
276,"2022-06-25",公卫医疗,68,4,4,22,35,2,1
277,"2022-06-25",城乡建设,229,3,18,71,127,9,1
278,"2022-06-25",交通运输,678,18,37,195,387,38,3
279,"2022-06-25",农林牧渔,293,10,9,84,177,11,2
280,"2022-06-26",科教文体,295,6,18,92,165,13,1
281,"2022-06-26",公卫医疗,254,4,18,89,132,11,0
282,"2022-06-26",城乡建设,310,4,24,98,163,18,3
283,"2022-06-26",交通运输,491,11,36,153,267,21,3
284,"2022-06-26",农林牧渔,207,4,14,67,108,10,4
285,"2022-06-27",科教文体,281,7,13,91,156,12,2
286,"2022-06-27",公卫医疗,411,5,21,119,241,21,4
287,"2022-06-27",城乡建设,191,3,9,60,107,12,0
288,"2022-06-27",交通运输,196,6,18,60,104,6,2
289,"2022-06-27",农林牧渔,456,7,29,122,268,23,7
290,"2022-06-28",科教文体,422,8,30,115,245,20,4
291,"2022-06-28",公卫医疗,166,3,15,60,80,6,2
292,"2022-06-28",城乡建设,66,1,7,23,25,9,1
293,"2022-06-28",交通运输,1396,19,105,415,771,77,9
294,"2022-06-28",农林牧渔,188,3,19,59,93,12,2
295,"2022-06-29",科教文体,24,0,2,12,10,0,0
296,"2022-06-29",公卫医疗,294,5,20,87,160,18,4
297,"2022-06-29",城乡建设,137,3,11,42,70,11,0
298,"2022-06-29",交通运输,108,2,6,32,63,5,0
299,"2022-06-29",农林牧渔,98,1,4,33,54,6,0
300,"2022-06-30",科教文体,360,7,27,95,212,14,5
301,"2022-06-30",公卫医疗,246,7,16,72,142,6,3
302,"2022-06-30",城乡建设,245,5,12,78,132,17,1
303,"2022-06-30",交通运输,47,3,2,15,24,3,0
304,"2022-06-30",农林牧渔,269,6,18,71,156,14,4
305,"2022-07-01",科教文体,493,13,32,154,266,22,6
306,"2022-07-01",公卫医疗,40,0,1,12,26,0,1
307,"2022-07-01",城乡建设,738,16,42,217,427,31,5
308,"2022-07-01",交通运输,26,2,2,5,14,2,1
309,"2022-07-01",农林牧渔,265,6,25,93,130,11,0
310,"2022-07-02",科教文体,371,2,28,107,212,17,5
311,"2022-07-02",公卫医疗,46,2,0,17,22,5,0
312,"2022-07-02",城乡建设,164,3,18,52,81,8,2
313,"2022-07-02",交通运输,817,17,56,248,453,35,8
314,"2022-07-02",农林牧渔,586,5,45,176,324,27,9
315,"2022-07-03",科教文体,187,4,13,58,99,10,3
316,"2022-07-03",公卫医疗,428,8,39,130,231,17,3
317,"2022-07-03",城乡建设,500,12,35,155,269,26,3
318,"2022-07-03",交通运输,36,0,2,16,17,1,0
319,"2022-07-03",农林牧渔,226,7,19,76,111,11,2
320,"2022-07-04",科教文体,559,11,42,163,314,27,2
321,"2022-07-04",公卫医疗,49,2,3,18,24,1,1
322,"2022-07-04",城乡建设,739,11,49,230,408,35,6
323,"2022-07-04",交通运输,216,1,18,66,123,7,1
324,"2022-07-04",农林牧渔,87,1,7,29,44,6,0
325,"2022-07-05",科教文体,1076,27,76,315,583,68,7
326,"2022-07-05",公卫医疗,188,5,12,46,116,9,0
327,"2022-07-05",城乡建设,194,5,16,56,107,9,1
328,"2022-07-05",交通运输,101,1,10,32,53,5,0
329,"2022-07-05",农林牧渔,159,3,11,45,93,5,2
330,"2022-07-06",科教文体,433,6,28,137,231,26,5
331,"2022-07-06",公卫医疗,468,16,28,136,257,24,7
332,"2022-07-06",城乡建设,204,4,14,59,108,18,1
333,"2022-07-06",交通运输,449,9,29,131,251,24,5
334,"2022-07-06",农林牧渔,104,2,6,31,60,5,0
335,"2022-07-07",科教文体,511,8,30,157,280,31,5
336,"2022-07-07",公卫医疗,1316,30,67,391,748,66,14
337,"2022-07-07",城乡建设,28,1,2,7,17,1,0
338,"2022-07-07",交通运输,22,0,3,7,12,0,0
339,"2022-07-07",农林牧渔,349,3,29,100,201,14,2
340,"2022-07-08",科教文体,20,0,1,8,11,0,0
341,"2022-07-08",公卫医疗,95,2,11,31,43,7,1
342,"2022-07-08",城乡建设,132,5,8,37,78,4,0
343,"2022-07-08",交通运输,480,6,35,128,275,33,3
344,"2022-07-08",农林牧渔,54,2,5,14,30,3,0
345,"2022-07-09",科教文体,406,9,22,138,210,24,3
346,"2022-07-09",公卫医疗,18,0,3,5,10,0,0
347,"2022-07-09",城乡建设,355,8,27,96,199,20,5
348,"2022-07-09",交通运输,1033,20,81,297,567,62,6
349,"2022-07-09",农林牧渔,269,5,16,81,155,11,1
350,"2022-07-10",科教文体,432,5,43,124,238,19,3
351,"2022-07-10",公卫医疗,156,3,11,44,87,8,3
352,"2022-07-10",城乡建设,145,4,9,42,86,4,0
353,"2022-07-10",交通运输,191,4,11,55,112,7,2
354,"2022-07-10",农林牧渔,237,4,13,76,126,17,1
355,"2022-07-11",科教文体,268,8,21,85,135,14,5
356,"2022-07-11",公卫医疗,95,2,6,34,50,2,1
357,"2022-07-11",城乡建设,229,5,22,71,118,11,2
358,"2022-07-11",交通运输,546,11,43,152,315,20,5
359,"2022-07-11",农林牧渔,429,10,48,121,228,19,3
360,"2022-07-12",科教文体,138,2,11,35,84,6,0
361,"2022-07-12",公卫医疗,245,7,12,78,137,9,2
362,"2022-07-12",城乡建设,858,14,60,251,481,47,5
363,"2022-07-12",交通运输,229,5,16,62,130,16,0
364,"2022-07-12",农林牧渔,211,1,18,74,108,10,0
365,"2022-07-13",科教文体,651,15,50,203,347,34,2
366,"2022-07-13",公卫医疗,114,2,15,22,73,2,0
367,"2022-07-13",城乡建设,270,3,23,76,148,19,1
368,"2022-07-13",交通运输,67,3,3,18,41,2,0
369,"2022-07-13",农林牧渔,462,9,31,132,255,28,7
370,"2022-07-14",科教文体,23,0,1,5,14,2,1
371,"2022-07-14",公卫医疗,555,5,44,158,318,24,6
372,"2022-07-14",城乡建设,305,2,18,89,181,13,2
373,"2022-07-14",交通运输,580,13,40,170,320,34,3
374,"2022-07-14",农林牧渔,127,3,11,33,72,6,2
375,"2022-07-15",科教文体,54,0,5,18,29,2,0
376,"2022-07-15",公卫医疗,311,7,21,97,167,16,3
377,"2022-07-15",城乡建设,211,4,18,76,101,10,2
378,"2022-07-15",交通运输,72,0,3,14,49,4,2
379,"2022-07-15",农林牧渔,5,0,0,2,2,1,0
380,"2022-07-16",科教文体,45,0,2,13,26,3,1
381,"2022-07-16",公卫医疗,16,0,3,5,7,1,0
382,"2022-07-16",城乡建设,166,3,15,48,88,11,1
383,"2022-07-16",交通运输,546,7,34,167,302,29,7
384,"2022-07-16",农林牧渔,162,3,16,51,85,6,1
385,"2022-07-17",科教文体,36,0,3,13,17,2,1
386,"2022-07-17",公卫医疗,184,2,6,54,111,10,1
387,"2022-07-17",城乡建设,623,10,46,208,324,30,5
388,"2022-07-17",交通运输,628,11,36,183,365,28,5
389,"2022-07-17",农林牧渔,527,11,34,176,277,25,4
390,"2022-07-18",科教文体,61,3,5,17,34,2,0
391,"2022-07-18",公卫医疗,74,0,3,24,44,2,1
392,"2022-07-18",城乡建设,778,16,68,217,430,43,4
393,"2022-07-18",交通运输,345,5,36,94,188,22,0
394,"2022-07-18",农林牧渔,817,13,62,231,450,50,11
395,"2022-07-19",科教文体,206,6,16,59,113,9,3
396,"2022-07-19",公卫医疗,417,5,32,125,227,23,5
397,"2022-07-19",城乡建设,359,2,26,109,200,18,4
398,"2022-07-19",交通运输,163,3,11,61,81,6,1
399,"2022-07-19",农林牧渔,135,5,2,49,73,6,0
400,"2022-07-20",科教文体,156,2,11,44,90,7,2
401,"2022-07-20",公卫医疗,485,13,25,148,267,27,5
402,"2022-07-20",城乡建设,161,6,13,58,77,5,2
403,"2022-07-20",交通运输,464,6,29,136,260,26,7
404,"2022-07-20",农林牧渔,72,1,8,18,40,3,2
405,"2022-07-21",科教文体,64,0,6,13,37,7,1
406,"2022-07-21",公卫医疗,126,7,8,36,65,8,2
407,"2022-07-21",城乡建设,262,8,16,91,132,13,2
408,"2022-07-21",交通运输,156,2,8,44,92,8,2
409,"2022-07-21",农林牧渔,42,1,3,12,24,1,1
410,"2022-07-22",科教文体,323,12,22,96,176,13,4
411,"2022-07-22",公卫医疗,242,6,20,63,145,6,2
412,"2022-07-22",城乡建设,132,5,12,36,69,10,0
413,"2022-07-22",交通运输,740,15,52,221,416,33,3
414,"2022-07-22",农林牧渔,54,0,1,21,25,4,3
415,"2022-07-23",科教文体,563,8,44,164,313,27,7
416,"2022-07-23",公卫医疗,170,1,13,46,97,10,3
417,"2022-07-23",城乡建设,798,16,59,214,467,33,9
418,"2022-07-23",交通运输,349,9,20,106,193,18,3
419,"2022-07-23",农林牧渔,120,3,8,29,71,8,1
420,"2022-07-24",科教文体,653,10,45,189,357,44,8
421,"2022-07-24",公卫医疗,554,6,39,163,296,43,7
422,"2022-07-24",城乡建设,62,3,2,17,37,2,1
423,"2022-07-24",交通运输,116,3,9,33,63,6,2
424,"2022-07-24",农林牧渔,74,0,5,22,43,3,1
425,"2022-07-25",科教文体,81,2,4,24,47,3,1
426,"2022-07-25",公卫医疗,14,0,2,2,10,0,0
427,"2022-07-25",城乡建设,151,4,8,40,92,6,1
428,"2022-07-25",交通运输,181,7,6,47,109,10,2
429,"2022-07-25",农林牧渔,171,1,10,47,99,10,4
430,"2022-07-26",科教文体,648,13,34,211,352,32,6
431,"2022-07-26",公卫医疗,364,8,27,88,219,16,6
432,"2022-07-26",城乡建设,186,5,15,53,108,5,0
433,"2022-07-26",交通运输,765,18,50,238,405,43,11
434,"2022-07-26",农林牧渔,14,1,0,5,8,0,0
435,"2022-07-27",科教文体,572,10,34,192,302,33,1
436,"2022-07-27",公卫医疗,111,0,6,37,65,3,0
437,"2022-07-27",城乡建设,260,1,19,83,145,10,2
438,"2022-07-27",交通运输,530,7,48,143,294,33,5
439,"2022-07-27",农林牧渔,43,2,2,9,28,2,0
440,"2022-07-28",科教文体,779,20,49,227,432,45,6
441,"2022-07-28",公卫医疗,198,1,20,61,107,5,4
442,"2022-07-28",城乡建设,502,9,38,143,273,36,3
443,"2022-07-28",交通运输,640,13,44,191,358,26,8
444,"2022-07-28",农林牧渔,183,2,14,53,103,9,2
445,"2022-07-29",科教文体,220,8,9,61,126,14,2
446,"2022-07-29",公卫医疗,690,12,42,209,392,31,4
447,"2022-07-29",城乡建设,256,4,14,89,135,12,2
448,"2022-07-29",交通运输,189,2,11,52,110,13,1
449,"2022-07-29",农林牧渔,106,4,8,29,63,2,0
450,"2022-07-30",科教文体,167,4,8,45,101,9,0
451,"2022-07-30",公卫医疗,150,2,11,48,81,4,4
452,"2022-07-30",城乡建设,147,1,11,43,81,11,0
453,"2022-07-30",交通运输,469,8,36,160,252,8,5
454,"2022-07-30",农林牧渔,130,3,8,42,73,4,0
455,"2022-07-31",科教文体,2,0,0,0,2,0,0
456,"2022-07-31",公卫医疗,539,9,32,161,300,31,6
457,"2022-07-31",城乡建设,108,4,8,30,60,6,0
458,"2022-07-31",交通运输,294,9,17,93,154,21,0
459,"2022-07-31",农林牧渔,15,0,1,6,8,0,0
