"md_id","busi_time","reply_total","receive_cnt","handle_cnt","hot_line_handle_cnt","reply_on_time_cnt","chan_type"
263,"2022-09-09",198,955,74,618,41.0,1
264,"2022-09-09",370,769,100,623,9.0,2
265,"2022-09-10",203,278,17,84,189.0,1
266,"2022-09-10",112,297,94,63,110.0,2
267,"2022-09-11",343,554,126,178,206.0,1
268,"2022-09-11",246,458,221,175,63.0,2
269,"2022-09-12",634,701,157,162,62.0,1
270,"2022-09-12",770,894,318,377,597.0,2
271,"2022-09-13",21,428,127,72,7.0,1
272,"2022-09-13",223,600,113,116,214.0,2
273,"2022-09-14",216,259,113,51,205.0,1
274,"2022-09-14",596,983,292,607,373.0,2
275,"2022-09-15",254,263,69,165,27.0,1
276,"2022-09-15",140,309,88,173,61.0,2
277,"2022-09-16",437,937,427,14,155.0,1
278,"2022-09-16",460,703,174,16,390.0,2
279,"2022-09-17",247,257,52,159,174.0,1
280,"2022-09-17",92,417,156,177,43.0,2
281,"2022-09-18",159,222,56,89,18.0,1
282,"2022-09-18",241,258,67,64,104.0,2
283,"2022-09-19",400,688,378,257,326.0,1
284,"2022-09-19",71,371,92,107,26.0,2
285,"2022-09-20",280,990,398,354,24.0,1
286,"2022-09-20",442,941,196,350,274.0,2
287,"2022-09-21",473,748,52,362,3.0,1
288,"2022-09-21",168,254,23,224,111.0,2
289,"2022-09-22",166,560,204,176,42.0,1
290,"2022-09-22",128,211,27,38,85.0,2
291,"2022-09-23",201,525,274,52,17.0,1
292,"2022-09-23",439,510,201,247,361.0,2
293,"2022-09-24",346,430,31,46,100.0,1
294,"2022-09-24",220,425,27,225,32.0,2
295,"2022-09-25",41,289,141,31,11.0,1
296,"2022-09-25",299,554,199,99,44.0,2
297,"2022-09-26",422,897,436,152,384.0,1
298,"2022-09-26",55,589,86,112,45.0,2
299,"2022-09-27",188,691,93,570,123.0,1
300,"2022-09-27",634,868,371,43,588.0,2
301,"2022-09-28",690,813,185,566,136.0,1
302,"2022-09-28",260,837,442,96,143.0,2
303,"2022-09-29",149,225,17,162,38.0,1
304,"2022-09-29",100,203,115,2,54.0,2
305,"2022-09-30",500,803,204,428,371.0,1
306,"2022-09-30",124,494,159,73,9.0,2
307,"2022-10-01",461,499,286,207,326.0,1
308,"2022-10-01",156,982,204,418,6.0,2
309,"2022-10-02",565,876,284,508,355.0,1
310,"2022-10-02",828,962,562,12,424.0,2
311,"2022-10-03",507,530,57,447,114.0,1
312,"2022-10-03",29,444,187,160,5.0,2
313,"2022-10-04",729,927,538,47,403.0,1
314,"2022-10-04",237,259,53,199,58.0,2
315,"2022-10-05",467,634,99,120,354.0,1
316,"2022-10-05",348,587,341,81,167.0,2
317,"2022-10-06",612,904,108,374,244.0,1
318,"2022-10-06",627,818,1,211,495.0,2
319,"2022-10-07",452,581,172,3,296.0,1
320,"2022-10-07",331,748,244,91,6.0,2
321,"2022-10-08",71,556,319,113,46.0,1
322,"2022-10-08",166,732,248,455,61.0,2
323,"2022-10-09",67,332,106,189,54.0,1
324,"2022-10-09",214,508,204,285,192.0,2
325,"2022-10-10",518,667,114,250,362.0,1
326,"2022-10-10",199,250,5,184,107.0,2
327,"2022-10-11",560,673,206,102,475.0,1
328,"2022-10-11",231,602,258,41,63.0,2
329,"2022-10-12",277,313,124,93,121.0,1
330,"2022-10-12",476,751,32,558,202.0,2
331,"2022-10-13",205,229,24,38,108.0,1
332,"2022-10-13",266,376,31,6,142.0,2
333,"2022-10-14",138,429,101,176,28.0,1
334,"2022-10-14",570,742,150,296,309.0,2
335,"2022-10-15",639,643,363,182,449.0,1
336,"2022-10-15",596,680,233,50,435.0,2
337,"2022-10-16",741,828,206,241,555.0,1
338,"2022-10-16",308,546,122,246,266.0,2
339,"2022-10-17",102,209,29,124,62.0,1
340,"2022-10-17",117,202,30,24,28.0,2
341,"2022-10-18",387,899,296,479,353.0,1
342,"2022-10-18",262,269,136,119,231.0,2
343,"2022-10-19",313,585,72,175,36.0,1
344,"2022-10-19",370,869,445,266,120.0,2
345,"2022-10-20",187,755,258,331,54.0,1
346,"2022-10-20",602,741,215,239,54.0,2
347,"2022-10-21",261,572,316,196,176.0,1
348,"2022-10-21",30,536,160,154,8.0,2
349,"2022-10-22",77,275,119,87,12.0,1
350,"2022-10-22",632,811,447,72,479.0,2
351,"2022-10-23",482,942,165,67,23.0,1
352,"2022-10-23",445,550,315,109,82.0,2
353,"2022-10-24",267,727,225,151,47.0,1
354,"2022-10-24",155,496,75,86,145.0,2
355,"2022-10-25",287,473,76,160,162.0,1
356,"2022-10-25",16,310,121,167,13.0,2
357,"2022-10-26",355,652,347,179,143.0,1
358,"2022-10-26",220,265,30,131,57.0,2
359,"2022-10-27",465,810,356,73,437.0,1
360,"2022-10-27",243,429,157,58,9.0,2
361,"2022-10-28",229,276,104,31,154.0,1
362,"2022-10-28",307,649,333,197,125.0,2
363,"2022-10-29",493,620,134,9,50.0,1
364,"2022-10-29",743,832,331,107,60.0,2
365,"2022-10-30",379,885,241,640,159.0,1
366,"2022-10-30",25,997,300,194,9.0,2
367,"2022-10-31",476,536,158,15,93.0,1
368,"2022-10-31",353,455,29,168,272.0,2
369,"2022-11-01",340,636,162,173,256.0,1
370,"2022-11-01",368,393,107,6,64.0,2
371,"2022-11-02",290,648,174,387,195.0,1
372,"2022-11-02",275,313,22,53,35.0,2
373,"2022-11-03",240,826,309,285,189.0,1
374,"2022-11-03",164,221,123,48,141.0,2
375,"2022-11-04",345,763,179,185,106.0,1
376,"2022-11-04",338,958,90,732,151.0,2
377,"2022-11-05",79,394,149,24,6.0,1
378,"2022-11-05",515,789,472,276,132.0,2
379,"2022-11-06",208,996,342,359,164.0,1
380,"2022-11-06",107,524,223,1,50.0,2
381,"2022-11-07",21,313,121,30,7.0,1
382,"2022-11-07",175,278,19,10,105.0,2
383,"2022-11-08",703,966,137,150,565.0,1
384,"2022-11-08",143,238,115,60,6.0,2
385,"2022-11-09",515,697,117,459,248.0,1
386,"2022-11-09",113,473,9,311,32.0,2
387,"2022-11-10",501,742,396,281,275.0,1
388,"2022-11-10",261,723,66,172,238.0,2
389,"2022-11-11",797,862,157,464,706.0,1
390,"2022-11-11",246,354,27,198,91.0,2
391,"2022-11-12",15,539,123,276,12.0,1
392,"2022-11-12",343,365,87,140,98.0,2
393,"2022-11-13",369,395,27,109,306.0,1
394,"2022-11-13",174,377,204,113,81.0,2
395,"2022-11-14",437,519,8,190,408.0,1
396,"2022-11-14",267,454,205,60,191.0,2
397,"2022-11-15",510,578,340,4,198.0,1
398,"2022-11-15",388,751,422,198,85.0,2
399,"2022-11-16",56,383,88,273,43.0,1
400,"2022-11-16",211,241,131,39,83.0,2
401,"2022-11-17",190,722,175,328,153.0,1
402,"2022-11-17",116,1000,597,137,104.0,2
403,"2022-11-18",250,405,106,161,174.0,1
404,"2022-11-18",374,513,237,242,21.0,2
405,"2022-11-19",154,377,128,182,30.0,1
406,"2022-11-19",105,686,104,178,38.0,2
407,"2022-11-20",108,871,320,397,47.0,1
408,"2022-11-20",94,795,239,67,59.0,2
409,"2022-11-21",116,802,293,402,31.0,1
410,"2022-11-21",168,355,182,89,19.0,2
411,"2022-11-22",797,999,158,609,106.0,1
412,"2022-11-22",264,364,169,93,63.0,2
413,"2022-11-23",240,626,19,279,77.0,1
414,"2022-11-23",75,285,13,51,69.0,2
415,"2022-11-24",107,365,102,207,65.0,1
416,"2022-11-24",131,384,60,133,48.0,2
417,"2022-11-25",96,429,152,118,69.0,1
418,"2022-11-25",489,771,326,201,370.0,2
419,"2022-11-26",44,957,308,504,32.0,1
420,"2022-11-26",46,771,75,551,15.0,2
421,"2022-11-27",128,352,88,256,15.0,1
422,"2022-11-27",308,652,279,44,282.0,2
423,"2022-11-28",133,263,92,126,118.0,1
424,"2022-11-28",500,908,189,581,30.0,2
425,"2022-11-29",53,489,220,202,52.0,1
426,"2022-11-29",577,977,240,628,178.0,2
427,"2022-11-30",290,892,143,164,236.0,1
428,"2022-11-30",157,353,57,195,137.0,2
429,"2022-12-01",31,403,25,0,23.0,1
430,"2022-12-01",38,954,461,318,37.0,2
431,"2022-12-02",485,778,421,245,423.0,1
432,"2022-12-02",866,885,421,281,571.0,2
433,"2022-12-03",232,622,122,404,9.0,1
434,"2022-12-03",193,389,178,172,144.0,2
435,"2022-12-04",34,370,205,91,26.0,1
436,"2022-12-04",681,704,94,135,152.0,2
437,"2022-12-05",836,978,465,510,101.0,1
438,"2022-12-05",17,909,127,455,1.0,2
439,"2022-12-06",730,747,351,14,118.0,1
440,"2022-12-06",133,231,99,20,95.0,2
441,"2022-12-07",301,423,6,72,3.0,1
442,"2022-12-07",10,223,32,47,2.0,2
443,"2022-12-08",131,243,86,133,72.0,1
444,"2022-12-08",388,677,88,579,388.0,2
445,"2022-12-09",428,629,65,195,339.0,1
446,"2022-12-09",315,772,161,69,100.0,2
447,"2022-12-10",8,754,201,0,7.0,1
448,"2022-12-10",170,323,62,126,34.0,2
449,"2022-12-11",164,700,350,4,56.0,1
450,"2022-12-11",402,549,50,10,374.0,2
451,"2022-12-12",4,495,188,159,4.0,1
452,"2022-12-12",90,576,138,128,63.0,2
453,"2022-12-13",210,237,8,143,170.0,1
454,"2022-12-13",773,911,486,24,134.0,2
455,"2022-12-14",637,722,187,300,58.0,1
456,"2022-12-14",316,406,88,131,123.0,2
457,"2022-12-15",313,974,95,277,199.0,1
458,"2022-12-15",340,823,52,578,185.0,2
459,"2022-12-16",240,516,244,200,66.0,1
460,"2022-12-16",605,837,131,572,573.0,2
461,"2022-12-17",7,864,315,495,3.0,1
462,"2022-12-17",423,490,114,70,358.0,2
463,"2022-12-18",471,652,201,429,417.0,1
464,"2022-12-18",260,622,368,115,235.0,2
465,"2022-12-19",121,289,79,74,102.0,1
466,"2022-12-19",73,809,29,65,30.0,2
467,"2022-12-20",289,381,149,204,92.0,1
468,"2022-12-20",135,736,390,308,98.0,2
469,"2022-12-21",329,714,405,272,219.0,1
470,"2022-12-21",393,762,89,648,34.0,2
471,"2022-12-22",107,328,111,1,22.0,1
472,"2022-12-22",308,599,118,158,47.0,2
473,"2022-12-23",184,432,73,149,109.0,1
474,"2022-12-23",249,292,11,20,96.0,2
475,"2022-12-24",497,522,61,279,341.0,1
476,"2022-12-24",505,978,260,318,203.0,2
477,"2022-12-25",178,913,195,330,91.0,1
478,"2022-12-25",131,544,157,49,103.0,2
479,"2022-12-26",631,711,269,136,359.0,1
480,"2022-12-26",698,902,441,395,636.0,2
481,"2022-12-27",368,958,3,298,331.0,1
482,"2022-12-27",108,680,375,218,40.0,2
483,"2022-12-28",402,798,57,10,180.0,1
484,"2022-12-28",172,213,100,96,2.0,2
485,"2022-12-29",131,721,276,67,28.0,1
486,"2022-12-29",91,251,104,79,6.0,2
487,"2022-12-30",134,681,241,267,13.0,1
488,"2022-12-30",150,246,130,17,91.0,2
489,"2022-12-31",79,802,267,69,30.0,1
490,"2022-12-31",189,232,74,55,94.0,2
491,"2023-01-01",40,364,79,230,35.0,1
492,"2023-01-01",57,266,48,198,51.0,2
493,"2023-01-02",32,535,103,290,3.0,1
494,"2023-01-02",102,491,27,171,67.0,2
495,"2023-01-03",45,260,84,72,12.0,1
496,"2023-01-03",588,771,100,478,175.0,2
497,"2023-01-04",106,285,157,17,8.0,1
498,"2023-01-04",88,667,170,160,6.0,2
499,"2023-01-05",101,698,270,221,58.0,1
500,"2023-01-05",163,850,367,181,147.0,2
501,"2023-01-06",178,413,27,265,54.0,1
502,"2023-01-06",437,615,229,124,206.0,2
503,"2023-01-07",103,559,162,318,15.0,1
504,"2023-01-07",277,897,214,348,150.0,2
505,"2023-01-08",253,844,245,578,72.0,1
506,"2023-01-08",416,779,178,418,223.0,2
507,"2023-01-09",580,633,196,46,38.0,1
508,"2023-01-09",335,515,55,67,6.0,2
509,"2023-01-10",831,955,359,289,254.0,1
510,"2023-01-10",474,749,28,55,400.0,2
511,"2023-01-11",167,377,20,136,124.0,1
512,"2023-01-11",742,809,367,373,607.0,2
513,"2023-01-12",206,663,135,170,200.0,1
514,"2023-01-12",704,728,231,170,431.0,2
515,"2023-01-13",19,608,227,56,0.0,1
516,"2023-01-13",952,952,374,161,309.0,2
517,"2023-01-14",294,620,43,19,52.0,1
518,"2023-01-14",17,411,202,143,11.0,2
519,"2023-01-15",706,791,335,12,608.0,1
520,"2023-01-15",733,911,112,215,178.0,2
521,"2023-01-16",282,719,280,134,60.0,1
522,"2023-01-16",790,963,501,135,235.0,2
523,"2023-01-17",495,549,6,492,382.0,1
524,"2023-01-17",23,329,191,85,22.0,2
525,"2023-01-18",149,201,25,127,19.0,1
526,"2023-01-18",232,363,136,55,39.0,2
527,"2023-01-19",264,493,30,46,21.0,1
528,"2023-01-19",326,676,67,327,87.0,2
529,"2023-01-20",853,972,273,619,568.0,1
530,"2023-01-20",442,810,392,301,122.0,2
531,"2023-01-21",584,875,503,56,356.0,1
532,"2023-01-21",301,311,182,7,19.0,2
533,"2023-01-22",219,873,368,20,98.0,1
534,"2023-01-22",186,777,19,577,130.0,2
535,"2023-01-23",4,364,129,116,3.0,1
536,"2023-01-23",231,430,115,168,82.0,2
537,"2023-01-24",775,890,492,61,583.0,1
538,"2023-01-24",294,693,227,415,292.0,2
539,"2023-01-25",347,356,169,92,85.0,1
540,"2023-01-25",256,265,157,17,25.0,2
541,"2023-01-26",310,574,253,225,170.0,1
542,"2023-01-26",689,695,385,9,241.0,2
543,"2023-01-27",439,449,249,138,57.0,1
544,"2023-01-27",591,934,242,458,207.0,2
545,"2023-01-28",479,899,132,630,454.0,1
546,"2023-01-28",53,773,350,262,52.0,2
547,"2023-01-29",1,317,87,130,1.0,1
548,"2023-01-29",519,558,138,80,120.0,2
549,"2023-01-30",211,507,155,251,88.0,1
550,"2023-01-30",230,792,121,596,230.0,2
551,"2023-01-31",96,834,253,117,89.0,1
552,"2023-01-31",515,620,1,188,298.0,2
553,"2023-02-01",419,529,237,199,100.0,1
554,"2023-02-01",221,813,161,214,16.0,2
555,"2023-02-02",90,671,150,148,19.0,1
556,"2023-02-02",27,223,111,70,0.0,2
557,"2023-02-03",204,856,143,258,102.0,1
558,"2023-02-03",461,963,150,122,15.0,2
559,"2023-02-04",19,766,147,24,8.0,1
560,"2023-02-04",431,532,144,154,384.0,2
561,"2023-02-05",8,727,53,270,4.0,1
562,"2023-02-05",45,462,60,50,19.0,2
563,"2023-02-06",434,464,210,198,201.0,1
564,"2023-02-06",350,408,23,362,200.0,2
565,"2023-02-07",405,734,238,321,349.0,1
566,"2023-02-07",332,684,264,130,224.0,2
567,"2023-02-08",167,942,426,491,98.0,1
568,"2023-02-08",132,302,8,0,82.0,2
569,"2023-02-09",202,730,13,254,200.0,1
570,"2023-02-09",134,876,2,686,104.0,2
571,"2023-02-10",84,207,91,70,24.0,1
572,"2023-02-10",103,282,161,75,83.0,2
573,"2023-02-11",476,928,220,358,91.0,1
574,"2023-02-11",425,491,261,13,85.0,2
575,"2023-02-12",76,598,54,382,6.0,1
576,"2023-02-12",640,736,143,414,68.0,2
577,"2023-02-13",30,227,125,9,24.0,1
578,"2023-02-13",146,429,109,162,10.0,2
