"md_id","busi_time","satisfaction_cnt","unsatisfaction_cnt","reply_on_time_cnt","call_cnt","connect_cnt"
140,"2022-09-17",28,15,154,171,38
141,"2022-09-18",68,272,21,442,260
142,"2022-09-19",49,143,39,243,203
143,"2022-09-20",103,86,116,273,35
144,"2022-09-21",28,268,302,434,182
145,"2022-09-22",57,9,109,139,138
146,"2022-09-23",10,305,184,321,48
147,"2022-09-24",50,301,176,421,239
148,"2022-09-25",43,76,1,190,34
149,"2022-09-26",153,211,365,393,106
150,"2022-09-27",130,212,141,489,161
151,"2022-09-28",49,281,199,499,293
152,"2022-09-29",37,77,261,264,227
153,"2022-09-30",63,67,73,149,2
154,"2022-10-01",52,109,329,360,189
155,"2022-10-02",49,235,34,465,116
156,"2022-10-03",9,229,176,318,276
157,"2022-10-04",160,56,6,341,31
158,"2022-10-05",45,327,260,473,37
159,"2022-10-06",235,223,292,492,326
160,"2022-10-07",134,9,156,498,221
161,"2022-10-08",104,107,30,253,28
162,"2022-10-09",9,53,58,178,99
163,"2022-10-10",3,98,62,181,50
164,"2022-10-11",68,70,356,490,393
165,"2022-10-12",6,145,419,477,49
166,"2022-10-13",82,233,35,360,43
167,"2022-10-14",47,225,105,302,96
168,"2022-10-15",63,155,23,222,155
169,"2022-10-16",37,94,34,162,90
170,"2022-10-17",105,109,330,374,31
171,"2022-10-18",25,116,142,200,1
172,"2022-10-19",1,2,106,129,84
173,"2022-10-20",177,144,28,448,432
174,"2022-10-21",57,153,395,402,308
175,"2022-10-22",127,110,249,445,220
176,"2022-10-23",176,224,100,448,39
177,"2022-10-24",41,328,422,430,66
178,"2022-10-25",138,181,357,388,236
179,"2022-10-26",146,51,106,432,19
180,"2022-10-27",59,47,75,184,24
181,"2022-10-28",75,23,224,318,90
182,"2022-10-29",21,164,103,207,138
183,"2022-10-30",164,160,127,490,106
184,"2022-10-31",119,9,13,297,255
185,"2022-11-01",7,53,387,450,220
186,"2022-11-02",43,127,165,180,180
187,"2022-11-03",6,146,117,165,141
188,"2022-11-04",70,107,41,235,231
189,"2022-11-05",169,176,302,420,349
190,"2022-11-06",3,276,293,464,213
191,"2022-11-07",75,23,124,227,134
192,"2022-11-08",42,109,78,179,102
193,"2022-11-09",1,206,183,246,13
194,"2022-11-10",145,144,2,456,308
195,"2022-11-11",17,111,71,412,246
196,"2022-11-12",213,199,442,480,328
197,"2022-11-13",6,69,19,120,7
198,"2022-11-14",0,158,98,234,78
199,"2022-11-15",7,205,382,400,35
200,"2022-11-16",192,88,261,420,206
201,"2022-11-17",5,28,29,123,32
202,"2022-11-18",31,158,61,224,2
203,"2022-11-19",69,39,105,237,164
204,"2022-11-20",44,91,200,270,157
205,"2022-11-21",69,321,199,482,71
206,"2022-11-22",104,161,73,331,288
207,"2022-11-23",102,51,91,228,4
208,"2022-11-24",191,38,238,403,128
209,"2022-11-25",94,238,133,353,229
210,"2022-11-26",25,27,29,107,9
211,"2022-11-27",110,55,176,292,202
212,"2022-11-28",33,99,128,187,115
213,"2022-11-29",43,49,7,125,30
214,"2022-11-30",69,89,188,217,189
215,"2022-12-01",21,96,27,123,115
216,"2022-12-02",105,185,250,389,137
217,"2022-12-03",0,50,21,223,177
218,"2022-12-04",30,109,98,162,16
219,"2022-12-05",15,221,335,491,393
220,"2022-12-06",103,165,352,361,311
221,"2022-12-07",74,223,288,407,12
222,"2022-12-08",25,208,45,270,251
223,"2022-12-09",28,236,439,482,21
224,"2022-12-10",27,70,54,121,73
225,"2022-12-11",149,90,150,475,421
226,"2022-12-12",112,324,323,478,85
227,"2022-12-13",31,6,21,156,129
228,"2022-12-14",107,105,371,371,271
229,"2022-12-15",32,276,96,352,311
230,"2022-12-16",160,154,224,334,8
231,"2022-12-17",72,61,77,198,20
232,"2022-12-18",103,55,134,222,28
233,"2022-12-19",62,234,29,384,210
234,"2022-12-20",13,157,2,189,94
235,"2022-12-21",57,262,123,348,128
236,"2022-12-22",37,61,103,103,31
237,"2022-12-23",206,12,13,414,402
238,"2022-12-24",163,273,361,499,252
239,"2022-12-25",71,103,94,332,53
240,"2022-12-26",195,268,185,495,133
241,"2022-12-27",45,55,233,303,280
242,"2022-12-28",28,13,118,275,38
243,"2022-12-29",135,88,26,347,169
244,"2022-12-30",6,261,125,286,44
245,"2022-12-31",2,79,19,185,24
246,"2023-01-01",83,60,86,185,183
247,"2023-01-02",67,38,169,172,34
248,"2023-01-03",54,70,56,346,87
249,"2023-01-04",9,134,76,147,37
250,"2023-01-05",99,253,374,451,126
251,"2023-01-06",35,266,4,352,129
252,"2023-01-07",51,102,22,165,66
253,"2023-01-08",0,42,57,104,16
254,"2023-01-09",45,167,206,252,228
255,"2023-01-10",98,208,216,375,310
256,"2023-01-11",73,28,135,254,15
257,"2023-01-12",39,81,121,163,107
258,"2023-01-13",113,226,134,467,461
259,"2023-01-14",111,114,186,241,171
260,"2023-01-15",214,37,348,441,199
261,"2023-01-16",87,13,108,193,71
262,"2023-01-17",56,20,71,131,28
263,"2023-01-18",32,109,70,358,104
264,"2023-01-19",25,139,59,244,144
265,"2023-01-20",36,12,79,115,84
266,"2023-01-21",37,235,267,329,48
267,"2023-01-22",84,72,247,379,373
268,"2023-01-23",24,226,79,285,60
269,"2023-01-24",30,57,29,198,71
270,"2023-01-25",10,217,290,304,163
271,"2023-01-26",16,82,116,226,6
272,"2023-01-27",44,215,27,395,50
273,"2023-01-28",88,80,190,219,48
274,"2023-01-29",27,199,304,344,183
275,"2023-01-30",57,27,98,195,153
276,"2023-01-31",56,229,72,300,127
277,"2023-02-01",75,230,194,309,298
278,"2023-02-02",32,141,204,207,20
279,"2023-02-03",19,94,229,269,230
280,"2023-02-04",22,95,233,255,237
281,"2023-02-05",41,61,39,104,48
282,"2023-02-06",27,313,102,424,362
283,"2023-02-07",55,67,0,130,95
284,"2023-02-08",23,70,169,169,137
285,"2023-02-09",41,72,116,171,117
286,"2023-02-10",34,19,94,122,83
287,"2023-02-11",84,147,61,418,229
288,"2023-02-12",136,1,291,323,146
289,"2023-02-13",84,35,94,207,121
290,"2023-02-14",124,75,248,407,369
291,"2023-02-15",54,44,41,120,12
292,"2023-02-16",71,29,28,160,24
293,"2023-02-17",67,306,317,421,179
294,"2023-02-18",112,161,276,332,132
295,"2023-02-19",112,264,337,499,444
296,"2023-02-20",35,152,150,342,281
297,"2023-02-21",97,93,95,305,35
298,"2023-02-22",87,290,228,394,44
299,"2023-02-23",39,357,250,409,18
300,"2023-02-24",88,61,51,266,38
301,"2023-02-25",59,273,382,420,76
302,"2023-02-26",89,135,221,227,54
303,"2023-02-27",81,30,63,193,29
304,"2023-02-28",3,226,271,287,127
305,"2023-03-01",0,107,20,158,114
306,"2023-03-02",11,304,302,378,131
307,"2023-03-03",67,3,157,214,116
308,"2023-03-04",79,15,96,172,60
309,"2023-03-05",128,14,261,287,222
310,"2023-03-06",0,372,112,426,118
311,"2023-03-07",133,68,185,472,422
312,"2023-03-08",30,185,235,241,195
313,"2023-03-09",50,11,232,301,159
314,"2023-03-10",19,86,77,109,26
315,"2023-03-11",29,175,131,353,88
316,"2023-03-12",117,109,93,240,1
317,"2023-03-13",95,5,4,218,201
318,"2023-03-14",35,74,3,281,180
319,"2023-03-15",56,50,73,116,90
320,"2023-03-16",47,61,192,213,5
321,"2023-03-17",93,108,200,255,93
322,"2023-03-18",93,60,162,241,159
323,"2023-03-19",108,103,77,363,271
324,"2023-03-20",43,102,191,246,242
325,"2023-03-21",104,116,169,275,93
326,"2023-03-22",10,0,248,412,43
327,"2023-03-23",99,208,299,357,318
328,"2023-03-24",200,75,114,481,426
329,"2023-03-25",84,154,164,340,157
330,"2023-03-26",1,230,64,429,84
331,"2023-03-27",26,253,94,492,35
332,"2023-03-28",209,31,261,441,240
333,"2023-03-29",66,199,219,422,400
334,"2023-03-30",123,15,84,262,151
335,"2023-03-31",29,81,84,113,16
336,"2023-04-01",30,131,252,265,39
337,"2023-04-02",46,73,121,125,85
338,"2023-04-03",89,98,114,191,57
339,"2023-04-04",58,137,76,282,128
340,"2023-04-05",1,77,69,109,87
341,"2023-04-06",83,187,263,443,330
342,"2023-04-07",119,74,244,249,44
343,"2023-04-08",56,296,287,369,308
344,"2023-04-09",36,29,280,383,362
345,"2023-04-10",122,299,400,444,189
346,"2023-04-11",74,93,113,240,206
347,"2023-04-12",25,185,77,468,264
348,"2023-04-13",17,62,23,173,11
349,"2023-04-14",28,36,44,100,29
350,"2023-04-15",65,80,109,147,99
351,"2023-04-16",4,117,110,155,120
352,"2023-04-17",72,129,175,308,118
353,"2023-04-18",130,94,62,264,47
354,"2023-04-19",5,110,98,141,17
355,"2023-04-20",57,81,132,143,59
356,"2023-04-21",89,146,310,360,117
357,"2023-04-22",176,60,252,422,347
358,"2023-04-23",127,0,168,334,116
359,"2023-04-24",123,97,106,283,212
360,"2023-04-25",80,92,20,182,100
361,"2023-04-26",94,100,65,212,109
362,"2023-04-27",22,128,195,206,110
363,"2023-04-28",26,127,118,156,38
364,"2023-04-29",43,52,91,140,24
365,"2023-04-30",54,86,315,373,122
366,"2023-05-01",105,21,263,328,308
367,"2023-05-02",163,141,237,400,160
368,"2023-05-03",151,43,256,404,150
369,"2023-05-04",189,79,383,412,183
370,"2023-05-05",71,98,136,189,130
371,"2023-05-06",139,69,270,278,47
372,"2023-05-07",6,44,62,122,10
373,"2023-05-08",95,213,392,428,329
374,"2023-05-09",5,180,199,248,190
375,"2023-05-10",47,121,7,200,171
376,"2023-05-11",28,162,54,299,268
377,"2023-05-12",39,14,34,114,78
378,"2023-05-13",150,108,73,477,434
379,"2023-05-14",11,292,186,324,237
380,"2023-05-15",99,1,162,282,175
381,"2023-05-16",64,218,66,459,402
382,"2023-05-17",22,218,228,257,76
383,"2023-05-18",191,7,152,484,190
384,"2023-05-19",107,44,235,282,178
385,"2023-05-20",76,3,111,181,96
386,"2023-05-21",83,177,15,394,77
387,"2023-05-22",99,138,61,412,216
388,"2023-05-23",12,63,124,174,13
389,"2023-05-24",26,247,57,463,239
390,"2023-05-25",106,123,99,298,250
391,"2023-05-26",44,28,233,236,159
392,"2023-05-27",45,24,110,142,14
393,"2023-05-28",26,87,18,117,25
394,"2023-05-29",3,443,74,482,393
395,"2023-05-30",78,27,196,206,202
396,"2023-05-31",124,63,207,434,340
397,"2023-06-01",46,199,399,403,119
398,"2023-06-02",67,75,227,491,429
399,"2023-06-03",89,286,383,412,60
400,"2023-06-04",53,156,207,404,17
401,"2023-06-05",76,102,195,317,90
402,"2023-06-06",191,4,135,389,331
403,"2023-06-07",56,115,98,286,196
404,"2023-06-08",43,152,224,272,215
405,"2023-06-09",96,71,2,198,132
406,"2023-06-10",17,10,108,140,83
407,"2023-06-11",47,40,7,101,38
408,"2023-06-12",149,77,255,328,267
409,"2023-06-13",16,118,58,148,127
410,"2023-06-14",15,367,262,438,45
411,"2023-06-15",20,129,261,445,32
412,"2023-06-16",74,156,209,248,243
413,"2023-06-17",5,52,103,183,127
414,"2023-06-18",65,52,39,139,28
415,"2023-06-19",105,20,54,226,138
416,"2023-06-20",171,224,382,452,332
417,"2023-06-21",23,193,208,397,348
418,"2023-06-22",40,2,29,112,75
419,"2023-06-23",134,73,143,334,188
420,"2023-06-24",203,31,406,422,49
421,"2023-06-25",23,22,16,191,185
422,"2023-06-26",9,237,290,326,79
423,"2023-06-27",67,20,222,248,205
424,"2023-06-28",15,331,119,444,443
425,"2023-06-29",4,149,49,222,70
426,"2023-06-30",75,138,46,286,77
427,"2023-07-01",95,365,109,486,83
428,"2023-07-02",75,68,130,431,327
429,"2023-07-03",143,57,257,350,86
430,"2023-07-04",43,138,109,399,12
431,"2023-07-05",61,192,2,364,46
432,"2023-07-06",9,28,253,305,203
433,"2023-07-07",76,64,297,337,290
434,"2023-07-08",114,150,452,486,435
435,"2023-07-09",61,109,181,202,52
436,"2023-07-10",97,23,205,263,10
437,"2023-07-11",13,122,115,187,142
438,"2023-07-12",87,94,179,298,112
439,"2023-07-13",134,65,271,323,1
440,"2023-07-14",7,125,159,356,148
441,"2023-07-15",18,19,140,151,122
442,"2023-07-16",158,137,83,366,282
443,"2023-07-17",99,97,235,247,236
444,"2023-07-18",159,54,93,352,11
445,"2023-07-19",15,16,69,317,74
446,"2023-07-20",71,219,295,358,145
447,"2023-07-21",52,132,362,375,287
448,"2023-07-22",61,13,90,286,15
449,"2023-07-23",104,133,302,388,233
450,"2023-07-24",21,69,3,124,90
451,"2023-07-25",17,16,32,361,209
452,"2023-07-26",40,31,1,109,42
453,"2023-07-27",57,338,333,441,69
454,"2023-07-28",187,155,292,427,374
455,"2023-07-29",50,12,16,106,74
456,"2023-07-30",43,45,42,122,92
457,"2023-07-31",70,2,83,150,63
458,"2023-08-01",31,183,138,223,3
459,"2023-08-02",53,68,139,228,97
460,"2023-08-03",25,98,195,488,207
461,"2023-08-04",71,5,169,302,125
462,"2023-08-05",182,40,94,403,164
463,"2023-08-06",104,11,201,268,121
464,"2023-08-07",51,119,55,274,183
465,"2023-08-08",161,118,337,384,377
466,"2023-08-09",71,21,207,216,197
467,"2023-08-10",183,22,256,424,399
468,"2023-08-11",31,81,119,119,85
469,"2023-08-12",43,140,131,211,83
470,"2023-08-13",5,143,118,177,0
471,"2023-08-14",0,55,145,150,45
472,"2023-08-15",10,202,109,225,206
473,"2023-08-16",4,161,159,228,71
474,"2023-08-17",139,251,37,395,243
475,"2023-08-18",16,0,38,111,105
476,"2023-08-19",56,118,80,177,31
477,"2023-08-20",71,25,92,232,90
478,"2023-08-21",24,67,132,193,104
479,"2023-08-22",53,32,88,108,55
480,"2023-08-23",57,61,127,149,116
481,"2023-08-24",200,194,78,444,116
482,"2023-08-25",182,213,395,482,183
483,"2023-08-26",30,221,29,280,199
484,"2023-08-27",0,259,47,386,188
485,"2023-08-28",52,37,104,309,276
486,"2023-08-29",3,120,40,362,143
487,"2023-08-30",115,105,194,292,173
488,"2023-08-31",78,41,29,171,18
489,"2023-09-01",59,95,148,186,95
490,"2023-09-02",59,67,206,250,13
491,"2023-09-03",151,186,305,348,127
492,"2023-09-04",147,89,227,366,90
493,"2023-09-05",28,2,82,153,7
494,"2023-09-06",40,82,93,165,103
495,"2023-09-07",71,65,85,208,169
496,"2023-09-08",73,208,54,321,302
497,"2023-09-09",49,93,102,215,85
498,"2023-09-10",208,168,218,463,51
499,"2023-09-11",197,142,89,437,72
500,"2023-09-12",189,140,167,399,245
501,"2023-09-13",8,57,86,222,103
502,"2023-09-14",21,13,82,112,60
503,"2023-09-15",4,121,23,153,100
504,"2023-09-16",20,96,42,126,9
505,"2023-09-17",8,57,454,489,272
506,"2023-09-18",18,126,112,253,243
507,"2023-09-19",72,8,18,438,411
508,"2023-09-20",58,9,186,459,15
509,"2023-09-21",21,26,122,351,211
510,"2023-09-22",79,120,452,487,428
511,"2023-09-23",51,154,85,363,54
512,"2023-09-24",7,95,18,176,68
513,"2023-09-25",122,198,138,367,329
514,"2023-09-26",178,45,108,473,41
515,"2023-09-27",39,184,3,348,141
516,"2023-09-28",7,55,129,143,64
517,"2023-09-29",32,26,75,113,90
518,"2023-09-30",1,334,8,396,174
519,"2023-10-01",76,182,224,303,7
520,"2023-10-02",61,143,237,250,54
521,"2023-10-03",161,242,231,487,266
522,"2023-10-04",102,142,235,346,87
523,"2023-10-05",127,52,21,312,141
524,"2023-10-06",17,72,129,132,111
525,"2023-10-07",127,177,93,446,394
526,"2023-10-08",171,52,324,363,318
527,"2023-10-09",31,6,55,126,85
528,"2023-10-10",79,219,153,313,220
529,"2023-10-11",164,68,153,440,34
530,"2023-10-12",107,71,182,274,80
531,"2023-10-13",90,157,83,306,16
532,"2023-10-14",56,203,283,298,56
533,"2023-10-15",160,275,226,474,418
534,"2023-10-16",49,9,4,151,130
535,"2023-10-17",174,47,79,421,270
536,"2023-10-18",31,43,124,166,33
537,"2023-10-19",58,64,100,144,66
538,"2023-10-20",39,184,98,310,70
539,"2023-10-21",85,289,308,470,455
540,"2023-10-22",72,67,175,187,156
541,"2023-10-23",147,51,116,307,123
542,"2023-10-24",49,9,75,159,55
543,"2023-10-25",79,189,41,274,252
544,"2023-10-26",2,75,206,289,14
545,"2023-10-27",60,178,11,295,167
546,"2023-10-28",17,298,111,497,322
547,"2023-10-29",169,254,455,499,197
548,"2023-10-30",113,93,63,232,178
549,"2023-10-31",26,205,65,367,319
550,"2023-11-01",51,1,102,113,21
551,"2023-11-02",20,52,185,221,129
552,"2023-11-03",84,109,103,269,147
553,"2023-11-04",174,99,138,426,55
554,"2023-11-05",166,11,164,347,153
555,"2023-11-06",87,144,72,264,156
556,"2023-11-07",37,179,256,290,62
557,"2023-11-08",180,172,303,443,344
558,"2023-11-09",61,137,223,328,159
559,"2023-11-10",61,83,95,188,85
560,"2023-11-11",59,2,29,255,88
561,"2023-11-12",42,49,76,181,49
562,"2023-11-13",51,115,119,168,77
563,"2023-11-14",104,90,210,466,155
564,"2023-11-15",16,24,95,101,52
565,"2023-11-16",28,81,108,109,43
566,"2023-11-17",3,29,159,342,263
567,"2023-11-18",98,108,178,352,299
568,"2023-11-19",113,199,14,407,242
569,"2023-11-20",18,287,225,403,97
570,"2023-11-21",79,173,71,278,207
571,"2023-11-22",30,212,30,258,156
572,"2023-11-23",128,173,370,487,420
573,"2023-11-24",82,32,79,357,285
574,"2023-11-25",75,17,84,343,34
575,"2023-11-26",121,364,426,488,343
576,"2023-11-27",56,217,99,481,146
577,"2023-11-28",50,95,51,152,129
578,"2023-11-29",125,17,129,309,225
579,"2023-11-30",5,355,358,372,154
580,"2023-12-01",122,128,87,344,11
581,"2023-12-02",84,54,84,201,181
582,"2023-12-03",25,323,173,384,274
583,"2023-12-04",65,0,66,152,101
584,"2023-12-05",94,273,345,467,384
585,"2023-12-06",113,158,85,477,319
586,"2023-12-07",86,35,148,364,74
587,"2023-12-08",64,53,31,236,169
588,"2023-12-09",11,91,118,289,256
589,"2023-12-10",47,155,257,319,249
590,"2023-12-11",11,17,18,121,112
591,"2023-12-12",57,22,59,117,3
592,"2023-12-13",28,170,133,432,224
593,"2023-12-14",139,12,76,411,20
594,"2023-12-15",14,110,153,222,32
595,"2023-12-16",15,27,103,248,223
596,"2023-12-17",63,46,242,392,330
597,"2023-12-18",19,103,8,130,65
598,"2023-12-19",22,4,113,120,7
599,"2023-12-20",51,69,190,259,20
600,"2023-12-21",132,210,336,418,296
601,"2023-12-22",47,3,7,200,152
602,"2023-12-23",112,225,381,438,42
603,"2023-12-24",57,213,173,467,433
604,"2023-12-25",36,117,40,262,11
605,"2023-12-26",39,35,13,127,22
606,"2023-12-27",182,2,206,396,96
607,"2023-12-28",21,25,171,277,83
608,"2023-12-29",14,287,411,475,67
609,"2023-12-30",27,6,36,140,30
610,"2023-12-31",191,172,121,420,167
611,"2024-01-01",135,27,277,302,30
612,"2024-01-02",55,65,31,276,49
613,"2024-01-03",28,10,144,246,204
614,"2024-01-04",55,137,185,259,64
615,"2024-01-05",5,117,243,334,24
616,"2024-01-06",117,153,196,464,264
617,"2024-01-07",111,95,165,248,65
618,"2024-01-08",88,44,38,183,12
619,"2024-01-09",68,3,71,175,173
620,"2024-01-10",79,9,205,248,122
621,"2024-01-11",133,7,213,383,131
622,"2024-01-12",54,31,36,145,130
623,"2024-01-13",13,81,37,106,67
624,"2024-01-14",101,185,231,356,17
625,"2024-01-15",16,82,69,111,1
626,"2024-01-16",6,15,106,354,39
627,"2024-01-17",51,289,104,368,85
628,"2024-01-18",104,177,176,434,361
629,"2024-01-19",47,65,76,151,52
630,"2024-01-20",44,155,399,463,287
631,"2024-01-21",20,11,45,114,76
632,"2024-01-22",4,15,6,114,90
633,"2024-01-23",89,49,93,304,159
634,"2024-01-24",19,134,46,223,28
635,"2024-01-25",98,15,3,279,118
636,"2024-01-26",81,88,224,244,190
637,"2024-01-27",23,130,105,198,161
638,"2024-01-28",35,35,87,125,2
639,"2024-01-29",56,1,74,136,25
640,"2024-01-30",1,23,212,275,160
641,"2024-01-31",46,330,436,436,359
642,"2024-02-01",170,74,362,473,359
643,"2024-02-02",159,87,288,453,323
644,"2024-02-03",175,310,88,500,23
645,"2024-02-04",24,139,14,249,235
646,"2024-02-05",102,179,44,306,198
647,"2024-02-06",54,31,40,179,133
648,"2024-02-07",92,43,156,360,93
649,"2024-02-08",3,45,27,141,122
650,"2024-02-09",19,32,122,126,60
651,"2024-02-10",126,88,149,485,169
652,"2024-02-11",24,145,296,428,140
653,"2024-02-12",226,1,264,478,88
654,"2024-02-13",188,29,161,439,294
655,"2024-02-14",214,144,321,465,80
656,"2024-02-15",90,36,406,489,242
657,"2024-02-16",14,146,49,168,148
658,"2024-02-17",121,218,300,365,330
659,"2024-02-18",170,157,139,422,172
660,"2024-02-19",94,17,284,408,285
661,"2024-02-20",5,26,77,186,96
662,"2024-02-21",106,104,17,231,8
663,"2024-02-22",55,205,143,273,189
664,"2024-02-23",140,180,42,320,79
665,"2024-02-24",13,114,136,171,113
666,"2024-02-25",47,28,122,178,74
667,"2024-02-26",66,32,141,231,211
668,"2024-02-27",90,85,201,396,240
669,"2024-02-28",123,18,55,403,271
670,"2024-02-29",76,8,9,340,286
671,"2024-03-01",103,86,173,221,45
672,"2024-03-02",131,110,113,344,319
673,"2024-03-03",102,134,311,319,252
674,"2024-03-04",19,196,66,235,127
675,"2024-03-05",59,31,281,497,384
676,"2024-03-06",5,247,125,462,95
677,"2024-03-07",14,412,123,459,344
678,"2024-03-08",11,31,175,197,160
679,"2024-03-09",78,113,104,222,77
680,"2024-03-10",95,111,407,415,97
681,"2024-03-11",12,221,252,359,49
682,"2024-03-12",241,144,407,498,45
683,"2024-03-13",13,112,13,400,123
684,"2024-03-14",24,24,106,122,116
685,"2024-03-15",232,124,458,479,186
686,"2024-03-16",45,18,123,177,67
687,"2024-03-17",92,32,164,194,150
688,"2024-03-18",126,154,230,411,304
689,"2024-03-19",1,54,98,112,104
690,"2024-03-20",89,77,134,321,227
691,"2024-03-21",4,42,48,299,72
692,"2024-03-22",64,156,304,323,118
693,"2024-03-23",12,4,77,123,24
694,"2024-03-24",86,114,56,255,41
