"md_id","busi_time","type_name","name","due_cnt","overdue_cnt","serious_overdue_cnt","avg_overdue_time"
53,"2022-05-06",2,待归档,175,30,11,27.17
54,"2022-05-06",2,已回访,190,86,83,58.32
55,"2022-05-07",1,一般,120,52,7,14.55
56,"2022-05-07",1,紧急,99,16,1,11.13
57,"2022-05-07",1,特急,168,30,23,23.35
58,"2022-05-07",1,应急事件,138,39,10,58.23
59,"2022-05-07",2,受理中,98,16,12,38.79
60,"2022-05-07",2,办理中,124,27,4,45.36
61,"2022-05-07",2,审核中,184,16,11,53.83
62,"2022-05-07",2,待归档,123,55,26,25.06
63,"2022-05-07",2,已回访,185,26,5,31.38
64,"2022-05-08",1,一般,102,15,0,12.23
65,"2022-05-08",1,紧急,140,10,3,21.25
66,"2022-05-08",1,特急,148,61,36,28.4
67,"2022-05-08",1,应急事件,159,71,39,41.78
68,"2022-05-08",2,受理中,186,91,82,28.55
69,"2022-05-08",2,办理中,178,56,22,59.5
70,"2022-05-08",2,审核中,162,22,7,31.72
71,"2022-05-08",2,待归档,173,46,40,32.77
72,"2022-05-08",2,已回访,138,52,10,41.37
73,"2022-05-09",1,一般,180,22,21,15.42
74,"2022-05-09",1,紧急,98,24,16,19.68
75,"2022-05-09",1,特急,87,27,13,16.61
76,"2022-05-09",1,应急事件,94,11,9,40.35
77,"2022-05-09",2,受理中,130,17,2,24.24
78,"2022-05-09",2,办理中,142,46,30,26.81
79,"2022-05-09",2,审核中,86,20,2,42.24
80,"2022-05-09",2,待归档,171,37,7,10.34
81,"2022-05-09",2,已回访,98,13,12,23.69
82,"2022-05-10",1,一般,114,32,6,52.51
83,"2022-05-10",1,紧急,99,37,7,22.92
84,"2022-05-10",1,特急,162,42,11,25.01
85,"2022-05-10",1,应急事件,165,60,27,27.3
86,"2022-05-10",2,受理中,135,59,11,52.34
87,"2022-05-10",2,办理中,92,33,24,17.47
88,"2022-05-10",2,审核中,152,67,45,48.61
89,"2022-05-10",2,待归档,95,25,17,57.72
90,"2022-05-10",2,已回访,186,70,52,45.99
91,"2022-05-11",1,一般,140,69,45,23.23
92,"2022-05-11",1,紧急,88,22,21,15.04
93,"2022-05-11",1,特急,124,42,28,53.16
94,"2022-05-11",1,应急事件,187,65,53,12.3
95,"2022-05-11",2,受理中,147,42,31,22.14
96,"2022-05-11",2,办理中,197,79,22,17.07
97,"2022-05-11",2,审核中,82,15,12,42.35
98,"2022-05-11",2,待归档,100,25,23,31.01
99,"2022-05-11",2,已回访,161,28,21,27.38
100,"2022-05-12",1,一般,172,37,24,44.85
101,"2022-05-12",1,紧急,173,14,10,17.12
102,"2022-05-12",1,特急,124,23,10,49.78
103,"2022-05-12",1,应急事件,87,26,11,21.58
104,"2022-05-12",2,受理中,158,30,27,59.53
105,"2022-05-12",2,办理中,133,10,2,26.04
106,"2022-05-12",2,审核中,150,72,64,30.19
107,"2022-05-12",2,待归档,102,29,6,21.1
108,"2022-05-12",2,已回访,135,65,34,30.57
109,"2022-05-13",1,一般,144,32,19,45.66
110,"2022-05-13",1,紧急,167,60,30,51.2
111,"2022-05-13",1,特急,176,27,11,23.9
112,"2022-05-13",1,应急事件,124,29,1,55.31
113,"2022-05-13",2,受理中,100,22,11,11.93
114,"2022-05-13",2,办理中,176,18,15,36.43
115,"2022-05-13",2,审核中,94,25,7,11.26
116,"2022-05-13",2,待归档,83,12,2,52.17
117,"2022-05-13",2,已回访,103,36,26,53.34
118,"2022-05-14",1,一般,165,40,14,43.24
119,"2022-05-14",1,紧急,178,24,19,48.07
120,"2022-05-14",1,特急,173,51,18,18.86
121,"2022-05-14",1,应急事件,108,40,0,27.04
122,"2022-05-14",2,受理中,195,11,3,20.21
123,"2022-05-14",2,办理中,116,42,34,44.25
124,"2022-05-14",2,审核中,108,29,23,47.71
125,"2022-05-14",2,待归档,134,34,29,27.21
126,"2022-05-14",2,已回访,84,31,1,56.6
127,"2022-05-15",1,一般,107,41,7,51.88
128,"2022-05-15",1,紧急,154,62,6,55.67
129,"2022-05-15",1,特急,126,18,6,52.64
130,"2022-05-15",1,应急事件,181,56,4,25.42
131,"2022-05-15",2,受理中,132,12,11,44.62
132,"2022-05-15",2,办理中,173,29,9,12.61
133,"2022-05-15",2,审核中,100,14,2,17.56
134,"2022-05-15",2,待归档,199,85,20,53.38
135,"2022-05-15",2,已回访,82,38,18,23.83
136,"2022-05-16",1,一般,107,36,29,54.49
137,"2022-05-16",1,紧急,152,12,3,55.84
138,"2022-05-16",1,特急,120,38,16,32.34
139,"2022-05-16",1,应急事件,80,19,8,54.76
140,"2022-05-16",2,受理中,169,32,15,44.74
141,"2022-05-16",2,办理中,174,81,48,10.56
142,"2022-05-16",2,审核中,175,60,20,26.69
143,"2022-05-16",2,待归档,200,42,1,36.02
144,"2022-05-16",2,已回访,184,20,11,52.19
145,"2022-05-17",1,一般,97,20,19,59.67
146,"2022-05-17",1,紧急,128,13,11,36.93
147,"2022-05-17",1,特急,185,22,7,56.7
148,"2022-05-17",1,应急事件,101,18,3,26.67
149,"2022-05-17",2,受理中,125,57,11,59.04
150,"2022-05-17",2,办理中,183,70,45,24.89
151,"2022-05-17",2,审核中,99,38,16,44.66
152,"2022-05-17",2,待归档,150,72,60,34.8
153,"2022-05-17",2,已回访,110,24,1,43.9
154,"2022-05-18",1,一般,149,29,26,58.33
155,"2022-05-18",1,紧急,152,68,37,39.73
156,"2022-05-18",1,特急,167,57,2,36.43
157,"2022-05-18",1,应急事件,196,91,49,33.65
158,"2022-05-18",2,受理中,118,24,1,44.24
159,"2022-05-18",2,办理中,84,32,3,26.5
160,"2022-05-18",2,审核中,140,57,47,45.44
161,"2022-05-18",2,待归档,181,42,33,43.88
162,"2022-05-18",2,已回访,188,37,10,27.0
163,"2022-05-19",1,一般,169,16,9,20.05
164,"2022-05-19",1,紧急,195,75,8,20.68
165,"2022-05-19",1,特急,94,19,4,28.07
166,"2022-05-19",1,应急事件,165,14,1,46.55
167,"2022-05-19",2,受理中,162,48,20,39.79
168,"2022-05-19",2,办理中,112,27,6,42.01
169,"2022-05-19",2,审核中,136,58,23,45.83
170,"2022-05-19",2,待归档,162,68,56,22.58
171,"2022-05-19",2,已回访,109,40,28,35.61
172,"2022-05-20",1,一般,179,29,3,24.25
173,"2022-05-20",1,紧急,113,46,3,55.41
174,"2022-05-20",1,特急,84,38,10,45.52
175,"2022-05-20",1,应急事件,181,46,22,55.5
176,"2022-05-20",2,受理中,193,19,10,45.01
177,"2022-05-20",2,办理中,125,17,7,56.66
178,"2022-05-20",2,审核中,183,18,9,38.35
179,"2022-05-20",2,待归档,153,29,24,23.85
180,"2022-05-20",2,已回访,125,36,19,29.07
181,"2022-05-21",1,一般,125,59,36,50.73
182,"2022-05-21",1,紧急,94,30,10,11.15
183,"2022-05-21",1,特急,127,29,19,21.14
184,"2022-05-21",1,应急事件,103,46,13,37.71
185,"2022-05-21",2,受理中,81,31,1,11.25
186,"2022-05-21",2,办理中,156,51,46,19.21
187,"2022-05-21",2,审核中,185,89,32,29.45
188,"2022-05-21",2,待归档,100,27,13,33.39
189,"2022-05-21",2,已回访,136,18,17,35.87
190,"2022-05-22",1,一般,171,57,48,28.59
191,"2022-05-22",1,紧急,148,72,61,28.34
192,"2022-05-22",1,特急,142,27,17,58.85
193,"2022-05-22",1,应急事件,186,68,41,48.52
194,"2022-05-22",2,受理中,87,16,9,15.91
195,"2022-05-22",2,办理中,175,35,34,10.65
196,"2022-05-22",2,审核中,120,25,15,34.29
197,"2022-05-22",2,待归档,196,70,63,55.23
198,"2022-05-22",2,已回访,190,52,26,47.35
199,"2022-05-23",1,一般,198,61,53,18.09
200,"2022-05-23",1,紧急,170,66,33,50.78
201,"2022-05-23",1,特急,134,58,8,44.23
202,"2022-05-23",1,应急事件,84,30,10,26.01
203,"2022-05-23",2,受理中,173,84,21,11.01
204,"2022-05-23",2,办理中,107,19,13,49.83
205,"2022-05-23",2,审核中,100,39,21,44.06
206,"2022-05-23",2,待归档,182,65,64,46.91
207,"2022-05-23",2,已回访,127,56,19,30.83
208,"2022-05-24",1,一般,188,42,19,29.69
209,"2022-05-24",1,紧急,165,45,41,48.97
210,"2022-05-24",1,特急,135,34,17,44.2
211,"2022-05-24",1,应急事件,138,58,50,56.65
212,"2022-05-24",2,受理中,104,21,11,37.71
213,"2022-05-24",2,办理中,194,83,6,35.94
214,"2022-05-24",2,审核中,193,76,12,44.06
215,"2022-05-24",2,待归档,179,25,20,40.57
216,"2022-05-24",2,已回访,165,32,0,23.14
217,"2022-05-25",1,一般,190,19,3,21.37
218,"2022-05-25",1,紧急,197,18,2,46.41
219,"2022-05-25",1,特急,99,36,24,11.43
220,"2022-05-25",1,应急事件,174,68,35,48.12
221,"2022-05-25",2,受理中,100,42,17,17.72
222,"2022-05-25",2,办理中,105,37,35,19.74
223,"2022-05-25",2,审核中,88,42,10,28.26
224,"2022-05-25",2,待归档,149,26,18,51.41
225,"2022-05-25",2,已回访,96,41,30,49.43
226,"2022-05-26",1,一般,82,14,10,38.1
227,"2022-05-26",1,紧急,134,31,21,15.23
228,"2022-05-26",1,特急,200,89,51,38.52
229,"2022-05-26",1,应急事件,119,21,12,33.5
230,"2022-05-26",2,受理中,136,67,63,50.43
231,"2022-05-26",2,办理中,148,16,7,55.26
232,"2022-05-26",2,审核中,137,18,4,18.83
233,"2022-05-26",2,待归档,146,26,15,28.58
234,"2022-05-26",2,已回访,136,32,9,52.69
235,"2022-05-27",1,一般,189,30,15,27.28
236,"2022-05-27",1,紧急,123,14,2,24.39
237,"2022-05-27",1,特急,93,19,14,52.71
238,"2022-05-27",1,应急事件,157,29,5,59.7
239,"2022-05-27",2,受理中,165,10,3,41.23
240,"2022-05-27",2,办理中,114,11,1,12.23
241,"2022-05-27",2,审核中,186,49,22,22.31
242,"2022-05-27",2,待归档,163,52,10,57.82
243,"2022-05-27",2,已回访,100,48,26,18.35
244,"2022-05-28",1,一般,166,58,4,28.46
245,"2022-05-28",1,紧急,163,37,11,45.68
246,"2022-05-28",1,特急,150,10,9,54.01
247,"2022-05-28",1,应急事件,104,47,43,35.57
248,"2022-05-28",2,受理中,102,18,2,34.82
249,"2022-05-28",2,办理中,88,34,1,58.24
250,"2022-05-28",2,审核中,197,29,26,28.01
251,"2022-05-28",2,待归档,151,47,21,25.4
252,"2022-05-28",2,已回访,92,20,15,15.61
253,"2022-05-29",1,一般,133,54,1,21.18
254,"2022-05-29",1,紧急,104,11,6,23.85
255,"2022-05-29",1,特急,91,42,33,58.2
256,"2022-05-29",1,应急事件,128,42,19,32.17
257,"2022-05-29",2,受理中,165,25,18,29.57
258,"2022-05-29",2,办理中,115,40,6,56.26
259,"2022-05-29",2,审核中,193,34,23,46.98
260,"2022-05-29",2,待归档,184,16,6,19.65
261,"2022-05-29",2,已回访,150,43,1,16.25
262,"2022-05-30",1,一般,157,21,8,35.9
263,"2022-05-30",1,紧急,100,28,16,44.12
264,"2022-05-30",1,特急,108,23,22,24.26
265,"2022-05-30",1,应急事件,90,31,5,30.39
266,"2022-05-30",2,受理中,179,50,6,35.6
267,"2022-05-30",2,办理中,152,14,9,27.98
268,"2022-05-30",2,审核中,167,73,11,11.43
269,"2022-05-30",2,待归档,83,23,19,57.26
270,"2022-05-30",2,已回访,171,14,1,17.48
271,"2022-05-31",1,一般,161,72,9,34.45
272,"2022-05-31",1,紧急,197,62,15,16.95
273,"2022-05-31",1,特急,135,47,27,50.1
274,"2022-05-31",1,应急事件,103,49,37,20.99
275,"2022-05-31",2,受理中,150,24,2,17.31
276,"2022-05-31",2,办理中,90,13,11,10.19
277,"2022-05-31",2,审核中,192,75,25,43.84
278,"2022-05-31",2,待归档,121,32,18,56.22
279,"2022-05-31",2,已回访,184,42,15,53.03
280,"2022-06-01",1,一般,140,48,4,50.03
281,"2022-06-01",1,紧急,185,31,18,43.86
282,"2022-06-01",1,特急,168,79,0,14.2
283,"2022-06-01",1,应急事件,101,34,5,42.19
284,"2022-06-01",2,受理中,147,61,7,25.6
285,"2022-06-01",2,办理中,172,28,7,14.59
286,"2022-06-01",2,审核中,193,18,13,26.49
287,"2022-06-01",2,待归档,159,46,33,50.4
288,"2022-06-01",2,已回访,148,20,11,30.92
289,"2022-06-02",1,一般,80,31,1,47.43
290,"2022-06-02",1,紧急,143,48,4,17.82
291,"2022-06-02",1,特急,92,17,6,44.74
292,"2022-06-02",1,应急事件,89,43,18,30.58
293,"2022-06-02",2,受理中,94,46,25,11.81
294,"2022-06-02",2,办理中,140,10,9,35.12
295,"2022-06-02",2,审核中,99,44,42,21.73
296,"2022-06-02",2,待归档,149,39,18,17.94
297,"2022-06-02",2,已回访,159,18,12,35.21
298,"2022-06-03",1,一般,110,24,2,59.77
299,"2022-06-03",1,紧急,181,80,69,49.47
300,"2022-06-03",1,特急,83,34,5,32.74
301,"2022-06-03",1,应急事件,123,47,45,41.58
302,"2022-06-03",2,受理中,97,14,12,44.57
303,"2022-06-03",2,办理中,99,22,17,30.75
304,"2022-06-03",2,审核中,195,78,26,32.45
305,"2022-06-03",2,待归档,87,22,14,35.1
306,"2022-06-03",2,已回访,86,20,3,59.74
307,"2022-06-04",1,一般,156,30,16,19.9
308,"2022-06-04",1,紧急,89,42,27,56.23
309,"2022-06-04",1,特急,121,19,0,41.04
310,"2022-06-04",1,应急事件,118,25,21,55.08
311,"2022-06-04",2,受理中,137,29,9,58.28
312,"2022-06-04",2,办理中,87,14,13,26.18
313,"2022-06-04",2,审核中,197,16,1,48.25
314,"2022-06-04",2,待归档,160,19,12,28.8
315,"2022-06-04",2,已回访,170,37,35,27.28
316,"2022-06-05",1,一般,111,21,4,47.65
317,"2022-06-05",1,紧急,180,58,47,19.83
318,"2022-06-05",1,特急,149,33,30,26.06
319,"2022-06-05",1,应急事件,189,74,11,10.83
320,"2022-06-05",2,受理中,147,70,41,21.85
321,"2022-06-05",2,办理中,91,25,14,19.36
322,"2022-06-05",2,审核中,179,63,59,25.3
323,"2022-06-05",2,待归档,170,37,1,52.72
324,"2022-06-05",2,已回访,97,44,41,46.75
325,"2022-06-06",1,一般,184,24,5,44.38
326,"2022-06-06",1,紧急,156,43,21,37.83
327,"2022-06-06",1,特急,93,10,6,43.2
328,"2022-06-06",1,应急事件,103,17,13,45.19
329,"2022-06-06",2,受理中,175,67,5,24.8
330,"2022-06-06",2,办理中,156,65,38,47.65
331,"2022-06-06",2,审核中,115,25,1,10.47
332,"2022-06-06",2,待归档,87,36,7,17.72
333,"2022-06-06",2,已回访,191,78,57,12.18
334,"2022-06-07",1,一般,100,27,16,11.54
335,"2022-06-07",1,紧急,151,36,4,26.79
336,"2022-06-07",1,特急,124,52,0,45.76
337,"2022-06-07",1,应急事件,200,98,45,58.54
338,"2022-06-07",2,受理中,161,54,26,40.52
339,"2022-06-07",2,办理中,105,38,6,17.86
340,"2022-06-07",2,审核中,196,87,43,11.44
341,"2022-06-07",2,待归档,188,69,19,38.3
342,"2022-06-07",2,已回访,169,82,7,51.6
343,"2022-06-08",1,一般,129,57,23,59.56
344,"2022-06-08",1,紧急,120,37,20,23.51
345,"2022-06-08",1,特急,197,24,7,49.35
346,"2022-06-08",1,应急事件,136,40,38,29.9
347,"2022-06-08",2,受理中,200,79,69,21.14
348,"2022-06-08",2,办理中,90,36,17,42.69
349,"2022-06-08",2,审核中,124,58,13,54.59
350,"2022-06-08",2,待归档,138,21,0,10.67
351,"2022-06-08",2,已回访,135,22,12,57.56
352,"2022-06-09",1,一般,146,51,47,13.62
353,"2022-06-09",1,紧急,143,48,15,27.44
354,"2022-06-09",1,特急,137,50,1,49.01
355,"2022-06-09",1,应急事件,112,48,6,13.38
356,"2022-06-09",2,受理中,196,59,16,51.99
357,"2022-06-09",2,办理中,87,39,27,20.31
358,"2022-06-09",2,审核中,140,55,36,37.51
359,"2022-06-09",2,待归档,80,10,2,23.99
360,"2022-06-09",2,已回访,200,76,75,27.83
361,"2022-06-10",1,一般,124,56,21,46.86
362,"2022-06-10",1,紧急,158,74,33,57.11
363,"2022-06-10",1,特急,81,21,1,54.74
364,"2022-06-10",1,应急事件,122,14,9,10.12
365,"2022-06-10",2,受理中,83,20,4,28.68
366,"2022-06-10",2,办理中,122,43,4,43.98
367,"2022-06-10",2,审核中,118,24,22,58.84
368,"2022-06-10",2,待归档,125,29,4,34.24
369,"2022-06-10",2,已回访,119,17,16,36.49
370,"2022-06-11",1,一般,175,79,48,11.15
371,"2022-06-11",1,紧急,93,44,12,23.94
372,"2022-06-11",1,特急,98,34,29,24.27
373,"2022-06-11",1,应急事件,113,53,4,56.09
374,"2022-06-11",2,受理中,181,69,50,23.94
375,"2022-06-11",2,办理中,163,15,8,10.89
376,"2022-06-11",2,审核中,152,61,25,46.59
377,"2022-06-11",2,待归档,110,21,8,27.59
378,"2022-06-11",2,已回访,105,42,19,15.01
379,"2022-06-12",1,一般,166,59,54,42.98
380,"2022-06-12",1,紧急,149,55,27,30.05
381,"2022-06-12",1,特急,163,44,15,24.02
382,"2022-06-12",1,应急事件,90,37,9,31.91
383,"2022-06-12",2,受理中,86,12,6,27.5
384,"2022-06-12",2,办理中,91,23,20,49.43
385,"2022-06-12",2,审核中,96,14,12,44.78
386,"2022-06-12",2,待归档,143,35,7,53.17
387,"2022-06-12",2,已回访,175,24,1,58.36
388,"2022-06-13",1,一般,135,42,9,39.41
389,"2022-06-13",1,紧急,153,29,2,59.53
390,"2022-06-13",1,特急,134,49,10,43.17
391,"2022-06-13",1,应急事件,98,31,24,31.45
392,"2022-06-13",2,受理中,200,44,4,57.14
393,"2022-06-13",2,办理中,177,63,8,10.79
394,"2022-06-13",2,审核中,160,77,9,18.52
395,"2022-06-13",2,待归档,82,25,18,55.84
396,"2022-06-13",2,已回访,94,23,6,50.12
397,"2022-06-14",1,一般,182,26,5,43.42
398,"2022-06-14",1,紧急,105,31,18,21.69
399,"2022-06-14",1,特急,151,65,58,14.76
400,"2022-06-14",1,应急事件,192,53,2,50.71
401,"2022-06-14",2,受理中,147,27,7,44.48
402,"2022-06-14",2,办理中,129,25,3,38.7
403,"2022-06-14",2,审核中,154,12,8,24.03
404,"2022-06-14",2,待归档,176,58,2,36.93
405,"2022-06-14",2,已回访,180,69,26,58.55
406,"2022-06-15",1,一般,99,33,3,21.39
407,"2022-06-15",1,紧急,130,56,55,31.45
408,"2022-06-15",1,特急,88,33,17,25.67
409,"2022-06-15",1,应急事件,148,45,35,56.55
410,"2022-06-15",2,受理中,127,12,8,30.14
411,"2022-06-15",2,办理中,116,16,6,35.56
412,"2022-06-15",2,审核中,105,23,17,57.9
413,"2022-06-15",2,待归档,128,15,11,18.01
414,"2022-06-15",2,已回访,170,28,5,31.72
415,"2022-06-16",1,一般,151,42,17,30.78
416,"2022-06-16",1,紧急,186,14,13,21.89
417,"2022-06-16",1,特急,182,64,42,53.32
418,"2022-06-16",1,应急事件,118,39,9,45.76
419,"2022-06-16",2,受理中,195,53,24,35.89
420,"2022-06-16",2,办理中,136,28,1,36.02
421,"2022-06-16",2,审核中,122,35,23,54.42
422,"2022-06-16",2,待归档,192,76,4,34.85
423,"2022-06-16",2,已回访,104,42,9,32.97
424,"2022-06-17",1,一般,198,73,61,49.73
425,"2022-06-17",1,紧急,87,26,13,22.48
426,"2022-06-17",1,特急,126,24,20,50.81
427,"2022-06-17",1,应急事件,152,26,24,44.21
428,"2022-06-17",2,受理中,164,64,14,51.96
429,"2022-06-17",2,办理中,174,55,39,41.53
430,"2022-06-17",2,审核中,80,10,7,23.31
431,"2022-06-17",2,待归档,148,31,13,18.33
432,"2022-06-17",2,已回访,156,67,23,29.61
433,"2022-06-18",1,一般,111,21,10,21.09
434,"2022-06-18",1,紧急,82,35,9,56.79
435,"2022-06-18",1,特急,169,29,8,54.06
436,"2022-06-18",1,应急事件,98,46,30,33.48
437,"2022-06-18",2,受理中,122,47,41,48.86
438,"2022-06-18",2,办理中,87,20,2,17.27
439,"2022-06-18",2,审核中,162,30,0,19.36
440,"2022-06-18",2,待归档,184,44,13,28.71
441,"2022-06-18",2,已回访,122,47,1,46.52
442,"2022-06-19",1,一般,101,21,9,26.99
443,"2022-06-19",1,紧急,162,19,5,19.94
444,"2022-06-19",1,特急,81,22,6,40.44
445,"2022-06-19",1,应急事件,140,24,19,19.32
446,"2022-06-19",2,受理中,85,10,6,46.83
447,"2022-06-19",2,办理中,122,13,8,14.34
448,"2022-06-19",2,审核中,117,42,36,44.59
449,"2022-06-19",2,待归档,99,48,16,56.01
450,"2022-06-19",2,已回访,197,36,23,44.84
451,"2022-06-20",1,一般,157,67,20,40.93
452,"2022-06-20",1,紧急,174,62,60,48.49
453,"2022-06-20",1,特急,196,60,58,44.86
454,"2022-06-20",1,应急事件,188,22,3,29.64
455,"2022-06-20",2,受理中,123,44,34,16.32
456,"2022-06-20",2,办理中,195,40,35,16.93
457,"2022-06-20",2,审核中,160,26,16,40.24
458,"2022-06-20",2,待归档,123,39,12,19.15
459,"2022-06-20",2,已回访,161,77,44,55.22
460,"2022-06-21",1,一般,119,44,10,50.6
461,"2022-06-21",1,紧急,84,29,2,43.42
462,"2022-06-21",1,特急,111,37,18,40.02
463,"2022-06-21",1,应急事件,150,67,12,48.67
464,"2022-06-21",2,受理中,93,17,4,40.39
465,"2022-06-21",2,办理中,95,33,26,52.1
466,"2022-06-21",2,审核中,143,47,3,52.97
467,"2022-06-21",2,待归档,138,27,12,26.86
468,"2022-06-21",2,已回访,132,54,26,33.39
469,"2022-06-22",1,一般,155,71,19,32.29
470,"2022-06-22",1,紧急,116,43,20,11.85
471,"2022-06-22",1,特急,193,41,25,45.04
472,"2022-06-22",1,应急事件,107,13,10,49.25
473,"2022-06-22",2,受理中,116,44,20,28.61
474,"2022-06-22",2,办理中,123,53,43,59.8
475,"2022-06-22",2,审核中,150,46,26,48.39
476,"2022-06-22",2,待归档,160,60,5,11.43
477,"2022-06-22",2,已回访,176,67,44,16.95
478,"2022-06-23",1,一般,155,15,12,27.24
479,"2022-06-23",1,紧急,171,35,25,29.24
480,"2022-06-23",1,特急,146,68,37,25.59
481,"2022-06-23",1,应急事件,152,23,22,56.35
482,"2022-06-23",2,受理中,93,24,19,18.86
483,"2022-06-23",2,办理中,157,28,4,13.78
484,"2022-06-23",2,审核中,190,63,0,52.39
485,"2022-06-23",2,待归档,164,18,4,50.08
486,"2022-06-23",2,已回访,150,45,34,49.41
487,"2022-06-24",1,一般,127,50,37,12.46
488,"2022-06-24",1,紧急,85,22,9,13.51
489,"2022-06-24",1,特急,167,62,35,30.39
490,"2022-06-24",1,应急事件,141,20,3,34.15
491,"2022-06-24",2,受理中,119,51,14,54.55
492,"2022-06-24",2,办理中,81,29,14,37.98
493,"2022-06-24",2,审核中,175,13,5,24.14
494,"2022-06-24",2,待归档,190,52,41,57.09
495,"2022-06-24",2,已回访,144,12,11,49.54
496,"2022-06-25",1,一般,84,30,16,47.61
497,"2022-06-25",1,紧急,167,32,1,59.27
498,"2022-06-25",1,特急,179,58,38,56.49
499,"2022-06-25",1,应急事件,121,18,2,40.89
500,"2022-06-25",2,受理中,94,41,25,45.06
501,"2022-06-25",2,办理中,100,21,13,47.49
502,"2022-06-25",2,审核中,166,46,20,12.22
503,"2022-06-25",2,待归档,178,19,16,55.65
504,"2022-06-25",2,已回访,190,30,18,31.52
505,"2022-06-26",1,一般,94,13,3,21.1
506,"2022-06-26",1,紧急,126,58,51,11.52
507,"2022-06-26",1,特急,160,47,15,33.76
508,"2022-06-26",1,应急事件,134,62,12,17.11
509,"2022-06-26",2,受理中,183,40,8,28.45
510,"2022-06-26",2,办理中,104,20,11,25.22
511,"2022-06-26",2,审核中,161,56,13,54.71
512,"2022-06-26",2,待归档,176,46,18,23.21
513,"2022-06-26",2,已回访,130,25,20,54.28
514,"2022-06-27",1,一般,119,28,14,19.05
515,"2022-06-27",1,紧急,90,40,1,51.2
516,"2022-06-27",1,特急,97,30,18,45.67
517,"2022-06-27",1,应急事件,183,82,57,21.13
518,"2022-06-27",2,受理中,155,11,7,57.83
519,"2022-06-27",2,办理中,140,58,38,56.32
520,"2022-06-27",2,审核中,193,80,27,54.41
521,"2022-06-27",2,待归档,158,14,8,21.9
522,"2022-06-27",2,已回访,113,37,11,29.9
523,"2022-06-28",1,一般,95,14,3,24.17
524,"2022-06-28",1,紧急,156,42,22,58.83
525,"2022-06-28",1,特急,161,23,5,30.87
526,"2022-06-28",1,应急事件,96,23,15,58.47
527,"2022-06-28",2,受理中,176,30,23,15.36
528,"2022-06-28",2,办理中,115,50,14,52.53
529,"2022-06-28",2,审核中,94,32,24,41.99
530,"2022-06-28",2,待归档,123,38,16,18.14
531,"2022-06-28",2,已回访,121,24,1,59.89
532,"2022-06-29",1,一般,140,13,2,30.72
533,"2022-06-29",1,紧急,106,31,16,30.87
534,"2022-06-29",1,特急,172,26,10,44.74
535,"2022-06-29",1,应急事件,176,15,6,49.89
536,"2022-06-29",2,受理中,95,32,12,30.35
