"md_id","busi_time","sub_name","type_name","type_cnt","finish_cnt","satisfaction_cnt","avg_handler_time"
237,"2022-05-06",农林牧渔,举报,11,11,10,47.41
238,"2022-05-06",农林牧渔,无效,9,9,8,1.18
239,"2022-05-06",农林牧渔,其他,7,7,6,17.38
240,"2022-05-07",科教文体,咨询,1,1,1,4.4
241,"2022-05-07",科教文体,投诉,5,5,4,15.39
242,"2022-05-07",科教文体,意见建议,5,5,4,8.63
243,"2022-05-07",科教文体,求助,4,4,4,11.72
244,"2022-05-07",科教文体,表扬,8,8,7,2.27
245,"2022-05-07",科教文体,举报,4,4,4,40.15
246,"2022-05-07",科教文体,无效,5,5,5,0.88
247,"2022-05-07",科教文体,其他,4,4,4,8.43
248,"2022-05-07",公卫医疗,咨询,10,10,9,5.19
249,"2022-05-07",公卫医疗,投诉,24,23,21,19.19
250,"2022-05-07",公卫医疗,意见建议,20,19,19,8.52
251,"2022-05-07",公卫医疗,求助,1,1,1,15.46
252,"2022-05-07",公卫医疗,表扬,39,38,35,1.53
253,"2022-05-07",公卫医疗,举报,38,36,35,33.09
254,"2022-05-07",公卫医疗,无效,11,11,10,1.84
255,"2022-05-07",公卫医疗,其他,8,8,7,17.95
256,"2022-05-07",城乡建设,咨询,1,1,1,5.14
257,"2022-05-07",城乡建设,投诉,57,55,54,21.85
258,"2022-05-07",城乡建设,意见建议,13,12,12,15.11
259,"2022-05-07",城乡建设,求助,23,22,21,17.12
260,"2022-05-07",城乡建设,表扬,21,20,20,2.89
261,"2022-05-07",城乡建设,举报,37,36,33,24.8
262,"2022-05-07",城乡建设,无效,42,41,37,1.72
263,"2022-05-07",城乡建设,其他,34,33,32,5.16
264,"2022-05-07",交通运输,咨询,50,48,43,2.31
265,"2022-05-07",交通运输,投诉,20,19,19,14.54
266,"2022-05-07",交通运输,意见建议,54,52,52,15.51
267,"2022-05-07",交通运输,求助,33,32,28,19.88
268,"2022-05-07",交通运输,表扬,34,32,31,2.12
269,"2022-05-07",交通运输,举报,43,42,39,16.97
270,"2022-05-07",交通运输,无效,35,33,31,1.1
271,"2022-05-07",交通运输,其他,27,26,24,14.45
272,"2022-05-07",农林牧渔,咨询,34,33,30,2.11
273,"2022-05-07",农林牧渔,投诉,43,41,37,10.76
274,"2022-05-07",农林牧渔,意见建议,34,33,29,11.88
275,"2022-05-07",农林牧渔,求助,38,37,33,23.16
276,"2022-05-07",农林牧渔,表扬,39,38,35,2.76
277,"2022-05-07",农林牧渔,举报,36,35,34,17.99
278,"2022-05-07",农林牧渔,无效,51,50,48,1.89
279,"2022-05-07",农林牧渔,其他,7,7,6,5.46
280,"2022-05-08",科教文体,咨询,33,32,30,5.77
281,"2022-05-08",科教文体,投诉,10,10,9,16.11
282,"2022-05-08",科教文体,意见建议,17,16,15,10.51
283,"2022-05-08",科教文体,求助,25,24,22,12.48
284,"2022-05-08",科教文体,表扬,2,2,2,2.58
285,"2022-05-08",科教文体,举报,63,60,56,23.18
286,"2022-05-08",科教文体,无效,27,26,23,1.38
287,"2022-05-08",科教文体,其他,10,10,9,7.47
288,"2022-05-08",公卫医疗,咨询,8,8,7,2.54
289,"2022-05-08",公卫医疗,投诉,18,18,17,9.58
290,"2022-05-08",公卫医疗,意见建议,3,3,3,10.83
291,"2022-05-08",公卫医疗,求助,1,1,1,24.21
292,"2022-05-08",公卫医疗,表扬,19,18,18,2.27
293,"2022-05-08",公卫医疗,举报,44,43,41,43.17
294,"2022-05-08",公卫医疗,无效,3,3,3,1.96
295,"2022-05-08",公卫医疗,其他,10,10,9,15.73
296,"2022-05-08",城乡建设,咨询,24,23,21,4.02
297,"2022-05-08",城乡建设,投诉,1,1,1,18.75
298,"2022-05-08",城乡建设,意见建议,33,32,29,7.57
299,"2022-05-08",城乡建设,求助,7,7,7,34.92
300,"2022-05-08",城乡建设,表扬,5,5,5,2.04
301,"2022-05-08",城乡建设,举报,5,5,4,12.34
302,"2022-05-08",城乡建设,无效,26,25,23,1.14
303,"2022-05-08",城乡建设,其他,34,33,30,4.84
304,"2022-05-08",交通运输,咨询,13,13,12,4.01
305,"2022-05-08",交通运输,投诉,16,15,15,16.96
306,"2022-05-08",交通运输,意见建议,44,42,43,14.61
307,"2022-05-08",交通运输,求助,4,4,4,27.74
308,"2022-05-08",交通运输,表扬,7,7,7,1.44
309,"2022-05-08",交通运输,举报,44,43,43,47.22
310,"2022-05-08",交通运输,无效,12,12,10,1.6
311,"2022-05-08",交通运输,其他,1,1,1,13.28
312,"2022-05-08",农林牧渔,咨询,30,29,26,5.65
313,"2022-05-08",农林牧渔,投诉,17,16,15,18.53
314,"2022-05-08",农林牧渔,意见建议,7,7,6,7.49
315,"2022-05-08",农林牧渔,求助,9,9,8,11.93
316,"2022-05-08",农林牧渔,表扬,65,63,63,2.17
317,"2022-05-08",农林牧渔,举报,33,32,30,26.62
318,"2022-05-08",农林牧渔,无效,51,50,44,1.91
319,"2022-05-08",农林牧渔,其他,20,19,18,8.7
320,"2022-05-09",科教文体,咨询,0,0,0,5.07
321,"2022-05-09",科教文体,投诉,0,0,0,14.71
322,"2022-05-09",科教文体,意见建议,0,0,0,9.64
323,"2022-05-09",科教文体,求助,0,0,0,11.45
324,"2022-05-09",科教文体,表扬,0,0,0,1.42
325,"2022-05-09",科教文体,举报,0,0,0,48.0
326,"2022-05-09",科教文体,无效,0,0,0,1.49
327,"2022-05-09",科教文体,其他,1,1,1,11.73
328,"2022-05-09",公卫医疗,咨询,56,54,53,5.95
329,"2022-05-09",公卫医疗,投诉,35,34,31,20.83
330,"2022-05-09",公卫医疗,意见建议,3,3,3,15.98
331,"2022-05-09",公卫医疗,求助,13,13,13,11.42
332,"2022-05-09",公卫医疗,表扬,82,78,71,1.84
333,"2022-05-09",公卫医疗,举报,17,16,15,24.02
334,"2022-05-09",公卫医疗,无效,71,68,62,0.93
335,"2022-05-09",公卫医疗,其他,68,66,62,7.27
336,"2022-05-09",城乡建设,咨询,0,0,0,2.73
337,"2022-05-09",城乡建设,投诉,6,6,5,15.49
338,"2022-05-09",城乡建设,意见建议,5,5,5,12.72
339,"2022-05-09",城乡建设,求助,0,0,0,30.84
340,"2022-05-09",城乡建设,表扬,2,2,2,2.15
341,"2022-05-09",城乡建设,举报,8,8,8,26.78
342,"2022-05-09",城乡建设,无效,3,3,3,0.82
343,"2022-05-09",城乡建设,其他,5,5,5,4.36
344,"2022-05-09",交通运输,咨询,20,19,17,2.66
345,"2022-05-09",交通运输,投诉,34,33,31,19.17
346,"2022-05-09",交通运输,意见建议,33,32,30,12.06
347,"2022-05-09",交通运输,求助,37,36,34,17.17
348,"2022-05-09",交通运输,表扬,17,17,15,2.08
349,"2022-05-09",交通运输,举报,44,42,39,15.73
350,"2022-05-09",交通运输,无效,32,31,29,0.71
351,"2022-05-09",交通运输,其他,11,11,10,15.51
352,"2022-05-09",农林牧渔,咨询,1,1,1,3.04
353,"2022-05-09",农林牧渔,投诉,1,1,1,22.05
354,"2022-05-09",农林牧渔,意见建议,1,1,1,13.28
355,"2022-05-09",农林牧渔,求助,1,1,1,12.93
356,"2022-05-09",农林牧渔,表扬,0,0,0,3.77
357,"2022-05-09",农林牧渔,举报,1,1,1,40.38
358,"2022-05-09",农林牧渔,无效,0,0,0,1.14
359,"2022-05-09",农林牧渔,其他,0,0,0,16.17
360,"2022-05-10",科教文体,咨询,1,1,1,3.9
361,"2022-05-10",科教文体,投诉,1,1,1,13.62
362,"2022-05-10",科教文体,意见建议,5,5,5,6.93
363,"2022-05-10",科教文体,求助,4,4,4,11.99
364,"2022-05-10",科教文体,表扬,6,6,6,3.23
365,"2022-05-10",科教文体,举报,3,3,3,44.45
366,"2022-05-10",科教文体,无效,5,5,5,1.35
367,"2022-05-10",科教文体,其他,6,6,5,19.06
368,"2022-05-10",公卫医疗,咨询,10,10,9,3.7
369,"2022-05-10",公卫医疗,投诉,53,52,49,14.67
370,"2022-05-10",公卫医疗,意见建议,6,6,6,10.03
371,"2022-05-10",公卫医疗,求助,14,13,13,30.82
372,"2022-05-10",公卫医疗,表扬,28,27,26,3.83
373,"2022-05-10",公卫医疗,举报,9,9,8,38.63
374,"2022-05-10",公卫医疗,无效,36,35,32,0.65
375,"2022-05-10",公卫医疗,其他,9,9,8,10.86
376,"2022-05-10",城乡建设,咨询,10,10,9,2.36
377,"2022-05-10",城乡建设,投诉,28,27,24,19.83
378,"2022-05-10",城乡建设,意见建议,23,22,21,6.76
379,"2022-05-10",城乡建设,求助,18,17,17,13.33
380,"2022-05-10",城乡建设,表扬,34,33,32,2.11
381,"2022-05-10",城乡建设,举报,20,19,19,36.34
382,"2022-05-10",城乡建设,无效,9,9,8,0.68
383,"2022-05-10",城乡建设,其他,19,19,16,8.42
384,"2022-05-10",交通运输,咨询,3,3,3,2.33
385,"2022-05-10",交通运输,投诉,7,7,6,8.3
386,"2022-05-10",交通运输,意见建议,0,0,0,17.42
387,"2022-05-10",交通运输,求助,11,10,10,21.9
388,"2022-05-10",交通运输,表扬,4,4,4,1.61
389,"2022-05-10",交通运输,举报,12,11,11,33.42
390,"2022-05-10",交通运输,无效,14,13,12,1.37
391,"2022-05-10",交通运输,其他,6,6,6,10.96
392,"2022-05-10",农林牧渔,咨询,41,39,38,3.04
393,"2022-05-10",农林牧渔,投诉,33,31,30,23.59
394,"2022-05-10",农林牧渔,意见建议,24,23,23,7.64
395,"2022-05-10",农林牧渔,求助,24,23,21,20.41
396,"2022-05-10",农林牧渔,表扬,6,6,6,3.82
397,"2022-05-10",农林牧渔,举报,38,37,36,47.71
398,"2022-05-10",农林牧渔,无效,35,34,34,0.78
399,"2022-05-10",农林牧渔,其他,21,20,19,4.47
400,"2022-05-11",科教文体,咨询,4,4,4,2.83
401,"2022-05-11",科教文体,投诉,13,13,12,10.13
402,"2022-05-11",科教文体,意见建议,19,19,16,13.04
403,"2022-05-11",科教文体,求助,3,3,3,28.01
404,"2022-05-11",科教文体,表扬,24,23,21,2.3
405,"2022-05-11",科教文体,举报,8,8,8,17.26
406,"2022-05-11",科教文体,无效,4,4,3,1.6
407,"2022-05-11",科教文体,其他,27,26,23,14.3
408,"2022-05-11",公卫医疗,咨询,32,31,30,3.58
409,"2022-05-11",公卫医疗,投诉,39,38,33,14.72
410,"2022-05-11",公卫医疗,意见建议,57,54,49,10.03
411,"2022-05-11",公卫医疗,求助,7,7,6,15.99
412,"2022-05-11",公卫医疗,表扬,21,20,20,3.52
413,"2022-05-11",公卫医疗,举报,31,30,27,44.83
414,"2022-05-11",公卫医疗,无效,39,38,36,0.61
415,"2022-05-11",公卫医疗,其他,3,3,3,6.16
416,"2022-05-11",城乡建设,咨询,0,0,0,5.52
417,"2022-05-11",城乡建设,投诉,63,61,54,11.82
418,"2022-05-11",城乡建设,意见建议,8,8,7,10.76
419,"2022-05-11",城乡建设,求助,51,50,44,18.57
420,"2022-05-11",城乡建设,表扬,26,25,22,2.63
421,"2022-05-11",城乡建设,举报,15,15,14,17.24
422,"2022-05-11",城乡建设,无效,7,7,6,1.75
423,"2022-05-11",城乡建设,其他,23,22,20,12.41
424,"2022-05-11",交通运输,咨询,14,14,13,3.68
425,"2022-05-11",交通运输,投诉,18,17,17,9.31
426,"2022-05-11",交通运输,意见建议,0,0,0,17.41
427,"2022-05-11",交通运输,求助,4,4,3,24.94
428,"2022-05-11",交通运输,表扬,14,13,13,2.81
429,"2022-05-11",交通运输,举报,4,4,4,15.76
430,"2022-05-11",交通运输,无效,18,18,16,1.75
431,"2022-05-11",交通运输,其他,13,12,12,17.54
432,"2022-05-11",农林牧渔,咨询,3,3,3,5.68
433,"2022-05-11",农林牧渔,投诉,7,7,6,18.42
434,"2022-05-11",农林牧渔,意见建议,13,13,12,15.74
435,"2022-05-11",农林牧渔,求助,2,2,2,14.02
436,"2022-05-11",农林牧渔,表扬,6,6,5,2.48
437,"2022-05-11",农林牧渔,举报,3,3,3,19.29
438,"2022-05-11",农林牧渔,无效,3,3,3,1.36
439,"2022-05-11",农林牧渔,其他,8,8,7,6.9
440,"2022-05-12",科教文体,咨询,14,13,13,5.76
441,"2022-05-12",科教文体,投诉,34,33,31,12.14
442,"2022-05-12",科教文体,意见建议,35,34,33,16.15
443,"2022-05-12",科教文体,求助,4,4,4,34.04
444,"2022-05-12",科教文体,表扬,9,9,8,1.16
445,"2022-05-12",科教文体,举报,6,6,6,16.91
446,"2022-05-12",科教文体,无效,15,15,14,1.6
447,"2022-05-12",科教文体,其他,22,21,20,13.74
448,"2022-05-12",公卫医疗,咨询,32,30,28,3.03
449,"2022-05-12",公卫医疗,投诉,13,13,11,16.89
450,"2022-05-12",公卫医疗,意见建议,20,20,18,12.48
451,"2022-05-12",公卫医疗,求助,11,11,10,17.07
452,"2022-05-12",公卫医疗,表扬,33,32,31,2.09
453,"2022-05-12",公卫医疗,举报,34,32,31,14.37
454,"2022-05-12",公卫医疗,无效,25,24,24,1.46
455,"2022-05-12",公卫医疗,其他,-1,-1,-1,17.57
456,"2022-05-12",城乡建设,咨询,35,33,32,4.78
457,"2022-05-12",城乡建设,投诉,3,3,3,19.86
458,"2022-05-12",城乡建设,意见建议,15,14,14,8.55
459,"2022-05-12",城乡建设,求助,12,12,11,20.43
460,"2022-05-12",城乡建设,表扬,27,26,25,2.92
461,"2022-05-12",城乡建设,举报,25,24,24,41.71
462,"2022-05-12",城乡建设,无效,18,17,16,0.66
463,"2022-05-12",城乡建设,其他,26,25,24,18.7
464,"2022-05-12",交通运输,咨询,6,6,6,3.43
465,"2022-05-12",交通运输,投诉,29,28,28,17.09
466,"2022-05-12",交通运输,意见建议,26,25,23,7.78
467,"2022-05-12",交通运输,求助,25,24,24,23.36
468,"2022-05-12",交通运输,表扬,14,14,13,3.98
