region_name,total_orders,"ROUND(online_channel_cnt*100.0/total_orders, 2)","ROUND(phone_channel_cnt*100.0/total_orders, 2)","ROUND(email_channel_cnt*100.0/total_orders, 2)","ROUND(mobile_app_cnt*100.0/total_orders, 2)"
A1镇,154,27.92,16.23,31.17,24.68
B市,147,38.78,46.26,4.76,10.2
B1镇,146,45.21,15.07,23.29,16.44
A县,143,11.19,27.27,40.56,20.98
B县,142,4.23,0.7,34.51,60.56
A1镇,134,26.87,37.31,2.99,32.84
A县,127,29.92,36.22,33.07,0.79
A县,124,51.61,16.13,6.45,25.81
B市,123,2.44,41.46,45.53,10.57
B1镇,113,4.42,7.96,38.94,48.67
B县,113,20.35,37.17,30.97,11.5
