region_name,total_orders,"ROUND(online_channel_cnt*100.0/total_orders, 2)","ROUND(phone_channel_cnt*100.0/total_orders, 2)","ROUND(email_channel_cnt*100.0/total_orders, 2)","ROUND(mobile_app_cnt*100.0/total_orders, 2)"
B1镇,570,18.07,21.75,49.47,10.7
B市,569,33.39,21.62,12.65,32.34
A市,567,36.51,19.58,6.35,37.57
B1镇,566,28.8,30.21,15.02,25.97
B市,551,5.81,11.62,29.95,52.63
A1镇,548,19.89,15.88,41.42,22.81
B县,546,42.86,0.18,37.73,19.23
B市,544,10.48,62.32,4.96,22.24
A市,529,20.04,38.19,28.92,12.85
B1镇,527,43.83,12.14,21.06,22.96
B县,521,12.86,39.16,22.84,25.14
B市,519,22.35,40.46,15.61,21.58
B县,518,24.32,28.19,29.54,17.95
A1镇,512,2.34,30.08,13.48,54.1
A县,502,20.32,27.09,14.54,38.05
A1镇,501,23.75,37.52,28.54,10.18
B1镇,500,35.2,9.4,29.6,25.8
A1镇,496,21.37,26.81,31.25,20.56
A市,493,36.71,2.64,26.57,34.08
A1镇,483,30.43,43.89,2.69,22.98
A县,471,30.57,1.7,42.25,25.48
B市,465,13.76,31.61,34.41,20.22
B1镇,453,36.87,10.82,17.0,35.32
B1镇,439,9.11,18.68,30.07,42.14
A县,427,38.88,14.75,36.53,9.84
B1镇,421,6.65,17.58,69.36,6.41
A市,413,2.42,38.26,3.87,55.45
B县,413,41.65,18.16,22.28,17.92
B市,405,38.77,37.04,10.62,13.58
A1镇,402,31.59,33.33,5.47,29.6
A县,390,29.49,15.9,30.26,24.36
B市,384,23.18,30.99,31.25,14.58
A县,382,17.28,13.35,67.8,1.57
B市,379,59.1,17.41,13.46,10.03
A市,376,21.28,21.28,14.89,42.55
A市,363,21.76,32.51,6.06,39.67
A县,363,40.5,41.05,2.48,15.98
A县,362,34.81,2.21,33.15,29.83
A县,353,35.69,26.06,1.42,36.83
B1镇,344,44.77,45.35,7.27,2.62
B县,342,40.94,10.82,23.68,24.56
B1镇,341,17.3,19.35,32.55,30.79
A县,337,26.41,41.84,21.96,9.79
B1镇,335,15.22,25.07,27.16,32.54
A县,330,45.45,5.15,5.45,43.94
B市,317,34.38,41.64,12.3,11.67
A县,316,46.84,9.81,0.63,42.72
B县,313,29.39,29.71,11.5,29.39
B1镇,310,16.45,30.0,28.39,25.16
A市,305,6.56,22.95,32.79,37.7
A1镇,297,26.6,36.36,29.63,7.41
A1镇,294,43.54,3.4,30.95,22.11
B1镇,291,38.83,5.5,26.12,29.55
B1镇,286,27.97,25.52,18.53,27.97
B县,283,25.09,24.73,27.56,22.61
B1镇,273,21.25,12.82,35.53,30.4
A市,272,19.49,33.82,16.18,30.51
A县,262,9.16,31.68,33.21,25.95
B县,255,34.51,12.16,29.02,24.31
A县,253,3.95,37.15,30.83,28.06
B县,250,0.8,40.0,38.4,20.8
A1镇,248,4.84,35.48,49.19,10.48
B1镇,241,5.81,20.75,28.22,45.23
B县,233,30.04,26.18,19.74,24.03
A1镇,230,7.83,20.43,26.96,44.78
A市,227,33.04,37.44,16.3,13.22
A县,227,3.08,21.59,70.04,5.29
B1镇,215,14.88,20.93,37.67,26.51
A1镇,214,52.8,15.89,30.84,0.47
A市,210,27.62,30.0,12.38,30.0
A县,210,25.24,8.57,30.95,35.24
A1镇,210,1.9,56.67,16.67,24.76
A市,202,23.27,40.1,29.7,6.93
A市,196,12.24,40.31,21.94,25.51
B市,185,28.65,25.41,17.3,28.65
B1镇,170,15.88,28.24,33.53,22.35
B市,168,32.14,16.67,20.24,30.95
A县,160,39.38,10.0,36.25,14.38
B1镇,159,30.19,22.01,27.04,20.75
A市,156,30.77,28.85,39.1,1.28
B县,154,53.25,1.3,21.43,24.03
B县,145,22.07,28.28,8.97,40.69
A县,145,9.66,35.86,24.14,30.34
A1镇,144,15.28,33.33,5.56,45.83
A市,142,22.54,16.2,40.85,20.42
A市,141,33.33,7.09,36.88,22.7
B县,140,35.0,39.29,8.57,17.14
B市,135,45.93,8.15,0.74,45.19
B市,131,63.36,33.59,3.05,0.0
A市,126,30.16,34.92,12.7,22.22
A1镇,126,30.16,23.02,36.51,10.32
A1镇,118,28.81,38.98,11.02,21.19
A市,111,30.63,1.8,1.8,65.77
B县,107,21.5,37.38,7.48,33.64
