region_name,total_orders,"ROUND(online_channel_cnt*100.0/total_orders, 2)","ROUND(phone_channel_cnt*100.0/total_orders, 2)","ROUND(email_channel_cnt*100.0/total_orders, 2)","ROUND(mobile_app_cnt*100.0/total_orders, 2)"
A市,519,37.38,39.11,3.08,20.42
A县,516,29.26,19.77,23.64,27.33
A市,510,8.43,0.39,52.35,38.82
A市,507,15.19,25.84,24.65,34.32
B市,506,19.17,32.61,43.48,4.74
A1镇,502,1.99,27.29,57.17,13.55
B县,501,43.91,21.36,13.17,21.56
B县,501,24.15,33.93,36.33,5.59
B1镇,500,27.6,29.8,37.6,5.0
A1镇,497,22.74,31.19,32.6,13.48
B市,487,20.33,26.28,23.41,29.98
B1镇,483,2.69,38.3,57.14,1.86
B县,481,12.68,37.01,21.21,29.11
B市,478,27.41,50.0,17.78,4.81
B市,476,20.38,30.04,4.83,44.75
B市,464,38.79,5.39,41.81,14.01
A1镇,462,44.81,14.29,20.56,20.35
B1镇,462,33.55,29.22,7.36,29.87
B1镇,459,17.86,13.94,42.27,25.93
B市,458,28.6,29.91,39.74,1.75
A市,449,9.35,21.38,58.57,10.69
A市,442,0.0,32.35,45.93,21.72
A县,438,19.18,2.97,41.55,36.3
A市,436,36.7,17.89,8.72,36.7
A市,428,11.68,21.03,24.07,43.22
A1镇,414,35.02,31.16,26.57,7.25
B市,412,42.72,25.24,11.65,20.39
B县,408,34.31,28.19,1.23,36.27
A1镇,402,13.18,7.46,36.07,43.28
A1镇,399,47.62,5.76,36.84,9.77
A县,398,23.62,31.41,13.57,31.41
B市,396,15.4,26.52,29.29,28.79
A市,390,26.92,21.03,19.49,32.56
A县,387,25.32,27.13,34.88,12.66
B市,386,27.46,26.42,20.98,25.13
A1镇,383,14.1,51.96,3.13,30.81
B市,374,22.19,9.36,53.48,14.97
B市,373,39.68,12.33,36.19,11.8
A县,365,42.19,18.36,18.36,21.1
B1镇,363,12.67,30.58,27.27,29.48
A县,356,34.83,34.27,25.84,5.06
A市,349,49.0,0.0,36.68,14.33
A县,337,27.0,24.93,43.03,5.04
A县,329,28.27,2.13,55.02,14.59
B县,319,34.17,4.08,25.71,36.05
B市,319,20.69,32.6,26.96,19.75
B县,312,28.85,6.41,27.24,37.5
A县,308,19.81,26.95,32.14,21.1
B市,307,21.82,50.81,15.96,11.4
B1镇,307,26.06,31.92,27.69,14.33
A市,293,20.48,20.14,31.06,28.33
A1镇,288,27.43,18.06,31.25,23.26
B县,282,12.77,7.45,40.07,39.72
A1镇,272,18.75,26.47,31.99,22.79
A市,270,29.63,18.52,36.3,15.56
A县,270,36.3,22.59,1.11,40.0
B市,269,28.62,0.0,39.03,32.34
B市,254,14.17,25.2,59.45,1.18
B市,252,38.1,21.83,23.81,16.27
B1镇,250,30.8,31.2,32.0,6.0
A市,248,31.45,26.21,13.71,28.63
A县,247,18.62,32.39,16.6,32.39
A1镇,245,24.08,8.98,49.39,17.55
A1镇,245,35.51,19.59,27.76,17.14
B县,240,3.33,6.67,20.83,69.17
B1镇,235,2.13,28.94,34.04,34.89
A县,234,17.52,21.37,32.48,28.63
A1镇,234,31.2,19.66,34.19,14.96
A市,230,9.57,32.61,33.91,23.91
B县,225,15.56,25.33,36.89,22.22
B县,213,5.16,16.43,35.68,42.72
B市,194,21.65,26.8,27.32,24.23
B县,192,45.31,30.21,4.17,20.31
B县,188,13.83,34.57,21.81,29.79
B县,185,24.32,31.35,18.92,25.41
B市,181,44.2,5.52,22.1,28.18
B1镇,173,40.46,40.46,5.78,13.29
B1镇,173,44.51,1.73,30.64,23.12
A市,164,36.59,4.27,16.46,42.68
B县,155,20.0,29.03,23.23,27.74
A县,151,21.85,31.79,29.8,16.56
B市,145,33.1,40.69,4.14,22.07
B市,125,40.0,4.8,42.4,12.8
B县,125,20.0,14.4,19.2,46.4
A1镇,119,20.17,4.2,44.54,31.09
A1镇,115,29.57,26.96,19.13,24.35
B县,104,17.31,40.38,20.19,22.12
B县,103,24.27,31.07,35.92,8.74
