region_name,total_orders,"ROUND(online_channel_cnt*100.0/total_orders, 2)","ROUND(phone_channel_cnt*100.0/total_orders, 2)","ROUND(email_channel_cnt*100.0/total_orders, 2)","ROUND(mobile_app_cnt*100.0/total_orders, 2)"
A1镇,480,26.88,36.88,30.21,6.04
A县,478,21.97,42.89,3.56,31.59
A市,471,29.94,16.77,34.39,18.9
B市,469,19.19,22.39,31.34,27.08
A市,468,6.62,14.96,31.2,47.22
A县,462,23.59,22.08,29.0,25.32
B市,455,25.05,28.79,27.25,18.9
A市,452,15.27,33.85,32.74,18.14
A市,447,4.25,38.26,30.43,27.07
B市,442,12.9,43.44,32.58,11.09
B县,437,16.02,8.92,36.38,38.67
B1镇,436,42.43,1.15,26.61,29.82
B1镇,428,0.47,40.65,53.04,5.84
A1镇,417,54.68,15.11,29.26,0.96
B1镇,393,17.05,38.93,32.57,11.45
A县,392,40.05,17.86,28.83,13.27
A县,390,35.9,20.77,15.9,27.44
A县,388,14.69,18.3,0.52,66.49
B1镇,383,25.07,34.2,24.28,16.45
B县,381,44.62,8.92,3.67,42.78
A县,381,42.52,8.4,42.78,6.3
A1镇,379,22.69,37.73,37.47,2.11
A县,378,54.5,25.4,6.88,13.23
A市,374,24.06,13.1,16.31,46.52
B1镇,369,26.56,10.84,23.58,39.02
B市,365,38.9,5.48,20.0,35.62
A县,353,23.51,31.16,20.96,24.36
A1镇,353,28.33,16.15,35.69,19.83
A市,352,31.82,21.02,2.27,44.89
A县,351,4.84,30.77,60.4,3.99
A1镇,348,30.17,9.48,36.21,24.14
B1镇,342,24.56,6.73,31.87,36.84
B市,341,33.43,29.33,9.09,28.15
B市,337,26.11,7.42,35.31,31.16
A县,320,32.19,25.0,9.38,33.44
B县,315,21.9,1.27,51.43,25.4
B市,302,17.88,19.87,24.5,37.75
B市,299,4.01,19.06,28.09,48.83
B市,289,37.72,5.54,10.38,46.37
B1镇,284,39.79,30.99,12.32,16.9
A市,280,20.71,12.5,6.43,60.36
B县,272,20.59,34.93,10.66,33.82
B县,268,26.12,18.66,32.46,22.76
A县,259,13.9,30.12,49.42,6.56
A县,257,12.06,19.07,36.58,32.3
B县,251,36.25,10.76,37.45,15.54
B1镇,251,19.12,29.88,24.7,26.29
A市,251,39.44,21.51,11.55,27.49
B县,234,17.95,27.78,35.47,18.8
B市,231,3.03,34.2,28.57,34.2
A县,228,2.19,34.21,32.89,30.7
B1镇,220,39.55,4.55,23.18,32.73
B市,219,24.2,17.81,32.42,25.57
B市,207,14.01,23.19,32.85,29.95
B市,192,4.17,40.1,50.52,5.21
B市,192,23.44,45.31,15.1,16.15
A市,189,15.87,28.57,38.1,17.46
B1镇,179,12.85,7.26,39.66,40.22
A县,175,6.86,37.71,25.14,30.29
A1镇,174,27.59,0.57,47.7,24.14
A县,172,18.02,58.14,5.23,18.6
A市,161,3.73,26.71,9.32,60.25
B县,139,10.79,18.71,35.97,34.53
A1镇,138,13.04,50.0,13.04,23.91
B1镇,109,21.1,39.45,15.6,23.85
